Time frequency,Frequency,Classification of activities for time use,International Standard Classification of Education (ISCED 2011),Age class,Sex,Unit of measure,Geopolitical entity (reporting)\Time,2006.0,2015.0,2022.0
Annual,At least once,Cinema,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Ireland,79.0 u,81.4 u,72.5
Annual,At least once,Cinema,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Iceland,92.9,91.5,:
Annual,At least once,Cinema,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Italy,78.5,70.4,55.6
Annual,At least once,Cinema,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Lithuania,58.7,66.6,60.1
Annual,At least once,Cinema,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Luxembourg,82.6,85.1,77.2
Annual,At least once,Cinema,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Latvia,56.0,64.8,35.0
Annual,At least once,Cinema,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,North Macedonia,:,29.0,:
Annual,At least once,Cinema,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Malta,66.4,63.6,50.5
Annual,At least once,Cinema,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Netherlands,75.8 u,85.1,68.8
Annual,At least once,Cinema,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Norway,85.2 u,87.4,70.7
Annual,At least once,Cinema,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Poland,68.5,72.8 u,69.8
Annual,At least once,Cinema,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Portugal,70.5,69.4,64.0
Annual,At least once,Cinema,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Romania,:,40.3,35.0
Annual,At least once,Cinema,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Serbia,:,47.9,54.3
Annual,At least once,Cinema,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Sweden,81.3,84.8,58.5
Annual,At least once,Cinema,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Slovenia,72.3,71.4,43.8
Annual,At least once,Cinema,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Slovakia,73.4,71.1,51.3
Annual,At least once,Cinema,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,United Kingdom,78.9,74.9 u,:
Annual,At least once,"Live performances (theatre, concerts, ballet)",All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Austria,58.4,51.4,36.0
Annual,At least once,"Live performances (theatre, concerts, ballet)",All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Belgium,57.1,52.6,45.4
Annual,At least once,"Live performances (theatre, concerts, ballet)",All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Bulgaria,31.1,31.2,17.4
Annual,At least once,"Live performances (theatre, concerts, ballet)",All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Switzerland,:,67.3,55.1
Annual,At least once,"Live performances (theatre, concerts, ballet)",All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Cyprus,58.4,58.8,40.3
Annual,At least once,"Live performances (theatre, concerts, ballet)",All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Czechia,49.9,59.2,44.1
Annual,At least once,"Live performances (theatre, concerts, ballet)",All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Germany,54.2,54.4,: u
Annual,At least once,"Live performances (theatre, concerts, ballet)",All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Denmark,63.1,64.2,49.6
Annual,At least once,"Live performances (theatre, concerts, ballet)",All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Estonia,70.4,70.0,50.2
Annual,At least once,"Live performances (theatre, concerts, ballet)",All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Greece,51.4,52.8,51.2
Annual,At least once,"Live performances (theatre, concerts, ballet)",All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Spain,51.2,44.2,44.1
Annual,At least once,"Live performances (theatre, concerts, ballet)",All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,European Union - 27 countries (from 2020),:,51.6,:
Annual,At least once,"Live performances (theatre, concerts, ballet)",All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Finland,66.5,68.6,34.6
Annual,At least once,"Live performances (theatre, concerts, ballet)",All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,France,60.0,63.2,27.0
Annual,At least once,"Live performances (theatre, concerts, ballet)",All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Croatia,:,51.3,49.1
Annual,At least once,"Live performances (theatre, concerts, ballet)",All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Hungary,55.5,41.8,30.2
Annual,At least once,"Live performances (theatre, concerts, ballet)",All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Ireland,57.0 u,48.6 u,48.9
Annual,At least once,"Live performances (theatre, concerts, ballet)",All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Iceland,82.4,73.3,:
Annual,At least once,"Live performances (theatre, concerts, ballet)",All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Italy,44.6,40.7,33.7
Annual,At least once,"Live performances (theatre, concerts, ballet)",All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Lithuania,66.7,77.0,50.4
Annual,At least once,"Live performances (theatre, concerts, ballet)",All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Luxembourg,59.6,67.2,52.6
Annual,At least once,"Live performances (theatre, concerts, ballet)",All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Latvia,59.5,64.4,31.2
Annual,At least once,"Live performances (theatre, concerts, ballet)",All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,North Macedonia,:,39.9,:
Annual,At least once,"Live performances (theatre, concerts, ballet)",All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Malta,29.8,40.5,40.1
Annual,At least once,"Live performances (theatre, concerts, ballet)",All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Netherlands,60.2 u,64.1,47.6
Annual,At least once,"Live performances (theatre, concerts, ballet)",All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Norway,73.6 u,61.3,48.6
Annual,At least once,"Live performances (theatre, concerts, ballet)",All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Poland,42.9,38.3 u,25.6
Annual,At least once,"Live performances (theatre, concerts, ballet)",All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Portugal,71.3,67.8,50.9
Annual,At least once,"Live performances (theatre, concerts, ballet)",All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Romania,:,39.1,20.1
Annual,At least once,"Live performances (theatre, concerts, ballet)",All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Serbia,:,38.5,43.1
Annual,At least once,"Live performances (theatre, concerts, ballet)",All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Sweden,66.6,61.2,32.4
Annual,At least once,"Live performances (theatre, concerts, ballet)",All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Slovenia,51.3,64.5,43.3
Annual,At least once,"Live performances (theatre, concerts, ballet)",All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Slovakia,70.1,51.7,25.0
Annual,At least once,"Live performances (theatre, concerts, ballet)",All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,United Kingdom,57.2,56.9 u,:
Annual,At least once,"Cultural sites (historical monuments, museums, art galleries or archaeological sites)",All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Austria,37.1,40.5,38.3
Annual,At least once,"Cultural sites (historical monuments, museums, art galleries or archaeological sites)",All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Belgium,44.7,44.0,43.9
Annual,At least once,"Cultural sites (historical monuments, museums, art galleries or archaeological sites)",All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Bulgaria,22.6,23.1,17.0
Annual,At least once,"Cultural sites (historical monuments, museums, art galleries or archaeological sites)",All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Switzerland,:,64.0,63.9
Annual,At least once,"Cultural sites (historical monuments, museums, art galleries or archaeological sites)",All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Cyprus,31.5,23.6,17.2
Annual,At least once,"Cultural sites (historical monuments, museums, art galleries or archaeological sites)",All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Czechia,52.7,60.6,48.4
Annual,At least once,"Cultural sites (historical monuments, museums, art galleries or archaeological sites)",All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Germany,58.5,49.1,: u
Annual,At least once,"Cultural sites (historical monuments, museums, art galleries or archaeological sites)",All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Denmark,49.9,61.7,57.5
Annual,At least once,"Cultural sites (historical monuments, museums, art galleries or archaeological sites)",All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Estonia,47.9,56.6,52.1
Annual,At least once,"Cultural sites (historical monuments, museums, art galleries or archaeological sites)",All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Greece,22.8,19.6,28.2
Annual,At least once,"Cultural sites (historical monuments, museums, art galleries or archaeological sites)",All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Spain,50.8,39.5,45.5
Annual,At least once,"Cultural sites (historical monuments, museums, art galleries or archaeological sites)",All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,European Union - 27 countries (from 2020),:,46.5,:
Annual,At least once,"Cultural sites (historical monuments, museums, art galleries or archaeological sites)",All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Finland,63.4,62.7,51.2
Annual,At least once,"Cultural sites (historical monuments, museums, art galleries or archaeological sites)",All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,France,43.7,54.8,39.5
Annual,At least once,"Cultural sites (historical monuments, museums, art galleries or archaeological sites)",All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Croatia,:,34.7,35.1
Annual,At least once,"Cultural sites (historical monuments, museums, art galleries or archaeological sites)",All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Hungary,55.7,48.0,26.6
Annual,At least once,"Cultural sites (historical monuments, museums, art galleries or archaeological sites)",All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Ireland,39.2 u,35.7 u,36.9
Annual,At least once,"Cultural sites (historical monuments, museums, art galleries or archaeological sites)",All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Iceland,45.6,50.6,:
Annual,At least once,"Cultural sites (historical monuments, museums, art galleries or archaeological sites)",All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Italy,35.1,37.0,29.3
Annual,At least once,"Cultural sites (historical monuments, museums, art galleries or archaeological sites)",All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Lithuania,46.1,43.2,38.3
Annual,At least once,"Cultural sites (historical monuments, museums, art galleries or archaeological sites)",All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Luxembourg,50.4,56.6,61.5
Annual,At least once,"Cultural sites (historical monuments, museums, art galleries or archaeological sites)",All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Latvia,54.6,58.1,43.6
Annual,At least once,"Cultural sites (historical monuments, museums, art galleries or archaeological sites)",All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,North Macedonia,:,24.3,:
Annual,At least once,"Cultural sites (historical monuments, museums, art galleries or archaeological sites)",All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Malta,14.0,28.8,20.1
Annual,At least once,"Cultural sites (historical monuments, museums, art galleries or archaeological sites)",All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Netherlands,45.9 u,65.2,53.1
Annual,At least once,"Cultural sites (historical monuments, museums, art galleries or archaeological sites)",All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Norway,57.7 u,53.2,40.3
Annual,At least once,"Cultural sites (historical monuments, museums, art galleries or archaeological sites)",All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Poland,43.8,46.4 u,40.4
Annual,At least once,"Cultural sites (historical monuments, museums, art galleries or archaeological sites)",All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Portugal,46.6,51.9,52.8
Annual,At least once,"Cultural sites (historical monuments, museums, art galleries or archaeological sites)",All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Romania,:,30.8,19.5
Annual,At least once,"Cultural sites (historical monuments, museums, art galleries or archaeological sites)",All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Serbia,:,22.6,22.1
Annual,At least once,"Cultural sites (historical monuments, museums, art galleries or archaeological sites)",All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Sweden,58.3,68.8,46.1
Annual,At least once,"Cultural sites (historical monuments, museums, art galleries or archaeological sites)",All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Slovenia,46.0,46.8,45.8
Annual,At least once,"Cultural sites (historical monuments, museums, art galleries or archaeological sites)",All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Slovakia,60.7,42.3,32.6
Annual,At least once,"Cultural sites (historical monuments, museums, art galleries or archaeological sites)",All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,United Kingdom,49.6,56.7 u,:
Annual,At least once,Sports events,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Austria,46.9,48.0,28.7
Annual,At least once,Sports events,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Belgium,42.6,41.5,34.1
Annual,At least once,Sports events,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Bulgaria,31.3,35.5,16.2
Annual,At least once,Sports events,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Switzerland,:,62.0,48.1
Annual,At least once,Sports events,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Cyprus,44.6,39.5,31.8
Annual,At least once,Sports events,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Czechia,58.4,61.9,17.3
Annual,At least once,Sports events,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Germany,58.8,52.3,: u
Annual,At least once,Sports events,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Denmark,52.5,49.4,40.2
Annual,At least once,Sports events,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Estonia,46.7,48.1,33.1
Annual,At least once,Sports events,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Greece,40.0,43.9,31.1
Annual,At least once,Sports events,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Spain,42.1,42.0,38.7
Annual,At least once,Sports events,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,European Union - 27 countries (from 2020),:,44.9,:
Annual,At least once,Sports events,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Finland,55.2,58.9,34.1
Annual,At least once,Sports events,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,France,40.4,40.0,31.6
Annual,At least once,Sports events,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Croatia,:,51.1,44.5
Annual,At least once,Sports events,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Hungary,36.4,45.5,23.1
Annual,At least once,Sports events,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Ireland,56.1 u,43.2 u,53.7
Annual,At least once,Sports events,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Iceland,52.6,56.9,:
Annual,At least once,Sports events,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Italy,44.9,33.6,26.7
Annual,At least once,Sports events,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Lithuania,44.0,49.0,27.5
Annual,At least once,Sports events,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Luxembourg,51.2,54.4,48.9
Annual,At least once,Sports events,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Latvia,48.9,62.7,27.1
Annual,At least once,Sports events,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,North Macedonia,:,38.1,:
Annual,At least once,Sports events,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Malta,24.4,36.7,23.6
Annual,At least once,Sports events,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Netherlands,47.8 u,62.3,46.5
Annual,At least once,Sports events,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Norway,59.5 u,55.8,42.3
Annual,At least once,Sports events,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Poland,41.2,46.0 u,31.3
Annual,At least once,Sports events,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Portugal,50.1,46.5,43.3
Annual,At least once,Sports events,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Romania,:,28.7,15.7
Annual,At least once,Sports events,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Serbia,:,43.5,33.1
Annual,At least once,Sports events,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Sweden,56.4,54.6,39.7
Annual,At least once,Sports events,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Slovenia,43.1,44.9,26.6
Annual,At least once,Sports events,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Slovakia,70.7,57.9,38.9
Annual,At least once,Sports events,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,United Kingdom,39.1,41.4 u,:
Annual,At least once,"Cultural activities (cinema, live performances or cultural sites)",All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Austria,86.5,88.3,79.0
Annual,At least once,"Cultural activities (cinema, live performances or cultural sites)",All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Belgium,89.3,85.5,76.0
Annual,At least once,"Cultural activities (cinema, live performances or cultural sites)",All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Bulgaria,49.8,52.7,38.3
Annual,At least once,"Cultural activities (cinema, live performances or cultural sites)",All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Switzerland,:,94.1,88.9
Annual,At least once,"Cultural activities (cinema, live performances or cultural sites)",All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Cyprus,80.4,73.8,54.1
Annual,At least once,"Cultural activities (cinema, live performances or cultural sites)",All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Czechia,80.6,88.6,78.3
Annual,At least once,"Cultural activities (cinema, live performances or cultural sites)",All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Germany,90.2,88.4,: u
Annual,At least once,"Cultural activities (cinema, live performances or cultural sites)",All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Denmark,93.4,95.9,86.1
Annual,At least once,"Cultural activities (cinema, live performances or cultural sites)",All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Estonia,85.2,91.9,82.7
Annual,At least once,"Cultural activities (cinema, live performances or cultural sites)",All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Greece,79.9,74.6,65.6
Annual,At least once,"Cultural activities (cinema, live performances or cultural sites)",All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Spain,84.9,81.1,80.4
Annual,At least once,"Cultural activities (cinema, live performances or cultural sites)",All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,European Union - 27 countries (from 2020),:,82.9,:
Annual,At least once,"Cultural activities (cinema, live performances or cultural sites)",All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Finland,60.3,94.8,78.9
Annual,At least once,"Cultural activities (cinema, live performances or cultural sites)",All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,France,88.1,92.3,75.7
Annual,At least once,"Cultural activities (cinema, live performances or cultural sites)",All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Croatia,:,71.2,69.4
Annual,At least once,"Cultural activities (cinema, live performances or cultural sites)",All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Hungary,76.9,75.3,63.2
Annual,At least once,"Cultural activities (cinema, live performances or cultural sites)",All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Ireland,29.9 u,85.7 u,80.2
Annual,At least once,"Cultural activities (cinema, live performances or cultural sites)",All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Iceland,63.0,97.1,:
Annual,At least once,"Cultural activities (cinema, live performances or cultural sites)",All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Italy,83.0,75.2,64.0
Annual,At least once,"Cultural activities (cinema, live performances or cultural sites)",All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Lithuania,80.9,87.1,72.1
Annual,At least once,"Cultural activities (cinema, live performances or cultural sites)",All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Luxembourg,88.1,92.7,89.0
Annual,At least once,"Cultural activities (cinema, live performances or cultural sites)",All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Latvia,79.5,82.3,57.6
Annual,At least once,"Cultural activities (cinema, live performances or cultural sites)",All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,North Macedonia,:,44.9,:
Annual,At least once,"Cultural activities (cinema, live performances or cultural sites)",All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Malta,70.6,72.8,61.9
Annual,At least once,"Cultural activities (cinema, live performances or cultural sites)",All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Netherlands,59.2 u,95.5,86.9
Annual,At least once,"Cultural activities (cinema, live performances or cultural sites)",All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Norway,68.8 u,94.9,86.4
Annual,At least once,"Cultural activities (cinema, live performances or cultural sites)",All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Poland,76.3,78.8 u,76.8
Annual,At least once,"Cultural activities (cinema, live performances or cultural sites)",All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Portugal,85.2,86.8,81.2
Annual,At least once,"Cultural activities (cinema, live performances or cultural sites)",All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Romania,:,49.0,41.9
Annual,At least once,"Cultural activities (cinema, live performances or cultural sites)",All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Serbia,:,56.9,64.4
Annual,At least once,"Cultural activities (cinema, live performances or cultural sites)",All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Sweden,64.5,93.8,76.9
Annual,At least once,"Cultural activities (cinema, live performances or cultural sites)",All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Slovenia,47.1,86.2,72.1
Annual,At least once,"Cultural activities (cinema, live performances or cultural sites)",All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Slovakia,86.0,80.9,61.1
Annual,At least once,"Cultural activities (cinema, live performances or cultural sites)",All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,United Kingdom,86.4,86.6 u,:
