Time frequency,Classification of activities for time use,Level of activity limitation,Sex,Age class,Unit of measure,Geopolitical entity (reporting)\Time,2022.0
Annual,Informal voluntary activities,Some or severe,Total,16 years or over,Percentage,Estonia,10.6
Annual,Informal voluntary activities,Some or severe,Total,16 years or over,Percentage,Greece,4.0
Annual,Informal voluntary activities,Some or severe,Total,16 years or over,Percentage,Spain,6.0
Annual,Informal voluntary activities,Some or severe,Total,16 years or over,Percentage,European Union - 27 countries (from 2020),13.3 e
Annual,Informal voluntary activities,Some or severe,Total,16 years or over,Percentage,France,11.0
Annual,Informal voluntary activities,Some or severe,Total,16 years or over,Percentage,Croatia,5.0
Annual,Informal voluntary activities,Some or severe,Total,16 years or over,Percentage,Hungary,7.8
Annual,Informal voluntary activities,Some or severe,Total,16 years or over,Percentage,Ireland,13.4
Annual,Informal voluntary activities,Some or severe,Total,16 years or over,Percentage,Italy,3.7
Annual,Informal voluntary activities,Some or severe,Total,16 years or over,Percentage,Lithuania,5.2
Annual,Informal voluntary activities,Some or severe,Total,16 years or over,Percentage,Luxembourg,11.9
Annual,Informal voluntary activities,Some or severe,Total,16 years or over,Percentage,Latvia,10.0
Annual,Informal voluntary activities,Some or severe,Total,16 years or over,Percentage,Montenegro,1.5
Annual,Informal voluntary activities,Some or severe,Total,16 years or over,Percentage,Malta,6.7
Annual,Informal voluntary activities,Some or severe,Total,16 years or over,Percentage,Netherlands,66.1
Annual,Informal voluntary activities,Some or severe,Total,16 years or over,Percentage,Norway,74.0
Annual,Informal voluntary activities,Some or severe,Total,16 years or over,Percentage,Poland,18.3
Annual,Informal voluntary activities,Some or severe,Total,16 years or over,Percentage,Portugal,11.1
Annual,Informal voluntary activities,Some or severe,Total,16 years or over,Percentage,Romania,1.5
Annual,Informal voluntary activities,Some or severe,Total,16 years or over,Percentage,Serbia,4.1
Annual,Informal voluntary activities,Some or severe,Total,16 years or over,Percentage,Sweden,42.6
Annual,Informal voluntary activities,Some or severe,Total,16 years or over,Percentage,Slovenia,28.6
Annual,Informal voluntary activities,Some or severe,Total,16 years or over,Percentage,Slovakia,7.5
Annual,Informal voluntary activities,Some or severe,Total,16 years or over,Percentage,Türkiye,2.1
Annual,Active citizenship,Some or severe,Total,16 years or over,Percentage,Austria,9.6
Annual,Active citizenship,Some or severe,Total,16 years or over,Percentage,Belgium,5.1
Annual,Active citizenship,Some or severe,Total,16 years or over,Percentage,Bulgaria,1.1
Annual,Active citizenship,Some or severe,Total,16 years or over,Percentage,Switzerland,26.3
Annual,Active citizenship,Some or severe,Total,16 years or over,Percentage,Cyprus,1.2
Annual,Active citizenship,Some or severe,Total,16 years or over,Percentage,Czechia,4.3
Annual,Active citizenship,Some or severe,Total,16 years or over,Percentage,Germany,: u
Annual,Active citizenship,Some or severe,Total,16 years or over,Percentage,Denmark,10.5
Annual,Active citizenship,Some or severe,Total,16 years or over,Percentage,Euro area – 20 countries (from 2023),8.2 e
Annual,Active citizenship,Some or severe,Total,16 years or over,Percentage,Estonia,5.9
Annual,Active citizenship,Some or severe,Total,16 years or over,Percentage,Greece,3.6
Annual,Active citizenship,Some or severe,Total,16 years or over,Percentage,Spain,5.2
Annual,Active citizenship,Some or severe,Total,16 years or over,Percentage,European Union - 27 countries (from 2020),7.4 e
Annual,Active citizenship,Some or severe,Total,16 years or over,Percentage,France,9.8
Annual,Active citizenship,Some or severe,Total,16 years or over,Percentage,Croatia,2.1
Annual,Active citizenship,Some or severe,Total,16 years or over,Percentage,Hungary,3.2
Annual,Active citizenship,Some or severe,Total,16 years or over,Percentage,Ireland,5.5
Annual,Active citizenship,Some or severe,Total,16 years or over,Percentage,Italy,1.9
Annual,Active citizenship,Some or severe,Total,16 years or over,Percentage,Lithuania,2.5
Annual,Active citizenship,Some or severe,Total,16 years or over,Percentage,Luxembourg,17.9
Annual,Active citizenship,Some or severe,Total,16 years or over,Percentage,Latvia,2.4
Annual,Active citizenship,Some or severe,Total,16 years or over,Percentage,Montenegro,1.8
Annual,Active citizenship,Some or severe,Total,16 years or over,Percentage,Malta,7.1
Annual,Active citizenship,Some or severe,Total,16 years or over,Percentage,Netherlands,17.5
Annual,Active citizenship,Some or severe,Total,16 years or over,Percentage,Norway,41.8
Annual,Active citizenship,Some or severe,Total,16 years or over,Percentage,Poland,2.7
Annual,Active citizenship,Some or severe,Total,16 years or over,Percentage,Portugal,7.0
Annual,Active citizenship,Some or severe,Total,16 years or over,Percentage,Romania,1.1
Annual,Active citizenship,Some or severe,Total,16 years or over,Percentage,Serbia,2.5
Annual,Active citizenship,Some or severe,Total,16 years or over,Percentage,Sweden,19.6
Annual,Active citizenship,Some or severe,Total,16 years or over,Percentage,Slovenia,5.9
Annual,Active citizenship,Some or severe,Total,16 years or over,Percentage,Slovakia,3.9
