Time frequency,Health care,Reason,Unit of measure,Geopolitical entity (reporting)\Time,2017.0,2021.0
Annual,Dental care,Too expensive,Percentage,Luxembourg,: u,: u
Annual,Dental care,Too expensive,Percentage,Latvia,57.8,27.5
Annual,Dental care,Too expensive,Percentage,North Macedonia,25.1,:
Annual,Dental care,Too expensive,Percentage,Malta,: u,: u
Annual,Dental care,Too expensive,Percentage,Netherlands,: u,: u
Annual,Dental care,Too expensive,Percentage,Norway,: u,:
Annual,Dental care,Too expensive,Percentage,Poland,12.7,19.7
Annual,Dental care,Too expensive,Percentage,Portugal,89.2,51.8
Annual,Dental care,Too expensive,Percentage,Romania,67.9,83.3 u
Annual,Dental care,Too expensive,Percentage,Serbia,: u,:
Annual,Dental care,Too expensive,Percentage,Sweden,: u,: u
Annual,Dental care,Too expensive,Percentage,Slovenia,: u,0.0 n
Annual,Dental care,Too expensive,Percentage,Slovakia,78.1 u,: u
Annual,Dental care,Too expensive,Percentage,United Kingdom,: u,:
Annual,Dental care,Too far to travel,Percentage,Austria,: u,: u
Annual,Dental care,Too far to travel,Percentage,Belgium,0.0 n,0.0 n
Annual,Dental care,Too far to travel,Percentage,Bulgaria,5.1 u,: u
Annual,Dental care,Too far to travel,Percentage,Cyprus,0.0 u,0.0 u
Annual,Dental care,Too far to travel,Percentage,Czechia,4.2 u,0.0 u
Annual,Dental care,Too far to travel,Percentage,Germany,: u,:
Annual,Dental care,Too far to travel,Percentage,Denmark,: u,0.0 n
Annual,Dental care,Too far to travel,Percentage,Estonia,4.6 u,0.0 n
Annual,Dental care,Too far to travel,Percentage,Greece,1.8,: u
Annual,Dental care,Too far to travel,Percentage,Spain,0.0 n,0.4
Annual,Dental care,Too far to travel,Percentage,European Union - 27 countries (2007-2013),: u,:
Annual,Dental care,Too far to travel,Percentage,European Union - 27 countries (from 2020),: u,2.3
Annual,Dental care,Too far to travel,Percentage,European Union - 28 countries (2013-2020),: u,:
Annual,Dental care,Too far to travel,Percentage,Finland,: u,0.0 n
Annual,Dental care,Too far to travel,Percentage,France,0.0 u,4.7
Annual,Dental care,Too far to travel,Percentage,Croatia,: u,: u
Annual,Dental care,Too far to travel,Percentage,Hungary,: u,0.0 u
Annual,Dental care,Too far to travel,Percentage,Ireland,:,6.6 u
Annual,Dental care,Too far to travel,Percentage,Italy,0.0 u,0.0 u
Annual,Dental care,Too far to travel,Percentage,Lithuania,: u,0.0 u
Annual,Dental care,Too far to travel,Percentage,Luxembourg,: u,: u
Annual,Dental care,Too far to travel,Percentage,Latvia,1.9,0.6
Annual,Dental care,Too far to travel,Percentage,North Macedonia,0.0 n,:
Annual,Dental care,Too far to travel,Percentage,Malta,: u,: u
Annual,Dental care,Too far to travel,Percentage,Netherlands,: u,: u
Annual,Dental care,Too far to travel,Percentage,Norway,: u,:
Annual,Dental care,Too far to travel,Percentage,Poland,3.4,2.1
Annual,Dental care,Too far to travel,Percentage,Portugal,0.7,0.0 n
Annual,Dental care,Too far to travel,Percentage,Romania,16.0,1.2 u
Annual,Dental care,Too far to travel,Percentage,Serbia,: u,:
Annual,Dental care,Too far to travel,Percentage,Sweden,: u,: u
Annual,Dental care,Too far to travel,Percentage,Slovenia,: u,0.0 n
Annual,Dental care,Too far to travel,Percentage,Slovakia,0.0 u,: u
Annual,Dental care,Too far to travel,Percentage,United Kingdom,: u,:
Annual,Dental care,Waiting list,Percentage,Austria,: u,: u
Annual,Dental care,Waiting list,Percentage,Belgium,0.0 n,10.9
Annual,Dental care,Waiting list,Percentage,Bulgaria,0.0 u,: u
Annual,Dental care,Waiting list,Percentage,Cyprus,0.0 u,0.0 u
Annual,Dental care,Waiting list,Percentage,Czechia,25.4 u,26.4 u
Annual,Dental care,Waiting list,Percentage,Germany,: u,:
Annual,Dental care,Waiting list,Percentage,Denmark,: u,3.6
Annual,Dental care,Waiting list,Percentage,Estonia,20.0 u,64.9
Annual,Dental care,Waiting list,Percentage,Greece,0.0 n,: u
Annual,Dental care,Waiting list,Percentage,Spain,0.0 n,4.8
Annual,Dental care,Waiting list,Percentage,European Union - 27 countries (2007-2013),: u,:
Annual,Dental care,Waiting list,Percentage,European Union - 27 countries (from 2020),: u,14.9
Annual,Dental care,Waiting list,Percentage,European Union - 28 countries (2013-2020),: u,:
Annual,Dental care,Waiting list,Percentage,Finland,: u,70.2
Annual,Dental care,Waiting list,Percentage,France,25.5 u,15.1
Annual,Dental care,Waiting list,Percentage,Croatia,: u,: u
Annual,Dental care,Waiting list,Percentage,Hungary,: u,4.8 u
Annual,Dental care,Waiting list,Percentage,Ireland,:,31.6 u
Annual,Dental care,Waiting list,Percentage,Italy,18.5 u,36.0 u
Annual,Dental care,Waiting list,Percentage,Lithuania,: u,69.3 u
Annual,Dental care,Waiting list,Percentage,Luxembourg,: u,: u
Annual,Dental care,Waiting list,Percentage,Latvia,30.6,41.9
Annual,Dental care,Waiting list,Percentage,North Macedonia,2.0,:
Annual,Dental care,Waiting list,Percentage,Malta,: u,: u
Annual,Dental care,Waiting list,Percentage,Netherlands,: u,: u
Annual,Dental care,Waiting list,Percentage,Norway,: u,:
Annual,Dental care,Waiting list,Percentage,Poland,40.4,15.3
Annual,Dental care,Waiting list,Percentage,Portugal,0.2,0.2
Annual,Dental care,Waiting list,Percentage,Romania,1.5,2.6 u
Annual,Dental care,Waiting list,Percentage,Serbia,: u,:
Annual,Dental care,Waiting list,Percentage,Sweden,: u,: u
Annual,Dental care,Waiting list,Percentage,Slovenia,: u,84.6
Annual,Dental care,Waiting list,Percentage,Slovakia,5.8 u,: u
Annual,Dental care,Waiting list,Percentage,United Kingdom,: u,:
Annual,Medical care,No time,Percentage,Austria,: u,: u
Annual,Medical care,No time,Percentage,Belgium,0.0 u,0.0 n
Annual,Medical care,No time,Percentage,Bulgaria,0.0 u,: u
Annual,Medical care,No time,Percentage,Cyprus,0.0 u,0.0 u
Annual,Medical care,No time,Percentage,Czechia,24.3,16.2
Annual,Medical care,No time,Percentage,Germany,: u,:
Annual,Medical care,No time,Percentage,Denmark,: u,9.4
Annual,Medical care,No time,Percentage,Estonia,0.0 u,5.6 u
Annual,Medical care,No time,Percentage,Greece,1.0,: u
Annual,Medical care,No time,Percentage,Spain,: u,0.3
Annual,Medical care,No time,Percentage,European Union - 27 countries (2007-2013),: u,:
Annual,Medical care,No time,Percentage,European Union - 27 countries (from 2020),: u,3.0
Annual,Medical care,No time,Percentage,European Union - 28 countries (2013-2020),: u,:
Annual,Medical care,No time,Percentage,Finland,: u,0.0 n
Annual,Medical care,No time,Percentage,France,2.8,5.9
Annual,Medical care,No time,Percentage,Croatia,: u,: u
Annual,Medical care,No time,Percentage,Hungary,: u,9.7
Annual,Medical care,No time,Percentage,Ireland,:,0.0 n
Annual,Medical care,No time,Percentage,Italy,2.5,0.0 u
Annual,Medical care,No time,Percentage,Lithuania,: u,1.3 u
Annual,Medical care,No time,Percentage,Luxembourg,: u,: u
Annual,Medical care,No time,Percentage,Latvia,15.5 u,3.8
Annual,Medical care,No time,Percentage,North Macedonia,3.2,:
Annual,Medical care,No time,Percentage,Malta,: u,: u
Annual,Medical care,No time,Percentage,Netherlands,: u,0.0 u
Annual,Medical care,No time,Percentage,Norway,: u,:
Annual,Medical care,No time,Percentage,Poland,2.2,1.0
Annual,Medical care,No time,Percentage,Portugal,0.0 u,0.0 u
Annual,Medical care,No time,Percentage,Romania,4.5,0.0 u
Annual,Medical care,No time,Percentage,Serbia,34.6 u,:
Annual,Medical care,No time,Percentage,Sweden,: u,0.0 n
Annual,Medical care,No time,Percentage,Slovenia,: u,0.0 n
Annual,Medical care,No time,Percentage,Slovakia,: u,0.0 u
Annual,Medical care,No time,Percentage,United Kingdom,0.0 u,:
Annual,Medical care,Other reason,Percentage,Austria,: u,: u
Annual,Medical care,Other reason,Percentage,Belgium,5.7 u,46.1
Annual,Medical care,Other reason,Percentage,Bulgaria,0.0 u,: u
Annual,Medical care,Other reason,Percentage,Switzerland,:,: u
Annual,Medical care,Other reason,Percentage,Cyprus,0.0 u,35.6 u
Annual,Medical care,Other reason,Percentage,Czechia,52.4,71.4
Annual,Medical care,Other reason,Percentage,Germany,: u,:
Annual,Medical care,Other reason,Percentage,Denmark,: u,82.3
Annual,Medical care,Other reason,Percentage,Estonia,24.4 u,58.9 u
Annual,Medical care,Other reason,Percentage,Greece,8.9,: u
Annual,Medical care,Other reason,Percentage,Spain,: u,60.0
Annual,Medical care,Other reason,Percentage,European Union - 27 countries (2007-2013),: u,:
Annual,Medical care,Other reason,Percentage,European Union - 27 countries (from 2020),: u,53.4
Annual,Medical care,Other reason,Percentage,European Union - 28 countries (2013-2020),: u,:
Annual,Medical care,Other reason,Percentage,Finland,: u,43.2
Annual,Medical care,Other reason,Percentage,France,59.3,33.5
Annual,Medical care,Other reason,Percentage,Croatia,: u,: u
Annual,Medical care,Other reason,Percentage,Hungary,: u,78.8
Annual,Medical care,Other reason,Percentage,Ireland,:,37.6
Annual,Medical care,Other reason,Percentage,Italy,0.0 n,12.2 u
Annual,Medical care,Other reason,Percentage,Lithuania,: u,10.5 u
Annual,Medical care,Other reason,Percentage,Luxembourg,: u,: u
Annual,Medical care,Other reason,Percentage,Latvia,4.1 u,52.2
Annual,Medical care,Other reason,Percentage,North Macedonia,17.7,:
Annual,Medical care,Other reason,Percentage,Malta,: u,: u
Annual,Medical care,Other reason,Percentage,Netherlands,: u,85.3 u
Annual,Medical care,Other reason,Percentage,Norway,: u,:
Annual,Medical care,Other reason,Percentage,Poland,12.8,73.2
Annual,Medical care,Other reason,Percentage,Portugal,5.0 u,86.8 u
Annual,Medical care,Other reason,Percentage,Romania,11.1,49.3 u
Annual,Medical care,Other reason,Percentage,Serbia,20.4 u,:
Annual,Medical care,Other reason,Percentage,Sweden,: u,71.2
Annual,Medical care,Other reason,Percentage,Slovenia,: u,23.2
Annual,Medical care,Other reason,Percentage,Slovakia,: u,64.9 u
Annual,Medical care,Other reason,Percentage,United Kingdom,17.2 u,:
Annual,Medical care,Too expensive,Percentage,Austria,: u,: u
Annual,Medical care,Too expensive,Percentage,Belgium,92.1 u,41.7
Annual,Medical care,Too expensive,Percentage,Bulgaria,94.3 u,: u
Annual,Medical care,Too expensive,Percentage,Switzerland,:,: u
Annual,Medical care,Too expensive,Percentage,Cyprus,100.0 u,49.4 u
Annual,Medical care,Too expensive,Percentage,Czechia,8.2,0.0 n
Annual,Medical care,Too expensive,Percentage,Germany,: u,:
Annual,Medical care,Too expensive,Percentage,Denmark,: u,0.0 n
Annual,Medical care,Too expensive,Percentage,Estonia,9.7 u,0.0 u
Annual,Medical care,Too expensive,Percentage,Greece,77.7,: u
Annual,Medical care,Too expensive,Percentage,Spain,: u,12.8
Annual,Medical care,Too expensive,Percentage,European Union - 27 countries (2007-2013),: u,:
Annual,Medical care,Too expensive,Percentage,European Union - 27 countries (from 2020),: u,18.3
Annual,Medical care,Too expensive,Percentage,European Union - 28 countries (2013-2020),: u,:
Annual,Medical care,Too expensive,Percentage,Finland,: u,0.0 n
Annual,Medical care,Too expensive,Percentage,France,18.9,29.1
Annual,Medical care,Too expensive,Percentage,Croatia,: u,: u
Annual,Medical care,Too expensive,Percentage,Hungary,: u,3.0
Annual,Medical care,Too expensive,Percentage,Ireland,:,1.8
Annual,Medical care,Too expensive,Percentage,Italy,86.7,55.0 u
Annual,Medical care,Too expensive,Percentage,Lithuania,: u,5.0 u
Annual,Medical care,Too expensive,Percentage,Luxembourg,: u,: u
Annual,Medical care,Too expensive,Percentage,Latvia,34.1 u,13.7
Annual,Medical care,Too expensive,Percentage,North Macedonia,45.5,:
Annual,Medical care,Too expensive,Percentage,Malta,: u,: u
Annual,Medical care,Too expensive,Percentage,Netherlands,: u,6.2 u
Annual,Medical care,Too expensive,Percentage,Norway,: u,:
Annual,Medical care,Too expensive,Percentage,Poland,7.4,3.3
Annual,Medical care,Too expensive,Percentage,Portugal,81.2 u,8.1 u
Annual,Medical care,Too expensive,Percentage,Romania,62.9,41.2 u
Annual,Medical care,Too expensive,Percentage,Serbia,11.5 u,:
Annual,Medical care,Too expensive,Percentage,Sweden,: u,0.0 n
Annual,Medical care,Too expensive,Percentage,Slovenia,: u,0.0 n
Annual,Medical care,Too expensive,Percentage,Slovakia,: u,2.6 u
Annual,Medical care,Too expensive,Percentage,United Kingdom,0.0 u,:
Annual,Medical care,Too far to travel,Percentage,Austria,: u,: u
Annual,Medical care,Too far to travel,Percentage,Belgium,2.2 u,0.0 n
Annual,Medical care,Too far to travel,Percentage,Bulgaria,5.7 u,: u
Annual,Medical care,Too far to travel,Percentage,Switzerland,:,: u
Annual,Medical care,Too far to travel,Percentage,Cyprus,0.0 u,15.0 u
Annual,Medical care,Too far to travel,Percentage,Czechia,5.4,0.0 n
Annual,Medical care,Too far to travel,Percentage,Germany,: u,:
Annual,Medical care,Too far to travel,Percentage,Denmark,: u,0.0 n
Annual,Medical care,Too far to travel,Percentage,Estonia,0.0 u,6.3 u
Annual,Medical care,Too far to travel,Percentage,Greece,7.2,: u
Annual,Medical care,Too far to travel,Percentage,Spain,: u,0.0 n
Annual,Medical care,Too far to travel,Percentage,European Union - 27 countries (2007-2013),: u,:
Annual,Medical care,Too far to travel,Percentage,European Union - 27 countries (from 2020),: u,1.2
Annual,Medical care,Too far to travel,Percentage,European Union - 28 countries (2013-2020),: u,:
Annual,Medical care,Too far to travel,Percentage,Finland,: u,0.0 n
Annual,Medical care,Too far to travel,Percentage,France,1.4,1.7
Annual,Medical care,Too far to travel,Percentage,Croatia,: u,: u
Annual,Medical care,Too far to travel,Percentage,Hungary,: u,5.5
Annual,Medical care,Too far to travel,Percentage,Ireland,:,0.0 n
Annual,Medical care,Too far to travel,Percentage,Italy,0.0 n,0.0 u
Annual,Medical care,Too far to travel,Percentage,Lithuania,: u,0.0 u
Annual,Medical care,Too far to travel,Percentage,Luxembourg,: u,: u
Annual,Medical care,Too far to travel,Percentage,Latvia,0.0 u,0.0 n
Annual,Medical care,Too far to travel,Percentage,North Macedonia,0.0 n,:
Annual,Medical care,Too far to travel,Percentage,Malta,: u,: u
Annual,Medical care,Too far to travel,Percentage,Netherlands,: u,0.0 u
Annual,Medical care,Too far to travel,Percentage,Norway,: u,:
Annual,Medical care,Too far to travel,Percentage,Poland,4.5,0.0 n
Annual,Medical care,Too far to travel,Percentage,Portugal,0.0 u,0.0 u
Annual,Medical care,Too far to travel,Percentage,Romania,10.6,2.0 u
Annual,Medical care,Too far to travel,Percentage,Serbia,12.8 u,:
Annual,Medical care,Too far to travel,Percentage,Sweden,: u,1.7
Annual,Medical care,Too far to travel,Percentage,Slovenia,: u,0.0 n
Annual,Medical care,Too far to travel,Percentage,Slovakia,: u,9.7 u
Annual,Medical care,Too far to travel,Percentage,United Kingdom,0.0 u,:
Annual,Medical care,Waiting list,Percentage,Austria,: u,: u
Annual,Medical care,Waiting list,Percentage,Belgium,0.0 u,12.2
Annual,Medical care,Waiting list,Percentage,Bulgaria,0.0 u,: u
Annual,Medical care,Waiting list,Percentage,Cyprus,0.0 u,0.0 u
Annual,Medical care,Waiting list,Percentage,Czechia,9.7,12.4
Annual,Medical care,Waiting list,Percentage,Germany,: u,:
Annual,Medical care,Waiting list,Percentage,Denmark,: u,8.3
Annual,Medical care,Waiting list,Percentage,Estonia,65.9 u,29.2 u
Annual,Medical care,Waiting list,Percentage,Greece,5.2,: u
Annual,Medical care,Waiting list,Percentage,Spain,: u,26.9
Annual,Medical care,Waiting list,Percentage,European Union - 27 countries (2007-2013),: u,:
Annual,Medical care,Waiting list,Percentage,European Union - 27 countries (from 2020),: u,24.2
Annual,Medical care,Waiting list,Percentage,European Union - 28 countries (2013-2020),: u,:
Annual,Medical care,Waiting list,Percentage,Finland,: u,56.8
Annual,Medical care,Waiting list,Percentage,France,17.5,29.7
Annual,Medical care,Waiting list,Percentage,Croatia,: u,: u
Annual,Medical care,Waiting list,Percentage,Hungary,: u,3.1
Annual,Medical care,Waiting list,Percentage,Ireland,:,60.6
Annual,Medical care,Waiting list,Percentage,Italy,10.8,32.9 u
Annual,Medical care,Waiting list,Percentage,Lithuania,: u,83.2 u
Annual,Medical care,Waiting list,Percentage,Luxembourg,: u,: u
Annual,Medical care,Waiting list,Percentage,Latvia,46.3 u,30.3
Annual,Medical care,Waiting list,Percentage,North Macedonia,33.6,:
Annual,Medical care,Waiting list,Percentage,Malta,: u,: u
Annual,Medical care,Waiting list,Percentage,Netherlands,: u,8.5 u
Annual,Medical care,Waiting list,Percentage,Norway,: u,:
Annual,Medical care,Waiting list,Percentage,Poland,73.2,22.5
Annual,Medical care,Waiting list,Percentage,Portugal,13.8 u,5.1 u
Annual,Medical care,Waiting list,Percentage,Romania,11.0,7.6 u
Annual,Medical care,Waiting list,Percentage,Serbia,20.7 u,:
Annual,Medical care,Waiting list,Percentage,Sweden,: u,27.0
Annual,Medical care,Waiting list,Percentage,Slovenia,: u,76.8
Annual,Medical care,Waiting list,Percentage,Slovakia,: u,22.9 u
Annual,Medical care,Waiting list,Percentage,United Kingdom,82.8 u,:
