Annual,Percentage of gross domestic product (GDP),Non-consolidated,Loans,Liabilities,Households,Czechia,0.1,-0.9,0.6,-0.1,0.9,0.8,0.9,3.0,1.3,3.6,3.5,3.7,5.8,3.7,2.1,0.8,1.9,1.2,1.4,0.5,1.8,2.2,2.4,2.0,1.9,1.9,2.9,1.5,1.0
Annual,Percentage of gross domestic product (GDP),Non-consolidated,Loans,Liabilities,Households,Germany,3.9,4.1,3.2,3.6,3.9,2.1,0.9,0.7,0.8,0.0,-0.2,-0.2,-0.8,-0.6,-0.2,0.2,0.4,0.6,0.4,0.7,1.2,1.5,1.7,1.9,2.3,2.5,2.7 p,2.1 p,0.3 p
Annual,Percentage of gross domestic product (GDP),Non-consolidated,Loans,Liabilities,Households,Denmark,0.2,4.5,5.1,4.2,5.9,4.9,6.2,5.5,6.3,9.1,11.5,11.3,8.4,6.9,3.0,1.4,0.3,1.7,-0.1,0.6,1.4,1.0,0.6,1.7,1.5,1.2,2.8,1.3,0.4
Annual,Percentage of gross domestic product (GDP),Non-consolidated,Loans,Liabilities,Households,Estonia,0.6,1.9,3.5,-2.8,1.5,2.2,3.2,4.8,6.0,7.4,10.6,14.8,10.9,4.5,-2.0,-1.7,-1.3,0.0,0.2,0.9,2.0,2.4,2.4,2.2,2.7,1.5,2.4,3.5,2.1
Annual,Percentage of gross domestic product (GDP),Non-consolidated,Loans,Liabilities,Households,Greece,1.3,1.5,1.4,1.7,2.2,3.0,4.7,5.2,5.3,6.9,8.2,8.4,8.5,5.6,1.5,-0.7,-2.8,-2.7,-2.0,-2.1,-2.2,-1.7,-1.3,-1.0,-1.4,-1.9,-1.0,-1.0 p,-0.5 p
Annual,Percentage of gross domestic product (GDP),Non-consolidated,Loans,Liabilities,Households,Spain,2.6,3.0,4.3,6.0,6.8,6.8,5.2,7.1,8.9,10.5,12.0,12.7,9.1,3.5,-0.3,0.1,-2.1,-3.5,-3.9,-2.7,-1.6,-1.1,-0.4,0.1,0.0,-0.4,0.7,0.4 p,-0.9 p
Annual,Percentage of gross domestic product (GDP),Non-consolidated,Loans,Liabilities,Households,Finland,-1.5,-1.1,0.4,1.7,2.8,2.5,2.1,2.7,4.0,4.7,6.1,5.3,4.8,3.5,3.0,3.2,3.0,2.9,1.6,1.8,2.2,2.7,2.5,2.9,2.4,3.0,2.6,1.9,-0.3
Annual,Percentage of gross domestic product (GDP),Non-consolidated,Loans,Liabilities,Households,France,:,1.3,1.6,0.9,2.3,2.2,2.1,1.9,2.6,3.1,4.5,4.1,4.8,3.3,1.6,2.7,2.5,1.1,0.9,1.1,1.7,2.5,2.9,3.1,3.5,2.9,3.6,3.2 p,0.8 p
Annual,Percentage of gross domestic product (GDP),Non-consolidated,Loans,Liabilities,Households,Croatia,1.0,1.4,4.1,3.0,1.0,2.3,3.6,6.6,5.5,4.3,5.2,6.3,5.9,4.5,-0.9,1.2,-0.6,-0.5,-0.5,-0.1,-0.8,0.3,1.4,2.0,2.4,0.7,1.5,1.7,2.6 p
Annual,Percentage of gross domestic product (GDP),Non-consolidated,Loans,Liabilities,Households,Hungary,-0.4,-0.2,0.6,0.2,1.1,2.1,2.7,4.6,6.0,4.8,4.6,4.9,5.7,4.8,-0.2,-0.9,-3.4,-3.3,-1.5,-1.0,-3.4,0.2,0.4,0.9,2.4,2.7,2.8,1.1,0.6 p
