Time frequency,Type of assistance provided/needed for disabled persons to work,Sex,Geopolitical entity (reporting)\Time,2002.0
Annual,Assistance with kind of work,Total,Portugal,40.8
Annual,Assistance with kind of work,Total,Romania,37.0
Annual,Assistance with kind of work,Total,Sweden,: u
Annual,Assistance with kind of work,Total,Slovenia,77.9
Annual,Assistance with kind of work,Total,Slovakia,74.6
Annual,Assistance with kind of work,Total,United Kingdom,19.4
Annual,Assistance with amount of work,Females,Austria,: u
Annual,Assistance with amount of work,Females,Belgium,22.6
Annual,Assistance with amount of work,Females,Cyprus,: u
Annual,Assistance with amount of work,Females,Czechia,12.3
Annual,Assistance with amount of work,Females,Denmark,6.4 u
Annual,Assistance with amount of work,Females,Estonia,: u
Annual,Assistance with amount of work,Females,Greece,9.6 u
Annual,Assistance with amount of work,Females,Spain,4.4
Annual,Assistance with amount of work,Females,European Union - 15 countries (1995-2004),23.3
Annual,Assistance with amount of work,Females,European Union - 25 countries (2004-2006),22.6
Annual,Assistance with amount of work,Females,Finland,28.3
Annual,Assistance with amount of work,Females,France,38.5
Annual,Assistance with amount of work,Females,Italy,5.6
Annual,Assistance with amount of work,Females,Lithuania,: u
Annual,Assistance with amount of work,Females,Luxembourg,: u
Annual,Assistance with amount of work,Females,Malta,: u
Annual,Assistance with amount of work,Females,Netherlands,15.6
Annual,Assistance with amount of work,Females,Norway,19.9 u
Annual,Assistance with amount of work,Females,Portugal,: u
Annual,Assistance with amount of work,Females,Romania,32.3
Annual,Assistance with amount of work,Females,Slovenia,6.5 u
Annual,Assistance with amount of work,Females,Slovakia,18.2
Annual,Assistance with amount of work,Females,United Kingdom,17.7
Annual,Assistance with amount of work,Males,Austria,: u
Annual,Assistance with amount of work,Males,Belgium,18.7
Annual,Assistance with amount of work,Males,Cyprus,: u
Annual,Assistance with amount of work,Males,Czechia,8.4
Annual,Assistance with amount of work,Males,Denmark,14.1 u
Annual,Assistance with amount of work,Males,Greece,8.7 u
Annual,Assistance with amount of work,Males,Spain,2.5 u
Annual,Assistance with amount of work,Males,European Union - 15 countries (1995-2004),17.7
Annual,Assistance with amount of work,Males,European Union - 25 countries (2004-2006),17.0
Annual,Assistance with amount of work,Males,Finland,23.3
Annual,Assistance with amount of work,Males,France,29.3
Annual,Assistance with amount of work,Males,Italy,3.7 u
Annual,Assistance with amount of work,Males,Lithuania,: u
Annual,Assistance with amount of work,Males,Luxembourg,: u
Annual,Assistance with amount of work,Males,Malta,: u
Annual,Assistance with amount of work,Males,Netherlands,18.9
Annual,Assistance with amount of work,Males,Norway,15.4 u
Annual,Assistance with amount of work,Males,Portugal,: u
Annual,Assistance with amount of work,Males,Romania,30.0
Annual,Assistance with amount of work,Males,Slovenia,5.4 u
Annual,Assistance with amount of work,Males,Slovakia,8.3
Annual,Assistance with amount of work,Males,United Kingdom,15.6
Annual,Assistance with amount of work,Total,Austria,6.9
Annual,Assistance with amount of work,Total,Belgium,20.8
Annual,Assistance with amount of work,Total,Cyprus,: u
Annual,Assistance with amount of work,Total,Czechia,10.4
Annual,Assistance with amount of work,Total,Denmark,9.4
Annual,Assistance with amount of work,Total,Estonia,: u
Annual,Assistance with amount of work,Total,Greece,9.2
Annual,Assistance with amount of work,Total,Spain,3.4
Annual,Assistance with amount of work,Total,European Union - 15 countries (1995-2004),20.6
Annual,Assistance with amount of work,Total,European Union - 25 countries (2004-2006),19.9
Annual,Assistance with amount of work,Total,Finland,26.0
Annual,Assistance with amount of work,Total,France,34.6
Annual,Assistance with amount of work,Total,Italy,4.8
Annual,Assistance with amount of work,Total,Lithuania,31.4
Annual,Assistance with amount of work,Total,Luxembourg,: u
Annual,Assistance with amount of work,Total,Malta,: u
Annual,Assistance with amount of work,Total,Netherlands,16.7
Annual,Assistance with amount of work,Total,Norway,17.4 u
Annual,Assistance with amount of work,Total,Portugal,7.2 u
Annual,Assistance with amount of work,Total,Romania,31.4
Annual,Assistance with amount of work,Total,Slovenia,5.9
Annual,Assistance with amount of work,Total,Slovakia,13.3
Annual,Assistance with amount of work,Total,United Kingdom,16.6
Annual,Assistance with mobility to get to and from work,Females,Austria,13.1
Annual,Assistance with mobility to get to and from work,Females,Belgium,6.8 u
Annual,Assistance with mobility to get to and from work,Females,Cyprus,: u
Annual,Assistance with mobility to get to and from work,Females,Czechia,10.8
Annual,Assistance with mobility to get to and from work,Females,Denmark,: u
Annual,Assistance with mobility to get to and from work,Females,Estonia,: u
Annual,Assistance with mobility to get to and from work,Females,Greece,: u
Annual,Assistance with mobility to get to and from work,Females,Spain,2.9 u
Annual,Assistance with mobility to get to and from work,Females,European Union - 15 countries (1995-2004),10.8
Annual,Assistance with mobility to get to and from work,Females,European Union - 25 countries (2004-2006),10.5
Annual,Assistance with mobility to get to and from work,Females,Finland,: u
Annual,Assistance with mobility to get to and from work,Females,France,7.0
Annual,Assistance with mobility to get to and from work,Females,Italy,22.8
Annual,Assistance with mobility to get to and from work,Females,Lithuania,: u
Annual,Assistance with mobility to get to and from work,Females,Malta,: u
Annual,Assistance with mobility to get to and from work,Females,Netherlands,4.5 u
Annual,Assistance with mobility to get to and from work,Females,Portugal,: u
Annual,Assistance with mobility to get to and from work,Females,Romania,4.5
Annual,Assistance with mobility to get to and from work,Females,Slovenia,: u
Annual,Assistance with mobility to get to and from work,Females,Slovakia,: u
Annual,Assistance with mobility to get to and from work,Females,United Kingdom,18.2
Annual,Assistance with mobility to get to and from work,Males,Austria,: u
Annual,Assistance with mobility to get to and from work,Males,Belgium,: u
Annual,Assistance with mobility to get to and from work,Males,Cyprus,: u
Annual,Assistance with mobility to get to and from work,Males,Czechia,8.1
Annual,Assistance with mobility to get to and from work,Males,Denmark,: u
Annual,Assistance with mobility to get to and from work,Males,Estonia,: u
Annual,Assistance with mobility to get to and from work,Males,Greece,: u
Annual,Assistance with mobility to get to and from work,Males,Spain,2.1 u
Annual,Assistance with mobility to get to and from work,Males,European Union - 15 countries (1995-2004),9.9
Annual,Assistance with mobility to get to and from work,Males,European Union - 25 countries (2004-2006),9.5
Annual,Assistance with mobility to get to and from work,Males,Finland,: u
Annual,Assistance with mobility to get to and from work,Males,France,5.4
Annual,Assistance with mobility to get to and from work,Males,Italy,17.1
Annual,Assistance with mobility to get to and from work,Males,Lithuania,: u
Annual,Assistance with mobility to get to and from work,Males,Luxembourg,: u
Annual,Assistance with mobility to get to and from work,Males,Netherlands,: u
Annual,Assistance with mobility to get to and from work,Males,Norway,: u
Annual,Assistance with mobility to get to and from work,Males,Portugal,: u
Annual,Assistance with mobility to get to and from work,Males,Romania,8.2
Annual,Assistance with mobility to get to and from work,Males,Slovenia,: u
Annual,Assistance with mobility to get to and from work,Males,Slovakia,: u
Annual,Assistance with mobility to get to and from work,Males,United Kingdom,16.2
Annual,Assistance with mobility to get to and from work,Total,Austria,10.1
Annual,Assistance with mobility to get to and from work,Total,Belgium,5.7
Annual,Assistance with mobility to get to and from work,Total,Cyprus,14.8 u
Annual,Assistance with mobility to get to and from work,Total,Czechia,9.4
Annual,Assistance with mobility to get to and from work,Total,Denmark,4.3 u
Annual,Assistance with mobility to get to and from work,Total,Estonia,: u
Annual,Assistance with mobility to get to and from work,Total,Greece,4.4 u
Annual,Assistance with mobility to get to and from work,Total,Spain,2.5
Annual,Assistance with mobility to get to and from work,Total,European Union - 15 countries (1995-2004),10.3
Annual,Assistance with mobility to get to and from work,Total,European Union - 25 countries (2004-2006),10.0
Annual,Assistance with mobility to get to and from work,Total,Finland,: u
Annual,Assistance with mobility to get to and from work,Total,France,6.3
Annual,Assistance with mobility to get to and from work,Total,Italy,20.2
Annual,Assistance with mobility to get to and from work,Total,Lithuania,: u
Annual,Assistance with mobility to get to and from work,Total,Luxembourg,: u
Annual,Assistance with mobility to get to and from work,Total,Malta,: u
Annual,Assistance with mobility to get to and from work,Total,Netherlands,3.7 u
Annual,Assistance with mobility to get to and from work,Total,Norway,: u
Annual,Assistance with mobility to get to and from work,Total,Portugal,: u
Annual,Assistance with mobility to get to and from work,Total,Romania,6.0
Annual,Assistance with mobility to get to and from work,Total,Slovenia,: u
Annual,Assistance with mobility to get to and from work,Total,Slovakia,: u
Annual,Assistance with mobility to get to and from work,Total,United Kingdom,17.1
Annual,Assistance with mobility at work,Females,Belgium,: u
Annual,Assistance with mobility at work,Females,Cyprus,: u
Annual,Assistance with mobility at work,Females,Czechia,12.3
Annual,Assistance with mobility at work,Females,Denmark,9.7 u
Annual,Assistance with mobility at work,Females,Greece,16.3
Annual,Assistance with mobility at work,Females,Spain,10.2
Annual,Assistance with mobility at work,Females,European Union - 15 countries (1995-2004),6.8
Annual,Assistance with mobility at work,Females,European Union - 25 countries (2004-2006),6.7
Annual,Assistance with mobility at work,Females,Finland,: u
Annual,Assistance with mobility at work,Females,France,2.3
Annual,Assistance with mobility at work,Females,Italy,3.8 u
Annual,Assistance with mobility at work,Females,Lithuania,: u
Annual,Assistance with mobility at work,Females,Netherlands,3.2 u
Annual,Assistance with mobility at work,Females,Norway,: u
Annual,Assistance with mobility at work,Females,Portugal,: u
Annual,Assistance with mobility at work,Females,Romania,: u
Annual,Assistance with mobility at work,Females,Slovenia,: u
Annual,Assistance with mobility at work,Females,Slovakia,: u
Annual,Assistance with mobility at work,Females,United Kingdom,13.5
Annual,Assistance with mobility at work,Males,Austria,: u
Annual,Assistance with mobility at work,Males,Belgium,: u
Annual,Assistance with mobility at work,Males,Cyprus,: u
Annual,Assistance with mobility at work,Males,Czechia,10.1
Annual,Assistance with mobility at work,Males,Denmark,: u
Annual,Assistance with mobility at work,Males,Estonia,: u
Annual,Assistance with mobility at work,Males,Greece,10.0 u
Annual,Assistance with mobility at work,Males,Spain,10.9
Annual,Assistance with mobility at work,Males,European Union - 15 countries (1995-2004),8.0
Annual,Assistance with mobility at work,Males,European Union - 25 countries (2004-2006),7.8
Annual,Assistance with mobility at work,Males,Finland,: u
Annual,Assistance with mobility at work,Males,France,1.5
Annual,Assistance with mobility at work,Males,Italy,3.4 u
Annual,Assistance with mobility at work,Males,Lithuania,: u
Annual,Assistance with mobility at work,Males,Malta,: u
Annual,Assistance with mobility at work,Males,Netherlands,7.1 u
Annual,Assistance with mobility at work,Males,Norway,: u
Annual,Assistance with mobility at work,Males,Portugal,: u
Annual,Assistance with mobility at work,Males,Romania,: u
Annual,Assistance with mobility at work,Males,Sweden,: u
Annual,Assistance with mobility at work,Males,Slovenia,: u
Annual,Assistance with mobility at work,Males,Slovakia,: u
Annual,Assistance with mobility at work,Males,United Kingdom,14.1
Annual,Assistance with mobility at work,Total,Austria,: u
Annual,Assistance with mobility at work,Total,Belgium,2.9 u
Annual,Assistance with mobility at work,Total,Cyprus,: u
Annual,Assistance with mobility at work,Total,Czechia,11.2
Annual,Assistance with mobility at work,Total,Denmark,7.9
Annual,Assistance with mobility at work,Total,Estonia,: u
Annual,Assistance with mobility at work,Total,Greece,13.1
Annual,Assistance with mobility at work,Total,Spain,10.6
Annual,Assistance with mobility at work,Total,European Union - 15 countries (1995-2004),7.4
Annual,Assistance with mobility at work,Total,European Union - 25 countries (2004-2006),7.3
Annual,Assistance with mobility at work,Total,Finland,: u
Annual,Assistance with mobility at work,Total,France,2.0
Annual,Assistance with mobility at work,Total,Italy,3.6
Annual,Assistance with mobility at work,Total,Lithuania,: u
Annual,Assistance with mobility at work,Total,Malta,: u
Annual,Assistance with mobility at work,Total,Netherlands,4.6
Annual,Assistance with mobility at work,Total,Norway,13.3 u
Annual,Assistance with mobility at work,Total,Portugal,: u
Annual,Assistance with mobility at work,Total,Romania,: u
Annual,Assistance with mobility at work,Total,Sweden,: u
Annual,Assistance with mobility at work,Total,Slovenia,1.6 u
Annual,Assistance with mobility at work,Total,Slovakia,2.8
Annual,Assistance with mobility at work,Total,United Kingdom,13.8
Annual,Support and understanding by superiors and colleagues,Females,Austria,10.8
Annual,Support and understanding by superiors and colleagues,Females,Belgium,: u
Annual,Support and understanding by superiors and colleagues,Females,Cyprus,: u
Annual,Support and understanding by superiors and colleagues,Females,Czechia,8.9
Annual,Support and understanding by superiors and colleagues,Females,Denmark,10.7
Annual,Support and understanding by superiors and colleagues,Females,Estonia,: u
Annual,Support and understanding by superiors and colleagues,Females,Greece,20.8
Annual,Support and understanding by superiors and colleagues,Females,Spain,8.1
Annual,Support and understanding by superiors and colleagues,Females,European Union - 15 countries (1995-2004),13.9
Annual,Support and understanding by superiors and colleagues,Females,European Union - 25 countries (2004-2006),13.4
Annual,Support and understanding by superiors and colleagues,Females,Finland,10.8
Annual,Support and understanding by superiors and colleagues,Females,France,15.8
Annual,Support and understanding by superiors and colleagues,Females,Italy,6.6
Annual,Support and understanding by superiors and colleagues,Females,Lithuania,: u
Annual,Support and understanding by superiors and colleagues,Females,Malta,: u
Annual,Support and understanding by superiors and colleagues,Females,Norway,: u
Annual,Support and understanding by superiors and colleagues,Females,Portugal,12.5 u
Annual,Support and understanding by superiors and colleagues,Females,Romania,14.1
Annual,Support and understanding by superiors and colleagues,Females,Slovenia,: u
Annual,Support and understanding by superiors and colleagues,Females,Slovakia,: u
Annual,Support and understanding by superiors and colleagues,Females,United Kingdom,19.1
Annual,Support and understanding by superiors and colleagues,Males,Austria,14.0
Annual,Support and understanding by superiors and colleagues,Males,Belgium,6.6 u
Annual,Support and understanding by superiors and colleagues,Males,Czechia,12.5
Annual,Support and understanding by superiors and colleagues,Males,Denmark,: u
Annual,Support and understanding by superiors and colleagues,Males,Greece,24.4
Annual,Support and understanding by superiors and colleagues,Males,Spain,6.8
Annual,Support and understanding by superiors and colleagues,Males,European Union - 15 countries (1995-2004),14.5
Annual,Support and understanding by superiors and colleagues,Males,European Union - 25 countries (2004-2006),14.0
Annual,Support and understanding by superiors and colleagues,Males,Finland,10.1 u
Annual,Support and understanding by superiors and colleagues,Males,France,14.2
Annual,Support and understanding by superiors and colleagues,Males,Italy,7.8
Annual,Support and understanding by superiors and colleagues,Males,Lithuania,: u
Annual,Support and understanding by superiors and colleagues,Males,Malta,: u
Annual,Support and understanding by superiors and colleagues,Males,Norway,: u
Annual,Support and understanding by superiors and colleagues,Males,Portugal,17.4 u
Annual,Support and understanding by superiors and colleagues,Males,Romania,5.4
Annual,Support and understanding by superiors and colleagues,Males,Slovenia,2.8 u
Annual,Support and understanding by superiors and colleagues,Males,Slovakia,: u
Annual,Support and understanding by superiors and colleagues,Males,United Kingdom,19.4
Annual,Support and understanding by superiors and colleagues,Total,Austria,12.4
Annual,Support and understanding by superiors and colleagues,Total,Belgium,3.9 u
Annual,Support and understanding by superiors and colleagues,Total,Cyprus,: u
Annual,Support and understanding by superiors and colleagues,Total,Czechia,10.7
Annual,Support and understanding by superiors and colleagues,Total,Denmark,9.6
Annual,Support and understanding by superiors and colleagues,Total,Estonia,: u
Annual,Support and understanding by superiors and colleagues,Total,Greece,22.6
Annual,Support and understanding by superiors and colleagues,Total,Spain,7.4
Annual,Support and understanding by superiors and colleagues,Total,European Union - 15 countries (1995-2004),14.2
Annual,Support and understanding by superiors and colleagues,Total,European Union - 25 countries (2004-2006),13.7
Annual,Support and understanding by superiors and colleagues,Total,Finland,10.5
Annual,Support and understanding by superiors and colleagues,Total,France,15.1
Annual,Support and understanding by superiors and colleagues,Total,Italy,7.2
Annual,Support and understanding by superiors and colleagues,Total,Lithuania,: u
Annual,Support and understanding by superiors and colleagues,Total,Malta,: u
Annual,Support and understanding by superiors and colleagues,Total,Norway,9.7 u
Annual,Support and understanding by superiors and colleagues,Total,Portugal,14.8
Annual,Support and understanding by superiors and colleagues,Total,Romania,10.5
Annual,Support and understanding by superiors and colleagues,Total,Slovenia,2.5 u
Annual,Support and understanding by superiors and colleagues,Total,Slovakia,4.0
Annual,Support and understanding by superiors and colleagues,Total,United Kingdom,19.3
Annual,Other,Females,Austria,34.7
Annual,Other,Females,Belgium,: u
Annual,Other,Females,Czechia,22.0
Annual,Other,Females,Denmark,26.8
Annual,Other,Females,Greece,15.8
Annual,Other,Females,Spain,19.2
Annual,Other,Females,European Union - 15 countries (1995-2004),16.2
Annual,Other,Females,European Union - 25 countries (2004-2006),15.8
Annual,Other,Females,Finland,9.4
Annual,Other,Females,France,6.6
Annual,Other,Females,Italy,34.8
Annual,Other,Females,Lithuania,: u
Annual,Other,Females,Luxembourg,: u
Annual,Other,Females,Malta,: u
Annual,Other,Females,Netherlands,51.2
Annual,Other,Females,Portugal,25.5
Annual,Other,Females,Romania,10.5
Annual,Other,Females,Sweden,: u
Annual,Other,Females,Slovenia,10.1
Annual,Other,Females,Slovakia,: u
Annual,Other,Females,United Kingdom,14.1
Annual,Other,Males,Austria,28.8
Annual,Other,Males,Czechia,25.8
Annual,Other,Males,Denmark,31.3
Annual,Other,Males,Greece,18.1
Annual,Other,Males,Spain,20.3
Annual,Other,Males,European Union - 15 countries (1995-2004),15.9
Annual,Other,Males,European Union - 25 countries (2004-2006),15.7
Annual,Other,Males,Finland,15.7
Annual,Other,Males,France,8.7
Annual,Other,Males,Italy,41.0
Annual,Other,Males,Luxembourg,: u
Annual,Other,Males,Malta,: u
Annual,Other,Males,Netherlands,35.1
Annual,Other,Males,Portugal,28.7
Annual,Other,Males,Romania,18.6
Annual,Other,Males,Slovenia,12.3
Annual,Other,Males,Slovakia,: u
Annual,Other,Males,United Kingdom,13.6
Annual,Other,Total,Austria,31.6
Annual,Other,Total,Belgium,: u
Annual,Other,Total,Czechia,23.9
Annual,Other,Total,Denmark,28.6
Annual,Other,Total,Greece,17.0
Annual,Other,Total,Spain,19.8
Annual,Other,Total,European Union - 15 countries (1995-2004),16.1
Annual,Other,Total,European Union - 25 countries (2004-2006),15.7
Annual,Other,Total,Finland,12.2
Annual,Other,Total,France,7.5
Annual,Other,Total,Italy,37.7
Annual,Other,Total,Lithuania,: u
Annual,Other,Total,Luxembourg,: u
Annual,Other,Total,Malta,: u
Annual,Other,Total,Netherlands,45.5
Annual,Other,Total,Portugal,27.0
Annual,Other,Total,Romania,13.8
Annual,Other,Total,Sweden,: u
Annual,Other,Total,Slovenia,11.2
Annual,Other,Total,Slovakia,3.1
Annual,Other,Total,United Kingdom,13.8
