Time frequency,Unit of measure,Geopolitical entity (reporting)\Time,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Rate,Bayern,0.9 d,0.9 d,0.9 d,:,:,: d,: d,0.8 d,0.8 d,0.9 d
Annual,Rate,Berlin,1.4 d,1.4 d,1.4 d,:,:,: d,: d,1.5 d,: d,: d
Annual,Rate,Brandenburg,0.7 d,0.6 d,0.6 d,:,:,: d,: d,0.6 d,: d,: d
Annual,Rate,Bremen,1.6 d,1.6 d,1.5 d,:,:,: d,: d,1.4 d,: d,: d
Annual,Rate,Hamburg,1.6 d,1.6 d,1.6 d,:,:,: d,: d,1.6 d,: d,: d
Annual,Rate,Hessen,1.1 d,1.2 d,1.2 d,:,:,: d,: d,1.2 d,: d,: d
Annual,Rate,Mecklenburg-Vorpommern,0.8 d,0.7 d,0.7 d,:,:,: d,: d,0.6 d,: d,: d
Annual,Rate,Niedersachsen,0.7 d,0.7 d,0.7 d,:,:,: d,: d,0.7 d,: d,: d
Annual,Rate,Nordrhein-Westfalen,1.2 d,1.2 d,1.2 d,:,:,: d,: d,1.2 d,1.2 d,1.2 d
Annual,Rate,Rheinland-Pfalz,1.0 d,1.0 d,0.9 d,:,:,: d,: d,0.8 d,0.8 d,0.8 d
Annual,Rate,Saarland,0.9 d,0.9 d,0.9 d,:,:,: d,: d,0.9 d,0.9 d,1.0 d
Annual,Rate,Sachsen,1.0 d,0.9 d,0.9 d,:,:,: d,: d,0.8 d,: d,: d
Annual,Rate,Sachsen-Anhalt,0.8 d,0.8 d,0.7 d,:,:,: d,: d,0.7 d,: d,: d
Annual,Rate,Schleswig-Holstein,0.7 d,0.6 d,0.6 d,:,:,: d,: d,0.6 d,: d,: d
Annual,Rate,Thüringen,0.8 d,0.8 d,0.7 d,:,:,: d,: d,1.0 d,: d,: d
Annual,Rate,Denmark,:,:,1.0,:,1.0,1.0,1.0,1.0,1.0,1.0
Annual,Rate,Danmark,1.0,1.0,1.0,:,1.0,1.0,1.0,1.0,1.0,1.0
Annual,Rate,Hovedstaden,1.4,1.3,1.3,:,1.3,1.3,1.3,1.3,1.3,1.3
Annual,Rate,Sjælland,0.5,0.5,0.5,:,0.5,0.5,0.5,0.5,0.5,0.5
Annual,Rate,Syddanmark,0.8,0.8,0.8,:,0.8,0.8,0.8,0.8,0.8,0.8
Annual,Rate,Midtjylland,1.1,1.1,1.0,:,1.0,1.0,1.0,1.0,1.0,1.0
Annual,Rate,Nordjylland,0.9,0.9,0.9,:,1.0,1.0,1.0,1.0,1.0,1.0
Annual,Rate,Estonia,:,1.0,1.0 b,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Annual,Rate,Eesti,:,1.0,1.0 b,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Annual,Rate,Eesti,:,1.0,1.0 b,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Annual,Rate,Greece,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Annual,Rate,Attiki,1.0,1.0,1.1,1.1,1.1,1.0,1.0,1.0,1.0,0.9
Annual,Rate,Attiki,1.0,1.0,1.1,1.1,1.1,1.0,1.0,1.0,1.0,0.9
Annual,Rate,"Nisia Aigaiou, Kriti",0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.9
Annual,Rate,Voreio Aigaio,0.9,0.9,1.0,1.0,0.9,0.9,0.9,0.9,0.9,1.1
Annual,Rate,Notio Aigaio,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3
Annual,Rate,Kriti,1.1,1.0,1.1,1.1,1.0,1.0,1.1,1.2,1.1,1.1
Annual,Rate,Voreia Elláda,1.2,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.2
Annual,Rate,"Anatoliki Makedonia, Thraki",1.0,0.9,0.9,0.9,0.9,1.0,1.0,0.9,1.0,1.0
Annual,Rate,Kentriki Makedonia,1.1,1.1,1.0,1.0,1.0,1.0,1.0,1.0,1.1,1.1
Annual,Rate,Dytiki Makedonia,1.5,1.5,1.5,1.6,1.3,1.5,1.5,1.4,1.6,1.9
Annual,Rate,Ipeiros,1.4,1.4,1.3,1.4,1.4,1.4,1.4,1.4,1.5,1.4
Annual,Rate,Kentriki Elláda,0.9,0.9,0.9,0.9,0.9,0.9,1.0,0.9,0.9,1.0
Annual,Rate,Thessalia,0.7,0.6,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8
Annual,Rate,Ionia Nisia,0.7,0.6,0.7,0.7,0.7,0.8,0.7,0.7,0.8,0.8
Annual,Rate,Dytiki Elláda,2.0,2.1,2.0,1.9,2.0,2.1,2.1,2.0,1.9,1.9
Annual,Rate,Sterea Elláda,0.6,0.6,0.6,0.5,0.5,0.5,0.6,0.5,0.6,0.6
Annual,Rate,Peloponnisos,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.5
Annual,Rate,Spain,:,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Annual,Rate,Noroeste,0.9,0.9,0.9,0.9,0.8,0.8,0.8,0.8,0.8,0.8
Annual,Rate,Galicia,0.9,0.9,0.9,0.9,0.8,0.8,0.8,0.8,0.8,0.8
Annual,Rate,Principado de Asturias,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.7
Annual,Rate,Cantabria,0.8,0.8,0.8,0.8,0.8,0.9,0.9,0.9,0.9,0.9
Annual,Rate,Noreste,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1,1.1,1.1
Annual,Rate,País Vasco,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
Annual,Rate,Comunidad Foral de Navarra,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
Annual,Rate,La Rioja,1.5,1.8,1.9,2.1,2.3,2.3,2.5,3.0,3.6,4.1
Annual,Rate,Aragón,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
Annual,Rate,Comunidad de Madrid,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
Annual,Rate,Comunidad de Madrid,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
Annual,Rate,Centro (ES),0.9,0.9,0.9,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Annual,Rate,Castilla y León,1.1,1.1,1.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Annual,Rate,Castilla-La Mancha,0.6,0.7,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
Annual,Rate,Extremadura,0.8,0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.6
Annual,Rate,Este,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Annual,Rate,Cataluña,1.0,1.0,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.2
Annual,Rate,Comunitat Valenciana,1.1,1.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Annual,Rate,Illes Balears,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Annual,Rate,Sur,1.0,1.0,1.0,1.0,0.9,0.9,0.9,0.9,0.9,0.9
Annual,Rate,Andalucía,1.0,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
Annual,Rate,Región de Murcia,1.1,1.0,1.1,1.1,1.1,1.1,1.1,1.0,1.0,1.0
Annual,Rate,Ciudad de Ceuta,0.8,0.8,0.8,0.8,0.7,0.7,0.7,0.7,0.7,0.7
Annual,Rate,Ciudad de Melilla,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.8
Annual,Rate,Canarias,0.8,0.8,0.8,0.8,0.7,0.7,0.7,0.7,0.7,0.7
Annual,Rate,Canarias,0.8,0.8,0.8,0.8,0.7,0.7,0.7,0.7,0.7,0.7
Annual,Rate,European Union - 27 countries (from 2020),:,:,:,:,:,1.0 d,1.0 d,1.0 d,1.0 d,1.0 d
Annual,Rate,European Union - 28 countries (2013-2020),:,:,:,:,:,1.0 d,1.0 d,:,:,:
Annual,Rate,Finland,:,:,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Annual,Rate,Manner-Suomi,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Annual,Rate,Länsi-Suomi,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1
Annual,Rate,Helsinki-Uusimaa,1.1,1.1,1.1,1.1,1.1,1.0,1.0,1.0,1.0,1.0
Annual,Rate,Etelä-Suomi,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
Annual,Rate,Pohjois- ja Itä-Suomi,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Annual,Rate,Åland,0.4,0.4,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.3
Annual,Rate,Åland,0.4,0.4,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.3
Annual,Rate,France,1.0,1.0 b,1.0,1.0,1.0,1.0 p,1.0 p,1.0 p,1.0 p,1.0 p
Annual,Rate,Ile de France,1.4,1.4 b,1.4,1.4,1.4,1.5 p,1.5 p,1.4 p,1.4 p,1.5 p
Annual,Rate,Ile de France,1.4,1.4 b,1.4,1.4,1.4,1.5 p,1.5 p,1.4 p,1.4 p,1.5 p
Annual,Rate,Centre — Val de Loire,0.6,0.6 b,0.6,0.6,0.6,0.6 p,0.6 p,0.6 p,0.7 p,0.7 p
Annual,Rate,Centre — Val de Loire,0.6,0.6 b,0.6,0.6,0.6,0.6 p,0.6 p,0.6 p,0.7 p,0.7 p
Annual,Rate,Bourgogne-Franche-Comté,0.8,0.8 b,0.8,0.8,0.7,0.7 p,0.7 p,0.7 p,0.7 p,0.7 p
Annual,Rate,Bourgogne,0.7,0.7 b,0.7,0.7,0.7,0.7 p,0.7 p,0.7 p,0.7 p,0.7 p
Annual,Rate,Franche-Comté,0.8,0.8 b,0.8,0.8,0.8,0.8 p,0.8 p,0.8 p,0.8 p,0.7 p
Annual,Rate,Normandie,0.8,0.8 b,0.8,0.8,0.8,0.8 p,0.8 p,0.9 p,0.9 p,0.8 p
Annual,Rate,Basse-Normandie,0.7,0.7 b,0.7,0.7,0.8,0.7 p,0.7 p,0.7 p,0.7 p,0.7 p
Annual,Rate,Haute-Normandie,0.8,0.8 b,0.9,0.9,0.9,0.9 p,0.9 p,0.9 p,1.0 p,0.9 p
Annual,Rate,Hauts-de-France,0.9,0.9 b,0.9,0.9,1.0,1.0 p,1.0 p,1.0 p,1.0 p,1.0 p
Annual,Rate,Nord-Pas de Calais,1.1,1.1 b,1.1,1.1,1.1,1.1 p,1.1 p,1.1 p,1.2 p,1.1 p
Annual,Rate,Picardie,0.7,0.7 b,0.7,0.7,0.7,0.7 p,0.7 p,0.7 p,0.7 p,0.7 p
Annual,Rate,Grand Est,0.9,0.9 b,1.0,1.0,1.0,0.9 p,0.9 p,0.9 p,0.9 p,0.9 p
Annual,Rate,Alsace,1.0,1.0 b,1.1,1.1,1.1,1.1 p,1.1 p,1.1 p,1.0 p,1.0 p
Annual,Rate,Champagne-Ardenne,0.8,0.9 b,0.9,0.9,0.9,0.7 p,0.8 p,0.8 p,0.8 p,0.8 p
Annual,Rate,Lorraine,0.9,0.9 b,0.9,0.9,0.9,0.9 p,0.9 p,0.9 p,0.9 p,0.9 p
Annual,Rate,Pays de la Loire,0.9,0.9 b,0.9,0.9,0.9,0.9 p,0.9 p,0.9 p,0.9 p,0.9 p
Annual,Rate,Pays de la Loire,0.9,0.9 b,0.9,0.9,0.9,0.9 p,0.9 p,0.9 p,0.9 p,0.9 p
Annual,Rate,Bretagne,1.0,1.0 b,1.0,1.0,1.0,0.9 p,0.9 p,0.9 p,1.0 p,1.0 p
Annual,Rate,Bretagne,1.0,1.0 b,1.0,1.0,1.0,0.9 p,0.9 p,0.9 p,1.0 p,1.0 p
Annual,Rate,Nouvelle-Aquitaine,0.8,0.9 b,0.9,0.9,0.9,0.9 p,0.9 p,0.9 p,0.9 p,0.9 p
Annual,Rate,Aquitaine,0.9,0.9 b,0.9,0.9,0.9,1.0 p,1.0 p,1.0 p,1.0 p,0.9 p
Annual,Rate,Limousin,0.8,0.8 b,0.8,0.8,0.8,0.8 p,0.8 p,0.8 p,0.8 p,0.8 p
Annual,Rate,Poitou-Charentes,0.7,0.7 b,0.8,0.8,0.8,0.8 p,0.7 p,0.7 p,0.7 p,0.7 p
Annual,Rate,Occitanie,1.1,1.1 b,1.1,1.1,1.1,1.0 p,1.0 p,1.0 p,1.0 p,1.0 p
Annual,Rate,Languedoc-Roussillon,1.0,1.0 b,1.0,1.0,1.0,1.0 p,1.0 p,1.0 p,1.0 p,1.0 p
Annual,Rate,Midi-Pyrénées,1.1,1.1 b,1.1,1.1,1.1,1.1 p,1.1 p,1.1 p,1.1 p,1.1 p
Annual,Rate,Auvergne-Rhône-Alpes,1.1,1.1 b,1.1,1.1,1.1,1.1 p,1.1 p,1.1 p,1.0 p,1.1 p
Annual,Rate,Auvergne,0.9,0.9 b,0.9,0.9,0.9,0.9 p,0.9 p,0.9 p,0.9 p,0.9 p
Annual,Rate,Rhône-Alpes,1.1,1.1 b,1.1,1.1,1.1,1.1 p,1.1 p,1.1 p,1.1 p,1.1 p
Annual,Rate,Provence-Alpes-Côte d’Azur,0.9,0.9 b,0.9,0.9,0.9,0.8 p,0.8 p,0.8 p,0.8 p,0.9 p
Annual,Rate,Provence-Alpes-Côte d’Azur,0.9,0.9 b,0.9,0.9,0.9,0.8 p,0.8 p,0.8 p,0.8 p,0.9 p
Annual,Rate,Corse,0.4,0.4 b,0.5,0.4,0.4,0.4 p,0.4 p,0.4 p,0.4 p,0.4 p
Annual,Rate,Corse,0.4,0.4 b,0.5,0.4,0.4,0.4 p,0.4 p,0.4 p,0.4 p,0.4 p
Annual,Rate,RUP FR — Régions Ultrapériphériques Françaises,:,0.5 b,0.5,0.5,0.5,0.5 p,0.5 p,0.5 p,0.6 p,0.6 p
Annual,Rate,Guadeloupe,0.6,0.6 b,0.6,0.6,0.6,0.9 bdp,0.9 p,0.9 p,0.9 p,0.7 p
Annual,Rate,Martinique,0.6,0.6 b,0.6,0.6,0.6,0.3 bdp,0.3 p,0.3 p,0.3 p,0.6 p
Annual,Rate,Guyane,0.4,0.4 b,0.3,0.4,0.4,0.4 p,0.4 p,0.4 p,0.4 p,0.4 p
Annual,Rate,La Réunion,0.6,0.6 b,0.6,0.7,0.7,0.6 p,0.7 p,0.7 p,0.7 p,0.7 p
Annual,Rate,Mayotte,:,: d,0.1,0.2,0.2,0.2 p,0.2 p,0.2 p,0.2 p,0.2 p
Annual,Rate,Extra-Regio NUTS 1,:,: d,:,:,:,:,:,:,:,:
Annual,Rate,Extra-Regio NUTS 2,:,: d,:,:,:,:,:,:,:,:
Annual,Rate,Croatia,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0 e
Annual,Rate,Hrvatska,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0 e
Annual,Rate,Panonska Hrvatska,:,:,:,:,:,:,:,:,0.5,0.5 e
Annual,Rate,Jadranska Hrvatska,1.0,0.9,0.9,0.9,2.1,0.9,0.9,0.9,0.9,0.9 e
Annual,Rate,Kontinentalna Hrvatska (NUTS 2016),:,:,:,:,0.5,1.0,1.0,1.0,:,:
Annual,Rate,Grad Zagreb,:,:,:,:,:,:,:,:,2.5,2.5 e
Annual,Rate,Sjeverna Hrvatska,:,:,:,:,:,:,:,:,0.4,0.4 e
Annual,Rate,Hungary,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Annual,Rate,Közép-Magyarország,1.7,1.7,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8
Annual,Rate,Budapest,2.5,2.7,2.7,2.8,2.8,2.9,2.9,2.9,3.0,3.0
Annual,Rate,Pest,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.4,0.4
Annual,Rate,Dunántúl,0.7,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.5,0.5
Annual,Rate,Közép-Dunántúl,0.5,0.5,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3
Annual,Rate,Nyugat-Dunántúl,0.7,0.7,0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.5
Annual,Rate,Dél-Dunántúl,0.8,0.8,0.8,0.8,0.9,0.9,0.9,0.9,0.8,0.9
Annual,Rate,Alföld és Észak,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
Annual,Rate,Észak-Magyarország,0.7,0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.5
Annual,Rate,Észak-Alföld,0.8,0.8,0.8,0.8,0.7,0.7,0.7,0.8,0.8,0.8
Annual,Rate,Dél-Alföld,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.7
Annual,Rate,Ireland,1.0,1.0,1.0,1.0,1.0,1.0 d,1.0 d,1.0 d,1.0 d,: d
Annual,Rate,Ireland,1.0,1.0,1.0,1.0,1.0,1.0 d,1.0 d,1.0 d,1.0 d,: d
Annual,Rate,Northern and Western,:,:,:,:,:,0.9 d,0.8 d,0.9 d,0.9 d,: d
Annual,Rate,Southern,:,:,:,:,:,1.0 d,1.0 d,1.0 d,1.0 d,: d
Annual,Rate,Eastern and Midland,:,:,:,:,:,1.0 d,1.1 d,1.0 d,1.0 d,: d
Annual,Rate,Iceland,:,1.0,:,:,:,1.0,1.0,1.0,:,1.0
Annual,Rate,Ísland,:,1.0,:,:,:,1.0,1.0,1.0,:,1.0
Annual,Rate,Ísland,:,1.0,:,:,:,1.0,1.0,1.0,:,1.0
Annual,Rate,Italy,1.0,1.0,1.0,1.0,1.0,1.0,1.0 b,1.0,1.0,1.0
Annual,Rate,Nord-Ovest,0.8,0.9,0.9,0.9,0.9,0.9,1.0 b,1.0,1.0,1.0
Annual,Rate,Piemonte,0.8,0.8,0.8,0.9,0.9,0.9,0.9 b,0.9,0.9,0.9
Annual,Rate,Valle d’Aosta/Vallée d’Aoste,0.3,0.3,0.3,0.3,0.3,0.3,0.3 b,0.3,0.3,0.3
Annual,Rate,Liguria,0.7,0.8,0.7,0.7,0.7,0.8,0.7 b,0.7,0.7,0.7
Annual,Rate,Lombardia,0.9,0.9,0.9,1.0,1.0,1.0,1.0 b,1.1,1.0,1.0
Annual,Rate,Sud,1.0,1.0,1.0,1.0,1.0,1.0,1.0 b,1.0,1.0,1.0
Annual,Rate,Abruzzo,1.6,1.6,1.4,1.3,1.3,1.2,1.2 b,1.1,1.1,1.0
Annual,Rate,Molise,0.9,0.9,0.9,0.9,0.9,0.9,0.9 b,0.8,0.8,0.7
Annual,Rate,Campania,1.1,1.1,1.1,1.1,1.2,1.2,1.2 b,1.2,1.3,1.3
Annual,Rate,Puglia,0.8,0.8,0.7,0.7,0.7,0.7,0.7 b,0.7,0.7,0.7
Annual,Rate,Basilicata,0.5,0.5,0.4,0.5,0.4,0.4,0.4 b,0.4,0.4,0.4
Annual,Rate,Calabria,0.9,0.9,0.8,0.8,0.8,0.8,0.7 b,0.9,0.8,0.7
Annual,Rate,Isole,0.9,0.9,0.8,0.8,0.8,0.8,0.8 b,0.7,0.7,0.7
Annual,Rate,Sicilia,0.9,0.9,0.8,0.8,0.8,0.8,0.8 b,0.7,0.7,0.7
Annual,Rate,Sardegna,0.9,0.9,0.8,0.8,0.8,0.8,0.8 b,0.8,0.7,0.7
