Time frequency,Unit of measure,Crops,Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Thousand tonnes,Apples,Palestine*,0.3 e,1.1 e,1.1 e,1.3 e,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Thousand tonnes,Apples,Tunisia,100.0,120.0,101.0,110.0,110.0,126.0,128.0,111.0,120.0,121.5,90.0,126.0,98.3,:,:,:,:,:
Annual,Thousand tonnes,Pears,Algeria,158.2,189.4,139.4,177.0,160.0,234.3,233.1,211.2,240.7,228.1,255.3,211.9,237.0,200.1,223.4,154.8,149.7,:
Annual,Thousand tonnes,Pears,Egypt,40.5,36.4,50.4,48.9,54.2,44.7,48.8,64.7,58.9,58.3,66.0,70.0,77.0,70.0,68.0,79.0,:,:
Annual,Thousand tonnes,Pears,Israel,35.6,31.8,32.6,30.2,29.1,30.9,28.5,29.4,28.0,23.7,27.0,27.0,28.0,26.0,23.5,24.0,24.7,28.0
Annual,Thousand tonnes,Pears,Jordan,2.5 e,2.6 e,3.5 e,2.2 e,2.8 e,2.1 e,2.5 e,2.7 e,2.7 e,2.7,4.1 e,4.1,2.4,2.3,1.9,1.5,1.6,2.0
Annual,Thousand tonnes,Pears,Lebanon,36.8,35.7,33.5,33.7,35.5,:,:,:,:,:,43.9 e,28.6 e,42.7 e,:,:,:,32.7 e,:
Annual,Thousand tonnes,Pears,Morocco,41.8,35.4,43.8,38.4,36.8,34.5,36.2,29.9,43.9,39.6,46.0,27.8,34.0,35.2,34.0 e,33.1,46.6,45.8 p
Annual,Thousand tonnes,Pears,Palestine*,0.0 e,0.1 e,0.2 e,0.2 e,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Thousand tonnes,Pears,Tunisia,53.0,65.0,53.0,75.0,60.0,66.0,61.0,62.0,48.0,17.0,24.5,17.0,19.5,:,:,:,:,:
Annual,Thousand tonnes,Peaches,Algeria,95.1,117.5,75.2,118.8,147.4,156.9,180.3,178.0,192.2,175.2,177.9,169.4,198.3,190.4,201.7,186.4,186.1,:
Annual,Thousand tonnes,Peaches,Egypt,489.7,427.6,425.3,399.4,363.2,273.4,332.5,285.2,281.1,290.0,270.0,328.0,425.0,375.0,349.0,273.0,:,:
Annual,Thousand tonnes,Peaches,Israel,84.0,63.6,65.3,71.3,80.1,65.8,54.2,91.1,71.0,52.1,50.0,57.0,62.0,50.0,56.2,58.1,39.1,67.1
Annual,Thousand tonnes,Peaches,Jordan,13.0 e,12.6 e,19.0 e,20.8 e,19.0 e,23.2 e,16.1 e,28.1 e,30.7 e,32.0,37.3 e,64.8,69.4,65.8,60.6,63.4,71.0,98.5
Annual,Thousand tonnes,Peaches,Lebanon,34.1,37.4,41.3,35.3,30.5,:,:,:,:,:,74.8 e,63.3 e,69.4 e,:,:,:,71.1 e,:
Annual,Thousand tonnes,Peaches,Morocco,54.7,71.7,84.5,75.2,86.7,85.2,74.8,70.7,76.4,73.8,91.5,95.1,138.6,157.9,158.8 e,159.5,169.0,247.9 dp
Annual,Thousand tonnes,Peaches,Palestine*,0.0 e,1.5 e,1.7 e,1.6 e,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Thousand tonnes,Peaches,Tunisia,105.0,110.0,101.0,110.0,118.0,114.0,123.0,128.0,127.0,138.0,138.0,123.0,217.5,:,:,:,:,:
Annual,Thousand tonnes,Apricots,Algeria,145.1,167.0,116.4,172.4,202.9,198.5,285.9,269.3,319.8,216.9,293.4,256.9,238.1,242.2,209.2,187.2,189.7,:
Annual,Thousand tonnes,Apricots,Egypt,105.9,100.8,101.1,106.2,113.0,92.7,96.6,98.8,92.4,97.5,95.0,90.0,96.0,94.0,76.0,66.0,:,:
Annual,Thousand tonnes,Apricots,Israel,16.7,13.0,12.0,10.2,7.7,8.3,8.0,13.4,7.5,7.0,5.5,:,:,:,:,:,:,:
Annual,Thousand tonnes,Apricots,Jordan,6.6 e,6.8 e,5.0 e,6.5 e,6.0 e,6.8 e,7.9 e,8.0 e,8.2 e,8.1,15.9 e,11.7,18.8,21.4,26.5,21.0,19.2,19.0
Annual,Thousand tonnes,Apricots,Lebanon,31.8,29.3,32.0,32.0,29.0,:,:,:,:,:,31.3 e,39.8 e,37.1 e,:,:,:,19.1 e,:
Annual,Thousand tonnes,Apricots,Morocco,103.7,129.4,105.0,113.2,133.6,134.9,159.1,122.4,100.7,90.3,103.9,71.2,112.5,101.6,109.8 e,93.0,78.4,68.0 p
Annual,Thousand tonnes,Apricots,Palestine*,0.1 e,1.1 e,0.9 e,1.3 e,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Thousand tonnes,Apricots,Tunisia,26.0,28.0,24.0,26.5,30.0,23.5,30.0,33.5,29.5,29.0,32.5,31.0,30.5,:,:,:,:,:
Annual,Thousand tonnes,Cherries,Algeria,3.1,5.0,1.7,4.6,5.8,5.1,7.2,7.9,6.0,8.7,8.9,6.9,9.2,8.8,11.2,11.2,11.2,:
Annual,Thousand tonnes,Cherries,Israel,3.0,2.4,2.2,2.7,2.5,1.3,2.6,4.2,2.4,3.0,2.5,3.5,4.0,3.0,3.5,3.7,2.0,4.0
Annual,Thousand tonnes,Cherries,Jordan,1.6 e,1.3 e,1.1 e,0.7 e,0.4 e,0.7 e,0.6 e,0.7 e,0.7 e,0.7,0.9 e,1.2,1.0,0.9,1.0,0.8,1.1,0.8
Annual,Thousand tonnes,Cherries,Lebanon,29.5,23.4,30.0,28.5,30.8,:,:,:,:,:,48.9 e,32.4 e,44.8 e,:,:,:,28.9 e,:
Annual,Thousand tonnes,Cherries,Morocco,8.8,5.5,6.3,6.7,7.5,8.1,8.2,7.2,15.2,15.5,18.7,8.1,13.4,13.7,20.3 e,10.8,13.8,15.9 p
Annual,Thousand tonnes,Cherries,Palestine*,0.7,1.0,1.1,1.2 e,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Thousand tonnes,Plums,Algeria,46.2,65.7,42.6,58.8,74.1,90.2,105.5,105.5,128.8,107.2,117.7,102.7,111.8,111.5,113.0,99.0,97.0,:
Annual,Thousand tonnes,Plums,Egypt,13.7,14.5,16.7,15.4,14.0,7.4,12.7,15.5,13.6,14.2,14.0,12.0,15.0,14.0,16.0,17.0,:,:
Annual,Thousand tonnes,Plums,Israel,34.6,33.9,34.1,25.0,27.0,21.1,21.3,30.7,21.6,23.9,20.5,19.5,24.5,22.7,25.0,21.0,17.0,19.0
Annual,Thousand tonnes,Plums,Jordan,4.7 e,4.9 e,2.9 e,3.4 e,2.7 e,2.3 e,3.3 e,4.1 e,4.5 e,4.5,6.6 e,7.1,3.1,3.4,4.1,3.7,4.0,4.7
Annual,Thousand tonnes,Plums,Lebanon,25.5,24.8,24.5,21.4,23.8,:,:,:,:,:,45.2 e,42.2 e,37.6 e,:,:,:,17.9 e,:
Annual,Thousand tonnes,Plums,Morocco,60.6,80.3,73.8,65.5,73.7,78.8,64.8,75.2,109.4,92.9,123.2,123.6,179.4,205.2,151.5 e,143.5,178.8,178.9 p
