Time frequency,Price adjustment,Unit of measure,product,geo\TIME_PERIOD,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0
Annual,Real index,"Index, 2000=100",220000.0,DE,100.3,96.9,95.8,100.0,102.1,100.3,99.5,101.3,99.8,100.9,105.7,99.8
Annual,Real index,"Index, 2000=100",220000.0,DK,106.5,103.6,99.8,100.0,103.5,102.2,99.0,101.2,101.0,100.9,107.8,124.1
Annual,Real index,"Index, 2000=100",220000.0,EL,100.3,97.8,97.6,100.0,98.4,97.4,97.9,102.2,103.8,104.5,107.8,116.0
Annual,Real index,"Index, 2000=100",220000.0,ES,104.1,101.7,98.2,100.0,100.0,97.4,95.7,96.5,95.1,94.9,97.6,110.3
Annual,Real index,"Index, 2000=100",220000.0,FI,103.1,100.3,97.8,100.0,99.6,98.2,98.2,100.8,103.5,107.1,115.5,121.9
Annual,Real index,"Index, 2000=100",220000.0,FR,102.0,99.2,97.7,100.0,101.3,99.9,99.0,100.3,100.3,101.2,105.2,115.0
Annual,Real index,"Index, 2000=100",220000.0,HU,100.7,95.1,94.7,100.0,102.5,98.3,99.7,100.8,97.4,99.0,104.6,112.7
Annual,Real index,"Index, 2000=100",220000.0,IE,104.0,100.5,99.4,100.0,100.4,97.5,96.0,97.1,98.9,100.1,103.2,116.1
Annual,Real index,"Index, 2000=100",220000.0,IT,113.7,104.9,98.8,100.0,102.1,100.7,100.8,103.4,99.1,100.0,104.8,112.4
Annual,Real index,"Index, 2000=100",220000.0,LT,:,:,:,:,:,:,:,:,:,:,:,120.4
Annual,Real index,"Index, 2000=100",220000.0,LU,101.4,100.5,99.9,100.0,101.1,100.3,99.1,100.2,97.7,94.9,98.4,105.4
Annual,Real index,"Index, 2000=100",220000.0,LV,104.0,102.9,101.3,100.0,99.2,97.9,99.1,100.9,111.3,113.5,115.3,120.5
Annual,Real index,"Index, 2000=100",220000.0,MT,:,:,:,100.0,98.3,96.7,90.7,93.2,93.8,93.8,99.0,113.2
Annual,Real index,"Index, 2000=100",220000.0,NL,103.3,99.0,96.6,100.0,100.9,98.2,97.7,97.9,97.9,101.9,108.1,114.8
Annual,Real index,"Index, 2000=100",220000.0,PL,95.0,94.3,96.8,100.0,101.2,101.6,103.9,107.8,108.0,107.0,112.6,120.5
Annual,Real index,"Index, 2000=100",220000.0,PT,106.2,101.1,99.0,100.0,100.1,96.4,94.5,96.1,97.3,95.8,100.1,107.2
Annual,Real index,"Index, 2000=100",220000.0,RO,:,:,:,100.0,:,:,:,:,:,:,:,:
Annual,Real index,"Index, 2000=100",220000.0,SE,100.7,98.1,97.5,100.0,102.3,102.3,102.1,104.8,106.0,107.5,113.3,125.8
Annual,Real index,"Index, 2000=100",220000.0,SI,110.2,101.1,96.8,100.0,103.1,98.9,98.1,103.0,101.9,102.9,108.3,121.8
Annual,Real index,"Index, 2000=100",220000.0,SK,111.9,109.1,102.8,100.0,:,:,:,89.2,87.5,88.4,91.2,97.5
Annual,Real index,"Index, 2000=100",220000.0,UK,108.5,101.7,99.3,100.0,102.3,100.6,102.0,107.1,107.1,108.8,115.8,139.8
