Time frequency,Country of citizenship,Age class,Unit of measure,Sex,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Foreign country and stateless,Total,Number,Total,Liechtenstein,12144.0,12337.0,12519.0,12579.0,12775.0,12795.0,12941.0,13057.0,13262.0,13467.0,13527.0,13634.0
Annual,Foreign country and stateless,Total,Number,Total,Lithuania,22865.0,21498.0,20410.0,20254.0,19123.0,18665.0,18923.0,20202.0,20680.0,20001.0,34310.0,98373.0
Annual,Foreign country and stateless,Total,Number,Total,Luxembourg,229870.0,238844.0,248914.0,258679.0,269175.0,281246 b,288009.0,291265.0,296276.0,299247.0,304008.0,313242.0
Annual,Foreign country and stateless,Total,Number,Total,Latvia,324288.0,315414.0,304835.0,298433.0,288946.0,279446.0,272531.0,266625.0,260405.0,252441.0,245009.0,261799.0
Annual,Foreign country and stateless,Total,Number,Total,Malta,20302.0,23365.0,29291.0,39173.0,49280.0,58136.0,72897.0,90470.0,111915.0,112662.0,116380.0,137376.0
Annual,Foreign country and stateless,Total,Number,Total,Netherlands,697741.0,714552.0,735354.0,773288.0,834786.0,914997.0,991440.0,1068107.0,1154830.0,1171380.0,1230012.0,1422863.0
Annual,Foreign country and stateless,Total,Number,Total,Norway,407171.0,448665.0,483057.0,512024.0,538087.0,559059.0,567594.0,584062.0,604362.0,601525.0,585964.0,610841.0
Annual,Foreign country and stateless,Total,Number,Total,Poland,85829 p,93265.0,101204 p,108279 p,149586 ep,210328 ep,239230 ep,289751.0,358239 ep,447442 ep,441661 ep,435964 ep
Annual,Foreign country and stateless,Total,Number,Total,Portugal,413011.0,393908.0,377436.0,366869.0,360961.0,370080.0,387943.0,441863.0,520487.0,595794.0,643347.0,785051.0
Annual,Foreign country and stateless,Total,Number,Total,Romania,73706 p,70666.0,73434.0,88771.0,107187.0,114337.0,114292.0,121099.0,139775 e,144540 e,:,212465 e
Annual,Foreign country and stateless,Total,Number,Total,Sweden,646095.0,659374.0,687192.0,731215.0,773232.0,841165.0,885839.0,920144.0,927774.0,892254.0,868193.0,854205.0
Annual,Foreign country and stateless,Total,Number,Total,Slovenia,85555.0,91385.0,96608.0,101532.0,107766.0,114438.0,121875.0,138193.0,156351.0,168651.0,172442.0,189796.0
Annual,Foreign country and stateless,Total,Number,Total,Slovakia,70727.0,72925.0,59151.0,61766.0,65840.0,69695.0,72883.0,76116.0,78936.0,82075.0,60142.0,61347.0
Annual,Foreign country and stateless,Total,Number,Total,United Kingdom,4884405.0,4978600.0,5049401.0,5419192.0,5639712.0,6073524.0,6285974.0,6171948.0,:,:,:,:
