Time frequency,Economical indicator for structural business statistics,Size classes in number of persons employed,Reason,Geopolitical entity (reporting)\Time,2004.0
Annual,Enterprises - number,From 1 to 49 persons employed,Other reason,Slovakia,105.0
Annual,Enterprises - number,From 1 to 49 persons employed,Other reason,United Kingdom,6432.0
Annual,Enterprises - number,From 1 to 49 persons employed,Outsourcing driven demand,Germany,4398.0
Annual,Enterprises - number,From 1 to 49 persons employed,Outsourcing driven demand,Denmark,1255.0
Annual,Enterprises - number,From 1 to 49 persons employed,Outsourcing driven demand,Greece,818.0
Annual,Enterprises - number,From 1 to 49 persons employed,Outsourcing driven demand,Spain,552.0
Annual,Enterprises - number,From 1 to 49 persons employed,Outsourcing driven demand,Finland,426.0
Annual,Enterprises - number,From 1 to 49 persons employed,Outsourcing driven demand,Lithuania,84.0
Annual,Enterprises - number,From 1 to 49 persons employed,Outsourcing driven demand,Latvia,32.0
Annual,Enterprises - number,From 1 to 49 persons employed,Outsourcing driven demand,Malta,6.0
Annual,Enterprises - number,From 1 to 49 persons employed,Outsourcing driven demand,Norway,492.0
Annual,Enterprises - number,From 1 to 49 persons employed,Outsourcing driven demand,Poland,2946.0
Annual,Enterprises - number,From 1 to 49 persons employed,Outsourcing driven demand,Romania,938.0
Annual,Enterprises - number,From 1 to 49 persons employed,Outsourcing driven demand,Sweden,1143.0
Annual,Enterprises - number,From 1 to 49 persons employed,Outsourcing driven demand,Slovenia,282.0
Annual,Enterprises - number,From 1 to 49 persons employed,Outsourcing driven demand,Slovakia,637.0
Annual,Enterprises - number,From 1 to 49 persons employed,Outsourcing driven demand,United Kingdom,4923.0
Annual,Enterprises - number,From 1 to 49 persons employed,The domestic market is too small,Germany,6745.0
Annual,Enterprises - number,From 1 to 49 persons employed,The domestic market is too small,Denmark,2088.0
Annual,Enterprises - number,From 1 to 49 persons employed,The domestic market is too small,Greece,666.0
Annual,Enterprises - number,From 1 to 49 persons employed,The domestic market is too small,Spain,747.0
Annual,Enterprises - number,From 1 to 49 persons employed,The domestic market is too small,Finland,670.0
Annual,Enterprises - number,From 1 to 49 persons employed,The domestic market is too small,Lithuania,313.0
Annual,Enterprises - number,From 1 to 49 persons employed,The domestic market is too small,Latvia,372.0
Annual,Enterprises - number,From 1 to 49 persons employed,The domestic market is too small,Malta,7.0
Annual,Enterprises - number,From 1 to 49 persons employed,The domestic market is too small,Norway,1578.0
Annual,Enterprises - number,From 1 to 49 persons employed,The domestic market is too small,Poland,1747.0
Annual,Enterprises - number,From 1 to 49 persons employed,The domestic market is too small,Romania,284.0
Annual,Enterprises - number,From 1 to 49 persons employed,The domestic market is too small,Sweden,2786.0
Annual,Enterprises - number,From 1 to 49 persons employed,The domestic market is too small,Slovenia,686.0
Annual,Enterprises - number,From 1 to 49 persons employed,The domestic market is too small,Slovakia,263.0
Annual,Enterprises - number,From 1 to 49 persons employed,The domestic market is too small,United Kingdom,8697.0
Annual,Enterprises - number,50 persons employed or more,Cutting edge products or specialised niche services,Germany,799.0
Annual,Enterprises - number,50 persons employed or more,Cutting edge products or specialised niche services,Denmark,79.0
Annual,Enterprises - number,50 persons employed or more,Cutting edge products or specialised niche services,Greece,18.0
Annual,Enterprises - number,50 persons employed or more,Cutting edge products or specialised niche services,Spain,182.0
Annual,Enterprises - number,50 persons employed or more,Cutting edge products or specialised niche services,Finland,119.0
Annual,Enterprises - number,50 persons employed or more,Cutting edge products or specialised niche services,Lithuania,17.0
Annual,Enterprises - number,50 persons employed or more,Cutting edge products or specialised niche services,Latvia,12.0
Annual,Enterprises - number,50 persons employed or more,Cutting edge products or specialised niche services,Malta,2.0
Annual,Enterprises - number,50 persons employed or more,Cutting edge products or specialised niche services,Norway,5.0
Annual,Enterprises - number,50 persons employed or more,Cutting edge products or specialised niche services,Poland,10.0
Annual,Enterprises - number,50 persons employed or more,Cutting edge products or specialised niche services,Romania,23.0
Annual,Enterprises - number,50 persons employed or more,Cutting edge products or specialised niche services,Sweden,169.0
Annual,Enterprises - number,50 persons employed or more,Cutting edge products or specialised niche services,Slovenia,11.0
Annual,Enterprises - number,50 persons employed or more,Cutting edge products or specialised niche services,Slovakia,23.0
Annual,Enterprises - number,50 persons employed or more,Cutting edge products or specialised niche services,United Kingdom,4567.0
Annual,Enterprises - number,50 persons employed or more,Part of multinational enterprise group,Germany,954.0
Annual,Enterprises - number,50 persons employed or more,Part of multinational enterprise group,Denmark,126.0
Annual,Enterprises - number,50 persons employed or more,Part of multinational enterprise group,Greece,21.0
Annual,Enterprises - number,50 persons employed or more,Part of multinational enterprise group,Spain,236.0
Annual,Enterprises - number,50 persons employed or more,Part of multinational enterprise group,Finland,82.0
Annual,Enterprises - number,50 persons employed or more,Part of multinational enterprise group,Lithuania,16.0
Annual,Enterprises - number,50 persons employed or more,Part of multinational enterprise group,Latvia,17.0
Annual,Enterprises - number,50 persons employed or more,Part of multinational enterprise group,Malta,1.0
Annual,Enterprises - number,50 persons employed or more,Part of multinational enterprise group,Norway,88.0
Annual,Enterprises - number,50 persons employed or more,Part of multinational enterprise group,Poland,21.0
Annual,Enterprises - number,50 persons employed or more,Part of multinational enterprise group,Romania,29.0
Annual,Enterprises - number,50 persons employed or more,Part of multinational enterprise group,Sweden,145.0
Annual,Enterprises - number,50 persons employed or more,Part of multinational enterprise group,Slovenia,10.0
Annual,Enterprises - number,50 persons employed or more,Part of multinational enterprise group,Slovakia,20.0
Annual,Enterprises - number,50 persons employed or more,Part of multinational enterprise group,United Kingdom,7453.0
Annual,Enterprises - number,50 persons employed or more,Internet driven demand,Germany,125.0
Annual,Enterprises - number,50 persons employed or more,Internet driven demand,Denmark,20.0
Annual,Enterprises - number,50 persons employed or more,Internet driven demand,Greece,2.0
Annual,Enterprises - number,50 persons employed or more,Internet driven demand,Spain,16.0
Annual,Enterprises - number,50 persons employed or more,Internet driven demand,Finland,6.0
Annual,Enterprises - number,50 persons employed or more,Internet driven demand,Lithuania,3.0
Annual,Enterprises - number,50 persons employed or more,Internet driven demand,Latvia,2.0
Annual,Enterprises - number,50 persons employed or more,Internet driven demand,Malta,0.0
Annual,Enterprises - number,50 persons employed or more,Internet driven demand,Norway,51.0
Annual,Enterprises - number,50 persons employed or more,Internet driven demand,Poland,1.0
Annual,Enterprises - number,50 persons employed or more,Internet driven demand,Romania,4.0
Annual,Enterprises - number,50 persons employed or more,Internet driven demand,Sweden,26.0
Annual,Enterprises - number,50 persons employed or more,Internet driven demand,Slovenia,1.0
Annual,Enterprises - number,50 persons employed or more,Internet driven demand,Slovakia,2.0
Annual,Enterprises - number,50 persons employed or more,Internet driven demand,United Kingdom,460.0
Annual,Enterprises - number,50 persons employed or more,Other reason,Germany,327.0
Annual,Enterprises - number,50 persons employed or more,Other reason,Denmark,71.0
Annual,Enterprises - number,50 persons employed or more,Other reason,Greece,3.0
Annual,Enterprises - number,50 persons employed or more,Other reason,Spain,95.0
Annual,Enterprises - number,50 persons employed or more,Other reason,Finland,28.0
Annual,Enterprises - number,50 persons employed or more,Other reason,Lithuania,3.0
Annual,Enterprises - number,50 persons employed or more,Other reason,Latvia,2.0
Annual,Enterprises - number,50 persons employed or more,Other reason,Malta,2.0
Annual,Enterprises - number,50 persons employed or more,Other reason,Norway,35.0
Annual,Enterprises - number,50 persons employed or more,Other reason,Poland,0.0
Annual,Enterprises - number,50 persons employed or more,Other reason,Romania,13.0
Annual,Enterprises - number,50 persons employed or more,Other reason,Sweden,78.0
Annual,Enterprises - number,50 persons employed or more,Other reason,Slovenia,3.0
Annual,Enterprises - number,50 persons employed or more,Other reason,Slovakia,7.0
Annual,Enterprises - number,50 persons employed or more,Other reason,United Kingdom,1380.0
Annual,Enterprises - number,50 persons employed or more,Outsourcing driven demand,Germany,160.0
Annual,Enterprises - number,50 persons employed or more,Outsourcing driven demand,Denmark,28.0
Annual,Enterprises - number,50 persons employed or more,Outsourcing driven demand,Greece,27.0
Annual,Enterprises - number,50 persons employed or more,Outsourcing driven demand,Spain,53.0
Annual,Enterprises - number,50 persons employed or more,Outsourcing driven demand,Finland,36.0
Annual,Enterprises - number,50 persons employed or more,Outsourcing driven demand,Lithuania,5.0
Annual,Enterprises - number,50 persons employed or more,Outsourcing driven demand,Latvia,5.0
Annual,Enterprises - number,50 persons employed or more,Outsourcing driven demand,Malta,1.0
Annual,Enterprises - number,50 persons employed or more,Outsourcing driven demand,Norway,8.0
Annual,Enterprises - number,50 persons employed or more,Outsourcing driven demand,Poland,4.0
Annual,Enterprises - number,50 persons employed or more,Outsourcing driven demand,Romania,27.0
Annual,Enterprises - number,50 persons employed or more,Outsourcing driven demand,Sweden,80.0
Annual,Enterprises - number,50 persons employed or more,Outsourcing driven demand,Slovenia,9.0
Annual,Enterprises - number,50 persons employed or more,Outsourcing driven demand,Slovakia,19.0
Annual,Enterprises - number,50 persons employed or more,Outsourcing driven demand,United Kingdom,1082.0
Annual,Enterprises - number,50 persons employed or more,The domestic market is too small,Germany,522.0
Annual,Enterprises - number,50 persons employed or more,The domestic market is too small,Denmark,72.0
Annual,Enterprises - number,50 persons employed or more,The domestic market is too small,Greece,14.0
Annual,Enterprises - number,50 persons employed or more,The domestic market is too small,Spain,77.0
Annual,Enterprises - number,50 persons employed or more,The domestic market is too small,Finland,112.0
Annual,Enterprises - number,50 persons employed or more,The domestic market is too small,Lithuania,17.0
Annual,Enterprises - number,50 persons employed or more,The domestic market is too small,Latvia,11.0
Annual,Enterprises - number,50 persons employed or more,The domestic market is too small,Malta,1.0
Annual,Enterprises - number,50 persons employed or more,The domestic market is too small,Norway,40.0
Annual,Enterprises - number,50 persons employed or more,The domestic market is too small,Poland,20.0
Annual,Enterprises - number,50 persons employed or more,The domestic market is too small,Romania,20.0
Annual,Enterprises - number,50 persons employed or more,The domestic market is too small,Sweden,93.0
Annual,Enterprises - number,50 persons employed or more,The domestic market is too small,Slovenia,13.0
Annual,Enterprises - number,50 persons employed or more,The domestic market is too small,Slovakia,16.0
Annual,Enterprises - number,50 persons employed or more,The domestic market is too small,United Kingdom,1699.0
Annual,Enterprises - number,Total,Cutting edge products or specialised niche services,Germany,28218.0
Annual,Enterprises - number,Total,Cutting edge products or specialised niche services,Denmark,3897.0
Annual,Enterprises - number,Total,Cutting edge products or specialised niche services,Greece,336.0
Annual,Enterprises - number,Total,Cutting edge products or specialised niche services,Spain,2326.0
Annual,Enterprises - number,Total,Cutting edge products or specialised niche services,Finland,1497.0
Annual,Enterprises - number,Total,Cutting edge products or specialised niche services,Lithuania,325.0
Annual,Enterprises - number,Total,Cutting edge products or specialised niche services,Latvia,525.0
Annual,Enterprises - number,Total,Cutting edge products or specialised niche services,Malta,23.0
Annual,Enterprises - number,Total,Cutting edge products or specialised niche services,Norway,597.0
Annual,Enterprises - number,Total,Cutting edge products or specialised niche services,Poland,485.0
Annual,Enterprises - number,Total,Cutting edge products or specialised niche services,Romania,242.0
Annual,Enterprises - number,Total,Cutting edge products or specialised niche services,Sweden,4819.0
Annual,Enterprises - number,Total,Cutting edge products or specialised niche services,Slovenia,640.0
Annual,Enterprises - number,Total,Cutting edge products or specialised niche services,Slovakia,487.0
Annual,Enterprises - number,Total,Cutting edge products or specialised niche services,United Kingdom,35448.0
Annual,Enterprises - number,Total,Part of multinational enterprise group,Germany,14191.0
Annual,Enterprises - number,Total,Part of multinational enterprise group,Denmark,1660.0
Annual,Enterprises - number,Total,Part of multinational enterprise group,Greece,232.0
Annual,Enterprises - number,Total,Part of multinational enterprise group,Spain,814.0
Annual,Enterprises - number,Total,Part of multinational enterprise group,Finland,367.0
Annual,Enterprises - number,Total,Part of multinational enterprise group,Lithuania,151.0
Annual,Enterprises - number,Total,Part of multinational enterprise group,Latvia,258.0
Annual,Enterprises - number,Total,Part of multinational enterprise group,Malta,13.0
Annual,Enterprises - number,Total,Part of multinational enterprise group,Norway,1649.0
Annual,Enterprises - number,Total,Part of multinational enterprise group,Poland,596.0
Annual,Enterprises - number,Total,Part of multinational enterprise group,Romania,193.0
Annual,Enterprises - number,Total,Part of multinational enterprise group,Sweden,1190.0
Annual,Enterprises - number,Total,Part of multinational enterprise group,Slovenia,150.0
Annual,Enterprises - number,Total,Part of multinational enterprise group,Slovakia,297.0
Annual,Enterprises - number,Total,Part of multinational enterprise group,United Kingdom,16001.0
Annual,Enterprises - number,Total,Internet driven demand,Germany,9985.0
Annual,Enterprises - number,Total,Internet driven demand,Denmark,1492.0
Annual,Enterprises - number,Total,Internet driven demand,Greece,45.0
Annual,Enterprises - number,Total,Internet driven demand,Spain,575.0
Annual,Enterprises - number,Total,Internet driven demand,Finland,88.0
Annual,Enterprises - number,Total,Internet driven demand,Lithuania,66.0
Annual,Enterprises - number,Total,Internet driven demand,Latvia,155.0
Annual,Enterprises - number,Total,Internet driven demand,Malta,4.0
Annual,Enterprises - number,Total,Internet driven demand,Norway,3308.0
Annual,Enterprises - number,Total,Internet driven demand,Poland,476.0
Annual,Enterprises - number,Total,Internet driven demand,Romania,81.0
Annual,Enterprises - number,Total,Internet driven demand,Sweden,2026.0
Annual,Enterprises - number,Total,Internet driven demand,Slovenia,210.0
Annual,Enterprises - number,Total,Internet driven demand,Slovakia,81.0
Annual,Enterprises - number,Total,Internet driven demand,United Kingdom,5421.0
Annual,Enterprises - number,Total,Other reason,Germany,21048.0
Annual,Enterprises - number,Total,Other reason,Denmark,3597.0
Annual,Enterprises - number,Total,Other reason,Greece,41.0
Annual,Enterprises - number,Total,Other reason,Spain,1892.0
Annual,Enterprises - number,Total,Other reason,Finland,668.0
Annual,Enterprises - number,Total,Other reason,Lithuania,111.0
Annual,Enterprises - number,Total,Other reason,Latvia,114.0
Annual,Enterprises - number,Total,Other reason,Malta,40.0
Annual,Enterprises - number,Total,Other reason,Norway,1440.0
Annual,Enterprises - number,Total,Other reason,Poland,303.0
Annual,Enterprises - number,Total,Other reason,Romania,164.0
Annual,Enterprises - number,Total,Other reason,Sweden,4919.0
Annual,Enterprises - number,Total,Other reason,Slovenia,244.0
Annual,Enterprises - number,Total,Other reason,Slovakia,112.0
Annual,Enterprises - number,Total,Other reason,United Kingdom,7812.0
Annual,Enterprises - number,Total,Outsourcing driven demand,Germany,4558.0
Annual,Enterprises - number,Total,Outsourcing driven demand,Denmark,1282.0
Annual,Enterprises - number,Total,Outsourcing driven demand,Greece,845.0
Annual,Enterprises - number,Total,Outsourcing driven demand,Spain,606.0
Annual,Enterprises - number,Total,Outsourcing driven demand,Finland,463.0
Annual,Enterprises - number,Total,Outsourcing driven demand,Lithuania,89.0
Annual,Enterprises - number,Total,Outsourcing driven demand,Latvia,37.0
Annual,Enterprises - number,Total,Outsourcing driven demand,Malta,7.0
Annual,Enterprises - number,Total,Outsourcing driven demand,Norway,500.0
Annual,Enterprises - number,Total,Outsourcing driven demand,Poland,2950.0
Annual,Enterprises - number,Total,Outsourcing driven demand,Romania,965.0
Annual,Enterprises - number,Total,Outsourcing driven demand,Sweden,1223.0
Annual,Enterprises - number,Total,Outsourcing driven demand,Slovenia,291.0
Annual,Enterprises - number,Total,Outsourcing driven demand,Slovakia,655.0
Annual,Enterprises - number,Total,Outsourcing driven demand,United Kingdom,6006.0
Annual,Enterprises - number,Total,The domestic market is too small,Germany,7266.0
Annual,Enterprises - number,Total,The domestic market is too small,Denmark,2160.0
Annual,Enterprises - number,Total,The domestic market is too small,Greece,681.0
Annual,Enterprises - number,Total,The domestic market is too small,Spain,824.0
Annual,Enterprises - number,Total,The domestic market is too small,Finland,781.0
Annual,Enterprises - number,Total,The domestic market is too small,Lithuania,331.0
Annual,Enterprises - number,Total,The domestic market is too small,Latvia,383.0
Annual,Enterprises - number,Total,The domestic market is too small,Malta,8.0
Annual,Enterprises - number,Total,The domestic market is too small,Norway,1618.0
Annual,Enterprises - number,Total,The domestic market is too small,Poland,1767.0
Annual,Enterprises - number,Total,The domestic market is too small,Romania,304.0
Annual,Enterprises - number,Total,The domestic market is too small,Sweden,2879.0
Annual,Enterprises - number,Total,The domestic market is too small,Slovenia,699.0
Annual,Enterprises - number,Total,The domestic market is too small,Slovakia,279.0
Annual,Enterprises - number,Total,The domestic market is too small,United Kingdom,10396.0
