Time frequency,National accounts indicator (ESA 2010),Unit of measure,Geopolitical entity (reporting)\Time,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0
Annual,Gross fixed capital formation,"Current prices, million euro",Luxembourg,9060.0,9918.9,9371.7,9715.5,10360.6,9741.7,11287.7,10771.4,13156.8,13579.0,14379.8,:
Annual,Gross fixed capital formation,"Current prices, million euro",Latvia,5491.5,5388.6,5296.8,4941.3,5600.6,6448.2,6718.8,6730.3,7402.3,8309.3,9717.5,:
Annual,Gross fixed capital formation,"Current prices, million euro",Montenegro,678.1,657.1,736.3,978.5,1157.4,1363.9,1351.8,1166.1,1096.2,1274.5,1366.8,:
Annual,Gross fixed capital formation,"Current prices, million euro",North Macedonia,1932.3,2004.9,2162.8,2354.7,2257.7,2152.2,2369.8,2343.0,2775.9,3181.1,3608.2 p,:
Annual,Gross fixed capital formation,"Current prices, million euro",Malta,1406.0,1506.9,2418.7,2315.8,2343.9,2614.2,2930.1,2974.1,3822.2,4421.8 p,3893.0 p,:
Annual,Gross fixed capital formation,"Current prices, million euro",Netherlands,121128.0,118012.0,152468.0,138952.0,148357.0,157069.0,173484.0,173694.0,184425.0,203422.0,214544.0,:
Annual,Gross fixed capital formation,"Current prices, million euro",Norway,92757.4,89727.2,82855.9,84045.4,86778.8,88596.4,97222.6,88571.7,97622.1,111243.8,104731.5,:
Annual,Gross fixed capital formation,"Current prices, million euro",Poland,73357.2,81680.8,87539.7,78462.6,81965.7,94519.8,103084.5,97842.9,98690.1,108760.2,132884.4,:
Annual,Gross fixed capital formation,"Current prices, million euro",Portugal,25312.8,26169.8,28082.3,29311.6,33404.0,36548.6,39536.5,39193.9,44387.7,50189.9,53781.8 e,:
Annual,Gross fixed capital formation,"Current prices, million euro",Romania,34883.7,37049.1,39947.5,38587.8,42643.8,43436.0,51947.1,51578.0,59048.9,70542.4,87510.1 p,:
Annual,Gross fixed capital formation,"Current prices, million euro",Serbia,6218.4,5874.6,6253.6,6485.4,7258.1,8919.6,10716.2,10515.5,12892.9,15187.0 p,17577.4 p,:
Annual,Gross fixed capital formation,"Current prices, million euro",Sweden,96605.2,98859.4,105138.4,110895.4,116844.7,114868.1,113250.1,117430.7,134924.9,140977.6,135225.4,:
Annual,Gross fixed capital formation,"Current prices, million euro",Slovenia,7148.3,7244.2,7282.1,7114.3,7883.0,8878.9,9514.9,8891.5,10545.6,12475.3,13644.2,:
Annual,Gross fixed capital formation,"Current prices, million euro",Slovakia,15817.6,16212.9,19547.7,17679.3,18074.1,19269.2,20499.1,18657.5,19968.9,21562.4,27466.9,:
Annual,Gross fixed capital formation,"Current prices, million euro",Türkiye,204017.2,203232.6,229651.5,228679.8,227062.7,196153.3,176423.3,172505.3,194459.3,251474.7,328287.0,:
Annual,Gross fixed capital formation,"Current prices, million euro",United Kingdom,334503.0,384295.1,455757.5,431027.0,424712.8,430931.0,455139.7,:,:,:,:,:
Annual,Gross fixed capital formation,"Current prices, million euro",Kosovo*,1478.9,1464.7,1604.0,1691.1,1904.4,2115.6,2190.4,2011.6,2616.6,2891.5,3047.3,:
Annual,Gross fixed capital formation,Percentage of gross domestic product (GDP),Albania,26.1,24.2,24.4,24.4,24.6,23.9,24.6 b,25.2,27.2,25.7,24.0 p,:
Annual,Gross fixed capital formation,Percentage of gross domestic product (GDP),Austria,23.3,23.0,22.9,23.3,23.8,24.3,25.1,25.1,25.9,25.5,24.9,:
Annual,Gross fixed capital formation,Percentage of gross domestic product (GDP),Bosnia and Herzegovina,21.0,22.9,20.9 b,20.5,21.7,22.4,22.7,22.1,21.5,22.1,23.1,:
Annual,Gross fixed capital formation,Percentage of gross domestic product (GDP),Belgium,22.2,22.8,23.2,23.5,23.5,23.8,24.2,24.0,23.9,23.9,24.4 p,:
Annual,Gross fixed capital formation,Percentage of gross domestic product (GDP),Bulgaria,21.2,21.1,20.9,18.4,18.3,18.8,18.7,19.0,16.3,17.0,18.7,:
Annual,Gross fixed capital formation,Percentage of gross domestic product (GDP),Switzerland,26.2,26.4,26.4,26.5,27.1,26.6,26.6,27.0,26.3,25.7 p,25.8 p,:
Annual,Gross fixed capital formation,Percentage of gross domestic product (GDP),Cyprus,14.1,13.3,12.8,18.0,20.8,18.6,18.7,20.8,19.2,19.9,21.2 p,:
Annual,Gross fixed capital formation,Percentage of gross domestic product (GDP),Czechia,24.8,24.7,25.7,24.3,23.7,24.8,25.8,25.5,26.2,27.7,27.3,:
Annual,Gross fixed capital formation,Percentage of gross domestic product (GDP),Germany,19.6,19.8,19.8,20.0,20.1,20.8,21.2,21.3,21.2 p,21.7 p,21.5 p,20.8 p
Annual,Gross fixed capital formation,Percentage of gross domestic product (GDP),Denmark,18.8,19.3,19.8,21.0,21.2,21.8,21.4,22.2,22.5,22.8,22.6,:
Annual,Gross fixed capital formation,Percentage of gross domestic product (GDP),Euro area - 19 countries  (2015-2022),19.3,19.3,19.7,20.0,20.3,20.7,21.9,21.8,21.7,22.0,21.9,:
Annual,Gross fixed capital formation,Percentage of gross domestic product (GDP),Euro area – 20 countries (from 2023),19.3,19.3,19.7,20.0,20.3,20.7,21.9,21.8,21.7,22.0,21.9,:
Annual,Gross fixed capital formation,Percentage of gross domestic product (GDP),Estonia,27.5,25.3,24.1,23.9,25.4,26.6,26.6,31.2,28.7,25.8,27.9,:
Annual,Gross fixed capital formation,Percentage of gross domestic product (GDP),Greece,11.5,11.2,11.2,11.4,12.0,11.3,11.0,12.3,13.8,14.9 p,15.2 p,:
Annual,Gross fixed capital formation,Percentage of gross domestic product (GDP),Spain,17.6,18.0,18.3,18.2,18.9,19.7,20.3,20.6,20.2,20.4 p,19.7 p,:
Annual,Gross fixed capital formation,Percentage of gross domestic product (GDP),European Union - 27 countries (from 2020),19.6,19.6,20.0,20.2,20.5,20.9,22.0,21.9,21.8,22.1,22.0,:
Annual,Gross fixed capital formation,Percentage of gross domestic product (GDP),Finland,22.3,21.7,21.4,23.1,23.7,24.6,24.4,24.7,24.4,24.7,23.2,:
Annual,Gross fixed capital formation,Percentage of gross domestic product (GDP),France,21.3,21.0,20.6,20.9,21.4,21.9,22.4,22.4,23.5,23.7 p,23.1 p,:
Annual,Gross fixed capital formation,Percentage of gross domestic product (GDP),Croatia,19.2,18.8,19.1,19.6,19.5,20.0,21.9,22.4,20.9,21.6,22.5 p,:
Annual,Gross fixed capital formation,Percentage of gross domestic product (GDP),Hungary,20.9,22.1,22.3,19.6,22.3,24.9,27.1,26.5,27.3,27.9,26.0 p,:
Annual,Gross fixed capital formation,Percentage of gross domestic product (GDP),Ireland,18.2,20.2,24.3,34.1,32.5,27.9,53.2,41.3,22.0,21.2,23.2,:
Annual,Gross fixed capital formation,Percentage of gross domestic product (GDP),Iceland,15.6,17.2,19.3,20.9,21.8,21.8,20.9,21.2,22.8,24.1,24.2,:
Annual,Gross fixed capital formation,Percentage of gross domestic product (GDP),Italy,17.3,16.8,17.1,17.3,17.6,18.0,18.1,18.2,20.8,21.8,22.5,:
Annual,Gross fixed capital formation,Percentage of gross domestic product (GDP),Lithuania,18.7,19.1,19.6,19.9,20.1,20.7,21.2,21.4,22.5,22.5,23.7,:
Annual,Gross fixed capital formation,Percentage of gross domestic product (GDP),Luxembourg,18.5,19.2,17.3,17.3,17.8,16.2,18.1,16.7,18.2,17.5,18.1,:
Annual,Gross fixed capital formation,Percentage of gross domestic product (GDP),Latvia,25.0,23.6,22.3,20.2,21.5,22.9,22.7,23.0,22.9,23.0,24.9,:
Annual,Gross fixed capital formation,Percentage of gross domestic product (GDP),Montenegro,20.2,19.0,20.1,24.7,26.9,29.2,27.3,27.9,22.1,21.5,19.6,:
Annual,Gross fixed capital formation,Percentage of gross domestic product (GDP),North Macedonia,23.7,23.4,23.8,24.4,22.5,20.0,21.0,21.6,23.5,24.0,24.7 p,:
Annual,Gross fixed capital formation,Percentage of gross domestic product (GDP),Malta,17.3,16.8,23.7,21.3,18.7,19.1,20.1,20.7,22.9,24.2 p,19.0 p,:
Annual,Gross fixed capital formation,Percentage of gross domestic product (GDP),Netherlands,18.2,17.4,21.8,19.3,19.8,20.0,20.9,21.3,20.7,20.5,20.1,:
Annual,Gross fixed capital formation,Percentage of gross domestic product (GDP),Norway,23.4,23.7,23.7,25.1,24.4,23.8,26.6,27.4,22.9,19.7,23.3,:
Annual,Gross fixed capital formation,Percentage of gross domestic product (GDP),Poland,18.8,20.0,20.2,18.3,17.5,18.8,19.1,18.4,16.9,16.4,17.7,:
Annual,Gross fixed capital formation,Percentage of gross domestic product (GDP),Portugal,14.8,15.1,15.7,15.7,17.1,17.8,18.4,19.5,20.5,20.6,20.1 e,:
Annual,Gross fixed capital formation,Percentage of gross domestic product (GDP),Romania,24.4,24.6,24.9,23.0,22.9,21.1,23.1,23.3,24.4,25.0,27.0 p,:
Annual,Gross fixed capital formation,Percentage of gross domestic product (GDP),Serbia,16.4,15.9,16.8,17.0,17.8,19.9,22.3,21.4,23.1,23.9 p,23.4 p,:
Annual,Gross fixed capital formation,Percentage of gross domestic product (GDP),Sweden,22.0,22.7,23.2,23.9,24.6,24.6,23.8,24.5,25.1,25.5,25.0,:
Annual,Gross fixed capital formation,Percentage of gross domestic product (GDP),Slovenia,19.8,19.4,18.9,17.8,18.5,19.5,19.8,19.0,20.3,21.9,21.3,:
Annual,Gross fixed capital formation,Percentage of gross domestic product (GDP),Slovakia,21.2,21.2,24.3,21.7,21.3,21.3,21.7,19.8,19.6,19.6,22.3,:
Annual,Gross fixed capital formation,Percentage of gross domestic product (GDP),Türkiye,28.3,28.7,29.6,29.1,29.9,29.8,26.0,27.5,28.2,29.2,31.9,:
Annual,Gross fixed capital formation,Percentage of gross domestic product (GDP),United Kingdom,16.0,16.6,17.2,17.7,18.0,17.8,18.0,:,:,:,:,:
Annual,Gross fixed capital formation,Percentage of gross domestic product (GDP),Kosovo*,29.2,27.5,28.3,28.0,30.0,31.7,31.0,29.7,32.9,32.5,31.5,:
