Time frequency,Unit of measure,n_room,geo\TIME_PERIOD,1991.0,2001.0
Annual,Number,3.0,IT,3833997.0,4397100.0
Annual,Number,3.0,LI,771.0,1906.0
Annual,Number,3.0,LT,:,356031.0
Annual,Number,3.0,LU,12162.0,15054.0
Annual,Number,3.0,LV,:,215816.0
Annual,Number,3.0,NL,1008000.0,594900.0
Annual,Number,3.0,NO,367896.0,383468.0
Annual,Number,3.0,PL,:,3881183.0
Annual,Number,3.0,PT,517999.0,497238.0
Annual,Number,3.0,RO,:,2276813.0
Annual,Number,3.0,SE,898520.0,:
Annual,Number,3.0,SI,:,204966.0
Annual,Number,3.0,SK,:,684560.0
Annual,Number,3.0,UK,2037056.0,2281565.0
Annual,Number,4.0,AT,537778.0,878346.0
Annual,Number,4.0,BE,1074396.0,843575.0
Annual,Number,4.0,BG,:,439576.0
Annual,Number,4.0,CH,762753.0,833359.0
Annual,Number,4.0,CY,:,33663.0
Annual,Number,4.0,CZ,:,516540.0
Annual,Number,4.0,DE,7459387.0,:
Annual,Number,4.0,DK,524212.0,551875.0
Annual,Number,4.0,EE,:,59612.0
Annual,Number,4.0,ES,3070308.0,2838126.0
Annual,Number,4.0,FI,459890.0,512597.0
Annual,Number,4.0,FR,6152193.0,6592388.0
Annual,Number,4.0,HU,:,400348.0
Annual,Number,4.0,IE,163317.0,142520.0
Annual,Number,4.0,IT,6605764.0,7062331.0
Annual,Number,4.0,LI,1436.0,2805.0
Annual,Number,4.0,LT,:,123899.0
Annual,Number,4.0,LU,24094.0,28079.0
Annual,Number,4.0,LV,:,65215.0
Annual,Number,4.0,NL,2291000.0,1258993.0
Annual,Number,4.0,NO,430032.0,441914.0
Annual,Number,4.0,PL,:,3351012.0
Annual,Number,4.0,PT,878967.0,1030627.0
Annual,Number,4.0,RO,:,851395.0
Annual,Number,4.0,SE,978242.0,:
Annual,Number,4.0,SI,:,213822.0
Annual,Number,4.0,SK,:,282865.0
Annual,Number,4.0,UK,4684704.0,5003881.0
Annual,Number,5.0,AT,282750.0,608197.0
Annual,Number,5.0,BE,723310.0,959318.0
Annual,Number,5.0,BG,:,151148.0
Annual,Number,5.0,CH,744994.0,486641.0
Annual,Number,5.0,CY,:,56569.0
Annual,Number,5.0,CZ,:,233408.0
Annual,Number,5.0,DE,4885179.0,:
Annual,Number,5.0,DK,601793.0,607216.0
Annual,Number,5.0,EE,:,24378.0
Annual,Number,5.0,ES,4180965.0,5412590.0
Annual,Number,5.0,FI,374609.0,429874.0
Annual,Number,5.0,FR,4001671.0,4522968.0
Annual,Number,5.0,HU,:,123797.0
Annual,Number,5.0,IE,285577.0,327392.0
Annual,Number,5.0,IT,4594754.0,4906883.0
Annual,Number,5.0,LI,2034.0,2664.0
Annual,Number,5.0,LT,:,56906.0
Annual,Number,5.0,LU,27180.0,29042.0
Annual,Number,5.0,LV,:,23600.0
Annual,Number,5.0,NL,1393000.0,2171371.0
Annual,Number,5.0,NO,268875.0,392235.0
Annual,Number,5.0,PL,:,1164017.0
Annual,Number,5.0,PT,798012.0,1054107.0
Annual,Number,5.0,RO,:,215015.0
Annual,Number,5.0,SE,769303.0,:
Annual,Number,5.0,SI,:,102326.0
Annual,Number,5.0,SK,:,141293.0
Annual,Number,5.0,UK,6495902.0,6621256.0
Annual,Number,6.0,AT,123859.0,350934.0
Annual,Number,6.0,BE,393183.0,608753.0
Annual,Number,6.0,BG,:,71998.0
Annual,Number,6.0,CH,399161.0,227094.0
Annual,Number,6.0,CY,:,61993.0
Annual,Number,6.0,CZ,:,92471.0
Annual,Number,6.0,DE,2714022.0,:
Annual,Number,6.0,DK,331319.0,355996.0
Annual,Number,6.0,EE,:,8310.0
Annual,Number,6.0,ES,1968598.0,2811490.0
Annual,Number,6.0,FI,164644.0,205443.0
Annual,Number,6.0,FR,1558172.0,1963852.0
Annual,Number,6.0,HU,:,58312.0
Annual,Number,6.0,IE,217193.0,262554.0
Annual,Number,6.0,IT,1688708.0,1719145.0
Annual,Number,6.0,LI,2266.0,1811.0
Annual,Number,6.0,LT,:,19934.0
Annual,Number,6.0,LU,26432.0,29643.0
Annual,Number,6.0,LV,:,10965.0
Annual,Number,6.0,NL,386000.0,1510166.0
Annual,Number,6.0,NO,161711.0,207141.0
Annual,Number,6.0,PL,:,667979.0
Annual,Number,6.0,PT,326041.0,403071.0
Annual,Number,6.0,RO,:,75595.0
Annual,Number,6.0,SE,496357.0,:
Annual,Number,6.0,SI,:,38460.0
Annual,Number,6.0,SK,:,62961.0
Annual,Number,6.0,UK,4625256.0,4873540.0
Annual,Number,7.0,AT,52720.0,167420.0
Annual,Number,7.0,BE,187956.0,313068.0
Annual,Number,7.0,BG,:,16250.0
Annual,Number,7.0,CH,186725.0,91731.0
Annual,Number,7.0,CY,:,26831.0
Annual,Number,7.0,CZ,:,29966.0
Annual,Number,7.0,DK,157375.0,178865.0
Annual,Number,7.0,EE,:,2725.0
Annual,Number,7.0,ES,475968.0,742775.0
Annual,Number,7.0,FI,:,56227.0
Annual,Number,7.0,FR,539923.0,725494.0
Annual,Number,7.0,IE,116600.0,179434.0
Annual,Number,7.0,IT,696995.0,689813.0
Annual,Number,7.0,LI,1576.0,928.0
Annual,Number,7.0,LT,:,5754.0
Annual,Number,7.0,LU,17899.0,21568.0
Annual,Number,7.0,NL,123000.0,491872.0
Annual,Number,7.0,NO,77014.0,105108.0
Annual,Number,7.0,PL,:,327444.0
Annual,Number,7.0,PT,139820.0,183587.0
Annual,Number,7.0,RO,:,17881.0
Annual,Number,7.0,SE,254973.0,:
Annual,Number,7.0,SI,:,15996.0
Annual,Number,7.0,SK,:,20529.0
Annual,Number,7.0,UK,1835782.0,2212924.0
Annual,Number,8.0,AT,25036.0,73807.0
Annual,Number,8.0,BE,84204.0,150771.0
Annual,Number,8.0,BG,:,9085.0
Annual,Number,8.0,CH,75566.0,38477.0
Annual,Number,8.0,CY,:,10816.0
Annual,Number,8.0,CZ,:,10775.0
Annual,Number,8.0,DK,:,76667.0
Annual,Number,8.0,EE,:,1031.0
Annual,Number,8.0,ES,203364.0,321420.0
Annual,Number,8.0,FI,:,16770.0
Annual,Number,8.0,FR,218859.0,286463.0
Annual,Number,8.0,IE,50498.0,97853.0
Annual,Number,8.0,IT,295215.0,308176.0
Annual,Number,8.0,LI,822.0,462.0
Annual,Number,8.0,LT,:,2335.0
Annual,Number,8.0,LU,11450.0,13951.0
Annual,Number,8.0,NL,50000.0,161906.0
Annual,Number,8.0,NO,:,40623.0
Annual,Number,8.0,PL,:,152730.0
Annual,Number,8.0,PT,59288.0,79343.0
Annual,Number,8.0,RO,:,7815.0
Annual,Number,8.0,SE,60312.0,:
Annual,Number,8.0,SI,:,4801.0
Annual,Number,8.0,SK,:,8553.0
Annual,Number,8.0,UK,816070.0,1288781.0
Annual,Number,9.0,FR,143704.0,176149.0
Annual,Number,GE9,AT,18537.0,67877.0
Annual,Number,GE9,BE,69849.0,134915.0
Annual,Number,GE9,BG,:,3761.0
Annual,Number,GE9,CH,57807.0,29496.0
Annual,Number,GE9,CY,:,7076.0
Annual,Number,GE9,CZ,:,5387.0
Annual,Number,GE9,DE,0.0,0.0
Annual,Number,GE9,DK,:,63949.0
Annual,Number,GE9,EE,:,518.0
Annual,Number,GE9,ES,155881.0,274692.0
Annual,Number,GE9,FI,:,8510.0
Annual,Number,GE9,FR,144512.0,174221.0
Annual,Number,GE9,IE,30884.0,75412.0
Annual,Number,GE9,IS,:,0.0
Annual,Number,GE9,IT,336492.0,319794.0
Annual,Number,GE9,LI,625.0,312.0
Annual,Number,GE9,LT,:,1392.0
Annual,Number,GE9,LU,9675.0,13207.0
Annual,Number,GE9,NL,32000.0,120871.0
Annual,Number,GE9,NO,:,33760.0
Annual,Number,GE9,PL,:,84060.0
Annual,Number,GE9,PT,62603.0,75220.0
Annual,Number,GE9,RO,:,4598.0
Annual,Number,GE9,SE,39074.0,0.0
Annual,Number,GE9,SI,:,2968.0
Annual,Number,GE9,SK,:,6203.0
Annual,Number,GE9,UK,657788.0,1264949.0
Annual,Number,TOTAL,AT,2967604.0,3315347.0
Annual,Number,TOTAL,BE,3748164.0,4083991.0
Annual,Number,TOTAL,BG,:,2818282.0
Annual,Number,TOTAL,CH,2800953.0,3027829.0
Annual,Number,TOTAL,CY,:,222393.0
Annual,Number,TOTAL,CZ,:,3827678.0
Annual,Number,TOTAL,DE,22441073.0,0.0
Annual,Number,TOTAL,DK,2124383.0,2395881.0
Annual,Number,TOTAL,EE,:,537907.0
Annual,Number,TOTAL,ES,11736376.0,14184026.0
Annual,Number,TOTAL,FI,1955729.0,2272620.0
Annual,Number,TOTAL,FR,21952304.0,23808072.0
Annual,Number,TOTAL,HU,:,3723509.0
Annual,Number,TOTAL,IE,1020223.0,1279617.0
Annual,Number,TOTAL,IS,:,0.0
Annual,Number,TOTAL,IT,19735913.0,21653288.0
Annual,Number,TOTAL,LI,10386.0,12601.0
Annual,Number,TOTAL,LT,:,1190642.0
Annual,Number,TOTAL,LU,141430.0,169198.0
Annual,Number,TOTAL,LV,:,793968.0
Annual,Number,TOTAL,NL,5903000.0,6456037.0
Annual,Number,TOTAL,NO,1661413.0,1961548.0
Annual,Number,TOTAL,PL,:,11632692.0
Annual,Number,TOTAL,PT,3053920.0,3551229.0
Annual,Number,TOTAL,RO,:,7165792.0
Annual,Number,TOTAL,SE,4043378.0,0.0
Annual,Number,TOTAL,SI,:,665111.0
Annual,Number,TOTAL,SK,:,1650540.0
Annual,Number,TOTAL,UK,22179777.0,24388467.0
Annual,Number,UNK,BE,:,110723.0
Annual,Number,UNK,CY,:,611.0
Annual,Number,UNK,CZ,:,35456.0
Annual,Number,UNK,EE,:,1498.0
Annual,Number,UNK,IE,20981.0,33995.0
Annual,Number,UNK,LU,4702.0,7660.0
Annual,Number,UNK,PL,:,7398.0
Annual,Number,UNK,SE,98144.0,:
