Time frequency,Unit of measure,Sex,International Standard Classification of Education (ISCED 1997),Classification of activities for time use,Geopolitical entity (reporting)\Time,2000.0,2010.0
Annual,Participation time (hh:mm),Total,All ISCED 1997 levels,"Leisure, social and associative life",Belgium,5:33,5:37
Annual,Participation time (hh:mm),Total,All ISCED 1997 levels,"Leisure, social and associative life",Bulgaria,4:22,:
Annual,Participation time (hh:mm),Total,All ISCED 1997 levels,"Leisure, social and associative life",Germany,5:30,5:45
Annual,Participation time (hh:mm),Total,All ISCED 1997 levels,"Leisure, social and associative life",Estonia,4:46,5:10
Annual,Participation time (hh:mm),Total,All ISCED 1997 levels,"Leisure, social and associative life",Greece,:,5:36
Annual,Participation time (hh:mm),Total,All ISCED 1997 levels,"Leisure, social and associative life",Spain,4:58,5:00
Annual,Participation time (hh:mm),Total,All ISCED 1997 levels,"Leisure, social and associative life",Finland,5:38,5:52
Annual,Participation time (hh:mm),Total,All ISCED 1997 levels,"Leisure, social and associative life",France,4:33,4:53
Annual,Participation time (hh:mm),Total,All ISCED 1997 levels,"Leisure, social and associative life",Hungary,:,4:56
Annual,Participation time (hh:mm),Total,All ISCED 1997 levels,"Leisure, social and associative life",Italy,4:40,4:41
Annual,Participation time (hh:mm),Total,All ISCED 1997 levels,"Leisure, social and associative life",Lithuania,4:21,:
Annual,Participation time (hh:mm),Total,All ISCED 1997 levels,"Leisure, social and associative life",Luxembourg,:,4:38
Annual,Participation time (hh:mm),Total,All ISCED 1997 levels,"Leisure, social and associative life",Latvia,4:36,:
Annual,Participation time (hh:mm),Total,All ISCED 1997 levels,"Leisure, social and associative life",Netherlands,:,5:30
Annual,Participation time (hh:mm),Total,All ISCED 1997 levels,"Leisure, social and associative life",Norway,5:49,5:45
Annual,Participation time (hh:mm),Total,All ISCED 1997 levels,"Leisure, social and associative life",Poland,4:59,4:56
Annual,Participation time (hh:mm),Total,All ISCED 1997 levels,"Leisure, social and associative life",Romania,:,4:19
Annual,Participation time (hh:mm),Total,All ISCED 1997 levels,"Leisure, social and associative life",Serbia,:,5:20
Annual,Participation time (hh:mm),Total,All ISCED 1997 levels,"Leisure, social and associative life",Slovenia,5:04,:
Annual,Participation time (hh:mm),Total,All ISCED 1997 levels,"Leisure, social and associative life",Türkiye,:,5:24
Annual,Participation time (hh:mm),Total,All ISCED 1997 levels,"Leisure, social and associative life",United Kingdom,5:12,5:06
Annual,Time spent (hh:mm),Total,All ISCED 1997 levels,"Leisure, social and associative life",Austria,:,4:55
Annual,Time spent (hh:mm),Total,All ISCED 1997 levels,"Leisure, social and associative life",Belgium,5:31,5:33
Annual,Time spent (hh:mm),Total,All ISCED 1997 levels,"Leisure, social and associative life",Bulgaria,4:15,:
Annual,Time spent (hh:mm),Total,All ISCED 1997 levels,"Leisure, social and associative life",Germany,5:28,5:43
Annual,Time spent (hh:mm),Total,All ISCED 1997 levels,"Leisure, social and associative life",Estonia,4:38,5:03
Annual,Time spent (hh:mm),Total,All ISCED 1997 levels,"Leisure, social and associative life",Greece,:,5:34
Annual,Time spent (hh:mm),Total,All ISCED 1997 levels,"Leisure, social and associative life",Spain,4:51,4:53
Annual,Time spent (hh:mm),Total,All ISCED 1997 levels,"Leisure, social and associative life",Finland,5:36,5:49
Annual,Time spent (hh:mm),Total,All ISCED 1997 levels,"Leisure, social and associative life",France,4:24,4:44
Annual,Time spent (hh:mm),Total,All ISCED 1997 levels,"Leisure, social and associative life",Hungary,:,4:50
Annual,Time spent (hh:mm),Total,All ISCED 1997 levels,"Leisure, social and associative life",Italy,4:35,4:35
Annual,Time spent (hh:mm),Total,All ISCED 1997 levels,"Leisure, social and associative life",Lithuania,4:13,:
Annual,Time spent (hh:mm),Total,All ISCED 1997 levels,"Leisure, social and associative life",Luxembourg,:,4:33
Annual,Time spent (hh:mm),Total,All ISCED 1997 levels,"Leisure, social and associative life",Latvia,4:25,:
Annual,Time spent (hh:mm),Total,All ISCED 1997 levels,"Leisure, social and associative life",Netherlands,:,5:23
Annual,Time spent (hh:mm),Total,All ISCED 1997 levels,"Leisure, social and associative life",Norway,5:46,5:43
Annual,Time spent (hh:mm),Total,All ISCED 1997 levels,"Leisure, social and associative life",Poland,4:55,4:50
Annual,Time spent (hh:mm),Total,All ISCED 1997 levels,"Leisure, social and associative life",Romania,:,4:13
Annual,Time spent (hh:mm),Total,All ISCED 1997 levels,"Leisure, social and associative life",Serbia,:,5:17
Annual,Time spent (hh:mm),Total,All ISCED 1997 levels,"Leisure, social and associative life",Slovenia,4:59,:
Annual,Time spent (hh:mm),Total,All ISCED 1997 levels,"Leisure, social and associative life",Türkiye,:,5:18
Annual,Time spent (hh:mm),Total,All ISCED 1997 levels,"Leisure, social and associative life",United Kingdom,5:08,4:59
