Time frequency,Unit of measure,Duration,International Standard Classification of Education (ISCED 2011),Sex,Age class,Geopolitical entity (reporting)\Time,2014.0,2019.0
Annual,Percentage,From 1 to 149 minutes,All ISCED 2011 levels,Total,Total,Italy,16.8,16.4
Annual,Percentage,From 1 to 149 minutes,All ISCED 2011 levels,Total,Total,Lithuania,16.6,20.0
Annual,Percentage,From 1 to 149 minutes,All ISCED 2011 levels,Total,Total,Luxembourg,21.9,21.7
Annual,Percentage,From 1 to 149 minutes,All ISCED 2011 levels,Total,Total,Latvia,25.3,26.5
Annual,Percentage,From 1 to 149 minutes,All ISCED 2011 levels,Total,Total,Malta,17.7,16.2
Annual,Percentage,From 1 to 149 minutes,All ISCED 2011 levels,Total,Total,Norway,16.2,18.3
Annual,Percentage,From 1 to 149 minutes,All ISCED 2011 levels,Total,Total,Poland,24.1,23.6
Annual,Percentage,From 1 to 149 minutes,All ISCED 2011 levels,Total,Total,Portugal,18.8,17.5
Annual,Percentage,From 1 to 149 minutes,All ISCED 2011 levels,Total,Total,Romania,7.0,8.0
Annual,Percentage,From 1 to 149 minutes,All ISCED 2011 levels,Total,Total,Sweden,21.3,19.8
Annual,Percentage,From 1 to 149 minutes,All ISCED 2011 levels,Total,Total,Slovenia,23.0,19.2
Annual,Percentage,From 1 to 149 minutes,All ISCED 2011 levels,Total,Total,Slovakia,22.9,21.4
Annual,Percentage,From 1 to 149 minutes,All ISCED 2011 levels,Total,Total,Türkiye,7.1,6.9
Annual,Percentage,From 1 to 149 minutes,All ISCED 2011 levels,Total,Total,United Kingdom,21.8,:
Annual,Percentage,From 150 to 299 minutes,All ISCED 2011 levels,Total,Total,Austria,21.0,19.2
Annual,Percentage,From 150 to 299 minutes,All ISCED 2011 levels,Total,Total,Bulgaria,4.5,5.5
Annual,Percentage,From 150 to 299 minutes,All ISCED 2011 levels,Total,Total,Cyprus,14.8,13.7
Annual,Percentage,From 150 to 299 minutes,All ISCED 2011 levels,Total,Total,Czechia,14.3,12.6
Annual,Percentage,From 150 to 299 minutes,All ISCED 2011 levels,Total,Total,Germany,21.8,20.1
Annual,Percentage,From 150 to 299 minutes,All ISCED 2011 levels,Total,Total,Denmark,23.6,24.0
Annual,Percentage,From 150 to 299 minutes,All ISCED 2011 levels,Total,Total,Estonia,11.1,11.5
Annual,Percentage,From 150 to 299 minutes,All ISCED 2011 levels,Total,Total,Greece,7.6,11.1
Annual,Percentage,From 150 to 299 minutes,All ISCED 2011 levels,Total,Total,Spain,12.9,14.2
Annual,Percentage,From 150 to 299 minutes,All ISCED 2011 levels,Total,Total,European Union - 27 countries (from 2020),13.9,14.2
Annual,Percentage,From 150 to 299 minutes,All ISCED 2011 levels,Total,Total,European Union - 28 countries (2013-2020),14.2 e,:
Annual,Percentage,From 150 to 299 minutes,All ISCED 2011 levels,Total,Total,Finland,26.4,:
Annual,Percentage,From 150 to 299 minutes,All ISCED 2011 levels,Total,Total,France,13.3,13.9
Annual,Percentage,From 150 to 299 minutes,All ISCED 2011 levels,Total,Total,Croatia,8.8,8.9
Annual,Percentage,From 150 to 299 minutes,All ISCED 2011 levels,Total,Total,Hungary,11.8,14.5
Annual,Percentage,From 150 to 299 minutes,All ISCED 2011 levels,Total,Total,Ireland,14.6,15.3
Annual,Percentage,From 150 to 299 minutes,All ISCED 2011 levels,Total,Total,Iceland,30.6,22.5
Annual,Percentage,From 150 to 299 minutes,All ISCED 2011 levels,Total,Total,Italy,9.4,9.5
Annual,Percentage,From 150 to 299 minutes,All ISCED 2011 levels,Total,Total,Lithuania,10.8,10.9
Annual,Percentage,From 150 to 299 minutes,All ISCED 2011 levels,Total,Total,Luxembourg,19.7,21.5
Annual,Percentage,From 150 to 299 minutes,All ISCED 2011 levels,Total,Total,Latvia,11.5,10.7
Annual,Percentage,From 150 to 299 minutes,All ISCED 2011 levels,Total,Total,Malta,15.5,6.2
Annual,Percentage,From 150 to 299 minutes,All ISCED 2011 levels,Total,Total,Norway,20.8,25.2
Annual,Percentage,From 150 to 299 minutes,All ISCED 2011 levels,Total,Total,Poland,9.0,10.1
Annual,Percentage,From 150 to 299 minutes,All ISCED 2011 levels,Total,Total,Portugal,9.2,9.1
Annual,Percentage,From 150 to 299 minutes,All ISCED 2011 levels,Total,Total,Romania,4.6,4.3
Annual,Percentage,From 150 to 299 minutes,All ISCED 2011 levels,Total,Total,Sweden,23.4,23.8
Annual,Percentage,From 150 to 299 minutes,All ISCED 2011 levels,Total,Total,Slovenia,15.5,13.9 u
Annual,Percentage,From 150 to 299 minutes,All ISCED 2011 levels,Total,Total,Slovakia,14.0,14.5
Annual,Percentage,From 150 to 299 minutes,All ISCED 2011 levels,Total,Total,Türkiye,2.2,2.6
Annual,Percentage,From 150 to 299 minutes,All ISCED 2011 levels,Total,Total,United Kingdom,16.3,:
Annual,Percentage,150 minutes or over,All ISCED 2011 levels,Total,Total,Austria,50.4,43.8
Annual,Percentage,150 minutes or over,All ISCED 2011 levels,Total,Total,Bulgaria,9.9,11.3
Annual,Percentage,150 minutes or over,All ISCED 2011 levels,Total,Total,Cyprus,25.3,22.4
Annual,Percentage,150 minutes or over,All ISCED 2011 levels,Total,Total,Czechia,28.4,25.1
Annual,Percentage,150 minutes or over,All ISCED 2011 levels,Total,Total,Germany,48.3,49.0
Annual,Percentage,150 minutes or over,All ISCED 2011 levels,Total,Total,Denmark,54.6,55.4
Annual,Percentage,150 minutes or over,All ISCED 2011 levels,Total,Total,Estonia,23.2,25.8
Annual,Percentage,150 minutes or over,All ISCED 2011 levels,Total,Total,Greece,16.7,19.6
Annual,Percentage,150 minutes or over,All ISCED 2011 levels,Total,Total,Spain,34.0,35.4
Annual,Percentage,150 minutes or over,All ISCED 2011 levels,Total,Total,European Union - 27 countries (from 2020),29.9,32.7
Annual,Percentage,150 minutes or over,All ISCED 2011 levels,Total,Total,European Union - 28 countries (2013-2020),30.8 e,:
Annual,Percentage,150 minutes or over,All ISCED 2011 levels,Total,Total,Finland,54.6,:
Annual,Percentage,150 minutes or over,All ISCED 2011 levels,Total,Total,France,25.0,27.4
Annual,Percentage,150 minutes or over,All ISCED 2011 levels,Total,Total,Croatia,19.4,19.9
Annual,Percentage,150 minutes or over,All ISCED 2011 levels,Total,Total,Hungary,28.6,32.3
Annual,Percentage,150 minutes or over,All ISCED 2011 levels,Total,Total,Ireland,29.1,37.3
Annual,Percentage,150 minutes or over,All ISCED 2011 levels,Total,Total,Iceland,60.8,55.9
Annual,Percentage,150 minutes or over,All ISCED 2011 levels,Total,Total,Italy,18.2,19.7
Annual,Percentage,150 minutes or over,All ISCED 2011 levels,Total,Total,Lithuania,19.7,20.9
Annual,Percentage,150 minutes or over,All ISCED 2011 levels,Total,Total,Luxembourg,41.6,44.9
Annual,Percentage,150 minutes or over,All ISCED 2011 levels,Total,Total,Latvia,23.3,20.2
Annual,Percentage,150 minutes or over,All ISCED 2011 levels,Total,Total,Malta,34.9,12.2
Annual,Percentage,150 minutes or over,All ISCED 2011 levels,Total,Total,Norway,56.8,67.6
Annual,Percentage,150 minutes or over,All ISCED 2011 levels,Total,Total,Poland,17.1,20.3
Annual,Percentage,150 minutes or over,All ISCED 2011 levels,Total,Total,Portugal,18.4,16.9
Annual,Percentage,150 minutes or over,All ISCED 2011 levels,Total,Total,Romania,8.6,8.0
Annual,Percentage,150 minutes or over,All ISCED 2011 levels,Total,Total,Sweden,54.1,56.4
Annual,Percentage,150 minutes or over,All ISCED 2011 levels,Total,Total,Slovenia,37.9,32.6
Annual,Percentage,150 minutes or over,All ISCED 2011 levels,Total,Total,Slovakia,29.4,30.5
Annual,Percentage,150 minutes or over,All ISCED 2011 levels,Total,Total,Türkiye,4.7,5.4
Annual,Percentage,150 minutes or over,All ISCED 2011 levels,Total,Total,United Kingdom,36.9,:
Annual,Percentage,300 minutes or over,All ISCED 2011 levels,Total,Total,Austria,29.4,24.5
Annual,Percentage,300 minutes or over,All ISCED 2011 levels,Total,Total,Bulgaria,5.5,5.8
Annual,Percentage,300 minutes or over,All ISCED 2011 levels,Total,Total,Cyprus,10.4,8.6
Annual,Percentage,300 minutes or over,All ISCED 2011 levels,Total,Total,Czechia,14.1,12.5
Annual,Percentage,300 minutes or over,All ISCED 2011 levels,Total,Total,Germany,26.4,28.9
Annual,Percentage,300 minutes or over,All ISCED 2011 levels,Total,Total,Denmark,31.0,31.4
Annual,Percentage,300 minutes or over,All ISCED 2011 levels,Total,Total,Estonia,12.1,14.3
Annual,Percentage,300 minutes or over,All ISCED 2011 levels,Total,Total,Greece,9.1,8.5
Annual,Percentage,300 minutes or over,All ISCED 2011 levels,Total,Total,Spain,21.1,21.2
Annual,Percentage,300 minutes or over,All ISCED 2011 levels,Total,Total,European Union - 27 countries (from 2020),16.1,18.4
Annual,Percentage,300 minutes or over,All ISCED 2011 levels,Total,Total,European Union - 28 countries (2013-2020),16.6 e,:
Annual,Percentage,300 minutes or over,All ISCED 2011 levels,Total,Total,Finland,28.2,:
Annual,Percentage,300 minutes or over,All ISCED 2011 levels,Total,Total,France,11.7,13.5
Annual,Percentage,300 minutes or over,All ISCED 2011 levels,Total,Total,Croatia,10.6,11.1
Annual,Percentage,300 minutes or over,All ISCED 2011 levels,Total,Total,Hungary,16.8,17.9
Annual,Percentage,300 minutes or over,All ISCED 2011 levels,Total,Total,Ireland,14.5,22.0
Annual,Percentage,300 minutes or over,All ISCED 2011 levels,Total,Total,Iceland,30.2,33.4
Annual,Percentage,300 minutes or over,All ISCED 2011 levels,Total,Total,Italy,8.9,10.2
Annual,Percentage,300 minutes or over,All ISCED 2011 levels,Total,Total,Lithuania,8.9,10.0
Annual,Percentage,300 minutes or over,All ISCED 2011 levels,Total,Total,Luxembourg,21.9,23.4
Annual,Percentage,300 minutes or over,All ISCED 2011 levels,Total,Total,Latvia,11.8,9.4
Annual,Percentage,300 minutes or over,All ISCED 2011 levels,Total,Total,Malta,19.4,6.0
Annual,Percentage,300 minutes or over,All ISCED 2011 levels,Total,Total,Norway,36.1,42.5
Annual,Percentage,300 minutes or over,All ISCED 2011 levels,Total,Total,Poland,8.1,10.2
Annual,Percentage,300 minutes or over,All ISCED 2011 levels,Total,Total,Portugal,9.3,7.9
Annual,Percentage,300 minutes or over,All ISCED 2011 levels,Total,Total,Romania,4.0,3.7
Annual,Percentage,300 minutes or over,All ISCED 2011 levels,Total,Total,Sweden,30.7,32.6
Annual,Percentage,300 minutes or over,All ISCED 2011 levels,Total,Total,Slovenia,22.4,18.6 u
Annual,Percentage,300 minutes or over,All ISCED 2011 levels,Total,Total,Slovakia,15.4,16.0
Annual,Percentage,300 minutes or over,All ISCED 2011 levels,Total,Total,Türkiye,2.4,2.7
Annual,Percentage,300 minutes or over,All ISCED 2011 levels,Total,Total,United Kingdom,20.7,:
