Time frequency,Degree of urbanisation,Unit of measure,Geopolitical entity (reporting)\Time,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Towns and suburbs,Percentage,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",:,:,:,:,19.1,19.8,21.4,:,:
Annual,Towns and suburbs,Percentage,Euro area - 18 countries (2014),:,:,:,:,19.1,19.8,:,:,:
Annual,Towns and suburbs,Percentage,Euro area - 19 countries  (2015-2022),22.5,21.4,20.6,20.1,19.1,19.9,21.4,:,:
Annual,Towns and suburbs,Percentage,Euro area – 20 countries (from 2023),22.5,21.4,20.6,20.1,19.1,19.8 b,21.4,21.5,21.4
Annual,Towns and suburbs,Percentage,Estonia,23.8,24.2,22.1,20.9,18.2,20.6,24.1,27.7,27.9
Annual,Towns and suburbs,Percentage,Greece,32.3,30.9,31.1,27.7,26.8,25.9,26.8,26.2,24.7
Annual,Towns and suburbs,Percentage,Spain,29.3,27.2,27.7,28.4,26.4,26.9,30.1,28.4,28.7
Annual,Towns and suburbs,Percentage,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,:,:,:,19.2 e,:,:,:,:
Annual,Towns and suburbs,Percentage,European Union - 27 countries (2007-2013),:,:,:,:,19.2 e,:,:,:,:
Annual,Towns and suburbs,Percentage,European Union - 27 countries (from 2020),22.8,21.8,20.8,19.9,19.2,19.6 b,20.9,21.0,21.0
Annual,Towns and suburbs,Percentage,European Union - 28 countries (2013-2020),:,:,:,:,19.2 e,:,:,:,:
Annual,Towns and suburbs,Percentage,Finland,16.4,15.4,15.2,16.1,13.2,13.9,13.6,15.7 b,15.2
Annual,Towns and suburbs,Percentage,France,20.2,21.0,20.6,20.2,18.4,19.4 b,20.6,23.2 b,22.6
Annual,Towns and suburbs,Percentage,Croatia,21.3,19.3,21.7,20.0,19.1,17.5,19.4,18.7,20.3 b
Annual,Towns and suburbs,Percentage,Hungary,30.8,28.3,25.7,19.5,19.1,18.2,18.8,18.1,20.1
Annual,Towns and suburbs,Percentage,Ireland,26.9,28.6,26.4,25.0,22.9 b,21.0 b,17.2,18.8,20.2
Annual,Towns and suburbs,Percentage,Iceland,13.7,13.9,13.5,14.3,12.8,:,:,:,:
Annual,Towns and suburbs,Percentage,Italy,29.3 b,26.9,24.9,24.7,22.9,22.4,25.0,23.7,22.4
Annual,Towns and suburbs,Percentage,Lithuania,32.1,26.8,29.1,27.6,23.0,28.0,26.0,25.5,28.5
Annual,Towns and suburbs,Percentage,Luxembourg,22.6,24.5 b,22.3,22.4,22.8,22.5 b,24.7 b,21.5 b,22.0
Annual,Towns and suburbs,Percentage,Latvia,32.5,30.8,31.9,31.6,27.0,26.1,23.8,22.9,25.1
Annual,Towns and suburbs,Percentage,North Macedonia,:,37.9,37.9,32.2,32.5,33.9,:,:,:
Annual,Towns and suburbs,Percentage,Malta,18.4,17.5,20.5,14.9,19.3,17.9,17.3,16.0,19.1
Annual,Towns and suburbs,Percentage,Netherlands,13.8,12.7 b,13.4,12.4,12.9,11.9,13.7,12.9,12.9
Annual,Towns and suburbs,Percentage,Norway,13.3,12.7,13.4,12.9,12.5,15.4,14.8 b,14.5,15.7 b
Annual,Towns and suburbs,Percentage,Poland,20.0,18.0,17.4,15.3,15.3,13.7,14.1,14.2,15.4
Annual,Towns and suburbs,Percentage,Portugal,23.6,22.5,20.0,19.8,19.7,20.8,20.8,20.3,19.8
Annual,Towns and suburbs,Percentage,Romania,37.7,41.7,36.3,31.6,31.2,29.5,30.6,30.8,27.4
Annual,Towns and suburbs,Percentage,Serbia,37.9,26.3,36.9,30.7,27.4,26.6,26.1,25.0,:
Annual,Towns and suburbs,Percentage,Sweden,16.7,15.7,15.0,16.5,16.9,17.6,17.0,18.4,17.0
Annual,Towns and suburbs,Percentage,Slovenia,17.0,15.2,15.0,14.8,12.6,13.2,13.0,13.0,14.2
Annual,Towns and suburbs,Percentage,Slovakia,16.3,15.9,16.0,15.1,14.9,14.9,14.6,15.5,17.3
Annual,Towns and suburbs,Percentage,United Kingdom,18.2,19.9,18.4 b,19.7,:,:,:,:,:
Annual,Towns and suburbs,Thousand persons,Albania,:,529.0,427.0,407.0,395.0,350.0,326.0,:,:
Annual,Towns and suburbs,Thousand persons,Austria,417.0,380.0,421.0,350.0,386.0,429.0,439.0,407.0,389.0
Annual,Towns and suburbs,Thousand persons,Belgium,1033.0,1053.0,1046.0,966.0,953 b,1013.0,845.0,838.0,885.0
Annual,Towns and suburbs,Thousand persons,Bulgaria,728.0,643 b,606.0,478.0,477.0,526.0,523.0,575.0,518.0
Annual,Towns and suburbs,Thousand persons,Switzerland,710.0,652.0,732.0,763.0,833.0,809.0,721.0,870.0,871.0
Annual,Towns and suburbs,Thousand persons,Cyprus,48.0,47.0,65.0,60.0,57.0,37.0,36.0,30.0,31.0
Annual,Towns and suburbs,Thousand persons,Czechia,488.0,444.0,451.0,434.0,473.0,445.0,407.0,436.0,410.0
Annual,Towns and suburbs,Thousand persons,Germany,6128.0,5944.0,5492.0,5313.0,5177.0,6087 b,6471.0,6615.0,6937.0
Annual,Towns and suburbs,Thousand persons,Denmark,132.0,291.0,316.0,296.0,231.0,255 b,260.0,274.0,262.0
Annual,Towns and suburbs,Thousand persons,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",:,:,:,:,:,23708.0,26413.0,:,:
Annual,Towns and suburbs,Thousand persons,Euro area - 18 countries (2014),:,:,:,:,:,23374.0,:,:,:
Annual,Towns and suburbs,Thousand persons,Euro area - 19 countries  (2015-2022),25369.0,23183.0,22124.0,21639.0,22569.0,23476.0,26168.0,:,:
Annual,Towns and suburbs,Thousand persons,Euro area – 20 countries (from 2023),25629.0,23430.0,22422.0,21902.0,22841.0,23708 b,26413.0,26910.0,27009.0
Annual,Towns and suburbs,Thousand persons,Estonia,47.0,48.0,44.0,23.0,21.0,25.0,62.0,74.0,76.0
Annual,Towns and suburbs,Thousand persons,Greece,944.0,919.0,1009.0,905.0,883.0,863.0,878.0,834.0,756.0
Annual,Towns and suburbs,Thousand persons,Spain,3006.0,2854.0,2857.0,3066.0,2985.0,2951.0,4419.0,4280.0,4388.0
Annual,Towns and suburbs,Thousand persons,European Union - 27 countries (from 2020),31794.0,29629.0,28610.0,27353.0,28309.0,29121 b,32117.0,32623.0,32318.0
Annual,Towns and suburbs,Thousand persons,Finland,291.0,272.0,271.0,284.0,229.0,239.0,243.0,282 b,274.0
Annual,Towns and suburbs,Thousand persons,France,2480.0,2640.0,2462.0,2390.0,3193.0,3441 b,3741.0,4592 b,4470.0
Annual,Towns and suburbs,Thousand persons,Croatia,260.0,248.0,298.0,263.0,252.0,232.0,245.0,223.0,238 b
Annual,Towns and suburbs,Thousand persons,Hungary,653.0,608.0,876.0,640.0,622.0,623.0,655.0,586.0,646.0
Annual,Towns and suburbs,Thousand persons,Ireland,307.0,328.0,301.0,286.0,255 b,261 b,221.0,264.0,280.0
Annual,Towns and suburbs,Thousand persons,Iceland,8.0,9.0,7.0,8.0,8.0,:,:,:,:
Annual,Towns and suburbs,Thousand persons,Italy,8436 b,6690.0,6182.0,6118.0,6534.0,6154.0,6730.0,6443.0,6136.0
Annual,Towns and suburbs,Thousand persons,Lithuania,7.0,16.0,19.0,18.0,14.0,102.0,101.0,100.0,124.0
Annual,Towns and suburbs,Thousand persons,Luxembourg,45.0,51 b,50.0,56.0,58.0,65 b,70 b,64 b,70.0
Annual,Towns and suburbs,Thousand persons,Latvia,129.0,119.0,119.0,117.0,98.0,93.0,97.0,97.0,105.0
Annual,Towns and suburbs,Thousand persons,North Macedonia,:,359.0,350.0,286.0,288.0,284.0,:,:,:
Annual,Towns and suburbs,Thousand persons,Malta,8.0,7.0,9.0,7.0,10.0,10.0,42.0,41.0,50.0
Annual,Towns and suburbs,Thousand persons,Netherlands,926.0,742 b,767.0,688.0,738.0,681.0,786.0,728.0,729.0
Annual,Towns and suburbs,Thousand persons,Norway,270.0,262.0,266.0,266.0,260.0,332.0,327 b,328.0,356 b
Annual,Towns and suburbs,Thousand persons,Poland,1818.0,1676.0,1588.0,1384.0,1338.0,1234.0,1493.0,1481.0,1343.0
Annual,Towns and suburbs,Thousand persons,Portugal,718.0,685.0,621.0,598.0,604.0,656.0,627.0,644.0,623.0
Annual,Towns and suburbs,Thousand persons,Romania,1771.0,2008.0,1765.0,1573.0,1660.0,1590.0,1652.0,1589.0,1417.0
Annual,Towns and suburbs,Thousand persons,Serbia,731.0,517.0,718.0,593.0,520.0,505.0,478.0,469.0,:
Annual,Towns and suburbs,Thousand persons,Sweden,587.0,548.0,597.0,668.0,685.0,740.0,713.0,773.0,712.0
Annual,Towns and suburbs,Thousand persons,Slovenia,112.0,99.0,105.0,104.0,93.0,98.0,99.0,98.0,108.0
Annual,Towns and suburbs,Thousand persons,Slovakia,300.0,299.0,306.0,294.0,283.0,279.0,262.0,258.0,285.0
Annual,Towns and suburbs,Thousand persons,United Kingdom,3333.0,3327.0,3342 b,3723.0,:,:,:,:,:
Annual,Rural areas,Percentage,Albania,:,78.1,67.5,64.5,60.0,56.9,54.0,:,:
Annual,Rural areas,Percentage,Austria,12.9,13.9,12.0,13.4,10.7,10.8,11.9,12.1,12.7
Annual,Rural areas,Percentage,Belgium,19.6,20.9,21.8,19.6,18.8 b,18.9,19.4,18.1,16.6
Annual,Rural areas,Percentage,Bulgaria,57.9,56.0 b,53.6,48.8,49.0,48.8,42.5,43.1,39.3
Annual,Rural areas,Percentage,Switzerland,17.9,17.4,17.2,16.3,16.8,17.1,17.3,17.2,18.4
Annual,Rural areas,Percentage,Cyprus,25.6,25.0,25.1,20.9,22.6,24.2,25.1,20.9,19.6
Annual,Rural areas,Percentage,Czechia,11.8,11.0,11.1,11.4,11.2,11.3,9.6,10.7,11.4
Annual,Rural areas,Percentage,Germany,17.3,17.2,17.2,17.6,15.5,17.7 b,17.2,16.8,16.5
Annual,Rural areas,Percentage,Denmark,17.2,14.3,14.1,15.9,16.0,13.8 b,15.9,14.7,17.3
Annual,Rural areas,Percentage,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",:,:,:,:,20.0 e,20.5,19.7,:,:
Annual,Rural areas,Percentage,Euro area - 18 countries (2014),:,:,:,:,19.8 e,20.3,:,:,:
Annual,Rural areas,Percentage,Euro area - 19 countries  (2015-2022),22.5,23.0,21.7,21.3,20.0,20.4,19.6,:,:
Annual,Rural areas,Percentage,Euro area – 20 countries (from 2023),22.7,23.1,21.9,21.4,20.1,20.5 b,19.7,19.6,19.1
Annual,Rural areas,Percentage,Estonia,25.7,24.7,26.3,28.8,27.9,26.9,22.7,24.9,24.0
Annual,Rural areas,Percentage,Greece,34.8,36.1,36.0,34.1,33.6,31.5,34.0,31.1,30.4
Annual,Rural areas,Percentage,Spain,34.2,34.2,32.3,32.3,29.5,30.1,27.6,27.6,29.9
Annual,Rural areas,Percentage,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,:,:,:,22.8 e,:,:,:,:
Annual,Rural areas,Percentage,European Union - 27 countries (2007-2013),:,:,:,:,22.8 e,:,:,:,:
Annual,Rural areas,Percentage,European Union - 27 countries (from 2020),26.4,26.3,24.8,24.2,22.9,23.2 b,22.4,22.0,21.4
Annual,Rural areas,Percentage,European Union - 28 countries (2013-2020),:,:,:,:,22.8 e,:,:,:,:
Annual,Rural areas,Percentage,Finland,17.5,17.2,15.9,16.8,15.3,16.3,14.7,14.7 b,14.1
Annual,Rural areas,Percentage,France,16.8,16.4,15.2,14.5,15.1,13.7 b,14.4,14.8 b,15.4
Annual,Rural areas,Percentage,Croatia,30.8,30.3,30.8,28.7,26.5,26.3,26.8,25.5,27.1 b
Annual,Rural areas,Percentage,Hungary,35.2,33.8,31.4,26.5,24.8,24.9,25.3,23.7,26.0
Annual,Rural areas,Percentage,Ireland,26.4,24.4,22.9,21.6,21.5 b,19.4 b,24.6,24.4,20.8
Annual,Rural areas,Percentage,Iceland,9.3,10.4,10.7,11.6,10.8,:,:,:,:
Annual,Rural areas,Percentage,Italy,26.8 b,29.0,25.9,25.2,24.6,27.4,25.0,25.2,22.0
Annual,Rural areas,Percentage,Lithuania,35.8,38.2,37.7,35.9,30.9,29.9,27.9,29.7,29.8
Annual,Rural areas,Percentage,Luxembourg,15.4,14.5 b,17.5,16.3,17.7,18.2 b,16.3 b,18.6 b,23.6
Annual,Rural areas,Percentage,Latvia,35.7,33.5,33.6,32.3,31.5,28.7,31.6,34.9,30.7
Annual,Rural areas,Percentage,North Macedonia,:,43.3,39.1,41.1,38.2,33.1,:,:,:
Annual,Rural areas,Percentage,Malta,35.5 u,12.9 u,: u,: u,: u,: u,17.6,8.8,34.5
Annual,Rural areas,Percentage,Netherlands,12.5,12.3 b,12.8,12.2,10.5,11.8,13.2,12.3,12.6
Annual,Rural areas,Percentage,Norway,14.8,13.0,14.1,14.8,16.4,15.6,14.9 b,15.0,13.5 b
Annual,Rural areas,Percentage,Poland,29.3,26.6,23.3,24.6,24.0,24.2,23.2,22.1,21.3
Annual,Rural areas,Percentage,Portugal,29.6,29.0,27.4,26.3,25.1,25.2,29.9,26.4,24.3
Annual,Rural areas,Percentage,Romania,57.8,59.1,55.8,52.0,49.2,50.4,50.1,47.9,45.1
Annual,Rural areas,Percentage,Serbia,52.7,39.2,47.7,44.1,41.3,39.5,37.3,35.5,:
Annual,Rural areas,Percentage,Sweden,17.9,17.5,20.3,20.1,20.3,19.4,16.9,19.9,19.2
Annual,Rural areas,Percentage,Slovenia,17.8,17.5,17.4,15.7,13.6,14.1,13.0,12.5,13.0
Annual,Rural areas,Percentage,Slovakia,20.0,21.5,18.4,17.9,17.2,16.0,18.5,19.9,18.4
Annual,Rural areas,Percentage,United Kingdom,20.2,17.1,16.5 b,21.5,:,:,:,:,:
Annual,Rural areas,Thousand persons,Albania,:,869.0,753.0,708.0,654.0,588.0,551.0,:,:
Annual,Rural areas,Thousand persons,Austria,438.0,481.0,405.0,441.0,360.0,359.0,408.0,414.0,429.0
Annual,Rural areas,Thousand persons,Belgium,391.0,416.0,433.0,403.0,331 b,328.0,333.0,312.0,278.0
Annual,Rural areas,Thousand persons,Bulgaria,1367.0,1324 b,1229.0,1101.0,1094.0,1065.0,923.0,921.0,779.0
Annual,Rural areas,Thousand persons,Switzerland,346.0,327.0,265.0,236.0,241.0,254.0,255.0,249.0,271.0
Annual,Rural areas,Thousand persons,Cyprus,62.0,58.0,39.0,32.0,36.0,37.0,40.0,36.0,36.0
Annual,Rural areas,Thousand persons,Czechia,448.0,425.0,407.0,427.0,428.0,429.0,369.0,408.0,433.0
Annual,Rural areas,Thousand persons,Germany,3121.0,3228.0,3239.0,3303.0,2874.0,2853 b,2835.0,2801.0,2761.0
Annual,Rural areas,Thousand persons,Denmark,438.0,268.0,265.0,302.0,303.0,262 b,296.0,274.0,335.0
Annual,Rural areas,Thousand persons,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",:,:,:,:,:,17326.0,15548.0,:,:
Annual,Rural areas,Thousand persons,Euro area - 18 countries (2014),:,:,:,:,:,16573.0,:,:,:
Annual,Rural areas,Thousand persons,Euro area - 19 countries  (2015-2022),19615.0,20599.0,19454.0,18847.0,16995.0,16948.0,15168.0,:,:
Annual,Rural areas,Thousand persons,Euro area – 20 countries (from 2023),20213.0,21139.0,19951.0,19296.0,17376.0,17326 b,15548.0,15525.0,15182.0
Annual,Rural areas,Thousand persons,Estonia,137.0,131.0,140.0,119.0,111.0,107.0,108.0,118.0,115.0
Annual,Rural areas,Thousand persons,Greece,1287.0,1265.0,1196.0,1057.0,1128.0,1059.0,1097.0,942.0,873.0
Annual,Rural areas,Thousand persons,Spain,4165.0,4050.0,3879.0,3853.0,3587.0,3666.0,1696.0,1730.0,1881.0
Annual,Rural areas,Thousand persons,European Union - 27 countries (from 2020),34372.0,34719.0,31988.0,30745.0,28265.0,28104 b,25459.0,25154.0,24694.0
Annual,Rural areas,Thousand persons,Finland,284.0,277.0,252.0,261.0,239.0,258.0,220.0,217 b,207.0
Annual,Rural areas,Thousand persons,France,3510.0,3397.0,3176.0,2949.0,3232.0,2953 b,3143.0,3283 b,3442.0
Annual,Rural areas,Thousand persons,Croatia,599.0,539.0,497.0,449.0,403.0,378.0,380.0,356.0,370 b
Annual,Rural areas,Thousand persons,Hungary,1607.0,1535.0,992.0,841.0,794.0,770.0,768.0,703.0,776.0
Annual,Rural areas,Thousand persons,Ireland,525.0,483.0,443.0,425.0,441 b,386 b,496.0,468.0,416.0
Annual,Rural areas,Thousand persons,Iceland,5.0,5.0,7.0,9.0,9.0,:,:,:,:
