Time frequency,Enterprise,Statistical classification of economic activities in the European Community (NACE Rev. 2),Economical indicator for structural business statistics,Unit of measure,Geopolitical entity (reporting)\Time,2018.0
Annual,Enterprises that moved the function while increasing the activity abroad,Industry (except construction),Enterprises - number,Number,Hungary,1.0
Annual,Enterprises that moved the function while increasing the activity abroad,Industry (except construction),Enterprises - number,Number,Italy,6.0
Annual,Enterprises that moved the function while increasing the activity abroad,Industry (except construction),Enterprises - number,Number,Lithuania,0.0
Annual,Enterprises that moved the function while increasing the activity abroad,Industry (except construction),Enterprises - number,Number,Latvia,1.0
Annual,Enterprises that moved the function while increasing the activity abroad,Industry (except construction),Enterprises - number,Number,Netherlands,1.0
Annual,Enterprises that moved the function while increasing the activity abroad,Industry (except construction),Enterprises - number,Number,Norway,0.0
Annual,Enterprises that moved the function while increasing the activity abroad,Industry (except construction),Enterprises - number,Number,Poland,6.0
Annual,Enterprises that moved the function while increasing the activity abroad,Industry (except construction),Enterprises - number,Number,Portugal,107.0
Annual,Enterprises that moved the function while increasing the activity abroad,Industry (except construction),Enterprises - number,Number,Romania,4.0
Annual,Enterprises that moved the function while increasing the activity abroad,Industry (except construction),Enterprises - number,Number,Sweden,15.0
Annual,Enterprises that moved the function while increasing the activity abroad,Industry (except construction),Enterprises - number,Number,Slovakia,20.0
Annual,Enterprises that moved the function while increasing the activity abroad,High and medium high-technology manufacturing,Enterprises - number,Number,Austria,1 u
Annual,Enterprises that moved the function while increasing the activity abroad,High and medium high-technology manufacturing,Enterprises - number,Number,Denmark,3.0
Annual,Enterprises that moved the function while increasing the activity abroad,High and medium high-technology manufacturing,Enterprises - number,Number,Finland,3.0
Annual,Enterprises that moved the function while increasing the activity abroad,High and medium high-technology manufacturing,Enterprises - number,Number,Slovakia,15.0
Annual,Enterprises that moved the function while increasing the activity abroad,"Construction, services of the business economy except financial and insurance activities",Enterprises - number,Number,Austria,0 u
Annual,Enterprises that moved the function while increasing the activity abroad,"Construction, services of the business economy except financial and insurance activities",Enterprises - number,Number,Bulgaria,: @C
Annual,Enterprises that moved the function while increasing the activity abroad,"Construction, services of the business economy except financial and insurance activities",Enterprises - number,Number,Germany,: u
Annual,Enterprises that moved the function while increasing the activity abroad,"Construction, services of the business economy except financial and insurance activities",Enterprises - number,Number,Denmark,1.0
Annual,Enterprises that moved the function while increasing the activity abroad,"Construction, services of the business economy except financial and insurance activities",Enterprises - number,Number,Finland,2.0
Annual,Enterprises that moved the function while increasing the activity abroad,"Construction, services of the business economy except financial and insurance activities",Enterprises - number,Number,Hungary,0.0
Annual,Enterprises that moved the function while increasing the activity abroad,"Construction, services of the business economy except financial and insurance activities",Enterprises - number,Number,Italy,4.0
Annual,Enterprises that moved the function while increasing the activity abroad,"Construction, services of the business economy except financial and insurance activities",Enterprises - number,Number,Lithuania,1.0
Annual,Enterprises that moved the function while increasing the activity abroad,"Construction, services of the business economy except financial and insurance activities",Enterprises - number,Number,Latvia,2.0
Annual,Enterprises that moved the function while increasing the activity abroad,"Construction, services of the business economy except financial and insurance activities",Enterprises - number,Number,Netherlands,0.0
Annual,Enterprises that moved the function while increasing the activity abroad,"Construction, services of the business economy except financial and insurance activities",Enterprises - number,Number,Norway,: @C
Annual,Enterprises that moved the function while increasing the activity abroad,"Construction, services of the business economy except financial and insurance activities",Enterprises - number,Number,Poland,8.0
Annual,Enterprises that moved the function while increasing the activity abroad,"Construction, services of the business economy except financial and insurance activities",Enterprises - number,Number,Portugal,120.0
Annual,Enterprises that moved the function while increasing the activity abroad,"Construction, services of the business economy except financial and insurance activities",Enterprises - number,Number,Romania,7.0
Annual,Enterprises that moved the function while increasing the activity abroad,"Construction, services of the business economy except financial and insurance activities",Enterprises - number,Number,Sweden,: @C
Annual,Enterprises that moved the function while increasing the activity abroad,"Construction, services of the business economy except financial and insurance activities",Enterprises - number,Number,Slovakia,7.0
Annual,Enterprises that moved the function while increasing the activity abroad,Knowledge-intensive market services,Enterprises - number,Number,Austria,0 u
Annual,Enterprises that moved the function while increasing the activity abroad,Knowledge-intensive market services,Enterprises - number,Number,Denmark,0.0
Annual,Enterprises that moved the function while increasing the activity abroad,Knowledge-intensive market services,Enterprises - number,Number,Finland,0.0
Annual,Enterprises that moved the function while increasing the activity abroad,Knowledge-intensive market services,Enterprises - number,Number,Slovakia,1.0
Annual,Enterprises that moved the function while increasing the activity abroad,Total - all NACE activities,Enterprises - number,Number,Austria,1 u
Annual,Enterprises that moved the function while increasing the activity abroad,Total - all NACE activities,Enterprises - number,Number,Bulgaria,: @C
Annual,Enterprises that moved the function while increasing the activity abroad,Total - all NACE activities,Enterprises - number,Number,Germany,: u
Annual,Enterprises that moved the function while increasing the activity abroad,Total - all NACE activities,Enterprises - number,Number,Denmark,4.0
Annual,Enterprises that moved the function while increasing the activity abroad,Total - all NACE activities,Enterprises - number,Number,Finland,4.0
Annual,Enterprises that moved the function while increasing the activity abroad,Total - all NACE activities,Enterprises - number,Number,Hungary,1.0
Annual,Enterprises that moved the function while increasing the activity abroad,Total - all NACE activities,Enterprises - number,Number,Italy,10.0
Annual,Enterprises that moved the function while increasing the activity abroad,Total - all NACE activities,Enterprises - number,Number,Lithuania,1.0
Annual,Enterprises that moved the function while increasing the activity abroad,Total - all NACE activities,Enterprises - number,Number,Latvia,3.0
Annual,Enterprises that moved the function while increasing the activity abroad,Total - all NACE activities,Enterprises - number,Number,Netherlands,1.0
Annual,Enterprises that moved the function while increasing the activity abroad,Total - all NACE activities,Enterprises - number,Number,Norway,: @C
Annual,Enterprises that moved the function while increasing the activity abroad,Total - all NACE activities,Enterprises - number,Number,Poland,14.0
Annual,Enterprises that moved the function while increasing the activity abroad,Total - all NACE activities,Enterprises - number,Number,Portugal,227.0
Annual,Enterprises that moved the function while increasing the activity abroad,Total - all NACE activities,Enterprises - number,Number,Romania,11.0
Annual,Enterprises that moved the function while increasing the activity abroad,Total - all NACE activities,Enterprises - number,Number,Sweden,25.0
Annual,Enterprises that moved the function while increasing the activity abroad,Total - all NACE activities,Enterprises - number,Number,Slovakia,27.0
Annual,Enterprises that moved the function while partially closing the activity abroad,Industry (except construction),Enterprises - number,Number,Austria,1 u
Annual,Enterprises that moved the function while partially closing the activity abroad,Industry (except construction),Enterprises - number,Number,Bulgaria,: @C
Annual,Enterprises that moved the function while partially closing the activity abroad,Industry (except construction),Enterprises - number,Number,Germany,17 u
Annual,Enterprises that moved the function while partially closing the activity abroad,Industry (except construction),Enterprises - number,Number,Denmark,15.0
Annual,Enterprises that moved the function while partially closing the activity abroad,Industry (except construction),Enterprises - number,Number,Finland,21.0
Annual,Enterprises that moved the function while partially closing the activity abroad,Industry (except construction),Enterprises - number,Number,Hungary,8.0
Annual,Enterprises that moved the function while partially closing the activity abroad,Industry (except construction),Enterprises - number,Number,Italy,61.0
Annual,Enterprises that moved the function while partially closing the activity abroad,Industry (except construction),Enterprises - number,Number,Lithuania,4.0
Annual,Enterprises that moved the function while partially closing the activity abroad,Industry (except construction),Enterprises - number,Number,Latvia,7.0
Annual,Enterprises that moved the function while partially closing the activity abroad,Industry (except construction),Enterprises - number,Number,Netherlands,21.0
Annual,Enterprises that moved the function while partially closing the activity abroad,Industry (except construction),Enterprises - number,Number,Norway,19.0
Annual,Enterprises that moved the function while partially closing the activity abroad,Industry (except construction),Enterprises - number,Number,Poland,107.0
Annual,Enterprises that moved the function while partially closing the activity abroad,Industry (except construction),Enterprises - number,Number,Portugal,17.0
Annual,Enterprises that moved the function while partially closing the activity abroad,Industry (except construction),Enterprises - number,Number,Romania,10.0
Annual,Enterprises that moved the function while partially closing the activity abroad,Industry (except construction),Enterprises - number,Number,Sweden,43.0
Annual,Enterprises that moved the function while partially closing the activity abroad,Industry (except construction),Enterprises - number,Number,Slovakia,30.0
Annual,Enterprises that moved the function while partially closing the activity abroad,High and medium high-technology manufacturing,Enterprises - number,Number,Austria,1 u
Annual,Enterprises that moved the function while partially closing the activity abroad,High and medium high-technology manufacturing,Enterprises - number,Number,Denmark,10.0
Annual,Enterprises that moved the function while partially closing the activity abroad,High and medium high-technology manufacturing,Enterprises - number,Number,Finland,10.0
Annual,Enterprises that moved the function while partially closing the activity abroad,High and medium high-technology manufacturing,Enterprises - number,Number,Slovakia,11.0
Annual,Enterprises that moved the function while partially closing the activity abroad,"Construction, services of the business economy except financial and insurance activities",Enterprises - number,Number,Austria,5 u
Annual,Enterprises that moved the function while partially closing the activity abroad,"Construction, services of the business economy except financial and insurance activities",Enterprises - number,Number,Bulgaria,: @C
Annual,Enterprises that moved the function while partially closing the activity abroad,"Construction, services of the business economy except financial and insurance activities",Enterprises - number,Number,Germany,16 u
Annual,Enterprises that moved the function while partially closing the activity abroad,"Construction, services of the business economy except financial and insurance activities",Enterprises - number,Number,Denmark,16.0
Annual,Enterprises that moved the function while partially closing the activity abroad,"Construction, services of the business economy except financial and insurance activities",Enterprises - number,Number,Finland,18.0
Annual,Enterprises that moved the function while partially closing the activity abroad,"Construction, services of the business economy except financial and insurance activities",Enterprises - number,Number,Hungary,4.0
Annual,Enterprises that moved the function while partially closing the activity abroad,"Construction, services of the business economy except financial and insurance activities",Enterprises - number,Number,Italy,23.0
Annual,Enterprises that moved the function while partially closing the activity abroad,"Construction, services of the business economy except financial and insurance activities",Enterprises - number,Number,Lithuania,1.0
Annual,Enterprises that moved the function while partially closing the activity abroad,"Construction, services of the business economy except financial and insurance activities",Enterprises - number,Number,Latvia,10.0
Annual,Enterprises that moved the function while partially closing the activity abroad,"Construction, services of the business economy except financial and insurance activities",Enterprises - number,Number,Netherlands,21.0
Annual,Enterprises that moved the function while partially closing the activity abroad,"Construction, services of the business economy except financial and insurance activities",Enterprises - number,Number,Norway,7.0
Annual,Enterprises that moved the function while partially closing the activity abroad,"Construction, services of the business economy except financial and insurance activities",Enterprises - number,Number,Poland,90.0
Annual,Enterprises that moved the function while partially closing the activity abroad,"Construction, services of the business economy except financial and insurance activities",Enterprises - number,Number,Portugal,16.0
Annual,Enterprises that moved the function while partially closing the activity abroad,"Construction, services of the business economy except financial and insurance activities",Enterprises - number,Number,Romania,11.0
Annual,Enterprises that moved the function while partially closing the activity abroad,"Construction, services of the business economy except financial and insurance activities",Enterprises - number,Number,Sweden,: @C
Annual,Enterprises that moved the function while partially closing the activity abroad,"Construction, services of the business economy except financial and insurance activities",Enterprises - number,Number,Slovakia,11.0
Annual,Enterprises that moved the function while partially closing the activity abroad,Knowledge-intensive market services,Enterprises - number,Number,Austria,2 u
Annual,Enterprises that moved the function while partially closing the activity abroad,Knowledge-intensive market services,Enterprises - number,Number,Denmark,2.0
Annual,Enterprises that moved the function while partially closing the activity abroad,Knowledge-intensive market services,Enterprises - number,Number,Finland,3.0
Annual,Enterprises that moved the function while partially closing the activity abroad,Knowledge-intensive market services,Enterprises - number,Number,Slovakia,3.0
Annual,Enterprises that moved the function while partially closing the activity abroad,Total - all NACE activities,Enterprises - number,Number,Austria,6 u
Annual,Enterprises that moved the function while partially closing the activity abroad,Total - all NACE activities,Enterprises - number,Number,Bulgaria,7.0
Annual,Enterprises that moved the function while partially closing the activity abroad,Total - all NACE activities,Enterprises - number,Number,Germany,33 u
Annual,Enterprises that moved the function while partially closing the activity abroad,Total - all NACE activities,Enterprises - number,Number,Denmark,31.0
Annual,Enterprises that moved the function while partially closing the activity abroad,Total - all NACE activities,Enterprises - number,Number,Finland,38.0
Annual,Enterprises that moved the function while partially closing the activity abroad,Total - all NACE activities,Enterprises - number,Number,Hungary,12.0
Annual,Enterprises that moved the function while partially closing the activity abroad,Total - all NACE activities,Enterprises - number,Number,Italy,84.0
Annual,Enterprises that moved the function while partially closing the activity abroad,Total - all NACE activities,Enterprises - number,Number,Lithuania,5.0
Annual,Enterprises that moved the function while partially closing the activity abroad,Total - all NACE activities,Enterprises - number,Number,Latvia,17.0
Annual,Enterprises that moved the function while partially closing the activity abroad,Total - all NACE activities,Enterprises - number,Number,Netherlands,42.0
Annual,Enterprises that moved the function while partially closing the activity abroad,Total - all NACE activities,Enterprises - number,Number,Norway,26.0
Annual,Enterprises that moved the function while partially closing the activity abroad,Total - all NACE activities,Enterprises - number,Number,Poland,197.0
Annual,Enterprises that moved the function while partially closing the activity abroad,Total - all NACE activities,Enterprises - number,Number,Portugal,33.0
Annual,Enterprises that moved the function while partially closing the activity abroad,Total - all NACE activities,Enterprises - number,Number,Romania,21.0
Annual,Enterprises that moved the function while partially closing the activity abroad,Total - all NACE activities,Enterprises - number,Number,Sweden,59.0
Annual,Enterprises that moved the function while partially closing the activity abroad,Total - all NACE activities,Enterprises - number,Number,Slovakia,41.0
Annual,Enterprises that moved the function while leaving the activity abroad the same,Industry (except construction),Enterprises - number,Number,Austria,0 u
Annual,Enterprises that moved the function while leaving the activity abroad the same,Industry (except construction),Enterprises - number,Number,Bulgaria,: @C
Annual,Enterprises that moved the function while leaving the activity abroad the same,Industry (except construction),Enterprises - number,Number,Germany,28 u
Annual,Enterprises that moved the function while leaving the activity abroad the same,Industry (except construction),Enterprises - number,Number,Denmark,9.0
Annual,Enterprises that moved the function while leaving the activity abroad the same,Industry (except construction),Enterprises - number,Number,Finland,6.0
Annual,Enterprises that moved the function while leaving the activity abroad the same,Industry (except construction),Enterprises - number,Number,Hungary,4.0
Annual,Enterprises that moved the function while leaving the activity abroad the same,Industry (except construction),Enterprises - number,Number,Italy,57.0
Annual,Enterprises that moved the function while leaving the activity abroad the same,Industry (except construction),Enterprises - number,Number,Lithuania,0.0
Annual,Enterprises that moved the function while leaving the activity abroad the same,Industry (except construction),Enterprises - number,Number,Latvia,3.0
Annual,Enterprises that moved the function while leaving the activity abroad the same,Industry (except construction),Enterprises - number,Number,Netherlands,8.0
Annual,Enterprises that moved the function while leaving the activity abroad the same,Industry (except construction),Enterprises - number,Number,Norway,8.0
Annual,Enterprises that moved the function while leaving the activity abroad the same,Industry (except construction),Enterprises - number,Number,Poland,77.0
Annual,Enterprises that moved the function while leaving the activity abroad the same,Industry (except construction),Enterprises - number,Number,Portugal,38.0
Annual,Enterprises that moved the function while leaving the activity abroad the same,Industry (except construction),Enterprises - number,Number,Romania,8.0
Annual,Enterprises that moved the function while leaving the activity abroad the same,Industry (except construction),Enterprises - number,Number,Sweden,: @C
Annual,Enterprises that moved the function while leaving the activity abroad the same,Industry (except construction),Enterprises - number,Number,Slovakia,54.0
Annual,Enterprises that moved the function while leaving the activity abroad the same,High and medium high-technology manufacturing,Enterprises - number,Number,Austria,0 u
Annual,Enterprises that moved the function while leaving the activity abroad the same,High and medium high-technology manufacturing,Enterprises - number,Number,Denmark,5.0
Annual,Enterprises that moved the function while leaving the activity abroad the same,High and medium high-technology manufacturing,Enterprises - number,Number,Finland,3.0
Annual,Enterprises that moved the function while leaving the activity abroad the same,High and medium high-technology manufacturing,Enterprises - number,Number,Slovakia,23.0
Annual,Enterprises that moved the function while leaving the activity abroad the same,"Construction, services of the business economy except financial and insurance activities",Enterprises - number,Number,Austria,0 u
Annual,Enterprises that moved the function while leaving the activity abroad the same,"Construction, services of the business economy except financial and insurance activities",Enterprises - number,Number,Bulgaria,4.0
Annual,Enterprises that moved the function while leaving the activity abroad the same,"Construction, services of the business economy except financial and insurance activities",Enterprises - number,Number,Germany,8 u
Annual,Enterprises that moved the function while leaving the activity abroad the same,"Construction, services of the business economy except financial and insurance activities",Enterprises - number,Number,Denmark,9.0
Annual,Enterprises that moved the function while leaving the activity abroad the same,"Construction, services of the business economy except financial and insurance activities",Enterprises - number,Number,Finland,8.0
Annual,Enterprises that moved the function while leaving the activity abroad the same,"Construction, services of the business economy except financial and insurance activities",Enterprises - number,Number,Hungary,3.0
Annual,Enterprises that moved the function while leaving the activity abroad the same,"Construction, services of the business economy except financial and insurance activities",Enterprises - number,Number,Italy,12.0
Annual,Enterprises that moved the function while leaving the activity abroad the same,"Construction, services of the business economy except financial and insurance activities",Enterprises - number,Number,Lithuania,2.0
Annual,Enterprises that moved the function while leaving the activity abroad the same,"Construction, services of the business economy except financial and insurance activities",Enterprises - number,Number,Latvia,8.0
Annual,Enterprises that moved the function while leaving the activity abroad the same,"Construction, services of the business economy except financial and insurance activities",Enterprises - number,Number,Netherlands,1.0
Annual,Enterprises that moved the function while leaving the activity abroad the same,"Construction, services of the business economy except financial and insurance activities",Enterprises - number,Number,Norway,15.0
Annual,Enterprises that moved the function while leaving the activity abroad the same,"Construction, services of the business economy except financial and insurance activities",Enterprises - number,Number,Poland,45.0
Annual,Enterprises that moved the function while leaving the activity abroad the same,"Construction, services of the business economy except financial and insurance activities",Enterprises - number,Number,Portugal,100.0
Annual,Enterprises that moved the function while leaving the activity abroad the same,"Construction, services of the business economy except financial and insurance activities",Enterprises - number,Number,Romania,3.0
Annual,Enterprises that moved the function while leaving the activity abroad the same,"Construction, services of the business economy except financial and insurance activities",Enterprises - number,Number,Sweden,: @C
Annual,Enterprises that moved the function while leaving the activity abroad the same,"Construction, services of the business economy except financial and insurance activities",Enterprises - number,Number,Slovakia,21.0
Annual,Enterprises that moved the function while leaving the activity abroad the same,Knowledge-intensive market services,Enterprises - number,Number,Austria,0 u
Annual,Enterprises that moved the function while leaving the activity abroad the same,Knowledge-intensive market services,Enterprises - number,Number,Denmark,4.0
Annual,Enterprises that moved the function while leaving the activity abroad the same,Knowledge-intensive market services,Enterprises - number,Number,Finland,0.0
Annual,Enterprises that moved the function while leaving the activity abroad the same,Knowledge-intensive market services,Enterprises - number,Number,Slovakia,3.0
Annual,Enterprises that moved the function while leaving the activity abroad the same,Total - all NACE activities,Enterprises - number,Number,Austria,0 u
Annual,Enterprises that moved the function while leaving the activity abroad the same,Total - all NACE activities,Enterprises - number,Number,Bulgaria,: @C
Annual,Enterprises that moved the function while leaving the activity abroad the same,Total - all NACE activities,Enterprises - number,Number,Germany,36 u
Annual,Enterprises that moved the function while leaving the activity abroad the same,Total - all NACE activities,Enterprises - number,Number,Denmark,18.0
Annual,Enterprises that moved the function while leaving the activity abroad the same,Total - all NACE activities,Enterprises - number,Number,Finland,13.0
Annual,Enterprises that moved the function while leaving the activity abroad the same,Total - all NACE activities,Enterprises - number,Number,Hungary,7.0
Annual,Enterprises that moved the function while leaving the activity abroad the same,Total - all NACE activities,Enterprises - number,Number,Italy,70.0
Annual,Enterprises that moved the function while leaving the activity abroad the same,Total - all NACE activities,Enterprises - number,Number,Lithuania,2.0
Annual,Enterprises that moved the function while leaving the activity abroad the same,Total - all NACE activities,Enterprises - number,Number,Latvia,11.0
Annual,Enterprises that moved the function while leaving the activity abroad the same,Total - all NACE activities,Enterprises - number,Number,Netherlands,9.0
Annual,Enterprises that moved the function while leaving the activity abroad the same,Total - all NACE activities,Enterprises - number,Number,Norway,23.0
Annual,Enterprises that moved the function while leaving the activity abroad the same,Total - all NACE activities,Enterprises - number,Number,Poland,122.0
Annual,Enterprises that moved the function while leaving the activity abroad the same,Total - all NACE activities,Enterprises - number,Number,Portugal,137.0
Annual,Enterprises that moved the function while leaving the activity abroad the same,Total - all NACE activities,Enterprises - number,Number,Romania,11.0
Annual,Enterprises that moved the function while leaving the activity abroad the same,Total - all NACE activities,Enterprises - number,Number,Sweden,19.0
Annual,Enterprises that moved the function while leaving the activity abroad the same,Total - all NACE activities,Enterprises - number,Number,Slovakia,75.0
Annual,Total,Industry (except construction),Enterprises - number,Number,Austria,4 u
Annual,Total,Industry (except construction),Enterprises - number,Number,Bulgaria,3.0
Annual,Total,Industry (except construction),Enterprises - number,Number,Germany,57 u
Annual,Total,Industry (except construction),Enterprises - number,Number,Denmark,36.0
Annual,Total,Industry (except construction),Enterprises - number,Number,Finland,39.0
Annual,Total,Industry (except construction),Enterprises - number,Number,Hungary,15.0
Annual,Total,Industry (except construction),Enterprises - number,Number,Italy,150.0
Annual,Total,Industry (except construction),Enterprises - number,Number,Lithuania,4.0
Annual,Total,Industry (except construction),Enterprises - number,Number,Latvia,11.0
Annual,Total,Industry (except construction),Enterprises - number,Number,Netherlands,40.0
Annual,Total,Industry (except construction),Enterprises - number,Number,Norway,29.0
Annual,Total,Industry (except construction),Enterprises - number,Number,Poland,172.0
Annual,Total,Industry (except construction),Enterprises - number,Number,Portugal,162.0
Annual,Total,Industry (except construction),Enterprises - number,Number,Romania,20.0
Annual,Total,Industry (except construction),Enterprises - number,Number,Sweden,82.0
Annual,Total,Industry (except construction),Enterprises - number,Number,Slovakia,105.0
Annual,Total,High and medium high-technology manufacturing,Enterprises - number,Number,Austria,3 u
Annual,Total,High and medium high-technology manufacturing,Enterprises - number,Number,Denmark,23.0
Annual,Total,High and medium high-technology manufacturing,Enterprises - number,Number,Finland,18.0
Annual,Total,High and medium high-technology manufacturing,Enterprises - number,Number,Slovakia,52.0
Annual,Total,"Construction, services of the business economy except financial and insurance activities",Enterprises - number,Number,Austria,7 u
Annual,Total,"Construction, services of the business economy except financial and insurance activities",Enterprises - number,Number,Bulgaria,11.0
Annual,Total,"Construction, services of the business economy except financial and insurance activities",Enterprises - number,Number,Germany,38 u
Annual,Total,"Construction, services of the business economy except financial and insurance activities",Enterprises - number,Number,Denmark,42.0
