Time frequency,Unit of measure,Transport coverage,Geopolitical entity (reporting)\Time,1979.0,1980.0,1981.0,1982.0,1983.0,1984.0,1985.0,1986.0,1987.0,1988.0,1989.0,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0
Annual,Number,International transport - unloaded,Luxembourg,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0,0.0,:,:,:,:
Annual,Number,International transport - unloaded,Latvia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Number,International transport - unloaded,Norway,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0,0.0,0.0,0.0
Annual,Number,International transport - unloaded,Poland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,: m,: m,: m,: m,: m,: m,: m
Annual,Number,International transport - unloaded,Slovenia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0,0.0,0.0,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Number,International transport - unloaded,Türkiye,:,:,:,:,:,:,:,:,:,:,:,:,:,:,2354.0,3404.0,402.0,2497.0,:,:,:,:,:,:,:,:,5570.0,:,:,:,:,:,:,2633.0
Annual,Number,National transport,Czechia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Number,National transport,Germany,:,:,:,:,:,:,:,:,:,:,:,:,:,896622.0,898448.0,549167.0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Number,National transport,Greece,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,3154.0,3252.0,4645.0,6270.0,4192.0,:,:,:,:,5605.0,5605.0,7088.0,9203.0,9250.0,7622.0,:,:,:,:
Annual,Number,National transport,Spain,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,53033.0,50489.0,58570.0,57922.0,54273.0,45887.0,29597.0,26125.0,:,22070.0,13470.0,:,:,:,:,:,:,:
Annual,Number,National transport,Finland,:,:,:,:,:,:,:,:,:,:,26746.0,24783.0,22518.0,19922.0,22185.0,25097.0,27940.0,29186.0,32058.0,33383.0,31655.0,33233.0,33251.0,33632.0,32893.0,33773.0,37790.0,40419.0,42680.0,48926.0,46278.0,43029.0,40906.0,41945.0
Annual,Number,National transport,Croatia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,910.0,640.0,1328.0,1218.0,1059.0,864.0,887.0
Annual,Number,National transport,Hungary,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,: m
Annual,Number,National transport,Lithuania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:
Annual,Number,National transport,Luxembourg,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0,0.0,:,:,:,:
Annual,Number,National transport,Latvia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Number,National transport,Norway,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0,0.0,0.0,0.0
Annual,Number,National transport,Poland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,: m,: m,: m,: m,: m,: m,: m
Annual,Number,National transport,Portugal,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,23141.0,23482.0,23761.0,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Number,National transport,Sweden,:,:,:,:,:,:,:,:,:,:,:,:,:,1445.0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Number,National transport,Slovenia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,16091.0,15336.0,13043.0,11927.0,10505.0,11112.0,11183.0,11016.0,12167.0,12226.0,11220.0,11535.0,11740.0
Annual,Number,National transport,Türkiye,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0,0.0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Number,National transport,United Kingdom,:,:,:,:,:,:,:,:,:,:,:,:,:,20262.0,19794.0,15916.0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Number,Total transport,Belgium,25902.0,25055.0,23492.0,22238.0,17553.0,15596.0,14452.0,15413.0,15991.0,18287.0,18266.0,16018.0,16149.0,15248.0,22698.0,23776.0,20050.0,21666.0,27082.0,27473.0,:,25258.0,18447.0,20021.0,:,:,:,:,:,:,:,:,:,:
Annual,Number,Total transport,Bulgaria,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,449.0,676.0,1440.0,1408.0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Number,Total transport,Switzerland,:,:,:,:,:,:,:,:,:,:,:,179984.0,177046.0,84295.0,9134.0,8640.0,8326.0,9246.0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Number,Total transport,Czechia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,568.0,607.0,928.0,2001.0,2589.0,4804.0,6263.0,10147.0,11938.0,13061.0,12639.0,13265.0,13292.0
Annual,Number,Total transport,Germany,:,:,150582.0,128079.0,122722.0,112407.0,121825.0,140772.0,152056.0,865371.0,924743.0,995100.0,987227.0,1054531.0,1069105.0,695070.0,:,:,:,765386.0,851825.0,645507.0,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Number,Total transport,Greece,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,4903.0,5101.0,6701.0,4333.0,:,:,:,:,5605.0,5605.0,7088.0,9203.0,9250.0,7622.0,:,:,:,:
Annual,Number,Total transport,Spain,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,57429.0,53450.0,58570.0,57922.0,54273.0,45887.0,29597.0,26125.0,:,22070.0,13470.0,:,:,:,:,:,:,:
Annual,Number,Total transport,Finland,:,:,:,:,:,:,:,:,:,:,27068.0,25129.0,22882.0,20004.0,22281.0,25196.0,28060.0,29255.0,32084.0,33431.0,31664.0,33234.0,33251.0,33632.0,32893.0,33773.0,37790.0,40419.0,42680.0,48926.0,46278.0,43029.0,40906.0,41945.0
Annual,Number,Total transport,France,261240.0,279190.0,294050.0,295810.0,308800.0,313190.0,319710.0,333590.0,326960.0,348970.0,351770.0,332730.0,313340.0,280760.0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Number,Total transport,Croatia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,15692.0,12606.0,10005.0,8008.0,7573.0,6581.0,6215.0
Annual,Number,Total transport,Hungary,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,: m
Annual,Number,Total transport,Italy,57706.0,58478.0,58940.0,62111.0,56017.0,57367.0,:,:,:,:,:,:,:,:,:,:,69700.0,84792.0,88590.0,77570.0,75945.0,77061.0,67311.0,64799.0,:,:,:,:,:,:,:,:,:,:
Annual,Number,Total transport,Lithuania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:
Annual,Number,Total transport,Luxembourg,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0,0.0,:,:,:,:
Annual,Number,Total transport,Latvia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Number,Total transport,Netherlands,12416.0,15291.0,13324.0,11877.0,9920.0,8463.0,9182.0,9720.0,11398.0,13848.0,14643.0,13067.0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Number,Total transport,Norway,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0,0.0,0.0,0.0
Annual,Number,Total transport,Poland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,: m,8277.0,: m,: m,: m,: m,: m
Annual,Number,Total transport,Portugal,:,:,:,:,:,:,44258.0,47394.0,:,33736.0,30752.0,:,:,30514.0,27588.0,25543.0,25374.0,22442.0,24183.0,23141.0,23482.0,23761.0,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Number,Total transport,Sweden,:,:,:,:,:,:,:,:,:,:,:,2445.0,2545.0,1445.0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Number,Total transport,Slovenia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,140.0,175.0,233.0,190.0,809.0,16091.0,15336.0,13043.0,11927.0,10505.0,11112.0,11183.0,11016.0,12167.0,12226.0,11220.0,11535.0,11740.0
Annual,Number,Total transport,Türkiye,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,749.0,5248.0,:,:,:,45781.0,65680.0,71919.0,63215.0,:,11344.0,:,:,:,6353.0,6956.0,5691.0,5283.0
Annual,Number,Total transport,United Kingdom,78710.0,66640.0,58386.0,39981.0,31750.0,30632.0,:,:,:,:,:,:,:,20262.0,19794.0,15916.0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Number,Transit,Belgium,:,:,:,:,:,:,:,:,:,:,:,:,:,:,9352.0,10826.0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Number,Transit,Switzerland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,5954.0,7573.0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Number,Transit,Czechia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Number,Transit,Greece,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,: m,: m,: m,: m,: m,:,:,:,:
Annual,Number,Transit,Finland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,: m,: m,:,: m,: m,: m,: m,: m,: m,: m
Annual,Number,Transit,Croatia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,13265.0,8656.0,7566.0,5753.0,6514.0,5693.0,5290.0
Annual,Number,Transit,Hungary,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,: m
Annual,Number,Transit,Lithuania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:
Annual,Number,Transit,Luxembourg,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0,0.0,:,:,:,:
Annual,Number,Transit,Latvia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Number,Transit,Norway,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0,0.0,0.0,0.0
Annual,Number,Transit,Poland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,: m,: m,: m,: m,: m,: m,: m
Annual,Number,Transit,Slovenia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0,0.0,0.0,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Number,Transit,Türkiye,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0,0.0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
