Time frequency,Classification of individual consumption by purpose (COICOP),Unit of measure,Geopolitical entity (reporting)\Time,Janvier 2024,Février 2024,Mars 2024,Avril 2024,Mai 2024,Juin 2024,Juillet 2024,Août 2024,Septembre 2024,Octobre 2024,Novembre 2024,Décembre 2024
Monthly,Clothing and footwear,Percentage change m/m-1,Latvia,-4.8,-1.3,6.8,8.0,0.5,-1.7,-5.1,-1.1,3.4,-0.7,-0.3,-2.4
Monthly,Clothing and footwear,Percentage change m/m-1,Montenegro,-2.8 d,-1.7 d,1.1 d,3.4 d,0.9 d,-1.9 d,-3.8 d,-4.0 d,4.1 d,4.4 d,1.2 d,-0.3 d
Monthly,Clothing and footwear,Percentage change m/m-1,North Macedonia,-0.9 d,-0.2 d,0.2 d,0.9 d,1.3 d,0.1 d,-0.4 d,-0.3 d,0.0 d,1.3 d,0.2 d,0.2 d
Monthly,Clothing and footwear,Percentage change m/m-1,Malta,-13.1,1.8,6.7,4.2,0.4,-0.4,-6.9,-6.1,7.7,5.9,0.0,2.0
Monthly,Clothing and footwear,Percentage change m/m-1,Netherlands,-14.5,8.7,6.6,0.9,0.3,-3.5,-10.3,2.1,13.6,5.0,-0.9,-4.9
Monthly,Clothing and footwear,Percentage change m/m-1,Norway,-5.6,2.3,2.7,1.1,0.9,-0.3,-4.2,-0.3,3.6,0.4,0.5,-0.6
Monthly,Clothing and footwear,Percentage change m/m-1,Poland,-3.9,-1.4,3.4,2.4,-0.4,-1.7,-3.2,-1.3,1.9,3.5,0.4,-1.4
Monthly,Clothing and footwear,Percentage change m/m-1,Portugal,-15.4,-6.8,26.4,1.7,-0.2,-1.5,-12.8,-7.1,22.7,1.6,0.4,-1.9
Monthly,Clothing and footwear,Percentage change m/m-1,Romania,0.1,0.3,0.9,0.7,0.5,0.2,0.2,0.1,0.7,1.5,0.6,0.2
Monthly,Clothing and footwear,Percentage change m/m-1,Serbia,-1.2 d,-1.0 d,0.0 d,2.0 d,0.9 d,0.8 d,-0.3 d,-0.4 d,-0.2 d,1.8 d,1.0 d,0.8 d
Monthly,Clothing and footwear,Percentage change m/m-1,Sweden,-7.6,3.0,2.6,1.2,1.1,-3.0,-4.0,4.6,3.0,0.5,0.2,1.3
Monthly,Clothing and footwear,Percentage change m/m-1,Slovenia,-8.7,1.8,7.7,3.1,0.7,-0.9,-11.2,-7.4,14.3,5.6,1.8,-1.8
Monthly,Clothing and footwear,Percentage change m/m-1,Slovakia,-1.3,-0.6,1.2,0.3,0.8,0.0,-0.7,-0.3,0.8,1.3,0.6,0.0
Monthly,Clothing and footwear,Percentage change m/m-1,Türkiye,-1.6 d,0.2 d,2.6 d,4.6 d,9.6 d,-0.6 d,-2.6 d,0.4 d,3.6 d,14.2 d,-0.3 d,-0.7 d
Monthly,Clothing and footwear,Percentage change m/m-1,United States,1.3 d,4.1 d,1.0 d,-0.1 d,-0.8 d,-1.3 d,-1.8 d,2.1 d,2.8 d,-1.6 d,-2.8 d,-1.8 d
Monthly,Clothing and footwear,Percentage change m/m-1,Kosovo*,0.3 d,-0.7 d,1.5 d,-0.1 d,0.2 d,0.0 d,0.2 d,0.1 d,0.2 d,0.2 d,0.1 d,0.2 d
Monthly,Clothing and footwear,Percentage change m/m-12,Albania,2.7 d,2.9 d,2.9 d,2.9 d,2.9 d,3.0 d,2.8 d,3.5 d,3.3 d,3.3 d,3.4 d,3.2 d
Monthly,Clothing and footwear,Percentage change m/m-12,Austria,1.3,1.3,1.0,0.1,-0.4,-0.8,-1.3,-0.2,-0.3,-1.2,-1.2,-2.0
Monthly,Clothing and footwear,Percentage change m/m-12,Belgium,8.9,3.8,4.0,2.9,3.5,3.5,0.5,4.1,4.8,2.3,6.2,3.4
