Time frequency,Statistical information,Level of activity limitation,Risk of poverty threshold,Unit of measure,Geopolitical entity (reporting)\Time,2023.0
Annual,Average,Severe,Total,Rating (0-10),Italy,6.7
Annual,Average,Severe,Total,Rating (0-10),Lithuania,7.3 u
Annual,Average,Severe,Total,Rating (0-10),Luxembourg,6.4 u
Annual,Average,Severe,Total,Rating (0-10),Latvia,7.1
Annual,Average,Severe,Total,Rating (0-10),Malta,7.3 u
Annual,Average,Severe,Total,Rating (0-10),Netherlands,6.9
Annual,Average,Severe,Total,Rating (0-10),Norway,7.3
Annual,Average,Severe,Total,Rating (0-10),Poland,7.0
Annual,Average,Severe,Total,Rating (0-10),Portugal,6.8
Annual,Average,Severe,Total,Rating (0-10),Romania,: u
Annual,Average,Severe,Total,Rating (0-10),Sweden,6.9
Annual,Average,Severe,Total,Rating (0-10),Slovenia,7.2
Annual,Average,Severe,Total,Rating (0-10),Slovakia,7.1
Annual,Average,Severe,Total,Rating (0-10),Türkiye,5.5
Annual,Average,Some or severe,Above 60%,Rating (0-10),Austria,7.2
Annual,Average,Some or severe,Above 60%,Rating (0-10),Belgium,7.3
Annual,Average,Some or severe,Above 60%,Rating (0-10),Bulgaria,5.9
Annual,Average,Some or severe,Above 60%,Rating (0-10),Switzerland,7.6
Annual,Average,Some or severe,Above 60%,Rating (0-10),Cyprus,7.7
Annual,Average,Some or severe,Above 60%,Rating (0-10),Czechia,7.2
Annual,Average,Some or severe,Above 60%,Rating (0-10),Germany,6.3 u
Annual,Average,Some or severe,Above 60%,Rating (0-10),Denmark,7.1
Annual,Average,Some or severe,Above 60%,Rating (0-10),Euro area – 20 countries (from 2023),6.7
Annual,Average,Some or severe,Above 60%,Rating (0-10),Estonia,7.4
Annual,Average,Some or severe,Above 60%,Rating (0-10),Greece,6.6
Annual,Average,Some or severe,Above 60%,Rating (0-10),Spain,6.6
Annual,Average,Some or severe,Above 60%,Rating (0-10),European Union - 27 countries (from 2020),6.8
Annual,Average,Some or severe,Above 60%,Rating (0-10),Finland,7.6
Annual,Average,Some or severe,Above 60%,Rating (0-10),France,6.4
Annual,Average,Some or severe,Above 60%,Rating (0-10),Croatia,6.6
Annual,Average,Some or severe,Above 60%,Rating (0-10),Hungary,7.2
Annual,Average,Some or severe,Above 60%,Rating (0-10),Ireland,7.6
Annual,Average,Some or severe,Above 60%,Rating (0-10),Italy,6.7
Annual,Average,Some or severe,Above 60%,Rating (0-10),Lithuania,7.2
Annual,Average,Some or severe,Above 60%,Rating (0-10),Luxembourg,6.5
Annual,Average,Some or severe,Above 60%,Rating (0-10),Latvia,7.3
Annual,Average,Some or severe,Above 60%,Rating (0-10),Malta,7.1
Annual,Average,Some or severe,Above 60%,Rating (0-10),Netherlands,7.5
Annual,Average,Some or severe,Above 60%,Rating (0-10),Norway,7.8
Annual,Average,Some or severe,Above 60%,Rating (0-10),Poland,7.1
Annual,Average,Some or severe,Above 60%,Rating (0-10),Portugal,6.9
Annual,Average,Some or severe,Above 60%,Rating (0-10),Romania,7.6
Annual,Average,Some or severe,Above 60%,Rating (0-10),Sweden,6.9
Annual,Average,Some or severe,Above 60%,Rating (0-10),Slovenia,7.3
Annual,Average,Some or severe,Above 60%,Rating (0-10),Slovakia,7.5
Annual,Average,Some or severe,Above 60%,Rating (0-10),Türkiye,5.7
Annual,Average,Some or severe,Below 60%,Rating (0-10),Austria,7.0
Annual,Average,Some or severe,Below 60%,Rating (0-10),Belgium,7.6 u
Annual,Average,Some or severe,Below 60%,Rating (0-10),Bulgaria,4.8 u
Annual,Average,Some or severe,Below 60%,Rating (0-10),Switzerland,7.3
Annual,Average,Some or severe,Below 60%,Rating (0-10),Cyprus,7.3 u
Annual,Average,Some or severe,Below 60%,Rating (0-10),Czechia,6.4 u
Annual,Average,Some or severe,Below 60%,Rating (0-10),Germany,6.2 u
Annual,Average,Some or severe,Below 60%,Rating (0-10),Denmark,7.2 u
Annual,Average,Some or severe,Below 60%,Rating (0-10),Euro area – 20 countries (from 2023),6.4 e
Annual,Average,Some or severe,Below 60%,Rating (0-10),Estonia,6.8
Annual,Average,Some or severe,Below 60%,Rating (0-10),Greece,4.8
Annual,Average,Some or severe,Below 60%,Rating (0-10),Spain,6.7
Annual,Average,Some or severe,Below 60%,Rating (0-10),European Union - 27 countries (from 2020),6.5 e
Annual,Average,Some or severe,Below 60%,Rating (0-10),Finland,6.2 u
Annual,Average,Some or severe,Below 60%,Rating (0-10),France,6.4
Annual,Average,Some or severe,Below 60%,Rating (0-10),Croatia,6.3
Annual,Average,Some or severe,Below 60%,Rating (0-10),Hungary,6.7
Annual,Average,Some or severe,Below 60%,Rating (0-10),Ireland,7.3 u
Annual,Average,Some or severe,Below 60%,Rating (0-10),Italy,5.9
Annual,Average,Some or severe,Below 60%,Rating (0-10),Lithuania,7.1 u
Annual,Average,Some or severe,Below 60%,Rating (0-10),Luxembourg,7.0 u
Annual,Average,Some or severe,Below 60%,Rating (0-10),Latvia,7.0
Annual,Average,Some or severe,Below 60%,Rating (0-10),Malta,6.7 u
Annual,Average,Some or severe,Below 60%,Rating (0-10),Netherlands,7.6
Annual,Average,Some or severe,Below 60%,Rating (0-10),Norway,7.0 u
Annual,Average,Some or severe,Below 60%,Rating (0-10),Poland,6.5
Annual,Average,Some or severe,Below 60%,Rating (0-10),Portugal,6.5
Annual,Average,Some or severe,Below 60%,Rating (0-10),Romania,6.6
Annual,Average,Some or severe,Below 60%,Rating (0-10),Sweden,7.2 u
Annual,Average,Some or severe,Below 60%,Rating (0-10),Slovenia,7.2 u
Annual,Average,Some or severe,Below 60%,Rating (0-10),Slovakia,6.9
Annual,Average,Some or severe,Below 60%,Rating (0-10),Türkiye,4.7
Annual,Average,Some or severe,Total,Rating (0-10),Austria,7.2
Annual,Average,Some or severe,Total,Rating (0-10),Belgium,7.3
Annual,Average,Some or severe,Total,Rating (0-10),Bulgaria,5.9
Annual,Average,Some or severe,Total,Rating (0-10),Switzerland,7.6
Annual,Average,Some or severe,Total,Rating (0-10),Cyprus,7.7
Annual,Average,Some or severe,Total,Rating (0-10),Czechia,7.1
Annual,Average,Some or severe,Total,Rating (0-10),Germany,6.3 u
Annual,Average,Some or severe,Total,Rating (0-10),Denmark,7.1
Annual,Average,Some or severe,Total,Rating (0-10),Euro area – 20 countries (from 2023),6.7
Annual,Average,Some or severe,Total,Rating (0-10),Estonia,7.3
Annual,Average,Some or severe,Total,Rating (0-10),Greece,6.4
Annual,Average,Some or severe,Total,Rating (0-10),Spain,6.6
Annual,Average,Some or severe,Total,Rating (0-10),European Union - 27 countries (from 2020),6.8
Annual,Average,Some or severe,Total,Rating (0-10),Finland,7.5
Annual,Average,Some or severe,Total,Rating (0-10),France,6.4
Annual,Average,Some or severe,Total,Rating (0-10),Croatia,6.6
Annual,Average,Some or severe,Total,Rating (0-10),Hungary,7.2
Annual,Average,Some or severe,Total,Rating (0-10),Ireland,7.6
Annual,Average,Some or severe,Total,Rating (0-10),Italy,6.5
Annual,Average,Some or severe,Total,Rating (0-10),Lithuania,7.2
Annual,Average,Some or severe,Total,Rating (0-10),Luxembourg,6.6
Annual,Average,Some or severe,Total,Rating (0-10),Latvia,7.3
Annual,Average,Some or severe,Total,Rating (0-10),Malta,7.1
Annual,Average,Some or severe,Total,Rating (0-10),Netherlands,7.5
Annual,Average,Some or severe,Total,Rating (0-10),Norway,7.7
Annual,Average,Some or severe,Total,Rating (0-10),Poland,7.0
Annual,Average,Some or severe,Total,Rating (0-10),Portugal,6.8
Annual,Average,Some or severe,Total,Rating (0-10),Romania,7.4
Annual,Average,Some or severe,Total,Rating (0-10),Sweden,6.9
Annual,Average,Some or severe,Total,Rating (0-10),Slovenia,7.3
Annual,Average,Some or severe,Total,Rating (0-10),Slovakia,7.5
Annual,Average,Some or severe,Total,Rating (0-10),Türkiye,5.6
Annual,Average,Some,Above 60%,Rating (0-10),Austria,7.3
Annual,Average,Some,Above 60%,Rating (0-10),Belgium,7.3
Annual,Average,Some,Above 60%,Rating (0-10),Bulgaria,5.9
Annual,Average,Some,Above 60%,Rating (0-10),Switzerland,7.7
Annual,Average,Some,Above 60%,Rating (0-10),Cyprus,7.7
Annual,Average,Some,Above 60%,Rating (0-10),Czechia,7.3
Annual,Average,Some,Above 60%,Rating (0-10),Germany,6.5 u
Annual,Average,Some,Above 60%,Rating (0-10),Denmark,7.2
Annual,Average,Some,Above 60%,Rating (0-10),Euro area – 20 countries (from 2023),6.8
Annual,Average,Some,Above 60%,Rating (0-10),Estonia,7.4
Annual,Average,Some,Above 60%,Rating (0-10),Greece,6.6
Annual,Average,Some,Above 60%,Rating (0-10),Spain,6.6
Annual,Average,Some,Above 60%,Rating (0-10),European Union - 27 countries (from 2020),6.9
Annual,Average,Some,Above 60%,Rating (0-10),Finland,7.6
Annual,Average,Some,Above 60%,Rating (0-10),France,6.4
Annual,Average,Some,Above 60%,Rating (0-10),Croatia,6.7
Annual,Average,Some,Above 60%,Rating (0-10),Hungary,7.3
Annual,Average,Some,Above 60%,Rating (0-10),Ireland,7.6
Annual,Average,Some,Above 60%,Rating (0-10),Italy,6.7
Annual,Average,Some,Above 60%,Rating (0-10),Lithuania,7.2
Annual,Average,Some,Above 60%,Rating (0-10),Luxembourg,6.6
Annual,Average,Some,Above 60%,Rating (0-10),Latvia,7.3
Annual,Average,Some,Above 60%,Rating (0-10),Malta,7.1
Annual,Average,Some,Above 60%,Rating (0-10),Netherlands,7.5
Annual,Average,Some,Above 60%,Rating (0-10),Norway,7.8
Annual,Average,Some,Above 60%,Rating (0-10),Poland,7.1
Annual,Average,Some,Above 60%,Rating (0-10),Portugal,6.9
Annual,Average,Some,Above 60%,Rating (0-10),Romania,7.7
Annual,Average,Some,Above 60%,Rating (0-10),Sweden,6.9
Annual,Average,Some,Above 60%,Rating (0-10),Slovenia,7.3
Annual,Average,Some,Above 60%,Rating (0-10),Slovakia,7.6
Annual,Average,Some,Above 60%,Rating (0-10),Türkiye,5.7
Annual,Average,Some,Below 60%,Rating (0-10),Austria,7.1
Annual,Average,Some,Below 60%,Rating (0-10),Belgium,7.5 u
Annual,Average,Some,Below 60%,Rating (0-10),Bulgaria,4.7 u
Annual,Average,Some,Below 60%,Rating (0-10),Switzerland,7.3
Annual,Average,Some,Below 60%,Rating (0-10),Cyprus,7.3 u
Annual,Average,Some,Below 60%,Rating (0-10),Czechia,6.3 u
Annual,Average,Some,Below 60%,Rating (0-10),Germany,6.3 u
Annual,Average,Some,Below 60%,Rating (0-10),Denmark,7.1 u
Annual,Average,Some,Below 60%,Rating (0-10),Euro area – 20 countries (from 2023),6.5 e
Annual,Average,Some,Below 60%,Rating (0-10),Estonia,7.0
Annual,Average,Some,Below 60%,Rating (0-10),Greece,5.3
Annual,Average,Some,Below 60%,Rating (0-10),Spain,6.6
Annual,Average,Some,Below 60%,Rating (0-10),European Union - 27 countries (from 2020),6.6 e
Annual,Average,Some,Below 60%,Rating (0-10),Finland,6.3 u
Annual,Average,Some,Below 60%,Rating (0-10),France,6.9
Annual,Average,Some,Below 60%,Rating (0-10),Croatia,6.3
Annual,Average,Some,Below 60%,Rating (0-10),Hungary,6.9
Annual,Average,Some,Below 60%,Rating (0-10),Ireland,7.3 u
Annual,Average,Some,Below 60%,Rating (0-10),Italy,5.8
Annual,Average,Some,Below 60%,Rating (0-10),Lithuania,7.1 u
Annual,Average,Some,Below 60%,Rating (0-10),Luxembourg,7.0 u
Annual,Average,Some,Below 60%,Rating (0-10),Latvia,7.1
Annual,Average,Some,Below 60%,Rating (0-10),Malta,: u
Annual,Average,Some,Below 60%,Rating (0-10),Netherlands,7.6
Annual,Average,Some,Below 60%,Rating (0-10),Norway,: u
Annual,Average,Some,Below 60%,Rating (0-10),Poland,6.5
Annual,Average,Some,Below 60%,Rating (0-10),Portugal,6.4
Annual,Average,Some,Below 60%,Rating (0-10),Romania,6.7
Annual,Average,Some,Below 60%,Rating (0-10),Sweden,7.2 u
Annual,Average,Some,Below 60%,Rating (0-10),Slovenia,7.5 u
Annual,Average,Some,Below 60%,Rating (0-10),Slovakia,7.0
Annual,Average,Some,Below 60%,Rating (0-10),Türkiye,4.7
Annual,Average,Some,Total,Rating (0-10),Austria,7.3
Annual,Average,Some,Total,Rating (0-10),Belgium,7.3
Annual,Average,Some,Total,Rating (0-10),Bulgaria,5.8
Annual,Average,Some,Total,Rating (0-10),Switzerland,7.7
Annual,Average,Some,Total,Rating (0-10),Cyprus,7.7
Annual,Average,Some,Total,Rating (0-10),Czechia,7.3
Annual,Average,Some,Total,Rating (0-10),Germany,6.5 u
Annual,Average,Some,Total,Rating (0-10),Denmark,7.2
Annual,Average,Some,Total,Rating (0-10),Euro area – 20 countries (from 2023),6.8
Annual,Average,Some,Total,Rating (0-10),Estonia,7.4
Annual,Average,Some,Total,Rating (0-10),Greece,6.4
Annual,Average,Some,Total,Rating (0-10),Spain,6.6
Annual,Average,Some,Total,Rating (0-10),European Union - 27 countries (from 2020),6.8
Annual,Average,Some,Total,Rating (0-10),Finland,7.5
Annual,Average,Some,Total,Rating (0-10),France,6.5
Annual,Average,Some,Total,Rating (0-10),Croatia,6.6
Annual,Average,Some,Total,Rating (0-10),Hungary,7.2
Annual,Average,Some,Total,Rating (0-10),Ireland,7.6
Annual,Average,Some,Total,Rating (0-10),Italy,6.5
Annual,Average,Some,Total,Rating (0-10),Lithuania,7.2
Annual,Average,Some,Total,Rating (0-10),Luxembourg,6.7
Annual,Average,Some,Total,Rating (0-10),Latvia,7.3
Annual,Average,Some,Total,Rating (0-10),Malta,7.1
Annual,Average,Some,Total,Rating (0-10),Netherlands,7.5
Annual,Average,Some,Total,Rating (0-10),Norway,7.8
Annual,Average,Some,Total,Rating (0-10),Poland,7.0
Annual,Average,Some,Total,Rating (0-10),Portugal,6.8
Annual,Average,Some,Total,Rating (0-10),Romania,7.5
Annual,Average,Some,Total,Rating (0-10),Sweden,6.9
Annual,Average,Some,Total,Rating (0-10),Slovenia,7.3
Annual,Average,Some,Total,Rating (0-10),Slovakia,7.5
Annual,Average,Some,Total,Rating (0-10),Türkiye,5.6
Annual,Average,Total,Above 60%,Rating (0-10),Austria,7.7
Annual,Average,Total,Above 60%,Rating (0-10),Belgium,7.7
Annual,Average,Total,Above 60%,Rating (0-10),Bulgaria,6.3
Annual,Average,Total,Above 60%,Rating (0-10),Switzerland,7.8
Annual,Average,Total,Above 60%,Rating (0-10),Cyprus,7.9
Annual,Average,Total,Above 60%,Rating (0-10),Czechia,7.7
Annual,Average,Total,Above 60%,Rating (0-10),Germany,7.2 u
Annual,Average,Total,Above 60%,Rating (0-10),Denmark,7.7
Annual,Average,Total,Above 60%,Rating (0-10),Euro area – 20 countries (from 2023),7.3
Annual,Average,Total,Above 60%,Rating (0-10),Estonia,7.7
Annual,Average,Total,Above 60%,Rating (0-10),Greece,7.0
Annual,Average,Total,Above 60%,Rating (0-10),Spain,7.3
Annual,Average,Total,Above 60%,Rating (0-10),European Union - 27 countries (from 2020),7.4
Annual,Average,Total,Above 60%,Rating (0-10),Finland,7.9
Annual,Average,Total,Above 60%,Rating (0-10),France,7.1
Annual,Average,Total,Above 60%,Rating (0-10),Croatia,7.5
Annual,Average,Total,Above 60%,Rating (0-10),Hungary,7.8
Annual,Average,Total,Above 60%,Rating (0-10),Ireland,7.6
Annual,Average,Total,Above 60%,Rating (0-10),Italy,7.3
Annual,Average,Total,Above 60%,Rating (0-10),Lithuania,7.9
Annual,Average,Total,Above 60%,Rating (0-10),Luxembourg,7.3
Annual,Average,Total,Above 60%,Rating (0-10),Latvia,7.7
Annual,Average,Total,Above 60%,Rating (0-10),Malta,7.7
Annual,Average,Total,Above 60%,Rating (0-10),Netherlands,7.7
Annual,Average,Total,Above 60%,Rating (0-10),Norway,8.0
Annual,Average,Total,Above 60%,Rating (0-10),Poland,7.4
Annual,Average,Total,Above 60%,Rating (0-10),Portugal,7.3
Annual,Average,Total,Above 60%,Rating (0-10),Romania,8.1
Annual,Average,Total,Above 60%,Rating (0-10),Sweden,7.6
