Time frequency,Country/region of birth,Unit of measure,Sex,Geopolitical entity (reporting)\Time,2021.0,2022.0,2023.0
Annual,EU27 countries (from 2020) except reporting country,Year,Males,Denmark,:,36.2,:
Annual,EU27 countries (from 2020) except reporting country,Year,Males,Estonia,:,38.8,:
Annual,EU27 countries (from 2020) except reporting country,Year,Males,Greece,:,48.0,:
Annual,EU27 countries (from 2020) except reporting country,Year,Males,Spain,:,45.7,:
Annual,EU27 countries (from 2020) except reporting country,Year,Males,European Union - 27 countries (from 2020),:,45.6 bep,:
Annual,EU27 countries (from 2020) except reporting country,Year,Males,Finland,:,40.8,:
Annual,EU27 countries (from 2020) except reporting country,Year,Males,France,53.7,53.9 p,:
Annual,EU27 countries (from 2020) except reporting country,Year,Males,Croatia,:,45.7 b,:
Annual,EU27 countries (from 2020) except reporting country,Year,Males,Hungary,:,43.8,:
Annual,EU27 countries (from 2020) except reporting country,Year,Males,Ireland,:,37.8,:
Annual,EU27 countries (from 2020) except reporting country,Year,Males,Iceland,:,34.6,:
Annual,EU27 countries (from 2020) except reporting country,Year,Males,Italy,:,43.1,:
Annual,EU27 countries (from 2020) except reporting country,Year,Males,Liechtenstein,:,52.4,:
Annual,EU27 countries (from 2020) except reporting country,Year,Males,Lithuania,:,36.6,:
Annual,EU27 countries (from 2020) except reporting country,Year,Males,Luxembourg,:,45.0,:
Annual,EU27 countries (from 2020) except reporting country,Year,Males,Latvia,:,53.9,:
Annual,EU27 countries (from 2020) except reporting country,Year,Males,Malta,:,36.0 p,:
Annual,EU27 countries (from 2020) except reporting country,Year,Males,Netherlands,:,36.0,:
Annual,EU27 countries (from 2020) except reporting country,Year,Males,Norway,:,40.8,:
Annual,EU27 countries (from 2020) except reporting country,Year,Males,Poland,:,31.2 ep,32.3 ep
Annual,EU27 countries (from 2020) except reporting country,Year,Males,Portugal,:,43.4 bp,:
Annual,EU27 countries (from 2020) except reporting country,Year,Males,Romania,:,10.8 e,:
Annual,EU27 countries (from 2020) except reporting country,Year,Males,Sweden,:,47.7,:
Annual,EU27 countries (from 2020) except reporting country,Year,Males,Slovenia,:,57.5,:
Annual,EU27 countries (from 2020) except reporting country,Year,Males,Slovakia,:,49.7,:
Annual,EU27 countries (from 2020) except reporting country,Year,Total,Austria,:,42.7,:
Annual,EU27 countries (from 2020) except reporting country,Year,Total,Belgium,:,43.5,:
Annual,EU27 countries (from 2020) except reporting country,Year,Total,Bulgaria,:,9.9,:
Annual,EU27 countries (from 2020) except reporting country,Year,Total,Switzerland,:,46.8,:
Annual,EU27 countries (from 2020) except reporting country,Year,Total,Cyprus,:,36.1,:
Annual,EU27 countries (from 2020) except reporting country,Year,Total,Czechia,:,40.6 b,:
Annual,EU27 countries (from 2020) except reporting country,Year,Total,Germany,:,52.4 e,:
Annual,EU27 countries (from 2020) except reporting country,Year,Total,Denmark,:,36.3,:
Annual,EU27 countries (from 2020) except reporting country,Year,Total,Estonia,:,37.1,:
Annual,EU27 countries (from 2020) except reporting country,Year,Total,Greece,:,48.6,:
Annual,EU27 countries (from 2020) except reporting country,Year,Total,Spain,:,45.2,:
Annual,EU27 countries (from 2020) except reporting country,Year,Total,European Union - 27 countries (from 2020),:,46.8 bep,:
Annual,EU27 countries (from 2020) except reporting country,Year,Total,Finland,:,40.6,:
Annual,EU27 countries (from 2020) except reporting country,Year,Total,France,54.8,54.8 p,:
Annual,EU27 countries (from 2020) except reporting country,Year,Total,Croatia,:,46.5 b,:
Annual,EU27 countries (from 2020) except reporting country,Year,Total,Hungary,:,45.0,:
Annual,EU27 countries (from 2020) except reporting country,Year,Total,Ireland,:,37.5,:
Annual,EU27 countries (from 2020) except reporting country,Year,Total,Iceland,:,33.9,:
Annual,EU27 countries (from 2020) except reporting country,Year,Total,Italy,:,45.3,:
Annual,EU27 countries (from 2020) except reporting country,Year,Total,Liechtenstein,:,53.4,:
Annual,EU27 countries (from 2020) except reporting country,Year,Total,Lithuania,:,41.2,:
Annual,EU27 countries (from 2020) except reporting country,Year,Total,Luxembourg,:,45.0,:
Annual,EU27 countries (from 2020) except reporting country,Year,Total,Latvia,:,60.3,:
Annual,EU27 countries (from 2020) except reporting country,Year,Total,Malta,:,35.1 p,:
Annual,EU27 countries (from 2020) except reporting country,Year,Total,Netherlands,:,36.7,:
Annual,EU27 countries (from 2020) except reporting country,Year,Total,Norway,:,40.1,:
Annual,EU27 countries (from 2020) except reporting country,Year,Total,Poland,:,34.0 ep,35.9 ep
Annual,EU27 countries (from 2020) except reporting country,Year,Total,Portugal,:,43.5 bp,:
Annual,EU27 countries (from 2020) except reporting country,Year,Total,Romania,:,10.7 e,:
Annual,EU27 countries (from 2020) except reporting country,Year,Total,Sweden,:,50.2,:
Annual,EU27 countries (from 2020) except reporting country,Year,Total,Slovenia,:,59.3,:
Annual,EU27 countries (from 2020) except reporting country,Year,Total,Slovakia,:,52.9,:
Annual,Foreign country,Year,Females,Austria,:,43.4,:
Annual,Foreign country,Year,Females,Belgium,:,42.4,:
Annual,Foreign country,Year,Females,Bulgaria,:,33.4,:
Annual,Foreign country,Year,Females,Switzerland,:,45.1,:
Annual,Foreign country,Year,Females,Cyprus,:,35.1,:
Annual,Foreign country,Year,Females,Czechia,:,38.1 b,:
Annual,Foreign country,Year,Females,Germany,:,46.6 e,:
Annual,Foreign country,Year,Females,Denmark,:,39.5,:
Annual,Foreign country,Year,Females,Estonia,:,64.8,:
Annual,Foreign country,Year,Females,Greece,:,47.7,:
Annual,Foreign country,Year,Females,Spain,:,41.9,:
Annual,Foreign country,Year,Females,European Union - 27 countries (from 2020),:,44.6 bep,:
Annual,Foreign country,Year,Females,Finland,:,38.4,:
Annual,Foreign country,Year,Females,France,48.1,47.7 p,:
Annual,Foreign country,Year,Females,Croatia,:,57.9 b,:
Annual,Foreign country,Year,Females,Hungary,:,42.7,:
Annual,Foreign country,Year,Females,Ireland,:,38.2,:
Annual,Foreign country,Year,Females,Iceland,:,34.1,:
Annual,Foreign country,Year,Females,Italy,:,45.0,:
Annual,Foreign country,Year,Females,Liechtenstein,:,45.5,:
Annual,Foreign country,Year,Females,Lithuania,:,62.0,:
Annual,Foreign country,Year,Females,Luxembourg,:,42.7,:
Annual,Foreign country,Year,Females,Latvia,:,67.5,:
