Time frequency,Unit of measure,Specific physical activity,International Standard Classification of Education (ISCED 2011),Sex,Age class,Geopolitical entity (reporting)\Time,2014.0,2019.0
Annual,Percentage,Muscle-strengthening,All ISCED 2011 levels,Total,Total,Denmark,48.3,53.0
Annual,Percentage,Muscle-strengthening,All ISCED 2011 levels,Total,Total,Estonia,15.4,21.8
Annual,Percentage,Muscle-strengthening,All ISCED 2011 levels,Total,Total,Greece,12.6,12.1
Annual,Percentage,Muscle-strengthening,All ISCED 2011 levels,Total,Total,Spain,14.9,20.7
Annual,Percentage,Muscle-strengthening,All ISCED 2011 levels,Total,Total,European Union - 27 countries (from 2020),23.8,26.3
Annual,Percentage,Muscle-strengthening,All ISCED 2011 levels,Total,Total,European Union - 28 countries (2013-2020),24.2 e,:
Annual,Percentage,Muscle-strengthening,All ISCED 2011 levels,Total,Total,Finland,52.8,59.5
Annual,Percentage,Muscle-strengthening,All ISCED 2011 levels,Total,Total,France,23.7,23.9
Annual,Percentage,Muscle-strengthening,All ISCED 2011 levels,Total,Total,Croatia,9.6,18.0
Annual,Percentage,Muscle-strengthening,All ISCED 2011 levels,Total,Total,Hungary,23.7,31.2
Annual,Percentage,Muscle-strengthening,All ISCED 2011 levels,Total,Total,Ireland,34.3,27.4
Annual,Percentage,Muscle-strengthening,All ISCED 2011 levels,Total,Total,Iceland,57.3,57.6
Annual,Percentage,Muscle-strengthening,All ISCED 2011 levels,Total,Total,Italy,13.9,14.4
Annual,Percentage,Muscle-strengthening,All ISCED 2011 levels,Total,Total,Lithuania,13.2,22.4
Annual,Percentage,Muscle-strengthening,All ISCED 2011 levels,Total,Total,Luxembourg,36.8,43.0
Annual,Percentage,Muscle-strengthening,All ISCED 2011 levels,Total,Total,Latvia,21.7,: u
Annual,Percentage,Muscle-strengthening,All ISCED 2011 levels,Total,Total,Malta,8.0,16.1
Annual,Percentage,Muscle-strengthening,All ISCED 2011 levels,Total,Total,Netherlands,:,29.8
Annual,Percentage,Muscle-strengthening,All ISCED 2011 levels,Total,Total,Norway,35.7,40.1
Annual,Percentage,Muscle-strengthening,All ISCED 2011 levels,Total,Total,Poland,7.7,12.1
Annual,Percentage,Muscle-strengthening,All ISCED 2011 levels,Total,Total,Portugal,13.0,15.2
Annual,Percentage,Muscle-strengthening,All ISCED 2011 levels,Total,Total,Romania,1.9,2.7
Annual,Percentage,Muscle-strengthening,All ISCED 2011 levels,Total,Total,Serbia,:,7.2
Annual,Percentage,Muscle-strengthening,All ISCED 2011 levels,Total,Total,Sweden,51.6,56.7
Annual,Percentage,Muscle-strengthening,All ISCED 2011 levels,Total,Total,Slovenia,37.5,41.0
Annual,Percentage,Muscle-strengthening,All ISCED 2011 levels,Total,Total,Slovakia,16.6,15.7
Annual,Percentage,Muscle-strengthening,All ISCED 2011 levels,Total,Total,Türkiye,3.3,3.6
Annual,Percentage,Muscle-strengthening,All ISCED 2011 levels,Total,Total,United Kingdom,27.3,:
Annual,Percentage,Walking to get to and from place,All ISCED 2011 levels,Total,Total,Austria,81.0,89.1
Annual,Percentage,Walking to get to and from place,All ISCED 2011 levels,Total,Total,Belgium,:,76.9
Annual,Percentage,Walking to get to and from place,All ISCED 2011 levels,Total,Total,Bulgaria,91.4,94.5
Annual,Percentage,Walking to get to and from place,All ISCED 2011 levels,Total,Total,Cyprus,16.5,13.7
Annual,Percentage,Walking to get to and from place,All ISCED 2011 levels,Total,Total,Czechia,92.2,89.5
Annual,Percentage,Walking to get to and from place,All ISCED 2011 levels,Total,Total,Germany,77.7,80.8
Annual,Percentage,Walking to get to and from place,All ISCED 2011 levels,Total,Total,Denmark,79.1,83.1
Annual,Percentage,Walking to get to and from place,All ISCED 2011 levels,Total,Total,Estonia,80.1,79.6
Annual,Percentage,Walking to get to and from place,All ISCED 2011 levels,Total,Total,Greece,81.2,82.9
Annual,Percentage,Walking to get to and from place,All ISCED 2011 levels,Total,Total,Spain,81.7,88.6
Annual,Percentage,Walking to get to and from place,All ISCED 2011 levels,Total,Total,European Union - 27 countries (from 2020),79.4,82.6
Annual,Percentage,Walking to get to and from place,All ISCED 2011 levels,Total,Total,European Union - 28 countries (2013-2020),78.4 e,:
Annual,Percentage,Walking to get to and from place,All ISCED 2011 levels,Total,Total,Finland,82.7,95.7
Annual,Percentage,Walking to get to and from place,All ISCED 2011 levels,Total,Total,France,70.9,81.9
Annual,Percentage,Walking to get to and from place,All ISCED 2011 levels,Total,Total,Croatia,85.7,88.4
Annual,Percentage,Walking to get to and from place,All ISCED 2011 levels,Total,Total,Hungary,84.7,87.4
Annual,Percentage,Walking to get to and from place,All ISCED 2011 levels,Total,Total,Ireland,86.2,82.5
Annual,Percentage,Walking to get to and from place,All ISCED 2011 levels,Total,Total,Iceland,56.2,53.6
Annual,Percentage,Walking to get to and from place,All ISCED 2011 levels,Total,Total,Italy,74.3,72.5
Annual,Percentage,Walking to get to and from place,All ISCED 2011 levels,Total,Total,Lithuania,76.5,82.7
Annual,Percentage,Walking to get to and from place,All ISCED 2011 levels,Total,Total,Luxembourg,88.6,89.6
Annual,Percentage,Walking to get to and from place,All ISCED 2011 levels,Total,Total,Latvia,89.3,85.8
Annual,Percentage,Walking to get to and from place,All ISCED 2011 levels,Total,Total,Malta,73.0,72.6
Annual,Percentage,Walking to get to and from place,All ISCED 2011 levels,Total,Total,Netherlands,:,75.4
Annual,Percentage,Walking to get to and from place,All ISCED 2011 levels,Total,Total,Norway,66.0,71.3
Annual,Percentage,Walking to get to and from place,All ISCED 2011 levels,Total,Total,Poland,84.9,87.8
Annual,Percentage,Walking to get to and from place,All ISCED 2011 levels,Total,Total,Portugal,60.7,68.1
Annual,Percentage,Walking to get to and from place,All ISCED 2011 levels,Total,Total,Romania,99.0,92.6
Annual,Percentage,Walking to get to and from place,All ISCED 2011 levels,Total,Total,Serbia,:,93.2
Annual,Percentage,Walking to get to and from place,All ISCED 2011 levels,Total,Total,Sweden,82.2,90.0
Annual,Percentage,Walking to get to and from place,All ISCED 2011 levels,Total,Total,Slovenia,83.1,85.3
Annual,Percentage,Walking to get to and from place,All ISCED 2011 levels,Total,Total,Slovakia,89.2,91.1
Annual,Percentage,Walking to get to and from place,All ISCED 2011 levels,Total,Total,Türkiye,75.5,83.2
Annual,Percentage,Walking to get to and from place,All ISCED 2011 levels,Total,Total,United Kingdom,70.8,:
