Time frequency,Labour costs structure,Statistical classification of economic activities in the European Community (NACE Rev. 2),Unit of measure,Geopolitical entity (reporting)\Time,Octobre-Décembre 2021,Janvier-Mars 2022,Avril-Juin 2022,Jullet-Septembre 2022,Octobre-Décembre 2022,Janvier-Mars 2023,Avril-Juin 2023,Jullet-Septembre 2023,Octobre-Décembre 2023,Janvier-Mars 2024,Avril-Juin 2024,Jullet-Septembre 2024
Quarterly,Labour cost for LCI (compensation of employees plus taxes minus subsidies),"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",Percentage change q/q-1 (SCA),Estonia,1.7,2.8,2.1,1.7,3.3,3.6,3.4,0.8,2.9,0.9,0.5,3.4
Quarterly,Labour cost for LCI (compensation of employees plus taxes minus subsidies),"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",Percentage change q/q-1 (SCA),Greece,1.8,0.0,3.0,3.9,-0.6,0.5,1.1,6.0,-1.2,1.8,1.3,-3.3
Quarterly,Labour cost for LCI (compensation of employees plus taxes minus subsidies),"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",Percentage change q/q-1 (SCA),Spain,0.7 p,1.2 p,0.2 p,0.7 p,1.6 p,1.7 p,1.4 p,1.0 p,1.3 p,0.8 p,1.1 p,1.5 p
Quarterly,Labour cost for LCI (compensation of employees plus taxes minus subsidies),"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",Percentage change q/q-1 (SCA),"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",0.8,1.1,1.1,0.9,2.3,0.8,1.1,1.4,1.3,1.5,1.2,1.2
Quarterly,Labour cost for LCI (compensation of employees plus taxes minus subsidies),"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",Percentage change q/q-1 (SCA),European Union - 27 countries (from 2020),0.8,1.1,1.1,0.9,2.3,0.8,1.1,1.4,1.3,1.5,1.2,1.2
Quarterly,Labour cost for LCI (compensation of employees plus taxes minus subsidies),"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",Percentage change q/q-1 (SCA),Finland,-12.9 p,8.9 p,10.7 p,-3.4 p,-10.5 p,4.3 p,16.9 p,-4.6 p,-10.7 p,3.1 p,15.5 p,-4.1 p
Quarterly,Labour cost for LCI (compensation of employees plus taxes minus subsidies),"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",Percentage change q/q-1 (SCA),France,0.9,1.2,0.3,1.5,2.4,0.1,0.3,0.8,2.4 p,-0.1 p,0.6 p,0.2 p
Quarterly,Labour cost for LCI (compensation of employees plus taxes minus subsidies),"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",Percentage change q/q-1 (SCA),Croatia,2.1,2.1,1.4,2.5,2.9,4.3,4.0,4.3,2.4,4.4,5.4,1.9
Quarterly,Labour cost for LCI (compensation of employees plus taxes minus subsidies),"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",Percentage change q/q-1 (SCA),Hungary,3.1,8.8,-2.8,4.1,3.4,4.6,3.8,2.7,4.2 p,2.6 p,2.9 p,3.3 p
Quarterly,Labour cost for LCI (compensation of employees plus taxes minus subsidies),"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",Percentage change q/q-1 (SCA),Ireland,2.3,2.9,2.1,0.9,4.4,3.0,1.8,1.2,2.0,1.0,2.1,0.3 p
Quarterly,Labour cost for LCI (compensation of employees plus taxes minus subsidies),"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",Percentage change q/q-1 (SCA),Iceland,3.0 p,2.8 p,3.0 p,-0.2 p,2.5 p,2.6 p,3.7 p,-0.1 p,2.0 p,3.2 p,-3.3 p,3.8 p
Quarterly,Labour cost for LCI (compensation of employees plus taxes minus subsidies),"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",Percentage change q/q-1 (SCA),Italy,-0.3,0.7,-0.1,0.2,1.1,0.2,0.8,0.3,0.8,1.4,1.7,1.3
Quarterly,Labour cost for LCI (compensation of employees plus taxes minus subsidies),"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",Percentage change q/q-1 (SCA),Lithuania,2.4,3.9,3.1,3.5,3.9,2.2,2.4,2.7,3.4,2.2,2.5,2.5
Quarterly,Labour cost for LCI (compensation of employees plus taxes minus subsidies),"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",Percentage change q/q-1 (SCA),Luxembourg,1.3,2.1,0.0,1.1,0.4,2.7,1.3,3.2,0.6,0.0,0.1,0.4
Quarterly,Labour cost for LCI (compensation of employees plus taxes minus subsidies),"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",Percentage change q/q-1 (SCA),Latvia,2.5 p,3.3 p,-1.5 p,1.6 p,3.6 p,2.4 p,3.8 p,1.6 p,2.9 p,4.6 p,1.5 p,3.4 p
Quarterly,Labour cost for LCI (compensation of employees plus taxes minus subsidies),"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",Percentage change q/q-1 (SCA),Malta,-0.3 p,2.3 p,4.0 p,-0.3 p,5.0 p,-0.6 p,1.0 p,-1.0 p,1.3 p,3.5 p,-1.2 p,0.8 p
Quarterly,Labour cost for LCI (compensation of employees plus taxes minus subsidies),"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",Percentage change q/q-1 (SCA),Netherlands,-2.1,1.1,1.0,1.4,2.1,1.3 p,1.7 p,0.8 p,2.5 p,1.2 p,1.2 p,1.0 p
Quarterly,Labour cost for LCI (compensation of employees plus taxes minus subsidies),"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",Percentage change q/q-1 (SCA),Norway,0.7 p,3.3 p,-0.5 p,1.1 p,1.6 p,1.6 p,2.7 p,1.4 p,2.9 p,-1.8 p,3.3 p,1.5 p
Quarterly,Labour cost for LCI (compensation of employees plus taxes minus subsidies),"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",Percentage change q/q-1 (SCA),Poland,3.3,2.7,2.7,3.3,1.4,3.5,4.5,2.1,2.5,4.3,3.5,1.3
Quarterly,Labour cost for LCI (compensation of employees plus taxes minus subsidies),"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",Percentage change q/q-1 (SCA),Portugal,1.6,-0.8,2.3,0.8,0.1,2.6 p,0.6 p,1.3 p,2.2 p,2.2 p,1.5 p,1.7 p
Quarterly,Labour cost for LCI (compensation of employees plus taxes minus subsidies),"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",Percentage change q/q-1 (SCA),Romania,2.9,1.5,4.0,2.6,2.7,4.2,3.7,3.3,4.6,3.9 p,2.5 p,4.7 p
Quarterly,Labour cost for LCI (compensation of employees plus taxes minus subsidies),"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",Percentage change q/q-1 (SCA),Serbia,5.7,2.8,2.8,2.5,4.5,3.4,2.5,3.3,3.0,4.0,3.2 p,2.4 p
Quarterly,Labour cost for LCI (compensation of employees plus taxes minus subsidies),"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",Percentage change q/q-1 (SCA),Sweden,1.3,1.5,-0.1,1.0,0.7,0.9,2.0,0.7,1.0,0.4,1.2,0.6
Quarterly,Labour cost for LCI (compensation of employees plus taxes minus subsidies),"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",Percentage change q/q-1 (SCA),Slovenia,-1.2,2.6,-0.3,2.8,4.0,1.0,4.1,-1.3,5.8,0.2,0.6,-0.8
Quarterly,Labour cost for LCI (compensation of employees plus taxes minus subsidies),"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",Percentage change q/q-1 (SCA),Slovakia,5.7,-1.3,2.0,3.9,0.5,0.9 p,3.6 p,2.3 p,2.1 p,2.6 p,1.7 p,0.9 p
Quarterly,Labour cost for LCI (compensation of employees plus taxes minus subsidies),"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",Percentage change q/q-4 (CA),Austria,1.9,6.2,7.3,6.4,4.0,6.3,7.7,6.1,8.4,9.2,8.2,10.3 p
Quarterly,Labour cost for LCI (compensation of employees plus taxes minus subsidies),"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",Percentage change q/q-4 (CA),Belgium,2.0,4.4,5.5,6.9,7.1,9.6,8.6,7.9,6.9,2.3,2.6,2.6 p
Quarterly,Labour cost for LCI (compensation of employees plus taxes minus subsidies),"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",Percentage change q/q-4 (CA),Bulgaria,11.2,11.5 p,13.9 p,15.6 p,15.7 p,15.3 p,13.8 p,14.9 p,11.9 p,15.8 p,15.4 p,12.8 p
Quarterly,Labour cost for LCI (compensation of employees plus taxes minus subsidies),"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",Percentage change q/q-4 (CA),Cyprus,0.8,11.9,10.7,4.2,3.3,6.5,6.9,5.7,5.3,3.7 p,4.1 p,4.0 p
Quarterly,Labour cost for LCI (compensation of employees plus taxes minus subsidies),"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",Percentage change q/q-4 (CA),Czechia,2.5,6.7,2.8,0.8,1.2,7.3 p,7.8 p,8.1 p,5.9 p,6.1 p,6.4 p,5.3 p
Quarterly,Labour cost for LCI (compensation of employees plus taxes minus subsidies),"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",Percentage change q/q-4 (CA),Germany,3.8,4.8 b,7.3 b,2.6 b,6.8 b,6.0,3.3,4.8,2.3,6.6,6.0,4.2
Quarterly,Labour cost for LCI (compensation of employees plus taxes minus subsidies),"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",Percentage change q/q-4 (CA),Denmark,1.2,-0.4,3.2,3.6,4.2,2.9,2.7,2.9,2.0,2.5,5.0,4.2
Quarterly,Labour cost for LCI (compensation of employees plus taxes minus subsidies),"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",Percentage change q/q-4 (CA),"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2.5,4.1,5.1,3.2,5.5,5.3,4.6,5.0,3.9,5.4,5.2,4.6
Quarterly,Labour cost for LCI (compensation of employees plus taxes minus subsidies),"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",Percentage change q/q-4 (CA),Euro area - 19 countries  (2015-2022),2.5,4.1,5.1,3.1,5.5,5.3,4.5,4.9,3.9,5.3,5.1,4.5
Quarterly,Labour cost for LCI (compensation of employees plus taxes minus subsidies),"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",Percentage change q/q-4 (CA),Euro area – 20 countries (from 2023),2.5,4.1,5.1,3.2,5.5,5.3,4.6,5.0,3.9,5.4,5.2,4.6
Quarterly,Labour cost for LCI (compensation of employees plus taxes minus subsidies),"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",Percentage change q/q-4 (CA),Estonia,7.8,9.6,10.4,7.5,10.3,11.7,13.2,11.0,10.8,7.4,4.3,8.6
Quarterly,Labour cost for LCI (compensation of employees plus taxes minus subsidies),"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",Percentage change q/q-4 (CA),Greece,-2.9,-3.4,1.2,11.7,6.5,6.1,4.6,6.7,6.5,9.0,9.3,-2.6
Quarterly,Labour cost for LCI (compensation of employees plus taxes minus subsidies),"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",Percentage change q/q-4 (CA),Spain,0.7 p,2.5 p,2.4 p,2.3 p,3.8 p,4.6 p,5.7 p,5.5 p,5.4 p,4.8 p,4.0 p,5.0 p
Quarterly,Labour cost for LCI (compensation of employees plus taxes minus subsidies),"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",Percentage change q/q-4 (CA),"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2.8,4.3,5.3,3.7,5.6,5.5,5.1,5.4,4.5,5.8,5.6,5.1
Quarterly,Labour cost for LCI (compensation of employees plus taxes minus subsidies),"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",Percentage change q/q-4 (CA),European Union - 27 countries (from 2020),2.8,4.4,5.3,3.7,5.7,5.5,5.1,5.4,4.5,5.8,5.6,5.1
Quarterly,Labour cost for LCI (compensation of employees plus taxes minus subsidies),"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",Percentage change q/q-4 (CA),Finland,3.9 p,3.6 p,2.4 p,1.5 p,4.2 p,-0.2 p,5.3 p,4.0 p,3.8 p,2.6 p,1.4 p,2.0 p
Quarterly,Labour cost for LCI (compensation of employees plus taxes minus subsidies),"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",Percentage change q/q-4 (CA),France,1.6,3.5,3.0,3.9,5.4,4.6,4.5,3.7,3.6 p,3.6 p,3.7 p,3.0 p
Quarterly,Labour cost for LCI (compensation of employees plus taxes minus subsidies),"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",Percentage change q/q-4 (CA),Croatia,5.0,6.9,7.4,8.2,9.0,11.5,14.5,16.2,15.7,15.7,17.6,15.1
Quarterly,Labour cost for LCI (compensation of employees plus taxes minus subsidies),"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",Percentage change q/q-4 (CA),Hungary,10.7,19.3,12.7,13.3,13.7,9.6,17.2,15.1,16.2 p,13.7 p,12.7 p,13.9 p
Quarterly,Labour cost for LCI (compensation of employees plus taxes minus subsidies),"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",Percentage change q/q-4 (CA),Ireland,7.0,7.5,9.9,8.6,10.5,10.6,10.5,10.9,8.1,6.1,6.6,5.4 p
Quarterly,Labour cost for LCI (compensation of employees plus taxes minus subsidies),"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",Percentage change q/q-4 (CA),Iceland,7.2 p,7.1 p,7.9 p,8.6 p,8.3 p,8.4 p,8.4 p,8.9 p,8.5 p,9.2 p,1.3 p,5.6 p
Quarterly,Labour cost for LCI (compensation of employees plus taxes minus subsidies),"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",Percentage change q/q-4 (CA),Italy,0.5,0.9,1.2,0.6,1.8,1.3,2.4,2.4,1.9,3.1,4.2,5.4
Quarterly,Labour cost for LCI (compensation of employees plus taxes minus subsidies),"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",Percentage change q/q-4 (CA),Lithuania,14.2,11.9,12.9,13.3,15.5,13.6,12.4,11.2,11.2,10.9,11.0,11.2
Quarterly,Labour cost for LCI (compensation of employees plus taxes minus subsidies),"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",Percentage change q/q-4 (CA),Luxembourg,3.7,5.4,5.7,4.9,3.7,4.2,5.5,7.8,8.0,4.9,3.7,1.0
Quarterly,Labour cost for LCI (compensation of employees plus taxes minus subsidies),"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",Percentage change q/q-4 (CA),Latvia,8.1 p,12.9 p,7.4 p,5.6 p,7.0 p,6.3 p,12.2 p,12.0 p,10.9 p,13.6 p,11.1 p,13.1 p
Quarterly,Labour cost for LCI (compensation of employees plus taxes minus subsidies),"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",Percentage change q/q-4 (CA),Malta,8.1 p,4.7 p,9.3 p,4.7 p,11.7 p,8.5 p,5.0 p,4.5 p,0.7 p,4.8 p,2.4 p,4.6 p
Quarterly,Labour cost for LCI (compensation of employees plus taxes minus subsidies),"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",Percentage change q/q-4 (CA),Netherlands,3.6,7.2,7.0,1.4,5.8,6.2 p,6.6 p,5.8 p,6.3 p,6.2 p,5.6 p,6.0 p
Quarterly,Labour cost for LCI (compensation of employees plus taxes minus subsidies),"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",Percentage change q/q-4 (CA),Norway,1.8 p,2.2 p,1.5 p,4.8 p,5.7 p,3.8 p,6.7 p,7.7 p,9.2 p,5.2 p,5.8 p,6.1 p
Quarterly,Labour cost for LCI (compensation of employees plus taxes minus subsidies),"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",Percentage change q/q-4 (CA),Poland,9.2,10.5,11.1,13.3,10.2,10.8,13.3,12.2,13.1,14.1,12.9,12.0
Quarterly,Labour cost for LCI (compensation of employees plus taxes minus subsidies),"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",Percentage change q/q-4 (CA),Portugal,2.4,1.2,5.8,4.5,1.4,6.7 p,3.7 p,5.1 p,6.3 p,6.6 p,7.4 p,8.4 p
Quarterly,Labour cost for LCI (compensation of employees plus taxes minus subsidies),"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",Percentage change q/q-4 (CA),Romania,6.6,8.6,11.5,10.8,11.2,14.1,14.2,14.9,16.6,16.4 p,15.0 p,17.1 p
Quarterly,Labour cost for LCI (compensation of employees plus taxes minus subsidies),"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",Percentage change q/q-4 (CA),Serbia,11.5,13.9,22.2,13.8,13.4,14.1,13.6,14.1,12.8,13.6,14.3 p,13.0 p
Quarterly,Labour cost for LCI (compensation of employees plus taxes minus subsidies),"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",Percentage change q/q-4 (CA),Sweden,2.0,3.0,3.0,3.7,3.1,2.5,4.8,4.4,4.7 p,4.2 p,3.4 p,3.1 p
Quarterly,Labour cost for LCI (compensation of employees plus taxes minus subsidies),"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",Percentage change q/q-4 (CA),Slovenia,5.1,0.8,3.5,1.3,11.5,7.2,14.5,4.8,11.8,8.4,6.1,4.5
Quarterly,Labour cost for LCI (compensation of employees plus taxes minus subsidies),"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",Percentage change q/q-4 (CA),Slovakia,10.2,8.3,10.8,11.0,5.0,7.5 p,9.2 p,7.4 p,9.0 p,11.2 p,9.1 p,7.5 p
