Time frequency,Unit of measure,Statistical information,Age class,Geopolitical entity (reporting)\Time,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Percentage,Dispersion at NUTS level 2,From 15 to 74 years,European Union - 27 countries (from 2020),:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,96.2,:,:
Annual,Percentage,Dispersion at NUTS level 2,From 15 to 74 years,Finland,15.9,20.6,23.0,23.0,19.9,16.5,16.1,16.2,17.4,22.4,16.7,23.5,20.9,16.1,18.6,14.5,11.9,20.8,9.8,13.7,16.5,5.7,11.5,10.0,25.9
Annual,Percentage,Dispersion at NUTS level 2,From 15 to 74 years,France,35.2,42.4,40.4,40.6,: u,: u,31.3,30.9,30.9,31.9,34.0,32.3,26.9,29.7,28.8,47.6,43.8,41.4,46.8,50.1,51.9,46.6,51.8,61.1,56.6
Annual,Percentage,Dispersion at NUTS level 2,From 15 to 74 years,Croatia,:,:,:,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Percentage,Dispersion at NUTS level 2,From 15 to 74 years,Hungary,39.5,37.2,33.6,33.7,37.4,42.1,28.1,33.2,40.6,51.8,38.9,24.5,25.4,24.1,21.3,28.2,28.7,38.3,41.1,49.4,50.4,54.0,52.8,54.1,56.0
Annual,Percentage,Dispersion at NUTS level 2,From 15 to 74 years,Ireland,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Percentage,Dispersion at NUTS level 2,From 15 to 74 years,Italy,83.6,91.9,95.8,98.0,100.6,85.0,81.1,76.5,76.6,77.0,66.5,55.8,56.2,59.1,57.2,54.6,55.7,59.9,63.9,68.6,71.6,74.6,69.9,73.7,83.1
Annual,Percentage,Dispersion at NUTS level 2,From 15 to 74 years,Lithuania,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Percentage,Dispersion at NUTS level 2,From 15 to 74 years,Luxembourg,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Percentage,Dispersion at NUTS level 2,From 15 to 74 years,Latvia,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Percentage,Dispersion at NUTS level 2,From 15 to 74 years,Malta,:,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,0.0 u
Annual,Percentage,Dispersion at NUTS level 2,From 15 to 74 years,Netherlands,30.4,: u,: u,31.9,21.1,19.7,20.4,20.3,23.2,22.9,29.8,16.0,16.5,20.9,17.7,16.1,16.3,17.4,17.7,15.9,20.0,22.5,25.9,31.9,16.8
Annual,Percentage,Dispersion at NUTS level 2,From 15 to 74 years,Poland,28.2,26.6,24.8,20.1,21.3,17.3,15.4,20.6,20.6,25.3,30.0,25.5,21.5,23.7,22.0,25.1,29.0,31.8,33.4,66.8 u,: u,: u,: u,: u,: u
Annual,Percentage,Dispersion at NUTS level 2,From 15 to 74 years,Portugal,29.0,35.2,32.4,36.5,30.3,29.1,26.7,28.3,27.5,21.8,20.7,20.7,16.1,18.1,19.9,16.9,17.9,19.5,22.5,15.5,20.6,14.3,26.7,27.6,29.1
Annual,Percentage,Dispersion at NUTS level 2,From 15 to 74 years,Romania,26.6,16.3,24.8,17.8,19.3,15.9,19.9,30.2,29.1,37.6,44.0,44.9,50.2,44.1,41.3,44.0,55.9,56.2,57.1,49.5,43.1,47.1,39.4,43.3,32.7
Annual,Percentage,Dispersion at NUTS level 2,From 15 to 74 years,Sweden,: u,: u,50.2,37.3,25.3,27.8,: u,20.8,23.6,22.3,23.5,18.2,21.0,21.4,22.1,23.4,27.0,22.8,29.7,34.6,26.3,23.9,28.6,28.4,27.3
Annual,Percentage,Dispersion at NUTS level 2,From 15 to 74 years,Slovenia,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Percentage,Dispersion at NUTS level 2,From 15 to 74 years,Slovakia,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Percentage,Dispersion at NUTS level 2,From 15 to 74 years,United Kingdom,: u,: u,: u,: u,: u,: u,52.8 u,45.9 u,45.1,50.0,39.6,35.0,37.1,35.9,41.8,45.3,46.9,46.7,40.4,47.9,44.4 u,:,:,:,:
