Time frequency,Statistical classification of economic activities in the European Community (NACE Rev. 1.1),Training,Unit of measure,Geopolitical entity (reporting)\Time,2005.0
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),CVT courses - internal,Percentage,Netherlands,42.1
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),CVT courses - internal,Percentage,Norway,65.9
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),CVT courses - internal,Percentage,Poland,45.2
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),CVT courses - internal,Percentage,Portugal,48.4
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),CVT courses - internal,Percentage,Romania,73.2
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),CVT courses - internal,Percentage,Sweden,51.4
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),CVT courses - internal,Percentage,Slovenia,47.7
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),CVT courses - internal,Percentage,Slovakia,44.4
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),CVT courses - internal,Percentage,United Kingdom,56.3
Annual,Construction,CVT courses - external,Percentage,Austria,68.5
Annual,Construction,CVT courses - external,Percentage,Belgium,70.6
Annual,Construction,CVT courses - external,Percentage,Bulgaria,44.2
Annual,Construction,CVT courses - external,Percentage,Cyprus,72.4
Annual,Construction,CVT courses - external,Percentage,Czechia,46.0
Annual,Construction,CVT courses - external,Percentage,Germany,52.9
Annual,Construction,CVT courses - external,Percentage,Denmark,73.9
Annual,Construction,CVT courses - external,Percentage,Estonia,80.5
Annual,Construction,CVT courses - external,Percentage,Greece,73.6
Annual,Construction,CVT courses - external,Percentage,Spain,52.9
Annual,Construction,CVT courses - external,Percentage,European Union - 27 countries (from 2020),65.7
Annual,Construction,CVT courses - external,Percentage,European Union - 28 countries (2013-2020),66.1
Annual,Construction,CVT courses - external,Percentage,Finland,49.6
Annual,Construction,CVT courses - external,Percentage,France,85.9
Annual,Construction,CVT courses - external,Percentage,Hungary,88.4
Annual,Construction,CVT courses - external,Percentage,Ireland,45.8
Annual,Construction,CVT courses - external,Percentage,Italy,58.6
Annual,Construction,CVT courses - external,Percentage,Lithuania,79.0
Annual,Construction,CVT courses - external,Percentage,Luxembourg,40.0
Annual,Construction,CVT courses - external,Percentage,Latvia,80.0
Annual,Construction,CVT courses - external,Percentage,Malta,43.4
Annual,Construction,CVT courses - external,Percentage,Netherlands,81.8
Annual,Construction,CVT courses - external,Percentage,Norway,42.4
Annual,Construction,CVT courses - external,Percentage,Poland,78.1
Annual,Construction,CVT courses - external,Percentage,Portugal,66.0
Annual,Construction,CVT courses - external,Percentage,Romania,15.4
Annual,Construction,CVT courses - external,Percentage,Sweden,37.9
Annual,Construction,CVT courses - external,Percentage,Slovenia,87.3
Annual,Construction,CVT courses - external,Percentage,Slovakia,81.7
Annual,Construction,CVT courses - external,Percentage,United Kingdom,61.5
Annual,Construction,CVT courses - internal,Percentage,Austria,31.5
Annual,Construction,CVT courses - internal,Percentage,Belgium,29.4
Annual,Construction,CVT courses - internal,Percentage,Bulgaria,55.8
Annual,Construction,CVT courses - internal,Percentage,Cyprus,27.6
Annual,Construction,CVT courses - internal,Percentage,Czechia,54.0
Annual,Construction,CVT courses - internal,Percentage,Germany,47.1
Annual,Construction,CVT courses - internal,Percentage,Denmark,26.1
Annual,Construction,CVT courses - internal,Percentage,Estonia,19.5
Annual,Construction,CVT courses - internal,Percentage,Greece,7.9
Annual,Construction,CVT courses - internal,Percentage,Spain,47.1
Annual,Construction,CVT courses - internal,Percentage,European Union - 27 countries (from 2020),42.1
Annual,Construction,CVT courses - internal,Percentage,European Union - 28 countries (2013-2020),43.1
Annual,Construction,CVT courses - internal,Percentage,Finland,50.4
Annual,Construction,CVT courses - internal,Percentage,France,14.1
Annual,Construction,CVT courses - internal,Percentage,Hungary,11.6
Annual,Construction,CVT courses - internal,Percentage,Ireland,50.3
Annual,Construction,CVT courses - internal,Percentage,Italy,41.4
Annual,Construction,CVT courses - internal,Percentage,Lithuania,21.0
Annual,Construction,CVT courses - internal,Percentage,Luxembourg,60.0
Annual,Construction,CVT courses - internal,Percentage,Latvia,20.0
Annual,Construction,CVT courses - internal,Percentage,Malta,56.6
Annual,Construction,CVT courses - internal,Percentage,Netherlands,18.2
Annual,Construction,CVT courses - internal,Percentage,Norway,57.6
Annual,Construction,CVT courses - internal,Percentage,Poland,21.9
Annual,Construction,CVT courses - internal,Percentage,Portugal,34.0
Annual,Construction,CVT courses - internal,Percentage,Romania,84.6
Annual,Construction,CVT courses - internal,Percentage,Sweden,62.1
Annual,Construction,CVT courses - internal,Percentage,Slovenia,12.7
Annual,Construction,CVT courses - internal,Percentage,Slovakia,18.3
Annual,Construction,CVT courses - internal,Percentage,United Kingdom,38.5
Annual,Wholesale and retail trade; hotels and restaurants; transport,CVT courses - external,Percentage,Austria,49.8
Annual,Wholesale and retail trade; hotels and restaurants; transport,CVT courses - external,Percentage,Belgium,36.0
Annual,Wholesale and retail trade; hotels and restaurants; transport,CVT courses - external,Percentage,Bulgaria,23.9
Annual,Wholesale and retail trade; hotels and restaurants; transport,CVT courses - external,Percentage,Cyprus,61.4
Annual,Wholesale and retail trade; hotels and restaurants; transport,CVT courses - external,Percentage,Czechia,41.5
Annual,Wholesale and retail trade; hotels and restaurants; transport,CVT courses - external,Percentage,Germany,37.7
Annual,Wholesale and retail trade; hotels and restaurants; transport,CVT courses - external,Percentage,Denmark,59.7
Annual,Wholesale and retail trade; hotels and restaurants; transport,CVT courses - external,Percentage,Estonia,69.8
Annual,Wholesale and retail trade; hotels and restaurants; transport,CVT courses - external,Percentage,Greece,52.7
Annual,Wholesale and retail trade; hotels and restaurants; transport,CVT courses - external,Percentage,Spain,33.8
Annual,Wholesale and retail trade; hotels and restaurants; transport,CVT courses - external,Percentage,European Union - 27 countries (from 2020),44.1
Annual,Wholesale and retail trade; hotels and restaurants; transport,CVT courses - external,Percentage,European Union - 28 countries (2013-2020),43.6
Annual,Wholesale and retail trade; hotels and restaurants; transport,CVT courses - external,Percentage,Finland,53.1
Annual,Wholesale and retail trade; hotels and restaurants; transport,CVT courses - external,Percentage,France,50.9
Annual,Wholesale and retail trade; hotels and restaurants; transport,CVT courses - external,Percentage,Hungary,47.7
Annual,Wholesale and retail trade; hotels and restaurants; transport,CVT courses - external,Percentage,Ireland,20.7
Annual,Wholesale and retail trade; hotels and restaurants; transport,CVT courses - external,Percentage,Italy,33.6
Annual,Wholesale and retail trade; hotels and restaurants; transport,CVT courses - external,Percentage,Lithuania,68.6
Annual,Wholesale and retail trade; hotels and restaurants; transport,CVT courses - external,Percentage,Luxembourg,45.0
Annual,Wholesale and retail trade; hotels and restaurants; transport,CVT courses - external,Percentage,Latvia,57.9
Annual,Wholesale and retail trade; hotels and restaurants; transport,CVT courses - external,Percentage,Malta,50.4
Annual,Wholesale and retail trade; hotels and restaurants; transport,CVT courses - external,Percentage,Netherlands,50.8
Annual,Wholesale and retail trade; hotels and restaurants; transport,CVT courses - external,Percentage,Norway,27.2
Annual,Wholesale and retail trade; hotels and restaurants; transport,CVT courses - external,Percentage,Poland,45.0
Annual,Wholesale and retail trade; hotels and restaurants; transport,CVT courses - external,Percentage,Portugal,51.9
Annual,Wholesale and retail trade; hotels and restaurants; transport,CVT courses - external,Percentage,Romania,36.5
Annual,Wholesale and retail trade; hotels and restaurants; transport,CVT courses - external,Percentage,Sweden,39.2
Annual,Wholesale and retail trade; hotels and restaurants; transport,CVT courses - external,Percentage,Slovenia,48.6
Annual,Wholesale and retail trade; hotels and restaurants; transport,CVT courses - external,Percentage,Slovakia,47.8
Annual,Wholesale and retail trade; hotels and restaurants; transport,CVT courses - external,Percentage,United Kingdom,31.7
Annual,Wholesale and retail trade; hotels and restaurants; transport,CVT courses - internal,Percentage,Austria,50.2
Annual,Wholesale and retail trade; hotels and restaurants; transport,CVT courses - internal,Percentage,Belgium,64.0
Annual,Wholesale and retail trade; hotels and restaurants; transport,CVT courses - internal,Percentage,Bulgaria,76.1
Annual,Wholesale and retail trade; hotels and restaurants; transport,CVT courses - internal,Percentage,Cyprus,37.4
Annual,Wholesale and retail trade; hotels and restaurants; transport,CVT courses - internal,Percentage,Czechia,58.5
Annual,Wholesale and retail trade; hotels and restaurants; transport,CVT courses - internal,Percentage,Germany,62.3
Annual,Wholesale and retail trade; hotels and restaurants; transport,CVT courses - internal,Percentage,Denmark,40.3
Annual,Wholesale and retail trade; hotels and restaurants; transport,CVT courses - internal,Percentage,Estonia,30.2
Annual,Wholesale and retail trade; hotels and restaurants; transport,CVT courses - internal,Percentage,Greece,37.7
Annual,Wholesale and retail trade; hotels and restaurants; transport,CVT courses - internal,Percentage,Spain,66.2
Annual,Wholesale and retail trade; hotels and restaurants; transport,CVT courses - internal,Percentage,European Union - 27 countries (from 2020),62.7
Annual,Wholesale and retail trade; hotels and restaurants; transport,CVT courses - internal,Percentage,European Union - 28 countries (2013-2020),64.3
Annual,Wholesale and retail trade; hotels and restaurants; transport,CVT courses - internal,Percentage,Finland,46.9
Annual,Wholesale and retail trade; hotels and restaurants; transport,CVT courses - internal,Percentage,France,49.6
Annual,Wholesale and retail trade; hotels and restaurants; transport,CVT courses - internal,Percentage,Hungary,52.3
Annual,Wholesale and retail trade; hotels and restaurants; transport,CVT courses - internal,Percentage,Ireland,78.4
Annual,Wholesale and retail trade; hotels and restaurants; transport,CVT courses - internal,Percentage,Italy,66.4
Annual,Wholesale and retail trade; hotels and restaurants; transport,CVT courses - internal,Percentage,Lithuania,31.4
Annual,Wholesale and retail trade; hotels and restaurants; transport,CVT courses - internal,Percentage,Luxembourg,55.0
Annual,Wholesale and retail trade; hotels and restaurants; transport,CVT courses - internal,Percentage,Latvia,42.1
Annual,Wholesale and retail trade; hotels and restaurants; transport,CVT courses - internal,Percentage,Malta,49.6
Annual,Wholesale and retail trade; hotels and restaurants; transport,CVT courses - internal,Percentage,Netherlands,49.2
Annual,Wholesale and retail trade; hotels and restaurants; transport,CVT courses - internal,Percentage,Norway,72.8
Annual,Wholesale and retail trade; hotels and restaurants; transport,CVT courses - internal,Percentage,Poland,55.0
Annual,Wholesale and retail trade; hotels and restaurants; transport,CVT courses - internal,Percentage,Portugal,48.1
Annual,Wholesale and retail trade; hotels and restaurants; transport,CVT courses - internal,Percentage,Romania,63.5
Annual,Wholesale and retail trade; hotels and restaurants; transport,CVT courses - internal,Percentage,Sweden,60.8
Annual,Wholesale and retail trade; hotels and restaurants; transport,CVT courses - internal,Percentage,Slovenia,51.4
Annual,Wholesale and retail trade; hotels and restaurants; transport,CVT courses - internal,Percentage,Slovakia,52.2
Annual,Wholesale and retail trade; hotels and restaurants; transport,CVT courses - internal,Percentage,United Kingdom,68.3
Annual,Financial intermediation,CVT courses - external,Percentage,Austria,39.4
Annual,Financial intermediation,CVT courses - external,Percentage,Belgium,36.4
Annual,Financial intermediation,CVT courses - external,Percentage,Bulgaria,50.6
Annual,Financial intermediation,CVT courses - external,Percentage,Cyprus,33.5
Annual,Financial intermediation,CVT courses - external,Percentage,Czechia,41.6
Annual,Financial intermediation,CVT courses - external,Percentage,Germany,36.4
Annual,Financial intermediation,CVT courses - external,Percentage,Denmark,24.1
Annual,Financial intermediation,CVT courses - external,Percentage,Estonia,50.4
Annual,Financial intermediation,CVT courses - external,Percentage,Greece,57.8
Annual,Financial intermediation,CVT courses - external,Percentage,Spain,27.6
Annual,Financial intermediation,CVT courses - external,Percentage,European Union - 27 countries (from 2020),39.9
Annual,Financial intermediation,CVT courses - external,Percentage,European Union - 28 countries (2013-2020),39.4
Annual,Financial intermediation,CVT courses - external,Percentage,Finland,69.7
Annual,Financial intermediation,CVT courses - external,Percentage,France,54.1
Annual,Financial intermediation,CVT courses - external,Percentage,Hungary,65.2
Annual,Financial intermediation,CVT courses - external,Percentage,Ireland,31.1
Annual,Financial intermediation,CVT courses - external,Percentage,Italy,29.6
Annual,Financial intermediation,CVT courses - external,Percentage,Lithuania,44.9
Annual,Financial intermediation,CVT courses - external,Percentage,Luxembourg,57.5
Annual,Financial intermediation,CVT courses - external,Percentage,Latvia,40.0
Annual,Financial intermediation,CVT courses - external,Percentage,Malta,34.9
Annual,Financial intermediation,CVT courses - external,Percentage,Netherlands,27.6
Annual,Financial intermediation,CVT courses - external,Percentage,Norway,35.2
Annual,Financial intermediation,CVT courses - external,Percentage,Poland,41.7
Annual,Financial intermediation,CVT courses - external,Percentage,Portugal,52.8
Annual,Financial intermediation,CVT courses - external,Percentage,Romania,25.0
Annual,Financial intermediation,CVT courses - external,Percentage,Sweden,39.2
Annual,Financial intermediation,CVT courses - external,Percentage,Slovenia,49.4
Annual,Financial intermediation,CVT courses - external,Percentage,Slovakia,32.3
Annual,Financial intermediation,CVT courses - external,Percentage,United Kingdom,21.8
Annual,Financial intermediation,CVT courses - internal,Percentage,Austria,60.6
Annual,Financial intermediation,CVT courses - internal,Percentage,Belgium,63.6
Annual,Financial intermediation,CVT courses - internal,Percentage,Bulgaria,49.4
Annual,Financial intermediation,CVT courses - internal,Percentage,Cyprus,66.5
Annual,Financial intermediation,CVT courses - internal,Percentage,Czechia,58.4
Annual,Financial intermediation,CVT courses - internal,Percentage,Germany,63.6
Annual,Financial intermediation,CVT courses - internal,Percentage,Denmark,75.9
Annual,Financial intermediation,CVT courses - internal,Percentage,Estonia,49.6
Annual,Financial intermediation,CVT courses - internal,Percentage,Greece,41.9
Annual,Financial intermediation,CVT courses - internal,Percentage,Spain,72.4
Annual,Financial intermediation,CVT courses - internal,Percentage,European Union - 27 countries (from 2020),62.6
Annual,Financial intermediation,CVT courses - internal,Percentage,European Union - 28 countries (2013-2020),63.9
Annual,Financial intermediation,CVT courses - internal,Percentage,Finland,30.3
Annual,Financial intermediation,CVT courses - internal,Percentage,France,46.0
Annual,Financial intermediation,CVT courses - internal,Percentage,Hungary,34.8
Annual,Financial intermediation,CVT courses - internal,Percentage,Ireland,68.7
Annual,Financial intermediation,CVT courses - internal,Percentage,Italy,70.4
Annual,Financial intermediation,CVT courses - internal,Percentage,Lithuania,55.1
Annual,Financial intermediation,CVT courses - internal,Percentage,Luxembourg,42.5
Annual,Financial intermediation,CVT courses - internal,Percentage,Latvia,60.0
Annual,Financial intermediation,CVT courses - internal,Percentage,Malta,65.1
Annual,Financial intermediation,CVT courses - internal,Percentage,Netherlands,72.4
Annual,Financial intermediation,CVT courses - internal,Percentage,Norway,64.8
Annual,Financial intermediation,CVT courses - internal,Percentage,Poland,58.3
Annual,Financial intermediation,CVT courses - internal,Percentage,Portugal,47.2
Annual,Financial intermediation,CVT courses - internal,Percentage,Romania,75.0
Annual,Financial intermediation,CVT courses - internal,Percentage,Sweden,60.8
Annual,Financial intermediation,CVT courses - internal,Percentage,Slovenia,50.6
Annual,Financial intermediation,CVT courses - internal,Percentage,Slovakia,67.7
Annual,Financial intermediation,CVT courses - internal,Percentage,United Kingdom,78.2
Annual,Real estate; other service activities,CVT courses - external,Percentage,Austria,63.6
Annual,Real estate; other service activities,CVT courses - external,Percentage,Belgium,40.0
Annual,Real estate; other service activities,CVT courses - external,Percentage,Bulgaria,52.0
Annual,Real estate; other service activities,CVT courses - external,Percentage,Cyprus,53.5
Annual,Real estate; other service activities,CVT courses - external,Percentage,Czechia,53.6
Annual,Real estate; other service activities,CVT courses - external,Percentage,Germany,38.0
Annual,Real estate; other service activities,CVT courses - external,Percentage,Denmark,59.3
Annual,Real estate; other service activities,CVT courses - external,Percentage,Estonia,68.2
Annual,Real estate; other service activities,CVT courses - external,Percentage,Greece,62.4
Annual,Real estate; other service activities,CVT courses - external,Percentage,Spain,52.5
Annual,Real estate; other service activities,CVT courses - external,Percentage,European Union - 27 countries (from 2020),56.5
Annual,Real estate; other service activities,CVT courses - external,Percentage,European Union - 28 countries (2013-2020),56.9
Annual,Real estate; other service activities,CVT courses - external,Percentage,Finland,50.1
Annual,Real estate; other service activities,CVT courses - external,Percentage,France,76.3
Annual,Real estate; other service activities,CVT courses - external,Percentage,Hungary,83.5
Annual,Real estate; other service activities,CVT courses - external,Percentage,Ireland,28.2
Annual,Real estate; other service activities,CVT courses - external,Percentage,Italy,45.9
Annual,Real estate; other service activities,CVT courses - external,Percentage,Lithuania,60.7
Annual,Real estate; other service activities,CVT courses - external,Percentage,Luxembourg,45.4
Annual,Real estate; other service activities,CVT courses - external,Percentage,Latvia,60.6
Annual,Real estate; other service activities,CVT courses - external,Percentage,Malta,31.9
Annual,Real estate; other service activities,CVT courses - external,Percentage,Netherlands,64.4
Annual,Real estate; other service activities,CVT courses - external,Percentage,Norway,52.9
Annual,Real estate; other service activities,CVT courses - external,Percentage,Poland,68.0
Annual,Real estate; other service activities,CVT courses - external,Percentage,Portugal,53.6
Annual,Real estate; other service activities,CVT courses - external,Percentage,Romania,32.4
Annual,Real estate; other service activities,CVT courses - external,Percentage,Sweden,57.0
Annual,Real estate; other service activities,CVT courses - external,Percentage,Slovenia,68.0
Annual,Real estate; other service activities,CVT courses - external,Percentage,Slovakia,71.9
Annual,Real estate; other service activities,CVT courses - external,Percentage,United Kingdom,52.2
Annual,Real estate; other service activities,CVT courses - internal,Percentage,Austria,36.4
Annual,Real estate; other service activities,CVT courses - internal,Percentage,Belgium,60.0
Annual,Real estate; other service activities,CVT courses - internal,Percentage,Bulgaria,48.0
Annual,Real estate; other service activities,CVT courses - internal,Percentage,Cyprus,46.5
Annual,Real estate; other service activities,CVT courses - internal,Percentage,Czechia,46.4
Annual,Real estate; other service activities,CVT courses - internal,Percentage,Germany,62.0
Annual,Real estate; other service activities,CVT courses - internal,Percentage,Denmark,40.7
Annual,Real estate; other service activities,CVT courses - internal,Percentage,Estonia,31.8
Annual,Real estate; other service activities,CVT courses - internal,Percentage,Greece,22.4
Annual,Real estate; other service activities,CVT courses - internal,Percentage,Spain,47.5
Annual,Real estate; other service activities,CVT courses - internal,Percentage,European Union - 27 countries (from 2020),50.4
Annual,Real estate; other service activities,CVT courses - internal,Percentage,European Union - 28 countries (2013-2020),51.5
Annual,Real estate; other service activities,CVT courses - internal,Percentage,Finland,49.9
Annual,Real estate; other service activities,CVT courses - internal,Percentage,France,24.2
