Time frequency,Unit of measure,Territorial typology,Geopolitical entity (reporting)\Time,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0
Annual,Number,Coastal regions,Cyprus,4.0,2.0,7.0,9.0,8.0,2.0,7.0,12.0,16.0,14.0,29.0,24.0,14.0,17 p
Annual,Number,Coastal regions,Czechia,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Number,Coastal regions,Denmark,:,:,:,:,:,:,:,348.0,383.0,:,:,:,434.0,361 p
Annual,Number,Coastal regions,Estonia,:,:,:,:,:,:,:,:,:,:,:,:,:,44 p
Annual,Number,Coastal regions,Hungary,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Number,Coastal regions,Ireland,:,:,61.0,:,52.0,58.0,59.0,75.0,:,63.0,82.0,89.0,73.0,87 p
Annual,Number,Coastal regions,Liechtenstein,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Number,Coastal regions,Lithuania,:,:,:,:,:,:,1.0,:,:,:,2.0,1.0,2.0,1 p
Annual,Number,Coastal regions,Luxembourg,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Number,Coastal regions,Latvia,:,:,:,:,17.0,:,20.0,10.0,15.0,18.0,15.0,:,32.0,10 p
Annual,Number,Coastal regions,Malta,:,:,:,:,:,:,:,:,4.0,:,26.0,:,38.0,15 p
Annual,Number,Coastal regions,Poland,:,:,:,:,41.0,:,81.0,65.0,85.0,94.0,86.0,88.0,104.0,87 p
Annual,Number,Coastal regions,Sweden,290.0,:,354.0,360.0,438.0,445.0,442.0,428.0,441.0,464.0,529.0,:,:,:
Annual,Number,Coastal regions,Slovenia,:,:,:,:,7.0,:,:,:,:,6.0,12.0,5.0,9.0,:
Annual,Number,Coastal regions,Slovakia,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Number,Intermediate regions,Austria,55.0,74.0,90.0,110.0,132.0,128.0,146.0,143.0,164.0,:,169.0,:,156.0,127 p
Annual,Number,Intermediate regions,Switzerland,:,:,:,:,:,:,:,:,:,:,:,:,:,110 p
Annual,Number,Intermediate regions,Cyprus,4.0,2.0,7.0,9.0,8.0,2.0,7.0,12.0,16.0,14.0,29.0,24.0,14.0,17 p
Annual,Number,Intermediate regions,Czechia,:,:,:,79.0,70.0,69.0,84.0,93.0,131.0,:,110.0,133.0,105.0,82 p
Annual,Number,Intermediate regions,Denmark,165.0,164.0,172.0,190.0,200.0,204.0,215.0,165.0,191.0,207.0,194.0,206.0,221.0,187 p
Annual,Number,Intermediate regions,Estonia,:,:,:,:,:,1.0,:,:,:,:,1.0,:,:,2 p
Annual,Number,Intermediate regions,Finland,:,25.0,37.0,:,:,33.0,:,37.0,49.0,:,73.0,:,84.0,61 p
Annual,Number,Intermediate regions,Ireland,6.0,7.0,5.0,12.0,8.0,9.0,9.0,14.0,19.0,11.0,13.0,5.0,18.0,10 p
Annual,Number,Intermediate regions,Iceland,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Number,Intermediate regions,Liechtenstein,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Number,Intermediate regions,Luxembourg,20.0,20.0,24.0,47.0,51.0,50.0,58.0,56.0,62.0,75.0,104.0,104.0,109.0,73 p
Annual,Number,Intermediate regions,Latvia,:,:,:,:,:,:,:,2.0,6.0,3.0,3.0,:,4.0,:
Annual,Number,Intermediate regions,Malta,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Number,Intermediate regions,Netherlands,:,:,:,:,:,:,149.0,:,:,:,:,:,:,:
Annual,Number,Intermediate regions,Poland,:,:,:,:,:,:,:,:,359.0,394.0,428.0,465.0,524.0,443 p
Annual,Number,Intermediate regions,Sweden,147.0,133.0,208.0,181.0,231.0,227.0,209.0,194.0,216.0,253.0,274.0,251.0,220.0,173 p
Annual,Number,Intermediate regions,Slovenia,:,14.0,9.0,15.0,15.0,31.0,34.0,34.0,41.0,47.0,48.0,51.0,64.0,44 p
Annual,Number,Intermediate regions,Slovakia,:,:,:,16.0,:,12.0,13.0,9.0,20.0,15.0,29.0,20.0,20.0,:
Annual,Number,Intermediate regions,United Kingdom,:,:,:,:,355.0,:,266.0,:,:,:,:,:,:,:
Annual,Number,Island regions,Austria,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Number,Island regions,Belgium,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Number,Island regions,Bulgaria,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Number,Island regions,Switzerland,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Number,Island regions,Cyprus,4.0,2.0,7.0,9.0,8.0,2.0,7.0,12.0,16.0,14.0,29.0,24.0,14.0,17 p
Annual,Number,Island regions,Czechia,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Number,Island regions,Germany,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Number,Island regions,Denmark,:,:,:,:,:,:,:,1.0,1.0,:,:,:,1.0,2 p
Annual,Number,Island regions,Estonia,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Number,Island regions,Finland,:,2.0,:,:,:,:,1.0,:,:,:,:,:,:,:
Annual,Number,Island regions,Croatia,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Number,Island regions,Hungary,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Number,Island regions,Ireland,:,:,:,:,:,61.0,62.0,76.0,:,65.0,:,91.0,:,:
Annual,Number,Island regions,Iceland,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Number,Island regions,Liechtenstein,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Number,Island regions,Lithuania,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Number,Island regions,Luxembourg,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Number,Island regions,Latvia,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Number,Island regions,Malta,:,:,:,:,:,:,:,:,4.0,:,26.0,:,38.0,15 p
Annual,Number,Island regions,Netherlands,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Number,Island regions,Norway,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Number,Island regions,Poland,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Number,Island regions,Romania,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Number,Island regions,Sweden,3.0,:,1.0,2.0,3.0,4.0,6.0,1.0,1.0,2.0,3.0,:,:,:
Annual,Number,Island regions,Slovenia,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Number,Island regions,Slovakia,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Number,Mountain regions,Austria,:,:,:,:,:,:,234.0,:,245.0,:,262.0,:,:,:
Annual,Number,Mountain regions,Belgium,:,2.0,4.0,1.0,3.0,2.0,1.0,4.0,3.0,3.0,4.0,5.0,7.0,7 p
Annual,Number,Mountain regions,Cyprus,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Number,Mountain regions,Czechia,:,:,:,53.0,48.0,40.0,54.0,52.0,87.0,:,71.0,78.0,65.0,55 p
Annual,Number,Mountain regions,Denmark,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Number,Mountain regions,Estonia,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Number,Mountain regions,Finland,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Number,Mountain regions,Hungary,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Number,Mountain regions,Ireland,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Number,Mountain regions,Liechtenstein,15.0,23.0,33.0,23.0,34.0,33.0,25.0,26.0,23.0,20.0,24.0,19.0,23.0,14 p
Annual,Number,Mountain regions,Lithuania,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Number,Mountain regions,Luxembourg,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Number,Mountain regions,Latvia,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Number,Mountain regions,Malta,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Number,Mountain regions,Netherlands,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Number,Mountain regions,Poland,:,:,31.0,31.0,67.0,52.0,74.0,92.0,87.0,81.0,101.0,95.0,113.0,89 p
Annual,Number,Mountain regions,Sweden,5.0,4.0,10.0,5.0,13.0,4.0,10.0,6.0,2.0,3.0,4.0,2.0,6.0,6 p
Annual,Number,Mountain regions,Slovenia,:,:,:,:,:,:,:,:,:,:,83.0,88.0,:,:
Annual,Number,Mountain regions,Slovakia,:,:,:,18.0,:,9.0,17.0,18.0,31.0,20.0,35.0,28.0,32.0,:
Annual,Number,Non-border regions,Austria,:,:,:,:,30.0,27.0,42.0,41.0,33.0,:,37.0,:,:,:
Annual,Number,Non-border regions,Belgium,49.0,:,90.0,88.0,97.0,85.0,89.0,100.0,95.0,109.0,121.0,117.0,102.0,66 p
Annual,Number,Non-border regions,Switzerland,52.0,:,:,:,:,81.0,:,73.0,74.0,:,:,90.0,59.0,58 p
Annual,Number,Non-border regions,Cyprus,4.0,2.0,7.0,9.0,8.0,2.0,7.0,12.0,16.0,14.0,29.0,24.0,14.0,17 p
Annual,Number,Non-border regions,Czechia,2.0,5.0,15.0,38.0,35.0,46.0,30.0,56.0,61.0,77.0,59.0,64.0,57.0,61 p
Annual,Number,Non-border regions,Denmark,:,:,:,:,:,:,:,166.0,172.0,:,:,:,178.0,171 p
Annual,Number,Non-border regions,Estonia,:,:,:,12.0,10.0,:,:,24.0,:,26.0,42.0,27.0,25.0,33 p
Annual,Number,Non-border regions,Croatia,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Number,Non-border regions,Hungary,:,18.0,:,:,:,29.0,28.0,34.0,26.0,:,27.0,27.0,:,:
Annual,Number,Non-border regions,Ireland,:,:,48.0,:,36.0,33.0,43.0,48.0,:,42.0,54.0,74.0,47.0,64 p
Annual,Number,Non-border regions,Liechtenstein,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Number,Non-border regions,Lithuania,:,:,1.0,:,2.0,1.0,1.0,5.0,1.0,3.0,4.0,6.0,4.0,8 p
Annual,Number,Non-border regions,Luxembourg,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Number,Non-border regions,Latvia,:,3.0,4.0,13.0,13.0,8.0,17.0,7.0,10.0,11.0,13.0,21.0,21.0,6 p
Annual,Number,Non-border regions,Malta,:,:,:,:,:,:,:,:,4.0,:,26.0,:,38.0,15 p
Annual,Number,Non-border regions,Netherlands,:,333.0,309.0,318.0,:,387.0,377.0,283.0,317.0,328.0,302.0,:,279.0,272 p
Annual,Number,Non-border regions,Poland,:,:,:,:,:,:,:,:,602.0,:,719.0,:,:,758 p
Annual,Number,Non-border regions,Sweden,216.0,:,270.0,240.0,301.0,322.0,307.0,310.0,329.0,351.0,390.0,:,:,:
Annual,Number,Non-border regions,Slovenia,:,:,2.0,:,4.0,1.0,1.0,:,:,:,1.0,4.0,1.0,1 p
Annual,Number,Non-border regions,Slovakia,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Number,Non-coastal regions,Cyprus,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Number,Non-coastal regions,Czechia,:,:,:,141.0,134.0,:,150.0,:,242.0,:,222.0,246.0,204.0,:
Annual,Number,Non-coastal regions,Denmark,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Number,Non-coastal regions,Estonia,:,2.0,:,:,:,:,3.0,6.0,5.0,6.0,3.0,6.0,6.0,12 p
Annual,Number,Non-coastal regions,Finland,:,:,:,:,:,:,:,:,:,:,:,:,:,48 p
Annual,Number,Non-coastal regions,Ireland,1.0,1.0,:,:,:,3.0,3.0,1.0,:,2.0,:,2.0,:,:
Annual,Number,Non-coastal regions,Iceland,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Number,Non-coastal regions,Luxembourg,20.0,20.0,24.0,47.0,51.0,50.0,58.0,56.0,62.0,75.0,104.0,104.0,109.0,73 p
Annual,Number,Non-coastal regions,Latvia,:,:,:,:,:,:,:,5.0,8.0,:,:,:,8.0,:
Annual,Number,Non-coastal regions,Malta,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Number,Non-coastal regions,Netherlands,:,:,:,:,:,:,486.0,443.0,:,:,458.0,459.0,403.0,353 p
Annual,Number,Non-coastal regions,Sweden,76.0,66.0,99.0,90.0,109.0,112.0,109.0,87.0,109.0,114.0,131.0,122.0,120.0,96 p
Annual,Number,Non-coastal regions,Slovenia,:,:,:,:,:,:,:,:,:,:,75.0,97.0,:,:
Annual,Number,Non-coastal regions,Slovakia,:,:,:,35.0,:,:,42.0,32.0,56.0,43.0,64.0,59.0,48.0,:
Annual,Number,Non-coastal regions,United Kingdom,:,:,350.0,:,337.0,:,275.0,:,335.0,419.0,413.0,:,:,:
Annual,Number,Non-island regions,Cyprus,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Number,Non-island regions,Czechia,:,:,:,141.0,134.0,:,150.0,:,242.0,:,222.0,246.0,204.0,:
Annual,Number,Non-island regions,Denmark,280.0,283.0,311.0,355.0,395.0,389.0,383.0,347.0,382.0,410.0,372.0,420.0,433.0,359 p
Annual,Number,Non-island regions,Estonia,:,:,:,:,:,:,:,:,:,:,:,:,:,56 p
Annual,Number,Non-island regions,Finland,:,:,:,:,:,:,:,:,:,:,:,:,:,221 p
Annual,Number,Non-island regions,Ireland,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Number,Non-island regions,Liechtenstein,15.0,23.0,33.0,23.0,34.0,33.0,25.0,26.0,23.0,20.0,24.0,19.0,23.0,14 p
Annual,Number,Non-island regions,Luxembourg,20.0,20.0,24.0,47.0,51.0,50.0,58.0,56.0,62.0,75.0,104.0,104.0,109.0,73 p
Annual,Number,Non-island regions,Latvia,:,:,:,:,:,:,:,15.0,23.0,:,:,:,40.0,:
Annual,Number,Non-island regions,Malta,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Number,Non-island regions,Netherlands,:,:,:,:,:,:,867.0,:,:,:,:,:,:,:
Annual,Number,Non-island regions,Sweden,363.0,331.0,452.0,448.0,544.0,553.0,545.0,514.0,549.0,576.0,657.0,560.0,553.0,522 p
Annual,Number,Non-island regions,Slovenia,:,:,:,:,:,:,:,:,:,:,87.0,102.0,:,:
Annual,Number,Non-island regions,Slovakia,:,:,:,35.0,:,:,42.0,32.0,56.0,43.0,64.0,59.0,48.0,:
Annual,Number,Non-mountain regions,Austria,:,:,146.0,161.0,169.0,:,:,164.0,:,:,:,218.0,:,:
Annual,Number,Non-mountain regions,Switzerland,7.0,15.0,17.0,11.0,19.0,20.0,23.0,25.0,20.0,14.0,20.0,25.0,18.0,20 p
Annual,Number,Non-mountain regions,Cyprus,4.0,2.0,7.0,9.0,8.0,2.0,7.0,12.0,16.0,14.0,29.0,24.0,14.0,17 p
Annual,Number,Non-mountain regions,Czechia,:,:,:,88.0,86.0,:,96.0,:,155.0,:,151.0,168.0,139.0,:
Annual,Number,Non-mountain regions,Denmark,:,:,:,:,:,:,:,348.0,383.0,:,:,:,434.0,361 p
Annual,Number,Non-mountain regions,Estonia,:,:,:,:,:,:,:,:,:,:,:,:,:,56 p
Annual,Number,Non-mountain regions,Ireland,:,:,:,:,:,61.0,62.0,76.0,:,65.0,:,91.0,:,:
Annual,Number,Non-mountain regions,Iceland,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Number,Non-mountain regions,Liechtenstein,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Number,Non-mountain regions,Luxembourg,20.0,20.0,24.0,47.0,51.0,50.0,58.0,56.0,62.0,75.0,104.0,104.0,109.0,73 p
Annual,Number,Non-mountain regions,Latvia,:,:,:,:,:,:,:,15.0,23.0,:,:,:,40.0,:
Annual,Number,Non-mountain regions,Malta,:,:,:,:,:,:,:,:,4.0,:,26.0,:,38.0,15 p
Annual,Number,Non-mountain regions,Netherlands,:,:,:,:,:,:,867.0,:,:,:,:,:,:,:
Annual,Number,Non-mountain regions,Sweden,361.0,:,443.0,445.0,534.0,553.0,541.0,509.0,548.0,575.0,656.0,:,:,:
Annual,Number,Non-mountain regions,Slovenia,:,:,:,:,:,:,:,5.0,7.0,:,4.0,14.0,:,8 p
Annual,Number,Non-mountain regions,Slovakia,:,:,:,17.0,19.0,:,25.0,14.0,25.0,23.0,29.0,31.0,16.0,20 p
Annual,Number,Predominantly rural regions,Austria,:,:,:,:,:,:,:,:,:,:,:,200.0,:,:
Annual,Number,Predominantly rural regions,Switzerland,:,:,15.0,14.0,11.0,6.0,:,7.0,6.0,:,5.0,9.0,7.0,9 p
Annual,Number,Predominantly rural regions,Cyprus,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Number,Predominantly rural regions,Czechia,:,:,:,15.0,22.0,:,23.0,:,28.0,:,26.0,20.0,20.0,:
Annual,Number,Predominantly rural regions,Denmark,:,:,:,:,:,:,:,68.0,75.0,:,:,:,75.0,81 p
Annual,Number,Predominantly rural regions,Estonia,:,:,:,:,:,:,:,8.0,:,13.0,:,:,13.0,28 p
Annual,Number,Predominantly rural regions,Ireland,:,:,:,:,:,26.0,33.0,30.0,:,28.0,:,33.0,:,:
Annual,Number,Predominantly rural regions,Iceland,1.0,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Number,Predominantly rural regions,Liechtenstein,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Number,Predominantly rural regions,Lithuania,:,:,:,:,:,:,:,:,:,:,:,:,3.0,:
Annual,Number,Predominantly rural regions,Luxembourg,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Number,Predominantly rural regions,Latvia,:,:,:,:,:,:,:,4.0,4.0,:,:,:,6.0,:
Annual,Number,Predominantly rural regions,Malta,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Number,Predominantly rural regions,Netherlands,:,1.0,4.0,2.0,1.0,1.0,2.0,:,1.0,:,:,1.0,1.0,1 p
Annual,Number,Predominantly rural regions,Sweden,33.0,:,34.0,36.0,43.0,43.0,43.0,34.0,34.0,23.0,35.0,:,:,:
Annual,Number,Predominantly rural regions,Slovenia,:,:,:,:,:,:,:,:,:,:,39.0,51.0,:,:
Annual,Number,Predominantly rural regions,Slovakia,:,:,:,6.0,5.0,:,16.0,14.0,18.0,17.0,19.0,22.0,16.0,15 p
Annual,Number,Predominantly urban regions,Austria,60.0,78.0,104.0,92.0,119.0,101.0,96.0,94.0,118.0,126.0,133.0,149.0,118.0,97 p
Annual,Number,Predominantly urban regions,Belgium,103.0,:,168.0,164.0,:,:,195.0,210.0,:,186.0,:,215.0,200.0,151 p
Annual,Number,Predominantly urban regions,Bulgaria,:,3.0,:,1.0,19.0,10.0,18.0,22.0,18.0,33.0,36.0,35.0,49.0,49 p
Annual,Number,Predominantly urban regions,Switzerland,100.0,172.0,245.0,244.0,261.0,244.0,160.0,140.0,181.0,:,211.0,169.0,:,:
Annual,Number,Predominantly urban regions,Cyprus,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Number,Predominantly urban regions,Czechia,3.0,7.0,27.0,47.0,42.0,57.0,43.0,75.0,83.0,95.0,86.0,93.0,79.0,73 p
Annual,Number,Predominantly urban regions,Denmark,70.0,60.0,77.0,99.0,118.0,117.0,98.0,115.0,117.0,117.0,98.0,137.0,138.0,93 p
Annual,Number,Predominantly urban regions,Estonia,:,2.0,3.0,9.0,9.0,12.0,19.0,23.0,35.0,23.0,39.0,25.0,22.0,26 p
Annual,Number,Predominantly urban regions,Greece,:,:,:,:,:,:,:,:,:,:,:,:,51.0,:
Annual,Number,Predominantly urban regions,Spain,:,:,813.0,:,:,:,:,:,:,:,:,:,:,:
Annual,Number,Predominantly urban regions,Finland,61.0,102.0,117.0,114.0,128.0,138.0,127.0,141.0,137.0,163.0,165.0,155.0,137.0,104 p
Annual,Number,Predominantly urban regions,Hungary,4.0,14.0,13.0,13.0,31.0,25.0,23.0,32.0,21.0,25.0,25.0,24.0,20.0,32 p
Annual,Number,Predominantly urban regions,Ireland,28.0,20.0,34.0,23.0,23.0,26.0,20.0,32.0,23.0,26.0,28.0,53.0,34.0,43 p
Annual,Number,Predominantly urban regions,Iceland,:,2.0,4.0,2.0,3.0,4.0,2.0,7.0,3.0,4.0,5.0,7.0,1.0,1 p
Annual,Number,Predominantly urban regions,Liechtenstein,15.0,23.0,33.0,23.0,34.0,33.0,25.0,26.0,23.0,20.0,24.0,19.0,23.0,14 p
Annual,Number,Predominantly urban regions,Lithuania,:,3.0,5.0,2.0,1.0,6.0,4.0,5.0,9.0,20.0,12.0,24.0,16.0,21 p
Annual,Number,Predominantly urban regions,Luxembourg,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Number,Predominantly urban regions,Latvia,:,6.0,11.0,22.0,16.0,10.0,19.0,9.0,13.0,16.0,14.0,26.0,30.0,7 p
Annual,Number,Predominantly urban regions,Malta,:,:,:,:,:,:,:,:,4.0,:,26.0,:,38.0,15 p
Annual,Number,Predominantly urban regions,Netherlands,413.0,569.0,604.0,602.0,:,709.0,716.0,627.0,658.0,770.0,683.0,669.0,625.0,577 p
Annual,Number,Predominantly urban regions,Norway,:,36.0,32.0,41.0,37.0,26.0,43.0,28.0,25.0,29.0,21.0,22.0,:,:
Annual,Number,Predominantly urban regions,Poland,:,:,:,:,:,:,286.0,299.0,294.0,370.0,371.0,440.0,515.0,386 p
Annual,Number,Predominantly urban regions,Portugal,42.0,48.0,59.0,59.0,69.0,63.0,100.0,58.0,:,:,:,86.0,67.0,75 p
Annual,Number,Predominantly urban regions,Romania,:,:,:,:,:,:,:,:,:,23.0,:,:,:,:
Annual,Number,Predominantly urban regions,Sweden,186.0,172.0,211.0,233.0,273.0,287.0,299.0,287.0,300.0,302.0,351.0,276.0,301.0,328 p
Annual,Number,Predominantly urban regions,Slovenia,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Number,Predominantly urban regions,Slovakia,:,4.0,8.0,13.0,17.0,14.0,13.0,9.0,18.0,11.0,16.0,17.0,12.0,9 p
