Time frequency,Survey answer - Yes/No,Sex,Geopolitical entity (reporting)\Time,2002.0
Annual,Unknown,Males,Slovakia,36.4
Annual,Unknown,Total,Austria,15.1
Annual,Unknown,Total,Cyprus,4.9 u
Annual,Unknown,Total,Czechia,1.5
Annual,Unknown,Total,Germany,23.3
Annual,Unknown,Total,Denmark,11.5
Annual,Unknown,Total,Estonia,: u
Annual,Unknown,Total,Spain,43.2
Annual,Unknown,Total,European Union - 15 countries (1995-2004),9.3
Annual,Unknown,Total,European Union - 25 countries (2004-2006),12.3
Annual,Unknown,Total,Finland,: u
Annual,Unknown,Total,France,1.6
Annual,Unknown,Total,Ireland,: u
Annual,Unknown,Total,Italy,22.3
Annual,Unknown,Total,Lithuania,52.1
Annual,Unknown,Total,Luxembourg,31.2
Annual,Unknown,Total,Malta,15.6 u
Annual,Unknown,Total,Netherlands,5.0
Annual,Unknown,Total,Portugal,1.8 u
Annual,Unknown,Total,Sweden,1.2
Annual,Unknown,Total,Slovakia,36.7
Annual,Yes,Females,Austria,27.4
Annual,Yes,Females,Belgium,47.1
Annual,Yes,Females,Cyprus,17.9
Annual,Yes,Females,Czechia,17.3
Annual,Yes,Females,Germany,15.0
Annual,Yes,Females,Denmark,27.4
Annual,Yes,Females,Estonia,: u
Annual,Yes,Females,Greece,32.3
Annual,Yes,Females,Spain,27.2
Annual,Yes,Females,European Union - 15 countries (1995-2004),38.7
Annual,Yes,Females,European Union - 25 countries (2004-2006),33.8
Annual,Yes,Females,Finland,: u
Annual,Yes,Females,France,49.4
Annual,Yes,Females,Ireland,: u
Annual,Yes,Females,Italy,19.4
Annual,Yes,Females,Lithuania,20.9
Annual,Yes,Females,Luxembourg,16.2 u
Annual,Yes,Females,Malta,37.8 u
Annual,Yes,Females,Netherlands,41.2
Annual,Yes,Females,Norway,: u
Annual,Yes,Females,Portugal,21.3
Annual,Yes,Females,Romania,29.9
Annual,Yes,Females,Sweden,: u
Annual,Yes,Females,Slovenia,64.9
Annual,Yes,Females,Slovakia,52.7
Annual,Yes,Females,United Kingdom,46.8
Annual,Yes,Males,Austria,30.6
Annual,Yes,Males,Belgium,50.8
Annual,Yes,Males,Cyprus,24.3
Annual,Yes,Males,Czechia,22.5
Annual,Yes,Males,Germany,18.0
Annual,Yes,Males,Denmark,24.8
Annual,Yes,Males,Estonia,: u
Annual,Yes,Males,Greece,39.4
Annual,Yes,Males,Spain,32.5
Annual,Yes,Males,European Union - 15 countries (1995-2004),42.3
Annual,Yes,Males,European Union - 25 countries (2004-2006),36.5
Annual,Yes,Males,Finland,: u
Annual,Yes,Males,France,51.7
Annual,Yes,Males,Ireland,: u
Annual,Yes,Males,Italy,19.7
Annual,Yes,Males,Lithuania,21.5
Annual,Yes,Males,Luxembourg,14.3 u
Annual,Yes,Males,Malta,25.9 u
Annual,Yes,Males,Netherlands,38.0
Annual,Yes,Males,Norway,: u
Annual,Yes,Males,Portugal,29.0
Annual,Yes,Males,Romania,33.7
Annual,Yes,Males,Sweden,: u
Annual,Yes,Males,Slovenia,64.8
Annual,Yes,Males,Slovakia,54.7
Annual,Yes,Males,United Kingdom,53.5
Annual,Yes,Total,Austria,29.0
Annual,Yes,Total,Belgium,48.7
Annual,Yes,Total,Cyprus,20.7
Annual,Yes,Total,Czechia,19.6
Annual,Yes,Total,Germany,16.6
Annual,Yes,Total,Denmark,26.3
Annual,Yes,Total,Estonia,8.5 u
Annual,Yes,Total,Greece,35.6
Annual,Yes,Total,Spain,30.0
Annual,Yes,Total,European Union - 15 countries (1995-2004),40.4
Annual,Yes,Total,European Union - 25 countries (2004-2006),35.1
Annual,Yes,Total,Finland,: u
Annual,Yes,Total,France,50.4
Annual,Yes,Total,Ireland,: u
Annual,Yes,Total,Italy,19.6
Annual,Yes,Total,Lithuania,21.2
Annual,Yes,Total,Luxembourg,15.2 u
Annual,Yes,Total,Malta,31.6
Annual,Yes,Total,Netherlands,40.0
Annual,Yes,Total,Norway,: u
Annual,Yes,Total,Portugal,24.3
Annual,Yes,Total,Romania,31.4
Annual,Yes,Total,Sweden,: u
Annual,Yes,Total,Slovenia,64.9
Annual,Yes,Total,Slovakia,53.7
Annual,Yes,Total,United Kingdom,50.2
