Time frequency,Reason,Unit of measure,Geopolitical entity (reporting)\Time,2003.0
Annual,Mainly job related reasons,Thousand,Estonia,88.0
Annual,Mainly job related reasons,Thousand,Greece,204.0
Annual,Mainly job related reasons,Thousand,Spain,1473.0
Annual,Mainly job related reasons,Thousand,European Union - 25 countries (2004-2006),33593.0
Annual,Mainly job related reasons,Thousand,Finland,1022.0
Annual,Mainly job related reasons,Thousand,France,5688.0
Annual,Mainly job related reasons,Thousand,Hungary,228.0
Annual,Mainly job related reasons,Thousand,Ireland,219.0
Annual,Mainly job related reasons,Thousand,Italy,1336.0
Annual,Mainly job related reasons,Thousand,Lithuania,130.0
Annual,Mainly job related reasons,Thousand,Luxembourg,29.0
Annual,Mainly job related reasons,Thousand,Latvia,135.0
Annual,Mainly job related reasons,Thousand,Malta,16.0
Annual,Mainly job related reasons,Thousand,Netherlands,852.0
Annual,Mainly job related reasons,Thousand,Norway,558.0
Annual,Mainly job related reasons,Thousand,Poland,1791.0
Annual,Mainly job related reasons,Thousand,Portugal,417.0
Annual,Mainly job related reasons,Thousand,Romania,59.0
Annual,Mainly job related reasons,Thousand,Sweden,1916.0
Annual,Mainly job related reasons,Thousand,Slovenia,213.0
Annual,Mainly job related reasons,Thousand,Slovakia,538.0
Annual,Mainly job related reasons,Thousand,United Kingdom,8468.0
Annual,Mainly personal/social reasons,Percentage,Austria,26.6
Annual,Mainly personal/social reasons,Percentage,Belgium,17.5
Annual,Mainly personal/social reasons,Percentage,Bulgaria,22.8
Annual,Mainly personal/social reasons,Percentage,Switzerland,19.7
Annual,Mainly personal/social reasons,Percentage,Cyprus,21.3
Annual,Mainly personal/social reasons,Percentage,Czechia,15.5
Annual,Mainly personal/social reasons,Percentage,Germany,9.1
Annual,Mainly personal/social reasons,Percentage,Denmark,16.1
Annual,Mainly personal/social reasons,Percentage,Estonia,16.9
Annual,Mainly personal/social reasons,Percentage,Greece,27.3
Annual,Mainly personal/social reasons,Percentage,Spain,38.3
Annual,Mainly personal/social reasons,Percentage,European Union - 25 countries (2004-2006),15.9
Annual,Mainly personal/social reasons,Percentage,Finland,12.6
Annual,Mainly personal/social reasons,Percentage,France,6.7
Annual,Mainly personal/social reasons,Percentage,Hungary,13.7
Annual,Mainly personal/social reasons,Percentage,Ireland,23.4
Annual,Mainly personal/social reasons,Percentage,Italy,15.1
Annual,Mainly personal/social reasons,Percentage,Lithuania,6.3
Annual,Mainly personal/social reasons,Percentage,Luxembourg,27.1
Annual,Mainly personal/social reasons,Percentage,Latvia,18.7
Annual,Mainly personal/social reasons,Percentage,Malta,18.0
Annual,Mainly personal/social reasons,Percentage,Netherlands,13.9
Annual,Mainly personal/social reasons,Percentage,Norway,10.0
Annual,Mainly personal/social reasons,Percentage,Poland,8.7
Annual,Mainly personal/social reasons,Percentage,Portugal,20.8
Annual,Mainly personal/social reasons,Percentage,Romania,19.7
Annual,Mainly personal/social reasons,Percentage,Sweden,15.8
Annual,Mainly personal/social reasons,Percentage,Slovenia,19.2
Annual,Mainly personal/social reasons,Percentage,Slovakia,7.0
Annual,Mainly personal/social reasons,Percentage,United Kingdom,20.8
Annual,Mainly personal/social reasons,Thousand,Austria,300.0
Annual,Mainly personal/social reasons,Thousand,Belgium,189.0
Annual,Mainly personal/social reasons,Thousand,Bulgaria,16.0
Annual,Mainly personal/social reasons,Thousand,Switzerland,372.0
Annual,Mainly personal/social reasons,Thousand,Cyprus,16.0
Annual,Mainly personal/social reasons,Thousand,Czechia,116.0
Annual,Mainly personal/social reasons,Thousand,Germany,527.0
Annual,Mainly personal/social reasons,Thousand,Denmark,224.0
Annual,Mainly personal/social reasons,Thousand,Estonia,18.0
Annual,Mainly personal/social reasons,Thousand,Greece,77.0
Annual,Mainly personal/social reasons,Thousand,Spain,914.0
Annual,Mainly personal/social reasons,Thousand,European Union - 25 countries (2004-2006),6430.0
Annual,Mainly personal/social reasons,Thousand,Finland,147.0
Annual,Mainly personal/social reasons,Thousand,France,410.0
Annual,Mainly personal/social reasons,Thousand,Hungary,36.0
Annual,Mainly personal/social reasons,Thousand,Ireland,67.0
Annual,Mainly personal/social reasons,Thousand,Italy,241.0
Annual,Mainly personal/social reasons,Thousand,Lithuania,9.0
Annual,Mainly personal/social reasons,Thousand,Luxembourg,11.0
Annual,Mainly personal/social reasons,Thousand,Latvia,31.0
Annual,Mainly personal/social reasons,Thousand,Malta,4.0
Annual,Mainly personal/social reasons,Thousand,Netherlands,138.0
Annual,Mainly personal/social reasons,Thousand,Norway,73.0
Annual,Mainly personal/social reasons,Thousand,Poland,170.0
Annual,Mainly personal/social reasons,Thousand,Portugal,110.0
Annual,Mainly personal/social reasons,Thousand,Romania,14.0
Annual,Mainly personal/social reasons,Thousand,Sweden,360.0
Annual,Mainly personal/social reasons,Thousand,Slovenia,51.0
Annual,Mainly personal/social reasons,Thousand,Slovakia,41.0
Annual,Mainly personal/social reasons,Thousand,United Kingdom,2224.0
Annual,No answer,Percentage,Switzerland,17.5
Annual,No answer,Percentage,Germany,0.1
Annual,No answer,Percentage,Denmark,0.8
Annual,No answer,Percentage,European Union - 25 countries (2004-2006),0.2
Annual,No answer,Percentage,Finland,0.0
Annual,No answer,Percentage,France,0.0
Annual,No answer,Percentage,Ireland,0.0
Annual,No answer,Percentage,Italy,1.4
Annual,No answer,Percentage,Norway,13.0
Annual,No answer,Percentage,Sweden,0.0
Annual,No answer,Percentage,United Kingdom,0.0
Annual,No answer,Thousand,Switzerland,332.0
Annual,No answer,Thousand,Denmark,11.0
Annual,No answer,Thousand,European Union - 25 countries (2004-2006),43.0
Annual,No answer,Thousand,Italy,23.0
Annual,No answer,Thousand,Norway,94.0
