Time frequency,Frequency,Type of violence,Unit of measure,Geopolitical entity (reporting)\Time,2021.0
Annual,Repeated,Physical or sexual,Percentage,Sweden,24.6
Annual,Repeated,Physical or sexual,Percentage,Slovenia,10.1
Annual,Repeated,Physical or sexual,Percentage,Slovakia,: u
Annual,Repeated,Physical or sexual,Percentage,Kosovo*,2.9
Annual,Repeated,Physical (including threats) or sexual,Percentage,Austria,15.5
Annual,Repeated,Physical (including threats) or sexual,Percentage,Belgium,17.6
Annual,Repeated,Physical (including threats) or sexual,Percentage,Bulgaria,7.4
Annual,Repeated,Physical (including threats) or sexual,Percentage,Cyprus,28.7
Annual,Repeated,Physical (including threats) or sexual,Percentage,Czechia,13.9
Annual,Repeated,Physical (including threats) or sexual,Percentage,Germany,19.2
Annual,Repeated,Physical (including threats) or sexual,Percentage,Denmark,22.4
Annual,Repeated,Physical (including threats) or sexual,Percentage,Estonia,20.8
Annual,Repeated,Physical (including threats) or sexual,Percentage,Greece,20.7
Annual,Repeated,Physical (including threats) or sexual,Percentage,Spain,15.4
Annual,Repeated,Physical (including threats) or sexual,Percentage,European Union (aggregate changing according to the context),19.7 e
Annual,Repeated,Physical (including threats) or sexual,Percentage,Finland,28.1
Annual,Repeated,Physical (including threats) or sexual,Percentage,France,18.4
Annual,Repeated,Physical (including threats) or sexual,Percentage,Croatia,12.6
Annual,Repeated,Physical (including threats) or sexual,Percentage,Hungary,41.3
Annual,Repeated,Physical (including threats) or sexual,Percentage,Ireland,27.1
Annual,Repeated,Physical (including threats) or sexual,Percentage,Lithuania,15.4
Annual,Repeated,Physical (including threats) or sexual,Percentage,Luxembourg,26.1
Annual,Repeated,Physical (including threats) or sexual,Percentage,Latvia,16.3
Annual,Repeated,Physical (including threats) or sexual,Percentage,Montenegro,6.5
Annual,Repeated,Physical (including threats) or sexual,Percentage,Malta,17.1
Annual,Repeated,Physical (including threats) or sexual,Percentage,Netherlands,17.1
Annual,Repeated,Physical (including threats) or sexual,Percentage,Poland,: u
Annual,Repeated,Physical (including threats) or sexual,Percentage,Portugal,11.7
Annual,Repeated,Physical (including threats) or sexual,Percentage,Romania,35.1
Annual,Repeated,Physical (including threats) or sexual,Percentage,Serbia,12.0
Annual,Repeated,Physical (including threats) or sexual,Percentage,Sweden,28.2
Annual,Repeated,Physical (including threats) or sexual,Percentage,Slovenia,13.1
Annual,Repeated,Physical (including threats) or sexual,Percentage,Slovakia,: u
Annual,Repeated,Physical (including threats) or sexual,Percentage,Kosovo*,4.5
Annual,Repeated,Sexual,Percentage,Austria,6.4
Annual,Repeated,Sexual,Percentage,Belgium,7.2
Annual,Repeated,Sexual,Percentage,Bulgaria,0.9 u
Annual,Repeated,Sexual,Percentage,Cyprus,9.2
Annual,Repeated,Sexual,Percentage,Czechia,4.6
Annual,Repeated,Sexual,Percentage,Germany,9.3
Annual,Repeated,Sexual,Percentage,Denmark,8.3 u
Annual,Repeated,Sexual,Percentage,Estonia,7.0
Annual,Repeated,Sexual,Percentage,Greece,5.4
Annual,Repeated,Sexual,Percentage,Spain,6.3
Annual,Repeated,Sexual,Percentage,European Union (aggregate changing according to the context),7.9 e
Annual,Repeated,Sexual,Percentage,Finland,8.4
Annual,Repeated,Sexual,Percentage,France,8.1
Annual,Repeated,Sexual,Percentage,Croatia,4.0
Annual,Repeated,Sexual,Percentage,Hungary,10.7
Annual,Repeated,Sexual,Percentage,Ireland,10.7
Annual,Repeated,Sexual,Percentage,Lithuania,4.0
Annual,Repeated,Sexual,Percentage,Luxembourg,11.3
Annual,Repeated,Sexual,Percentage,Latvia,3.7
Annual,Repeated,Sexual,Percentage,Montenegro,: u
Annual,Repeated,Sexual,Percentage,Malta,5.9
Annual,Repeated,Sexual,Percentage,Netherlands,6.6
Annual,Repeated,Sexual,Percentage,Poland,: u
Annual,Repeated,Sexual,Percentage,Portugal,3.2
Annual,Repeated,Sexual,Percentage,Romania,9.9
Annual,Repeated,Sexual,Percentage,Serbia,1.5
Annual,Repeated,Sexual,Percentage,Sweden,17.3
Annual,Repeated,Sexual,Percentage,Slovenia,4.3
Annual,Repeated,Sexual,Percentage,Slovakia,: u
Annual,Repeated,Sexual,Percentage,Kosovo*,: u
Annual,Repeated,Threats,Percentage,Austria,8.3
Annual,Repeated,Threats,Percentage,Belgium,9.6
Annual,Repeated,Threats,Percentage,Bulgaria,4.4
Annual,Repeated,Threats,Percentage,Cyprus,16.5
Annual,Repeated,Threats,Percentage,Czechia,6.3
Annual,Repeated,Threats,Percentage,Germany,11.4
Annual,Repeated,Threats,Percentage,Denmark,9.6 u
Annual,Repeated,Threats,Percentage,Estonia,11.1
Annual,Repeated,Threats,Percentage,Greece,11.6
Annual,Repeated,Threats,Percentage,Spain,8.5
Annual,Repeated,Threats,Percentage,European Union (aggregate changing according to the context),11.0 e
Annual,Repeated,Threats,Percentage,Finland,17.3
Annual,Repeated,Threats,Percentage,France,9.2
Annual,Repeated,Threats,Percentage,Croatia,6.7
Annual,Repeated,Threats,Percentage,Hungary,30.8
Annual,Repeated,Threats,Percentage,Ireland,14.8
Annual,Repeated,Threats,Percentage,Lithuania,9.7
Annual,Repeated,Threats,Percentage,Luxembourg,13.1
Annual,Repeated,Threats,Percentage,Latvia,11.5
Annual,Repeated,Threats,Percentage,Montenegro,4.0
Annual,Repeated,Threats,Percentage,Malta,9.7
Annual,Repeated,Threats,Percentage,Netherlands,7.0
Annual,Repeated,Threats,Percentage,Poland,: u
Annual,Repeated,Threats,Percentage,Portugal,8.0
Annual,Repeated,Threats,Percentage,Romania,21.2
Annual,Repeated,Threats,Percentage,Serbia,8.9
Annual,Repeated,Threats,Percentage,Sweden,12.1
Annual,Repeated,Threats,Percentage,Slovenia,7.8
Annual,Repeated,Threats,Percentage,Slovakia,: u
Annual,Repeated,Threats,Percentage,Kosovo*,2.1 u
Annual,Once (one time),Physical,Percentage,Austria,11.8
Annual,Once (one time),Physical,Percentage,Belgium,7.0
Annual,Once (one time),Physical,Percentage,Bulgaria,3.0
Annual,Once (one time),Physical,Percentage,Cyprus,8.8
Annual,Once (one time),Physical,Percentage,Czechia,3.7
Annual,Once (one time),Physical,Percentage,Germany,4.4
Annual,Once (one time),Physical,Percentage,Denmark,12.8
Annual,Once (one time),Physical,Percentage,Estonia,7.5
Annual,Once (one time),Physical,Percentage,Greece,10.1
Annual,Once (one time),Physical,Percentage,Spain,5.8
Annual,Once (one time),Physical,Percentage,European Union (aggregate changing according to the context),7.7 e
Annual,Once (one time),Physical,Percentage,Finland,14.8
Annual,Once (one time),Physical,Percentage,France,9.4
Annual,Once (one time),Physical,Percentage,Croatia,7.0
Annual,Once (one time),Physical,Percentage,Hungary,8.5
Annual,Once (one time),Physical,Percentage,Ireland,9.1
Annual,Once (one time),Physical,Percentage,Lithuania,6.4
Annual,Once (one time),Physical,Percentage,Luxembourg,13.3
Annual,Once (one time),Physical,Percentage,Latvia,5.4
Annual,Once (one time),Physical,Percentage,Montenegro,3.9
Annual,Once (one time),Physical,Percentage,Malta,5.2
Annual,Once (one time),Physical,Percentage,Netherlands,13.5
Annual,Once (one time),Physical,Percentage,Poland,: u
Annual,Once (one time),Physical,Percentage,Portugal,5.8
Annual,Once (one time),Physical,Percentage,Romania,10.9
Annual,Once (one time),Physical,Percentage,Serbia,6.0
Annual,Once (one time),Physical,Percentage,Sweden,15.4
Annual,Once (one time),Physical,Percentage,Slovenia,7.3
Annual,Once (one time),Physical,Percentage,Slovakia,: u
Annual,Once (one time),Physical,Percentage,Kosovo*,5.0
Annual,Once (one time),Physical or sexual,Percentage,Austria,21.0
Annual,Once (one time),Physical or sexual,Percentage,Belgium,11.4
Annual,Once (one time),Physical or sexual,Percentage,Bulgaria,3.8
Annual,Once (one time),Physical or sexual,Percentage,Cyprus,9.3
Annual,Once (one time),Physical or sexual,Percentage,Czechia,6.0
Annual,Once (one time),Physical or sexual,Percentage,Germany,7.2
Annual,Once (one time),Physical or sexual,Percentage,Denmark,20.7
Annual,Once (one time),Physical or sexual,Percentage,Estonia,12.4
Annual,Once (one time),Physical or sexual,Percentage,Greece,16.5
Annual,Once (one time),Physical or sexual,Percentage,Spain,12.0
Annual,Once (one time),Physical or sexual,Percentage,European Union (aggregate changing according to the context),12.3 e
Annual,Once (one time),Physical or sexual,Percentage,Finland,28.8
Annual,Once (one time),Physical or sexual,Percentage,France,14.1
Annual,Once (one time),Physical or sexual,Percentage,Croatia,11.0
Annual,Once (one time),Physical or sexual,Percentage,Hungary,10.6
Annual,Once (one time),Physical or sexual,Percentage,Ireland,14.1
Annual,Once (one time),Physical or sexual,Percentage,Lithuania,8.7
Annual,Once (one time),Physical or sexual,Percentage,Luxembourg,20.2
Annual,Once (one time),Physical or sexual,Percentage,Latvia,7.7
Annual,Once (one time),Physical or sexual,Percentage,Montenegro,3.9
Annual,Once (one time),Physical or sexual,Percentage,Malta,7.2
Annual,Once (one time),Physical or sexual,Percentage,Netherlands,24.2
Annual,Once (one time),Physical or sexual,Percentage,Poland,: u
Annual,Once (one time),Physical or sexual,Percentage,Portugal,7.2
Annual,Once (one time),Physical or sexual,Percentage,Romania,10.6
Annual,Once (one time),Physical or sexual,Percentage,Serbia,6.5
Annual,Once (one time),Physical or sexual,Percentage,Sweden,24.8
Annual,Once (one time),Physical or sexual,Percentage,Slovenia,9.4
Annual,Once (one time),Physical or sexual,Percentage,Slovakia,: u
Annual,Once (one time),Physical or sexual,Percentage,Kosovo*,5.3
Annual,Once (one time),Physical (including threats) or sexual,Percentage,Austria,20.2
Annual,Once (one time),Physical (including threats) or sexual,Percentage,Belgium,11.5
Annual,Once (one time),Physical (including threats) or sexual,Percentage,Bulgaria,4.1
Annual,Once (one time),Physical (including threats) or sexual,Percentage,Cyprus,7.0
Annual,Once (one time),Physical (including threats) or sexual,Percentage,Czechia,5.2
Annual,Once (one time),Physical (including threats) or sexual,Percentage,Germany,6.2
Annual,Once (one time),Physical (including threats) or sexual,Percentage,Denmark,18.3
Annual,Once (one time),Physical (including threats) or sexual,Percentage,Estonia,11.1
Annual,Once (one time),Physical (including threats) or sexual,Percentage,Greece,15.7
Annual,Once (one time),Physical (including threats) or sexual,Percentage,Spain,12.5
Annual,Once (one time),Physical (including threats) or sexual,Percentage,European Union (aggregate changing according to the context),11.1 e
Annual,Once (one time),Physical (including threats) or sexual,Percentage,Finland,26.6
Annual,Once (one time),Physical (including threats) or sexual,Percentage,France,11.8
Annual,Once (one time),Physical (including threats) or sexual,Percentage,Croatia,12.6
Annual,Once (one time),Physical (including threats) or sexual,Percentage,Hungary,7.6
Annual,Once (one time),Physical (including threats) or sexual,Percentage,Ireland,12.7
Annual,Once (one time),Physical (including threats) or sexual,Percentage,Lithuania,9.3
Annual,Once (one time),Physical (including threats) or sexual,Percentage,Luxembourg,17.8
Annual,Once (one time),Physical (including threats) or sexual,Percentage,Latvia,8.8
Annual,Once (one time),Physical (including threats) or sexual,Percentage,Montenegro,5.1
Annual,Once (one time),Physical (including threats) or sexual,Percentage,Malta,7.2
Annual,Once (one time),Physical (including threats) or sexual,Percentage,Netherlands,23.2
Annual,Once (one time),Physical (including threats) or sexual,Percentage,Poland,: u
Annual,Once (one time),Physical (including threats) or sexual,Percentage,Portugal,7.4
Annual,Once (one time),Physical (including threats) or sexual,Percentage,Romania,6.7
Annual,Once (one time),Physical (including threats) or sexual,Percentage,Serbia,5.5
Annual,Once (one time),Physical (including threats) or sexual,Percentage,Sweden,22.9
Annual,Once (one time),Physical (including threats) or sexual,Percentage,Slovenia,9.4
Annual,Once (one time),Physical (including threats) or sexual,Percentage,Slovakia,: u
Annual,Once (one time),Physical (including threats) or sexual,Percentage,Kosovo*,4.8
Annual,Once (one time),Sexual,Percentage,Austria,16.7
Annual,Once (one time),Sexual,Percentage,Belgium,8.2
Annual,Once (one time),Sexual,Percentage,Bulgaria,1.2 u
Annual,Once (one time),Sexual,Percentage,Cyprus,4.6
Annual,Once (one time),Sexual,Percentage,Czechia,3.8
Annual,Once (one time),Sexual,Percentage,Germany,5.2
Annual,Once (one time),Sexual,Percentage,Denmark,15.3 u
Annual,Once (one time),Sexual,Percentage,Estonia,9.0
Annual,Once (one time),Sexual,Percentage,Greece,12.4
Annual,Once (one time),Sexual,Percentage,Spain,9.3
Annual,Once (one time),Sexual,Percentage,European Union (aggregate changing according to the context),8.9 e
Annual,Once (one time),Sexual,Percentage,Finland,25.5
Annual,Once (one time),Sexual,Percentage,France,9.9
Annual,Once (one time),Sexual,Percentage,Croatia,7.4
Annual,Once (one time),Sexual,Percentage,Hungary,7.0
Annual,Once (one time),Sexual,Percentage,Ireland,10.7
Annual,Once (one time),Sexual,Percentage,Lithuania,5.0
Annual,Once (one time),Sexual,Percentage,Luxembourg,16.9
Annual,Once (one time),Sexual,Percentage,Latvia,5.0
Annual,Once (one time),Sexual,Percentage,Montenegro,: u
Annual,Once (one time),Sexual,Percentage,Malta,4.3
Annual,Once (one time),Sexual,Percentage,Netherlands,19.6
Annual,Once (one time),Sexual,Percentage,Poland,: u
Annual,Once (one time),Sexual,Percentage,Portugal,2.9
Annual,Once (one time),Sexual,Percentage,Romania,3.5
Annual,Once (one time),Sexual,Percentage,Serbia,2.4
Annual,Once (one time),Sexual,Percentage,Sweden,22.0
Annual,Once (one time),Sexual,Percentage,Slovenia,4.9
Annual,Once (one time),Sexual,Percentage,Slovakia,: u
Annual,Once (one time),Sexual,Percentage,Kosovo*,: u
Annual,Once (one time),Threats,Percentage,Austria,5.5
Annual,Once (one time),Threats,Percentage,Belgium,3.1
Annual,Once (one time),Threats,Percentage,Bulgaria,2.1
Annual,Once (one time),Threats,Percentage,Cyprus,4.0
Annual,Once (one time),Threats,Percentage,Czechia,1.7 u
Annual,Once (one time),Threats,Percentage,Germany,2.2
Annual,Once (one time),Threats,Percentage,Denmark,6.1 u
Annual,Once (one time),Threats,Percentage,Estonia,5.2
Annual,Once (one time),Threats,Percentage,Greece,6.6
Annual,Once (one time),Threats,Percentage,Spain,4.7
Annual,Once (one time),Threats,Percentage,European Union (aggregate changing according to the context),4.4 e
Annual,Once (one time),Threats,Percentage,Finland,11.3
Annual,Once (one time),Threats,Percentage,France,4.3
Annual,Once (one time),Threats,Percentage,Croatia,5.2
Annual,Once (one time),Threats,Percentage,Hungary,7.1
Annual,Once (one time),Threats,Percentage,Ireland,7.8
Annual,Once (one time),Threats,Percentage,Lithuania,4.3
Annual,Once (one time),Threats,Percentage,Luxembourg,7.4
Annual,Once (one time),Threats,Percentage,Latvia,5.3
Annual,Once (one time),Threats,Percentage,Montenegro,4.1
Annual,Once (one time),Threats,Percentage,Malta,3.6
Annual,Once (one time),Threats,Percentage,Netherlands,5.8
Annual,Once (one time),Threats,Percentage,Poland,: u
Annual,Once (one time),Threats,Percentage,Portugal,5.3
Annual,Once (one time),Threats,Percentage,Romania,6.0
Annual,Once (one time),Threats,Percentage,Serbia,3.3
Annual,Once (one time),Threats,Percentage,Sweden,10.0
Annual,Once (one time),Threats,Percentage,Slovenia,4.5
Annual,Once (one time),Threats,Percentage,Slovakia,: u
Annual,Once (one time),Threats,Percentage,Kosovo*,1.7 u
