Time frequency,Unit of measure,Quantile,Geopolitical entity (reporting)\Time,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0
Annual,Percentage,First quintile,France,:,8.2,7.1,6.1,7.7,9.1,8.7,8.1,6.9,7.4,6.4,6.4,6.3,8.0,5.3,7.3,6.5,10.5 b
Annual,Percentage,First quintile,Croatia,:,:,:,:,:,:,:,18.4,14.2,13.7 b,14.2,13.2,13.9,12.9,12.6,10.8,11.0,7.7
Annual,Percentage,First quintile,Hungary,:,:,38.0,35.6,26.5,36.8,26.7,36.7,37.0,40.3,40.5,38.4,33.5,32.8,25.6,18.5,16.2,15.1
Annual,Percentage,First quintile,Ireland,3.6,5.3,4.3,3.6,4.6,2.2,2.5,0.6,1.3,1.3,3.3,2.6,2.5,2.7,1.4,1.4,3.7 b,3.8 b
Annual,Percentage,First quintile,Iceland,:,3.1,2.6,2.6,3.4,2.5,2.6,4.4,2.7,5.9,6.6,3.8,5.5,1.8,2.6,4.1,5.6,:
Annual,Percentage,First quintile,Italy,:,17.9,15.0,15.2,14.5,13.1,14.2,15.0,16.4,17.3,16.8,17.3,19.0,14.5,9.4,9.7,7.1,10.0
Annual,Percentage,First quintile,Lithuania,:,:,44.8,42.7,35.3,32.9,27.7,22.8,14.5,14.1,18.8,18.0,15.3,19.1,16.8,10.5,12.6,9.6
Annual,Percentage,First quintile,Luxembourg,8.3,6.1,7.5,6.3,7.6,8.0,5.8,7.3,6.5,8.5,6.7,4.8,6.5,6.6 b,5.1,5.6,6.0,3.7 b
Annual,Percentage,First quintile,Latvia,:,:,45.0,37.8,35.6,33.1,35.4,39.3,31.5,31.2,29.7,28.6,28.6,25.9,24.4,21.3,17.0,16.6
Annual,Percentage,First quintile,Montenegro,:,:,:,:,:,:,:,:,:,:,39.4,37.5,37.3,31.1,29.5,32.3,32.3,31.0
Annual,Percentage,First quintile,North Macedonia,:,:,:,:,:,:,:,:,:,:,:,:,:,27.8,21.8,26.8,23.0,22.5
Annual,Percentage,First quintile,Malta,:,:,1.6,0.3,1.9,1.6,3.4,1.7,3.8,1.5,2.7,2.2,2.6,3.8,5.0,4.0,3.1,2.0
Annual,Percentage,First quintile,Netherlands,:,:,1.2,1.4,2.4,1.4,1.1,1.5,0.6,1.8,2.9,2.0,3.7,4.1 b,3.5,3.1,3.7,4.4
Annual,Percentage,First quintile,Norway,:,3.1,3.7,4.1,3.6,4.1,3.4,5.4,4.8,3.8,5.0,2.8,2.7,3.8,2.7,2.8,3.5,4.0
Annual,Percentage,First quintile,Poland,:,:,47.1,48.8,46.1,33.0,28.9,27.2,23.2,21.9,19.9,18.5,19.1,19.2,16.0,15.2,13.2,:
Annual,Percentage,First quintile,Portugal,:,13.1,13.7,11.0,12.5,12.9,9.9,10.7,7.9,8.3,10.8,13.0,10.9,11.4,8.9,8.1,10.1,7.0
Annual,Percentage,First quintile,Romania,:,:,:,:,55.8,55.0,53.2,51.6,50.4,49.8,50.0,49.9,50.0,47.6,39.4,39.8,39.0,36.7
Annual,Percentage,First quintile,Serbia,:,:,:,:,:,:,:,:,:,:,28.7,27.4,27.1,26.6,27.5,24.0,24.1,18.6
Annual,Percentage,First quintile,Sweden,:,4.3,2.2,3.9,3.5,4.6 b,3.1,5.0,5.1,4.4,4.9,5.9,7.5,7.1,6.1,7.8,7.1,6.0
Annual,Percentage,First quintile,Slovenia,:,:,18.8,19.3,19.5,24.7,24.2,23.9,14.9,15.3,12.8,12.6,11.0,9.2,7.6,7.9,6.7,6.9
Annual,Percentage,First quintile,Slovakia,:,:,11.4,10.8,10.2,9.1,9.6,8.3,12.0,12.2,11.6,14.4,11.7,12.4,16.1,10.5,11.0,8.5
Annual,Percentage,First quintile,Türkiye,:,:,:,:,:,:,:,:,:,:,:,:,52.2,51.5,50.6,48.7,47.5,43.8
Annual,Percentage,First quintile,United Kingdom,:,:,6.1,4.0,3.8,4.4,6.4,6.3,3.0,4.1 b,4.3,5.6,5.0,3.9,2.0 b,4.1,:,:
Annual,Percentage,First quintile,Kosovo*,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,35.5,:,:
Annual,Percentage,Second quintile,Albania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,27.3,29.2,26.0,15.6
Annual,Percentage,Second quintile,Austria,2.0,3.9,5.0,4.8,3.6,4.4 b,3.9,5.9,5.5,5.0,6.3,4.5,6.7,4.7,7.7,4.6,3.6,4.3
Annual,Percentage,Second quintile,Belgium,1.9,1.2,1.2,0.8,0.6,0.5,1.6,2.2,0.4,0.6,0.3,0.5,0.7,1.5 b,1.9,1.4,2.4 b,3.3
Annual,Percentage,Second quintile,Bulgaria,:,:,:,22.7,19.1,23.7,17.2,15.1,13.3,12.8,11.1,10.0 b,13.9,10.0 b,9.2,9.1,6.3,7.7
Annual,Percentage,Second quintile,Switzerland,:,:,:,:,2.5,1.7,2.6,1.4,1.6,3.4,3.2,2.2 b,1.9,3.1,2.5,3.0,3.8,2.9
Annual,Percentage,Second quintile,Cyprus,:,:,2.4,0.8,1.3,2.5,3.5,2.0,2.6,2.1,2.3,1.3,0.6,2.3,0.8,2.6,1.5,2.3
Annual,Percentage,Second quintile,Czechia,:,:,10.2,10.2,6.3,5.6,5.0,4.5,4.9,3.3,3.5,4.2,3.6,3.5,2.6,2.2,2.5,2.3
Annual,Percentage,Second quintile,Germany,:,:,2.0,3.0,2.0,2.8,2.1,2.7,1.7,1.9,1.5,2.1,1.8,1.8,2.4,3.4,2.1,1.7 b
Annual,Percentage,Second quintile,Denmark,2.0,2.3,1.7,1.5,1.4,1.0,2.0,1.0,2.2 b,2.2,2.5,1.8,2.7,2.2,2.6,2.7,1.8,2.0
Annual,Percentage,Second quintile,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",:,:,:,:,:,4.3 e,4.0 e,4.1 e,3.8 e,3.6 e,4.0 e,4.2 e,4.4 e,3.8 e,3.6 e,3.7 e,3.4,4.0
Annual,Percentage,Second quintile,Euro area - 18 countries (2014),:,:,4.8,5.2,4.5,4.5,4.2,4.3,3.9,3.7,4.0,4.2,4.3,3.8,3.6,3.7,3.3,4.0
Annual,Percentage,Second quintile,Euro area - 19 countries  (2015-2022),:,:,5.1,5.4,4.6,4.6,4.3,4.4,3.9,3.8,4.1,4.3,4.4,3.8,3.6,3.7,3.4,4.0
Annual,Percentage,Second quintile,Estonia,:,24.8,22.8,18.7,17.6,14.4,12.5,14.5,5.1,5.8,8.6,3.8 b,3.9,5.6,5.9,4.7,4.6,2.5
Annual,Percentage,Second quintile,Greece,10.6,9.6,10.7,11.1,8.8,9.6,8.6,8.3,8.5,10.5,10.1,7.8,8.2,7.3,7.1,6.3,8.2,7.1
Annual,Percentage,Second quintile,Spain,:,5.5,2.6,3.4,2.3,1.9 b,1.9,3.1,2.6,1.8,2.7,1.5,1.5,1.8,1.3,2.1,2.0,3.6
Annual,Percentage,Second quintile,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,:,:,:,:,7.8 e,7.1 e,6.7 e,6.3 e,5.9 e,6.2 e,5.8 e,5.9 e,5.4 e,5.4 e,5.0 e,4.4 e,:
Annual,Percentage,Second quintile,European Union - 27 countries (2007-2013),:,:,9.8 e,9.6 e,8.6,7.8,7.1,6.7,6.2,5.8,6.1,5.8,5.9,5.4,5.3,5.0,4.4 e,:
Annual,Percentage,Second quintile,European Union - 27 countries (from 2020),:,:,:,:,:,:,:,7.0 e,6.3 e,6.3 e,6.4 e,6.2 e,6.4 e,5.7 e,6.0 e,5.3 e,4.6 e,5.3 e
Annual,Percentage,Second quintile,European Union - 28 countries (2013-2020),:,:,:,:,:,:,:,6.7,6.3,5.9,6.2,5.8,5.9,5.4,5.4,5.0,4.4 e,:
Annual,Percentage,Second quintile,Finland,:,1.4,1.2,0.8,1.3,0.7,0.8,1.2,0.9,0.7,0.5,0.3,0.8,0.5,0.8,1.1,1.0,1.6
Annual,Percentage,Second quintile,France,:,3.6,3.9,3.8,4.6,4.0,3.3,3.5,1.9,1.8,2.1,3.1,2.3,3.1,2.9,3.4,2.3,4.1 b
Annual,Percentage,Second quintile,Croatia,:,:,:,:,:,:,:,14.5,11.9,9.1 b,10.0,10.1,8.9,7.6,7.1,6.8,6.7,6.7
Annual,Percentage,Second quintile,Hungary,:,:,27.9,22.4,16.7,22.2,11.9,18.9,18.3,18.5,18.7,19.0,18.0,21.5,24.6,8.2,9.8,11.0
Annual,Percentage,Second quintile,Ireland,2.5,2.3,0.5,3.0,2.1,0.8,1.5,1.2,0.5,0.6,2.2,2.3,2.3,1.6,1.7,1.9,1.1 b,1.3 b
Annual,Percentage,Second quintile,Iceland,:,2.7,2.0,1.5,1.4,2.0,1.6,1.0,4.0,3.5,2.3,3.1,3.5,2.9,2.3,1.8,5.4,:
Annual,Percentage,Second quintile,Italy,:,9.8,9.3,10.2,8.4,8.3,9.4,7.5,10.0,9.0,10.2,11.4,12.6,8.7,7.0,5.6,6.3,7.6
Annual,Percentage,Second quintile,Lithuania,:,:,32.7,30.1,20.1,17.0,15.8,14.9,6.1,8.3,7.7,11.7,11.7,10.3,10.5,10.7,13.6,8.8
Annual,Percentage,Second quintile,Luxembourg,4.0,3.6,1.4,2.1,1.7,2.5,2.1,3.4,1.8,2.0,1.0,2.4,1.0,2.8 b,4.7,3.7,2.4,3.1 b
Annual,Percentage,Second quintile,Latvia,:,:,32.4,31.3,28.4,24.9,27.8,24.5,17.9,16.8,17.8,16.9,17.2,18.2,18.3,19.4,17.8,15.8
Annual,Percentage,Second quintile,Montenegro,:,:,:,:,:,:,:,:,:,:,30.7,23.4,25.9,20.9,19.2,22.6,22.3,22.4
Annual,Percentage,Second quintile,North Macedonia,:,:,:,:,:,:,:,:,:,:,:,:,:,13.8,12.8,11.2,12.0,13.6
Annual,Percentage,Second quintile,Malta,:,:,1.5,1.7,0.8,1.2,1.3,3.1,2.5,1.7,1.4,1.3,1.4,1.3,0.8,1.6,2.0,0.9
Annual,Percentage,Second quintile,Netherlands,:,:,0.4,0.6,0.4,0.3,0.4,0.4,0.3,1.0,0.0,0.5,0.7,0.8 b,0.9,1.3,2.1,1.2
Annual,Percentage,Second quintile,Norway,:,1.5,1.9,1.4,0.9,1.6,0.7,0.6,0.4,0.8,1.2,0.3,0.4,0.7,0.6,1.0,0.9,0.4
Annual,Percentage,Second quintile,Poland,:,:,38.1,35.6,32.2,22.6,19.5,16.1,13.6,13.2,12.9,10.8,12.9,10.2,13.4,10.9,9.8,:
Annual,Percentage,Second quintile,Portugal,:,9.8,10.7,8.4,10.8,8.6,5.0,6.7,4.5,5.6,6.9,5.5,4.2,6.2,5.1,5.9,4.5,5.5
Annual,Percentage,Second quintile,Romania,:,:,:,:,40.1,36.3,34.4,28.8,26.5,30.3,29.6,25.0,22.5,23.4,25.1,21.1,14.9,19.4
Annual,Percentage,Second quintile,Serbia,:,:,:,:,:,:,:,:,:,:,18.6,19.2,17.3,18.8,16.1,11.1,13.7,10.7
Annual,Percentage,Second quintile,Sweden,:,1.3,1.0,1.6,1.1,2.0 b,1.8,2.3,2.8,1.7,1.7,2.3,3.0,3.8,3.4,3.0,3.2,4.2
Annual,Percentage,Second quintile,Slovenia,:,:,15.7,15.9,13.5,20.6,21.2,19.1,10.3,8.7,7.3,7.8,7.4,5.1,7.7,7.2,6.2,4.4
Annual,Percentage,Second quintile,Slovakia,:,:,8.7,5.8,4.1,6.9,3.7,3.5,4.1,4.5,3.5,2.2,3.6,3.4,3.8,2.3,2.8,2.3
Annual,Percentage,Second quintile,Türkiye,:,:,:,:,:,:,:,:,:,:,:,:,32.6,32.8,32.7,30.2,28.2,27.3
Annual,Percentage,Second quintile,United Kingdom,:,:,2.3,3.2,3.6,3.4,4.7,4.4,6.1,3.2 b,4.4,3.2,2.9,2.9,1.2 b,3.0,:,:
Annual,Percentage,Second quintile,Kosovo*,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,23.3,:,:
Annual,Percentage,Third quintile,Albania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,20.9,21.8,20.1,15.1
Annual,Percentage,Third quintile,Austria,1.2,2.9,2.0,3.5,4.0,4.1 b,3.6,2.1,2.5,2.5,1.8,2.7,3.7,2.4,2.6,1.6,2.9,2.6
Annual,Percentage,Third quintile,Belgium,1.7,1.8,0.4,0.2,0.6,0.3,0.3,2.3,0.6,0.0,0.3,0.5,0.1,0.9 b,0.6,1.2,1.9 b,1.4
Annual,Percentage,Third quintile,Bulgaria,:,:,:,18.3,12.5,18.4,16.5,8.9,9.3,6.4,5.9,7.3 b,5.7,7.8 b,6.4,6.8,6.0,6.2
Annual,Percentage,Third quintile,Switzerland,:,:,:,:,2.1,1.1,1.2,0.5,1.0,0.6,1.5,0.9 b,2.2,1.5,1.6,1.2,1.1,1.1
Annual,Percentage,Third quintile,Cyprus,:,:,1.3,1.3,0.6,1.1,0.1,1.6,1.3,0.7,1.0,1.5,0.3,1.0,0.6,0.5,1.7,2.4
Annual,Percentage,Third quintile,Czechia,:,:,7.6,9.1,7.3,5.8,5.5,3.5,4.2,3.3,3.7,2.4,3.2,1.8,2.8,2.5,1.6,1.7
Annual,Percentage,Third quintile,Germany,:,:,1.7,1.6,1.3,1.4,1.1,1.4,1.2,0.9,1.1,1.0,1.2,1.2,0.6,1.4,1.8,1.0 b
Annual,Percentage,Third quintile,Denmark,2.5,1.8,0.9,0.8,1.1,1.0,0.7,1.4,1.8 b,1.2,1.9,2.2,1.5,1.9,1.6,1.8,1.8,2.3
Annual,Percentage,Third quintile,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",:,:,:,:,:,3.1 e,2.5 e,2.7 e,3.0 e,2.5 e,2.8 e,2.9 e,2.8 e,2.5 e,2.0 e,2.5 e,2.6,2.6
Annual,Percentage,Third quintile,Euro area - 18 countries (2014),:,:,3.5,3.5,3.7,3.2,2.6,2.9,3.1,2.6,2.9,2.9,2.7,2.5,2.0,2.4,2.5,2.6
Annual,Percentage,Third quintile,Euro area - 19 countries  (2015-2022),:,:,3.8,3.7,3.9,3.4,2.8,3.0,3.1,2.6,3.0,2.9,2.8,2.5,2.0,2.5,2.6,2.6
Annual,Percentage,Third quintile,Estonia,:,22.0,19.1,14.1,14.0,10.2,14.1,10.9,3.7,4.4,6.5,5.0 b,4.1,4.7,4.4,3.5,2.3,1.8
Annual,Percentage,Third quintile,Greece,9.9,9.3,9.8,10.1,9.5,8.6,7.6,7.8,6.9,5.7,7.2,4.9,7.4,6.1,5.2,5.5,4.5,3.5
Annual,Percentage,Third quintile,Spain,:,5.7,2.0,2.2,2.7,1.1 b,0.9,1.1,1.4,0.8,1.8,1.1,1.7,0.8,0.4,0.5,1.0,1.8
Annual,Percentage,Third quintile,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,:,:,:,:,5.7 e,4.9 e,4.7 e,4.5 e,3.7 e,4.1 e,3.9 e,3.9 e,3.7 e,3.2 e,3.2 e,3.2 e,:
Annual,Percentage,Third quintile,European Union - 27 countries (2007-2013),:,:,7.3 e,6.9 e,6.7,5.7,4.9,4.6,4.5,3.6,4.0,3.9,3.9,3.7,3.2,3.2,3.2 e,:
Annual,Percentage,Third quintile,European Union - 27 countries (from 2020),:,:,:,:,:,:,:,5.1 e,4.9 e,4.0 e,4.4 e,4.2 e,4.2 e,4.0 e,3.5 e,3.5 e,3.4 e,3.2 e
Annual,Percentage,Third quintile,European Union - 28 countries (2013-2020),:,:,:,:,:,:,:,4.7,4.5,3.7,4.1,3.9,3.9,3.7,3.2,3.2,3.2 e,:
Annual,Percentage,Third quintile,Finland,:,0.4,0.6,0.4,0.2,0.6,0.4,0.7,0.6,0.4,0.9,0.5,0.5,0.2,0.5,0.7,0.4,0.6
Annual,Percentage,Third quintile,France,:,2.2,1.7,2.2,2.8,2.2,1.1,2.2,1.8,1.7,1.2,0.9,1.1,1.0,0.9,1.7,1.4,1.6 b
Annual,Percentage,Third quintile,Croatia,:,:,:,:,:,:,:,12.6,11.8,12.2 b,10.2,5.9,5.0,7.3,6.3,6.0,5.0,4.3
Annual,Percentage,Third quintile,Hungary,:,:,19.8,13.4,12.1,19.5,8.2,15.1,11.2,11.7,13.5,11.7,12.2,13.2,13.7,5.2,6.9,5.4
Annual,Percentage,Third quintile,Ireland,1.1,1.6,3.0,1.1,1.1,0.9,0.9,0.3,1.9,0.9,1.1,1.4,1.1,0.4,0.4,1.0,1.0 b,1.5 b
Annual,Percentage,Third quintile,Iceland,:,3.0,1.9,1.7,0.9,0.5,1.7,1.5,1.6,1.9,2.7,3.4,1.4,1.7,1.1,1.0,2.5,:
Annual,Percentage,Third quintile,Italy,:,7.8,7.2,6.8,7.6,7.0,6.0,5.9,8.8,7.2,7.6,9.1,7.1,6.9,5.7,5.9,5.9,6.4
Annual,Percentage,Third quintile,Lithuania,:,:,27.8,24.9,21.3,17.9,20.0,16.9,5.1,6.1,9.1,8.4,6.4,6.6,5.7,7.3,5.8,4.6
Annual,Percentage,Third quintile,Luxembourg,0.6,2.6,1.7,0.6,0.1,1.0,0.3,0.1,1.0,1.3,0.8,0.8,0.3,0.5 b,0.4,1.1,0.5,0.7 b
Annual,Percentage,Third quintile,Latvia,:,:,32.8,27.6,24.5,22.6,22.4,17.7,16.1,15.8,15.6,15.8,14.8,13.2,16.6,14.3,12.2,12.4
Annual,Percentage,Third quintile,Montenegro,:,:,:,:,:,:,:,:,:,:,19.7,20.5,26.8,17.1,14.4,15.0,15.9,17.1
Annual,Percentage,Third quintile,North Macedonia,:,:,:,:,:,:,:,:,:,:,:,:,:,8.0,6.3,8.5,5.5,6.2
Annual,Percentage,Third quintile,Malta,:,:,1.6,0.8,0.8,1.8,0.7,1.4,1.1,1.2,2.0,1.2,0.5,1.1,0.7,0.1,1.4,1.9
Annual,Percentage,Third quintile,Netherlands,:,:,0.7,0.3,0.4,0.4,0.5,0.3,0.0,0.5,0.8,0.4,0.6,1.3 b,0.5,0.7,1.2,1.4
Annual,Percentage,Third quintile,Norway,:,0.9,1.0,0.9,0.9,0.5,0.6,0.4,0.9,0.8,0.2,0.3,0.4,0.4,0.6,0.4,0.2,0.4
Annual,Percentage,Third quintile,Poland,:,:,29.1,27.0,24.2,15.9,13.7,10.9,8.8,7.5,7.6,8.4,9.0,8.8,9.8,7.9,7.5,:
Annual,Percentage,Third quintile,Portugal,:,6.8,7.0,8.5,8.3,7.0,5.3,4.9,3.6,3.8,6.1,5.0,4.1,3.8,3.8,4.2,3.8,4.6
Annual,Percentage,Third quintile,Romania,:,:,:,:,30.0,25.8,25.7,23.6,22.9,16.2,19.2,14.9,16.9,15.5,11.7,11.5,10.3,5.7
Annual,Percentage,Third quintile,Serbia,:,:,:,:,:,:,:,:,:,:,15.8,15.8,17.0,13.4,11.7,9.5,11.5,4.0
Annual,Percentage,Third quintile,Sweden,:,0.6,0.5,0.7,0.7,0.8 b,1.3,1.4,2.1,1.4,1.1,1.1,1.1,1.1,1.5,2.8,1.6,1.2
Annual,Percentage,Third quintile,Slovenia,:,:,12.8,13.3,13.2,16.8,17.4,16.2,9.9,9.2,6.7,6.2,5.1,5.2,3.4,4.8,3.3,2.1
Annual,Percentage,Third quintile,Slovakia,:,:,4.7,5.4,3.2,4.2,2.6,3.0,2.3,3.1,2.8,1.5,2.1,2.0,2.2,1.7,0.5,2.2
Annual,Percentage,Third quintile,Türkiye,:,:,:,:,:,:,:,:,:,:,:,:,24.8,24.7,20.5,20.3,21.8,19.6
Annual,Percentage,Third quintile,United Kingdom,:,:,1.8,1.4,1.8,2.1,2.5,1.9,2.0,1.4 b,1.6,1.9,1.6,2.2,1.3 b,1.4,:,:
Annual,Percentage,Third quintile,Kosovo*,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,17.5,:,:
Annual,Percentage,Fourth quintile,Albania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,18.9,19.3,17.6,12.3
Annual,Percentage,Fourth quintile,Austria,0.4,2.2,1.6,3.0,1.8,3.2 b,2.2,1.9,2.4,1.6,1.4,1.3,0.8,2.7,1.7,0.4,0.7,1.4
Annual,Percentage,Fourth quintile,Belgium,1.6,0.1,0.2,0.4,0.3,0.1,0.1,0.2,0.2,0.1,0.1,0.0,0.0,0.3 b,0.4,0.3,0.4 b,1.3
Annual,Percentage,Fourth quintile,Bulgaria,:,:,:,16.2,7.6,18.1,14.4,8.7,8.9,6.3,7.1,6.8 b,4.6,4.6 b,4.4,5.3,4.0,4.3
Annual,Percentage,Fourth quintile,Switzerland,:,:,:,:,1.1,0.4,0.5,0.6,0.7,1.0,0.4,0.1 b,0.7,1.1,1.1,1.7,0.9,0.9
Annual,Percentage,Fourth quintile,Cyprus,:,:,0.5,0.2,0.0,0.9,0.5,0.1,0.1,0.3,0.4,0.3,0.6,0.5,0.1,0.1,0.1,0.5
Annual,Percentage,Fourth quintile,Czechia,:,:,6.5,6.9,4.4,4.0,4.6,3.8,4.0,2.0,2.0,1.8,1.4,1.9,1.7,2.1,0.8,1.4
Annual,Percentage,Fourth quintile,Germany,:,:,0.6,2.4,1.1,0.6,0.6,0.9,1.0,0.4,0.3,0.4,0.6,0.4,0.5,0.8,0.7,0.5 b
Annual,Percentage,Fourth quintile,Denmark,0.8,0.6,0.6,0.7,0.8,0.5,0.8,0.6,0.8 b,1.2,0.6,0.8,0.6,0.7,1.7,1.4,1.3,1.3
Annual,Percentage,Fourth quintile,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",:,:,:,:,:,2.1 e,2.1 e,1.8 e,2.0 e,1.7 e,1.6 e,1.8 e,1.9 e,1.8 e,1.3 e,1.4 e,1.3,1.9
Annual,Percentage,Fourth quintile,Euro area - 18 countries (2014),:,:,2.7,2.9,2.1,2.2,2.2,1.9,2.0,1.8,1.6,1.8,1.9,1.8,1.2,1.4,1.3,1.8
Annual,Percentage,Fourth quintile,Euro area - 19 countries  (2015-2022),:,:,2.9,3.1,2.3,2.4,2.3,2.0,2.1,1.8,1.7,1.9,1.9,1.8,1.3,1.4,1.3,1.9
Annual,Percentage,Fourth quintile,Estonia,:,21.2,12.1,13.7,10.9,6.1,9.2,8.7,3.6,3.0,4.9,2.8 b,1.3,0.6,1.6,1.7,1.6,1.6
Annual,Percentage,Fourth quintile,Greece,8.6,7.6,6.9,6.9,7.1,6.4,6.1,5.9,4.1,4.6,5.1,3.5,4.1,3.8,3.4,3.2,3.6,3.2
Annual,Percentage,Fourth quintile,Spain,:,4.3,2.5,1.1,1.2,1.3 b,1.3,0.8,1.2,0.1,0.2,0.3,0.6,0.6,0.5,0.3,0.7,1.9
Annual,Percentage,Fourth quintile,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,:,:,:,:,4.2 e,3.4 e,3.1 e,3.1 e,2.8 e,2.5 e,2.6 e,2.4 e,2.5 e,1.9 e,1.9 e,1.8 e,:
