Time frequency,Education indicator,Unit of measure,Geopolitical entity (reporting)\Time,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0
Annual,"Financial aid to pupils and students as % of total public expenditure on education, for all levels of education combined",Percentage,Greece,:,:,:,:,1.0 d,1.5 d,2.1 d,2.0 d,2.1 d,2.0 d,0.6,:,:,:,:,:,:
Annual,"Financial aid to pupils and students as % of total public expenditure on education, for all levels of education combined",Percentage,Spain,:,:,:,:,2.7 d,2.6 d,2.7 d,2.7,2.8,2.9,3.0,3.0,3.2,3.6,3.5,3.9,3.8
Annual,"Financial aid to pupils and students as % of total public expenditure on education, for all levels of education combined",Percentage,Finland,:,:,:,:,7.8 d,7.9 d,8.1 d,7.8,7.6,7.3,7.2,7.0,6.6,6.6,7.1,6.9,6.5
Annual,"Financial aid to pupils and students as % of total public expenditure on education, for all levels of education combined",Percentage,France,:,:,:,:,4.0 d,4.1 dp,4.1 d,3.9 d,3.9 d,4.0 d,3.9 d,3.8,3.6,3.7,3.7,3.8,3.8
Annual,"Financial aid to pupils and students as % of total public expenditure on education, for all levels of education combined",Percentage,Croatia,:,:,:,:,:,:,:,:,0.8 d,0.6 d,0.7 d,0.7 d,0.7 d,0.7 d,0.7 d,0.7 d,1.3 d
Annual,"Financial aid to pupils and students as % of total public expenditure on education, for all levels of education combined",Percentage,Hungary,:,:,:,:,2.9,2.8,10.5,9.0,6.7 d,7.0 d,6.0 d,5.7,5.2,5.4 d,5.8 d,5.7,5.8
Annual,"Financial aid to pupils and students as % of total public expenditure on education, for all levels of education combined",Percentage,Ireland,:,:,:,:,6.3 d,6.3 d,5.8 d,6.6 d,6.7,10.5,10.7,10.5,10.3,8.7,8.5,8.5,8.4
Annual,"Financial aid to pupils and students as % of total public expenditure on education, for all levels of education combined",Percentage,Iceland,:,:,:,5.1,4.9 d,4.8 d,5.0 d,4.8 d,4.6 d,4.8 d,5.2 d,5.1 d,5.0 d,5.2 d,6.0 d,7.8,6.0 d
Annual,"Financial aid to pupils and students as % of total public expenditure on education, for all levels of education combined",Percentage,Italy,:,:,:,:,3.9,4.1,3.0,4.3,4.6,4.4,4.5,4.3,5.2,4.6,6.1,6.9,6.4
Annual,"Financial aid to pupils and students as % of total public expenditure on education, for all levels of education combined",Percentage,Liechtenstein,:,:,:,:,:,:,:,3.5,4.3,4.1,5.1,5.1,5.4,4.8,6.1,5.6,5.4
Annual,"Financial aid to pupils and students as % of total public expenditure on education, for all levels of education combined",Percentage,Lithuania,:,:,:,:,3.7,4.2,6.2,6.4,7.1,7.7,8.4,6.9,4.5,4.3,4.5,4.5,4.0
Annual,"Financial aid to pupils and students as % of total public expenditure on education, for all levels of education combined",Percentage,Luxembourg,:,:,:,:,:,:,4.1 d,2.0 d,2.3 d,2.2 d,2.2 d,2.2 d,2.3 d,:,:,:,:
Annual,"Financial aid to pupils and students as % of total public expenditure on education, for all levels of education combined",Percentage,Latvia,:,:,:,:,9.1,10.0,9.2,7.9,7.9,7.4,6.3,5.3,4.3,4.2,5.2,5.5,6.1
Annual,"Financial aid to pupils and students as % of total public expenditure on education, for all levels of education combined",Percentage,North Macedonia,:,:,:,:,:,:,:,2.9 d,2.6 d,: d,: d,:,:,:,:,:,:
Annual,"Financial aid to pupils and students as % of total public expenditure on education, for all levels of education combined",Percentage,Malta,:,:,:,:,10.1 d,9.5 d,9.6 d,10.0 d,9.3 d,0.6 d,: bd,0.0,:,:,0.1,16.1 b,13.0
Annual,"Financial aid to pupils and students as % of total public expenditure on education, for all levels of education combined",Percentage,Netherlands,12.2,11.9,12.1,11.3,11.0,11.6,10.2,8.9,10.3,11.0,10.8,12.7,11.4,13.0,10.9,11.0,12.0
Annual,"Financial aid to pupils and students as % of total public expenditure on education, for all levels of education combined",Percentage,Norway,:,:,:,:,11.8 d,12.1 d,12.2 d,12.6 d,15.3,18.5,19.3,18.2,19.4,19.4 d,16.6,15.4,17.6
Annual,"Financial aid to pupils and students as % of total public expenditure on education, for all levels of education combined",Percentage,Poland,:,:,:,:,0.7 d,0.3 d,0.5 d,0.2,0.3,0.4,1.3,1.8,2.2,1.2,1.1,3.5,3.6
Annual,"Financial aid to pupils and students as % of total public expenditure on education, for all levels of education combined",Percentage,Portugal,:,:,:,:,2.1 d,2.3 d,2.1 d,1.7 d,1.4 d,1.9 d,2.6 d,3.3 d,3.7 d,4.3 d,5.9 d,5.2 d,5.0 d
Annual,"Financial aid to pupils and students as % of total public expenditure on education, for all levels of education combined",Percentage,Romania,:,:,:,:,16.3 d,3.1 d,4.3 d,2.3 d,1.9 d,2.6 d,4.6 d,: u,1.9,: u,3.1,3.4,4.0
Annual,"Financial aid to pupils and students as % of total public expenditure on education, for all levels of education combined",Percentage,Sweden,:,:,:,:,17.1,15.4,15.1,13.2,12.3,11.9,11.2,11.1,10.7,10.2,10.8,10.9,10.8
Annual,"Financial aid to pupils and students as % of total public expenditure on education, for all levels of education combined",Percentage,Slovenia,:,:,:,:,:,:,11.6 d,9.1 d,9.0 d,8.6 d,8.3 d,7.8,8.1,7.8,7.8,8.3,8.5
Annual,"Financial aid to pupils and students as % of total public expenditure on education, for all levels of education combined",Percentage,Slovakia,:,:,:,:,0.9 d,0.8 d,3.6 d,8.1 d,3.0 d,5.3 d,4.8 d,5.2 d,6.0 d,5.8 d,6.1 d,6.0,5.7
Annual,"Financial aid to pupils and students as % of total public expenditure on education, for all levels of education combined",Percentage,Türkiye,:,:,:,:,3.4 d,3.1 d,5.1 d,4.9 d,4.8 d,5.8 d,: d,6.9 d,:,:,:,:,6.0
Annual,"Financial aid to pupils and students as % of total public expenditure on education, for all levels of education combined",Percentage,United Kingdom,:,:,:,:,5.5 d,2.4 d,1.0 d,5.1,5.0,6.1,5.8,6.6,6.2,6.3,7.1,7.3,9.4
Annual,"Financial aid to pupils as % of total public expenditure on education, at primary and secondary level of education (ISCED 1-4)",Percentage,Austria,:,:,:,0.2,0.8 d,0.8 d,0.9 d,1.0 d,0.6 d,0.9 d,0.7 d,0.8,0.7,0.8,3.0,3.0,2.8
Annual,"Financial aid to pupils as % of total public expenditure on education, at primary and secondary level of education (ISCED 1-4)",Percentage,Belgium,:,:,:,:,0.4 d,0.3 d,0.3 d,2.2 d,1.9 d,1.9 d,2.0 d,1.9 d,1.9 d,1.9 d,2.2 d,2.1 d,2.4 d
Annual,"Financial aid to pupils as % of total public expenditure on education, at primary and secondary level of education (ISCED 1-4)",Percentage,French Community in Belgium including small German-speaking Community,:,:,:,:,:,:,: u,: u,: u,: u,: u,:,:,:,:,:,:
Annual,"Financial aid to pupils as % of total public expenditure on education, at primary and secondary level of education (ISCED 1-4)",Percentage,Flemish Community in Belgium,:,:,:,:,:,:,:,:,: u,: u,: u,:,:,:,:,:,:
Annual,"Financial aid to pupils as % of total public expenditure on education, at primary and secondary level of education (ISCED 1-4)",Percentage,Bulgaria,:,:,:,:,3.2 d,4.1 d,4.6 d,3.7 d,8.0 d,17.3 d,17.0 d,16.3,16.5 d,16.1 d,18.5,20.9,17.8
Annual,"Financial aid to pupils as % of total public expenditure on education, at primary and secondary level of education (ISCED 1-4)",Percentage,Switzerland,:,:,:,:,:,:,:,:,:,:,:,:,:,0.7,0.6,0.7,1.3
Annual,"Financial aid to pupils as % of total public expenditure on education, at primary and secondary level of education (ISCED 1-4)",Percentage,Cyprus,:,:,:,:,:,1.0 d,:,:,:,:,:,:,:,:,:,1.4,1.6
Annual,"Financial aid to pupils as % of total public expenditure on education, at primary and secondary level of education (ISCED 1-4)",Percentage,Czechia,:,:,:,:,5.3 d,5.7 d,5.9 d,5.3,4.9,4.7,4.6,4.3,4.3,4.5,4.7,3.8,3.0
Annual,"Financial aid to pupils as % of total public expenditure on education, at primary and secondary level of education (ISCED 1-4)",Percentage,Germany,:,:,:,:,3.9,4.1,4.2,5.0,4.8,4.9,4.8,4.7,8.5,8.5,8.6,8.7,8.5
Annual,"Financial aid to pupils as % of total public expenditure on education, at primary and secondary level of education (ISCED 1-4)",Percentage,Denmark,:,:,:,:,14.7 d,16.0 d,11.6 d,14.3 d,14.3 d,13.1 d,11.5 d,10.5 d,10.4 d,10.0 d,8.1 d,8.6 d,9.3 d
Annual,"Financial aid to pupils as % of total public expenditure on education, at primary and secondary level of education (ISCED 1-4)",Percentage,Estonia,:,:,:,:,2.2 d,5.9 d,6.3 d,5.5 d,3.9 d,3.3 d,4.0 d,3.5,3.2 d,3.4,2.8,2.9,2.8
Annual,"Financial aid to pupils as % of total public expenditure on education, at primary and secondary level of education (ISCED 1-4)",Percentage,Greece,:,:,:,:,0.1 d,0.2 d,0.3 d,0.3 d,0.3 d,0.3 d,0.2 d,:,:,:,:,:,:
Annual,"Financial aid to pupils as % of total public expenditure on education, at primary and secondary level of education (ISCED 1-4)",Percentage,Spain,:,:,:,:,1.0 d,1.0 d,1.0 d,1.1,1.3,1.5,1.6,1.8,1.6,1.9,1.9,2.3,2.2
Annual,"Financial aid to pupils as % of total public expenditure on education, at primary and secondary level of education (ISCED 1-4)",Percentage,Finland,:,:,:,:,3.7 d,3.6 d,3.4 d,3.3,3.2,3.1,3.0,3.0,2.9,3.2,3.5,3.5,3.4
Annual,"Financial aid to pupils as % of total public expenditure on education, at primary and secondary level of education (ISCED 1-4)",Percentage,France,:,:,:,:,3.7 d,3.7 dp,3.7 d,3.2 d,3.3 d,3.4 d,3.3 d,3.1,3.1,3.2,3.1,3.0,3.1
Annual,"Financial aid to pupils as % of total public expenditure on education, at primary and secondary level of education (ISCED 1-4)",Percentage,Croatia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0,0.1
Annual,"Financial aid to pupils as % of total public expenditure on education, at primary and secondary level of education (ISCED 1-4)",Percentage,Hungary,:,:,:,:,0.6,0.6,10.1,6.5,5.7 d,6.1 d,4.6 d,4.4,3.4,4.1,4.2,4.6,4.9
Annual,"Financial aid to pupils as % of total public expenditure on education, at primary and secondary level of education (ISCED 1-4)",Percentage,Ireland,:,:,:,:,3.1 d,3.6 d,3.3 d,4.5 d,4.4 d,9.2 d,9.4 d,9.2,9.2,7.5,7.1,7.3,7.1
Annual,"Financial aid to pupils as % of total public expenditure on education, at primary and secondary level of education (ISCED 1-4)",Percentage,Iceland,:,:,:,1.2,1.2 d,1.2 d,1.2 d,1.2 d,1.3 d,1.0 d,1.1 d,1.1 d,1.1 d,1.2 d,1.4 d,1.8,1.4 d
Annual,"Financial aid to pupils as % of total public expenditure on education, at primary and secondary level of education (ISCED 1-4)",Percentage,Italy,:,:,:,:,0.9,0.7,0.9,1.4,2.0 d,1.6 d,1.7 d,1.7,2.1,1.0,2.4,3.2,2.6
Annual,"Financial aid to pupils as % of total public expenditure on education, at primary and secondary level of education (ISCED 1-4)",Percentage,Lithuania,:,:,:,:,2.2,2.3,5.5,5.7,5.7,6.2,7.1,5.6,2.0,1.9,2.0,2.2,2.0
Annual,"Financial aid to pupils as % of total public expenditure on education, at primary and secondary level of education (ISCED 1-4)",Percentage,Luxembourg,:,:,:,:,:,:,0.6 d,2.0 d,2.3 d,2.2 d,2.2 d,2.2 d,2.3 d,1.8 d,1.7 d,1.7,1.8
Annual,"Financial aid to pupils as % of total public expenditure on education, at primary and secondary level of education (ISCED 1-4)",Percentage,Latvia,:,:,:,:,7.7,7.9,7.1,6.4,7.0,7.2,6.6,5.5,4.8,4.3,4.7,5.2,4.9
Annual,"Financial aid to pupils as % of total public expenditure on education, at primary and secondary level of education (ISCED 1-4)",Percentage,North Macedonia,:,:,:,:,:,:,:,0.3 d,0.6 d,: d,: d,:,:,:,:,:,:
Annual,"Financial aid to pupils as % of total public expenditure on education, at primary and secondary level of education (ISCED 1-4)",Percentage,Malta,:,:,:,:,4.3 d,4.2 d,5.9 d,6.6 d,8.1 d,1.0 d,: bd,0.0,:,:,0.0,17.0 b,11.9
Annual,"Financial aid to pupils as % of total public expenditure on education, at primary and secondary level of education (ISCED 1-4)",Percentage,Netherlands,7.8,7.9,8.0,7.8,7.1,7.4,6.5,5.5,6.1,6.7,6.0,7.1,6.3,7.7,5.3,5.1,5.2
Annual,"Financial aid to pupils as % of total public expenditure on education, at primary and secondary level of education (ISCED 1-4)",Percentage,Norway,:,:,:,:,5.7 d,5.6 d,4.6 d,5.4,5.5,7.7,7.1,8.3,9.1,8.8 d,7.1 d,6.7 d,6.6 d
Annual,"Financial aid to pupils as % of total public expenditure on education, at primary and secondary level of education (ISCED 1-4)",Percentage,Poland,0.1,:,:,:,0.2 d,0.3 d,0.5 d,0.2,0.4,0.4,1.6,2.0,2.7,1.3,1.2,1.1,1.1
Annual,"Financial aid to pupils as % of total public expenditure on education, at primary and secondary level of education (ISCED 1-4)",Percentage,Portugal,:,:,:,:,1.4 d,1.4 d,1.3 d,1.2 d,1.4 d,1.4 d,1.4 d,1.6 d,1.8 d,2.0 d,4.4 d,2.7 d,2.7 d
Annual,"Financial aid to pupils as % of total public expenditure on education, at primary and secondary level of education (ISCED 1-4)",Percentage,Romania,:,:,:,:,1.1 d,1.1 d,0.7 d,1.1 d,0.7 d,1.5 d,5.2 d,: u,1.6,: u,2.0,2.3,2.6
Annual,"Financial aid to pupils as % of total public expenditure on education, at primary and secondary level of education (ISCED 1-4)",Percentage,Sweden,:,:,:,:,13.6,11.1,10.1,7.6,6.3,5.9,5.9,6.3,5.5,5.3,6.2,6.2,6.0
Annual,"Financial aid to pupils as % of total public expenditure on education, at primary and secondary level of education (ISCED 1-4)",Percentage,Slovenia,:,:,:,:,:,:,8.7 d,5.1 d,4.9 d,4.7 d,4.5 d,4.0,4.0,3.6,3.7,4.1,4.4
Annual,"Financial aid to pupils as % of total public expenditure on education, at primary and secondary level of education (ISCED 1-4)",Percentage,Slovakia,:,:,:,:,:,: u,2.0 d,6.8 d,2.0 d,4.3 d,3.0 d,2.8 d,3.3 d,3.0 d,3.2 d,2.9 d,2.9 d
Annual,"Financial aid to pupils as % of total public expenditure on education, at primary and secondary level of education (ISCED 1-4)",Percentage,Türkiye,:,:,:,:,0.2 d,1.0 d,0.9 d,1.0 d,0.8 d,0.6 d,: d,2.2 d,:,:,:,:,1.1
Annual,"Financial aid to pupils as % of total public expenditure on education, at primary and secondary level of education (ISCED 1-4)",Percentage,United Kingdom,:,:,:,:,0.2 d,0.1 d,0.2 d,0.2,0.2,2.0,0.1,1.7,1.0,1.7,2.0,2.2,0.8
Annual,"Financial aid to students as % of total public expenditure on education, at tertiary level of education (ISCED 56)",Percentage,Austria,:,:,:,11.4,12.9 d,13.6 d,12.7 d,15.4 d,16.6 d,18.1 d,16.8 d,17.0,16.2,17.4,11.5,11.0,9.8
Annual,"Financial aid to students as % of total public expenditure on education, at tertiary level of education (ISCED 56)",Percentage,Belgium,:,:,:,:,16.0 d,16.3 d,14.6 d,15.2 d,15.8 d,15.7 d,15.2 d,13.6 d,14.2 d,13.2 d,13.4 d,13.7 d,14.4 d
Annual,"Financial aid to students as % of total public expenditure on education, at tertiary level of education (ISCED 56)",Percentage,French Community in Belgium including small German-speaking Community,:,:,:,:,:,:,: u,: u,: u,: u,: u,:,:,:,:,:,:
Annual,"Financial aid to students as % of total public expenditure on education, at tertiary level of education (ISCED 56)",Percentage,Flemish Community in Belgium,:,:,:,:,:,:,:,:,: u,: u,: u,:,:,:,:,:,:
Annual,"Financial aid to students as % of total public expenditure on education, at tertiary level of education (ISCED 56)",Percentage,Bulgaria,:,:,:,:,6.8 d,10.1 d,11.7 d,11.5 d,10.6 d,10.8 d,10.8 d,9.5,9.3 d,6.7 d,7.3,11.5,18.3
Annual,"Financial aid to students as % of total public expenditure on education, at tertiary level of education (ISCED 56)",Percentage,Switzerland,:,:,:,:,:,:,:,:,:,:,:,:,:,2.2,2.1,2.0,2.2
Annual,"Financial aid to students as % of total public expenditure on education, at tertiary level of education (ISCED 56)",Percentage,Cyprus,:,:,:,:,55.3 d,51.3 d,51.5 d,52.5 d,56.0 d,56.8 d,57.6 d,55.1 d,59.0 d,50.9 d,55.6 d,52.5 d,52.6 d
Annual,"Financial aid to students as % of total public expenditure on education, at tertiary level of education (ISCED 56)",Percentage,Czechia,:,:,:,:,7.6 d,8.6 d,7.9 d,7.0,6.2,5.8,5.9,4.0,4.2,4.9,2.8,2.6,1.5
Annual,"Financial aid to students as % of total public expenditure on education, at tertiary level of education (ISCED 56)",Percentage,Germany,:,:,:,:,12.5,14.0,15.5,16.6,17.2,17.9,19.1,19.5,21.9,18.9,20.7,21.6,21.9
Annual,"Financial aid to students as % of total public expenditure on education, at tertiary level of education (ISCED 56)",Percentage,Denmark,:,:,:,:,35.2 d,38.9 d,34.7 d,31.3 d,32.2 d,30.3 d,30.8 d,29.5 d,28.0 d,28.4 d,27.1 d,27.9 d,28.4 d
Annual,"Financial aid to students as % of total public expenditure on education, at tertiary level of education (ISCED 56)",Percentage,Estonia,:,:,:,:,6.5 d,5.9 d,2.8 d,7.8 d,5.0 d,: d,8.2 d,8.9,6.3 d,7.4 d,10.3,13.2,9.3
Annual,"Financial aid to students as % of total public expenditure on education, at tertiary level of education (ISCED 56)",Percentage,Greece,:,:,:,:,3.4 d,5.8 d,6.4 d,5.5 d,6.0 d,5.2 d,1.4 d,:,:,:,:,:,:
Annual,"Financial aid to students as % of total public expenditure on education, at tertiary level of education (ISCED 56)",Percentage,Spain,:,:,:,:,9.3 d,8.5 d,8.3 d,7.9,7.9,7.8,8.2,7.9,8.8,9.9,9.2,9.4,9.4
Annual,"Financial aid to students as % of total public expenditure on education, at tertiary level of education (ISCED 56)",Percentage,Finland,:,:,:,:,16.4 d,16.9 d,18.2 d,17.8,17.4,16.7,16.6,16.2,15.3,14.7,15.4,14.9,13.7
Annual,"Financial aid to students as % of total public expenditure on education, at tertiary level of education (ISCED 56)",Percentage,France,:,:,:,:,8.0 d,7.8 dp,8.0 d,8.1 d,8.2 d,8.0 d,7.9 d,8.0,7.0,7.4,7.4,7.7,8.0
Annual,"Financial aid to students as % of total public expenditure on education, at tertiary level of education (ISCED 56)",Percentage,Croatia,:,:,:,:,:,:,:,:,4.3 d,3.3 d,3.9 d,3.2 d,3.3 d,3.1 d,3.6 d,3.9 d,5.5 d
Annual,"Financial aid to students as % of total public expenditure on education, at tertiary level of education (ISCED 56)",Percentage,Hungary,:,:,:,:,12.6,11.1,19.5,22.4,14.7 d,15.8 d,15.7 d,15.1,15.1,14.3 d,14.3 d,14.3,12.4
Annual,"Financial aid to students as % of total public expenditure on education, at tertiary level of education (ISCED 56)",Percentage,Ireland,:,:,:,:,14.8 d,12.4 d,11.9 d,12.3 d,13.8 d,14.8 d,14.8 d,14.4 d,13.9 d,12.7 d,13.2 d,13.1 d,13.3
Annual,"Financial aid to students as % of total public expenditure on education, at tertiary level of education (ISCED 56)",Percentage,Iceland,:,:,:,23.4,21.9 d,21.9 d,23.7 d,21.0 d,21.4 d,22.2 d,23.1 d,24.0 d,22.5 d,22.5 d,24.9 d,31.0,26.2 d
Annual,"Financial aid to students as % of total public expenditure on education, at tertiary level of education (ISCED 56)",Percentage,Italy,:,:,:,:,16.9,18.3,12.4,15.8,17.0,16.7,16.8,17.4,19.6,20.2,22.0,22.5,22.2
Annual,"Financial aid to students as % of total public expenditure on education, at tertiary level of education (ISCED 56)",Percentage,Lithuania,:,:,:,:,14.1,17.6,11.9,11.7,17.1,17.5,17.0,15.2,14.5,14.1,15.7,13.2,10.1
Annual,"Financial aid to students as % of total public expenditure on education, at tertiary level of education (ISCED 56)",Percentage,Latvia,:,:,:,:,21.9,24.9,24.8,20.7,19.7,15.2,9.4,7.7,5.1,7.1,12.7,12.0,14.0
Annual,"Financial aid to students as % of total public expenditure on education, at tertiary level of education (ISCED 56)",Percentage,North Macedonia,:,:,:,:,:,:,:,16.3 d,13.8 d,: d,: d,:,:,:,:,:,:
Annual,"Financial aid to students as % of total public expenditure on education, at tertiary level of education (ISCED 56)",Percentage,Malta,:,:,:,:,38.5 d,35.2 d,26.6 d,25.2 d,30.2 d,: d,: bd,0.1,:,:,0.3,14.0 b,18.4
Annual,"Financial aid to students as % of total public expenditure on education, at tertiary level of education (ISCED 56)",Percentage,Netherlands,23.3,22.7,23.3,21.9,22.3,24.4,21.9,20.0,23.7,24.7,25.4,29.1,26.4,28.7,26.9,26.9,28.8
Annual,"Financial aid to students as % of total public expenditure on education, at tertiary level of education (ISCED 56)",Percentage,Norway,:,:,:,:,28.6,28.6,30.8,32.9,36.7,40.8,42.6,41.7,43.8,44.1,40.3,37.5,42.8
Annual,"Financial aid to students as % of total public expenditure on education, at tertiary level of education (ISCED 56)",Percentage,Poland,:,:,:,:,3.2 d,0.5 d,0.4 d,0.4,0.4,0.4,1.1,1.7,1.5,1.5,1.4,12.1,12.7
Annual,"Financial aid to students as % of total public expenditure on education, at tertiary level of education (ISCED 56)",Percentage,Portugal,:,:,:,:,6.0 d,6.7 d,6.2 d,4.9 d,2.2 d,5.4 d,8.9 d,11.6 d,11.2 d,14.9 d,14.8 d,16.6 d,15.4 d
Annual,"Financial aid to students as % of total public expenditure on education, at tertiary level of education (ISCED 56)",Percentage,Romania,:,:,:,:,13.7 d,: u,9.7 d,8.3 d,7.7 d,7.2 d,5.6 d,: u,3.8,: u,7.0,7.4,9.3
Annual,"Financial aid to students as % of total public expenditure on education, at tertiary level of education (ISCED 56)",Percentage,Sweden,:,:,:,:,30.4,29.5,30.1,29.3,28.4,28.2,27.1,26.1,26.3,25.4,24.9,24.5,24.7
Annual,"Financial aid to students as % of total public expenditure on education, at tertiary level of education (ISCED 56)",Percentage,Slovenia,:,:,:,:,:,:,25.6 d,25.3 d,25.2 d,23.7 d,23.7 d,23.3,22.8,23.2,22.1,23.4,23.4
Annual,"Financial aid to students as % of total public expenditure on education, at tertiary level of education (ISCED 56)",Percentage,Slovakia,:,:,:,:,4.4 d,3.8 d,10.5 d,17.5 d,8.5 d,10.7 d,13.7 d,14.1 d,17.6 d,17.5 d,19.9 d,20.5 d,16.7 d
Annual,"Financial aid to students as % of total public expenditure on education, at tertiary level of education (ISCED 56)",Percentage,Türkiye,:,:,:,:,11.8 d,7.9 d,14.0 d,12.6 d,13.2 d,19.3 d,: d,16.9 d,:,:,:,:,14.1
Annual,"Financial aid to students as % of total public expenditure on education, at tertiary level of education (ISCED 56)",Percentage,United Kingdom,:,:,:,:,26.7 d,12.9 d,5.3 d,23.9,24.7 d,23.9 d,25.8 d,26.4 d,30.8 d,31.2,37.5,33.8,39.2
