tree_id,parent_tree_id,split_from_path,root_path,n_measures
139,,,beneficiaries,4
140,139.0,beneficiaries > of,beneficiaries > of > disability > pensions > by,2
141,139.0,beneficiaries > of,beneficiaries > of > temporary > protection,2
142,,,big,2
143,,,biochemical,1
144,,,body,8
145,,,bovine,1
146,,,breast,1
147,,,bribery,1
148,,,broadband,2
149,,,building,3
150,,,buses,1
151,,,business,22
152,151.0,business,business > written,2
153,,,butter,1
154,,,calculation,1
155,,,calorific,1
156,,,capacities,2
157,156.0,capacities,capacities > production > fuel > used > and > energy > savings > in > combined > heat > and > power > chp > by > type > of > plant > generation > technologies > and > primary > energy > savings > levels,1
158,156.0,capacities,capacities > productions > and > losses > in > district > networks > by > type > of > network > and > type > of > plant,1
159,,,capital,3
160,159.0,capital,capital > account,2
161,159.0,capital,capital > stock > based > productivity > indicators > at > industry > level,1
162,,,carbon,1
163,,,carrying,3
164,,,catches,30
165,,,cattle,4
166,,,cattles,1
167,,,causes,24
168,,,central,4
169,168.0,central > government,central > government > bond > yields,3
170,168.0,central > government,central > government > debt,1
171,,,cereal,1
172,,,cereals,4
173,,,change,2
174,,,cheese,1
175,,,child,4
176,175.0,child,child > and > youth > population > on > 1 > january > by > sex > and > age,1
177,175.0,child,child > specific > material > deprivation > rate > by,3
178,,,children,26
179,178.0,children > by,children > by > household > type > income > group > degree > of > urbanisation > and > main > reason > for > not > meeting > needs > for > formal > childcare > services,1
180,178.0,children > by,children > by > level > of > general > health > household > composition > quantile > and > age,1
181,,,circular,2
182,,,classroom,3
183,182.0,classroom > teachers,classroom > teachers > and > academic > staff > by > education > level > programme > orientation > sex,2
184,182.0,classroom > teachers,classroom > teachers > working > full > time > and > part > time > in > primary > lower > secondary > and > upper > secondary > education > as > of > total > active > population,1
185,,,climate,2
186,,,cloud,3
187,,,co,1
188,,,collection,1
189,,,commercial,8
190,189.0,commercial,commercial > aircraft > fleet > by,5
191,189.0,commercial,commercial > airports > by > type,1
192,189.0,commercial,commercial > flights > by > reporting,2
193,,,commissions,2
194,,,common,5
195,194.0,common,common > bird,2
196,194.0,common,common > wheat > number > of > farms > and,2
197,,,,16
198,197.0,,communication,1
199,197.0,,context,1
200,197.0,,debts,1
201,197.0,,emigration,1
202,197.0,,erosion,1
203,197.0,,goats,1
204,197.0,,immigration,1
205,197.0,,landuse,1
206,197.0,,literacy,1
207,197.0,,livestock,1
208,197.0,,pensions,1
209,197.0,,sheep,1
210,197.0,,trams,1
211,197.0,,vineyards,1
212,197.0,,wages,1
213,,,community,21
214,,,comparative,1
215,,,compensation,6
216,,,complete,1
217,,,composition,1
218,,,computer,2
219,,,concentration,2
220,,,confidence,1
221,,,consolidated,1
222,,,construction,11
223,222.0,construction,construction > by > employment > size > class > nace > rev,2
224,,,consultation,3
225,,,consumer,1
226,,,consumers,2
227,,,consumption,8
228,227.0,consumption,consumption > footprint,2
229,227.0,consumption,consumption > of,6
230,229.0,consumption > of,consumption > of > antibiotics > in > the > community > and > hospital > sectors > defined > daily > doses > ddd > per > day,1
231,229.0,consumption > of,consumption > of > chemicals > by > hazardousness > eu > aggregate,1
232,229.0,consumption > of,consumption > of > inorganic > fertilizers,1
233,229.0,consumption > of,consumption > of > lightweight > plastic > carrier > bags > by > their > wall > thickness,1
234,,,container,6
235,,,contribution,3
236,235.0,contribution,contribution > of,2
237,236.0,contribution > of,contribution > of > recycled > materials > to > raw > materials > demand > end > of > life > recycling > input > rates > eol > rir,1
238,236.0,contribution > of,contribution > of > renewable > fuels > to > gross > final > consumption > of > energy,1
239,235.0,contribution,contribution > to > the > international > 100bn > usd > commitment > on > climate > related > expending,1
240,,,control,1
241,,,conventional,1
242,,,convergence,1
243,,,conversion,3
244,,,cooling,4
245,,,correction,6
246,245.0,correction,correction > coefficients,4
247,245.0,correction,correction > of > vision > problems > by > sex > age > and,2
248,,,corruption,1
249,,,cost,15
250,,,country,12
251,250.0,country,country > destination,2
252,250.0,country,country > level,10
253,252.0,country > level,country > level > passengers > embarked > and > disembarked > in > all > ports,2
254,,,covid,2
255,,,cows,2
256,,,credit,3
257,,,crime,3
258,,,crimes,5
259,,,crop,8
260,,,crops,2
261,,,cross,5
262,261.0,cross,cross > classification > of,2
263,261.0,cross,cross > trade > road > freight > transport > of > reporting > country > by > country > of > loading > and > unloading,3
264,,,crude,5
265,264.0,crude,crude > divorce > rate,1
266,264.0,crude,crude > oil,2
267,264.0,crude,crude > rate > of > birth > of > dead > and > of > population > change,1
268,,,cultural,6
269,,,culture,1
270,,,current,29
271,270.0,current,current > account,22
272,270.0,current,current > depressive > symptoms > by,6
273,270.0,current,current > level > of > capacity > utilization > in > manufacturing > industry,1
274,,,customers,1
275,,,daily,15
276,275.0,daily,daily > consumption > of > fruit > and > vegetables > by,7
277,,,dairy,2
278,,,data,3
279,,,day,4
280,,,death,17
281,,,deaths,30
282,281.0,deaths,deaths > of > residents > related > to > dementias > including > alzheimer,1
283,,,debt,2
284,,,decisions,21
285,284.0,decisions,decisions > on,6
286,285.0,decisions > on,decisions > on > asylum > applications > by > citizenship > until,2
287,,,degree,2
288,,,demographic,7
289,,,departures,1
290,,,depth,1
291,,,destination,2
292,291.0,destination,destination > country > of > international > sourcing > by > business > functions > and > economic > activity > collection > round > experimental > statistics,1
293,291.0,destination,destination > of > ict > devices > no > longer > in > use,1
294,,,detailed,2
295,294.0,detailed,detailed > average > prices,1
296,294.0,detailed,detailed > deaths > related > to > transport > accidents > occurring > in > the > eu,1
297,,,development,2
298,,,devices,1
299,,,difficulties,15
300,,,digital,2
301,,,direct,12
302,,,disability,1
303,,,disaggregated,6
304,,,discharges,1
305,,,dispersion,3
306,,,disposable,10
307,,,distribution,71
308,307.0,distribution > of,distribution > of > degree > mobile > graduates > from > abroad > at > education > level > by > sex > and > field > of > education,1
309,307.0,distribution > of,distribution > of > digital > platform > workers,9
310,307.0,distribution > of,distribution > of > education > and > training > activities > by > field > isced > f,1
311,307.0,distribution > of,distribution > of > graduates > at > education > level > and > programme > orientation > by > sex > and > field > of > education,1
312,307.0,distribution > of,distribution > of > instruction > hours > by > field > isced > f,1
313,307.0,distribution > of,distribution > of > new > entrants > at > education > level > and > programme > orientation > by > sex > and > field > of > education,1
314,307.0,distribution > of,distribution > of > non > formal > education > and > training > activities > by,4
315,307.0,distribution > of,distribution > of > participation > in > formal > education > and > training > last,2
316,307.0,distribution > of,distribution > of > teachers > at > education > level > and > programme > orientation > by > age > groups,1
317,,,distributive,5
318,,,diversity,2
319,,,divorce,1
320,,,divorces,3
321,,,domestic,10
322,321.0,domestic,domestic > or > international > sourcing > of > different > business > functions > by > economic > activity > collection > round > experimental > statistics,1
323,,,dried,1
324,,,drinking,1
325,,,drought,1
326,,,dry,1
327,,,duration,2
328,327.0,duration > of,duration > of > daily > tobacco > smoking > by > sex > age > and > educational > attainment > level,1
329,327.0,duration > of,duration > of > working > life,1
330,,,dwellings,2
331,,,e,6
332,331.0,e,e > commerce,5
333,331.0,e,e > government > activities > of > individuals > via > websites,1
334,,,ec,4
335,,,ecu,1
336,,,emu,4
337,,,eu,29
338,337.0,eu,eu > blue > cards,2
339,337.0,eu,eu > co2 > emissions > from > the > production > and > consumption > footprint > perspectives > figaro > application,1
340,337.0,eu,eu > and > efta > citizens > who > are > usual > residents > in > another > eu > efta > country > as > of > 1 > january,1
341,337.0,eu,eu > co > patenting > at > the > epo > according > to > applicants > inventors > country > of > residence > by > international > patent > classification > ipc > sections > number,1
342,337.0,eu,eu > financing > to > developing > countries > by > financing > source,1
343,337.0,eu,eu > index > of > occupational > diseases > experimental > statistics,1
344,337.0,eu,eu > level,6
345,337.0,eu,eu > self > sufficiency > for > raw > materials,1
346,337.0,eu,eu > efta,6
347,,,eu27,3
348,,,early,16
349,348.0,early,early > leavers > from,15
350,348.0,early,early > retirement > among > persons > who > receive > an > old > age > pension,1
351,,,economic,16
352,351.0,economic,economic > aggregates > of > forestry,1
353,351.0,economic,economic > data > in > high > tech > sectors > by > nace > rev,2
354,351.0,economic,economic > sentiment > indicator,1
355,351.0,economic,economic > variables > being > part > of > annex1 > to > council > regulation > 58 > 97,1
356,,,economically,5
357,356.0,economically,economically > active > population > by > sex > age,4
358,356.0,economically,economically > inactive > persons > who > receive > a > pension > who > would > have > wished > to > stay > longer > in > employment,1
359,,,economy,1
360,,,education,3
361,360.0,education,education > indicators > by > nuts > 2 > regions,1
362,,,educational,1
363,,,effect,4
364,363.0,effect > of,effect > of > the > search > for > information > on > learning > possibilities,1
365,,,effective,1
366,,,effects,1
367,,,effort,3
368,,,electricity,14
369,368.0,electricity,electricity > production,4
370,,,emergency,1
371,,,emigration,6
372,,,employed,113
373,372.0,employed > persons,employed > persons > expecting > a > possible > loss > of > their > job > in > the > next > 6 > months > by > sex > and > age,1
374,372.0,employed > persons,employed > persons > exposed > to > employment > related > physical > psychological > or > sexual > violence > in > the > last > 12 > months > by > sex > and > age,1
375,,,employees,47
376,375.0,employees > and,employees > and > family > workers > who > wish > to > be > self > employed > by > main > reason > for > not > being > self > employed > and > sex,1
377,375.0,employees > and,employees > and > self > employed > persons > by > business > function > nace > rev > 2 > activity > aggregate > and > size > class > experimental > statistics,1
378,375.0,employees > by,employees > by > their > perceived > possibility > to > vary > start > and > or > stop > of > the > working > day > for > family > reasons > 1 > 000,1
379,375.0,employees,employees > having > a > good > relationship > with > their > supervisor > by > sex > and > age,1
380,375.0,employees,employees > receiving > regular > feedback > from > their > supervisor > by > sex > and > age,1
381,375.0,employees > who,employees > who > can > take > a > whole > day > off > for > family > reasons > by > occupation > 1 > 000,1
382,375.0,employees > who,employees > who > could > not > find > a > permanent > or > full > time > job > by > sex > and > age,1
383,375.0,employees > with,employees > with > care > responsibilities > by,4
384,375.0,employees > with,employees > with > involuntary > temporary > contracts > as > percentage > of > the > total > number > of > employees > with > temporary > contracts > by > sex > age > educational > attainment > level > and > work > experience > while > studying,1
385,,,employer,11
386,,,employment,153
387,386.0,employment > and,employment > and > economic > activity > branches,1
388,386.0,employment > by,employment > by > a > 10 > industry > breakdowns,1
389,386.0,employment,employment > expectations,2
390,386.0,employment > in,employment > in > foreign,2
391,386.0,employment > in,employment > in > current > job > by > duration,1
392,386.0,employment > in,employment > in > inland > waterways > transport > enterprises > by,2
393,386.0,employment > in,employment > in > principal > railway > enterprises > by > type > of > railway > activity > until,1
394,386.0,employment > in,employment > in > sport > by,3
395,386.0,employment > in,employment > in > the > environmental > goods > and > services > sector,1
396,,,empty,1
397,,,end,3
398,397.0,end,end > of > life > vehicles,2
399,397.0,end,end > stage > renal > failure > esrf > patients > historical > data,1
400,,,energy,18
401,400.0,energy,energy > flow > sankey > diagram > data,1
402,400.0,energy,energy > removed > from > district > networks > by > customers > type > of > networks > and > efficiency > of > network,1
403,400.0,energy,energy > supply > and > use > by > nace > rev > 2 > activity,1
404,,,enterprise,4
405,,,enterprises,169
406,405.0,enterprises > by,enterprises > by > backsourcing > status > experimental > statistics,1
407,405.0,enterprises > by,enterprises > by > control > of > foreign > affiliates > and > economic > activity > experimental > statistics,1
408,405.0,enterprises > by,enterprises > by > relocation > status > experimental > statistics,1
409,405.0,enterprises,enterprises > having > received > orders > online > at > least > 1 > of > enterprises,1
410,405.0,enterprises > in,enterprises > in > business > services > net > turnover > by,2
411,405.0,enterprises,enterprises > purchasing,2
412,405.0,enterprises,enterprises > supplying,2
413,405.0,enterprises,enterprises > using > software > solutions > like > crm > to > analyse > information > about > clients > for > marketing > purposes,1
414,405.0,enterprises > which,enterprises > which > assess,8
415,405.0,enterprises > which,enterprises > which > introduced > innovations > in > logistics > by > reason > of > the > introduction > level > of > importance > of > the > reason > nace > rev > 2 > activity > and > size > class,1
416,405.0,enterprises > with,enterprises > with > expenditures > for > innovation > in > logistics > by > size > classes > of > expenditure > nace > rev > 2 > activity > and > size > class,1
417,405.0,enterprises > with,enterprises > with > members > in > other > eea > countries,1
418,405.0,enterprises > with,enterprises > with > procedures > in > place > to > regularly > identify > and > reduce > environmental > impacts,1
419,,,environment,2
420,,,environmental,19
421,,,envisaged,1
422,,,equidae,1
423,,,establishments,6
424,,,estimated,7
425,424.0,estimated,estimated > average > age > of > young > people > leaving > the > parental > household > by > sex,1
426,424.0,estimated,estimated > employment > by > business > function > and,2
427,424.0,estimated,estimated > soil,2
428,424.0,estimated,estimated > trends > in,2
429,,,estimates,2
430,,,euro,16
431,,,european,20
432,431.0,european > union,european > union > and > euro > area > balance > of > payments,2
433,431.0,european > union,european > union > trade,17
434,,,evaluating,1
435,,,ever,15
436,,,excess,1
437,,,exchange,1
438,,,expected,1
439,,,expenditure,43
440,439.0,expenditure,expenditure > for > selected > health > care,3
441,439.0,expenditure > on,expenditure > on > inland > waterway > transport > infrastructure > and > freight > vessels,1
442,439.0,expenditure > on,expenditure > on > rolling > stock > and > railway > infrastructure,1
443,439.0,expenditure > on,expenditure > on > social > protection,2
444,,,expenditures,2
445,,,export,6
446,,,exports,22
447,,,exposure,1
448,,,external,1
449,,,extra,14
450,,,fdi,1
451,,,factors,1
452,,,fallow,1
453,,,families,1
454,,,family,3
455,454.0,family,family > labour > force,2
456,454.0,family,family > nuclei > by > number > of > children,1
457,,,farm,4
458,,,farmland,2
459,,,farms,1
460,,,fat,1
461,,,fatal,2
462,,,female,5
463,462.0,female,female > active > population > by > age > and > marital > status,1
464,462.0,female,female > tertiary > education > graduates > in > stem > education > fields > of > all > tertiary > education > graduates > in > stem > education > fields,1
465,,,fertility,7
466,,,fetal,2
467,,,fields,1
468,,,final,25
469,468.0,final,final > decisions,3
470,,,finance,1
471,,,financial,29
472,471.0,financial,financial > activities > over > the > internet,2
473,471.0,financial,financial > aid > to > students,2
474,471.0,financial,financial > burden > of > the,2
475,471.0,financial,financial > sector > leverage > debt > to > equity > non > consolidated,1
476,471.0,financial,financial > subsidiaries > in > other > countries,1
477,,,first,23
478,477.0,first,first > marriage > rates > by > age > and > sex,1
479,477.0,first,first > permits,8
480,477.0,first > time,first > time > asylum,4
481,477.0,first > time,first > time > graduates > by > education > level > sex > and > age > group,1
482,477.0,first > time,first > time > marrying > persons > by > age > and > sex,1
483,,,fish,2
484,,,fishing,4
485,,,flowers,3
486,,,fodder,2
487,,,food,3
488,487.0,food,food > price > monitoring > tool,1
489,487.0,food,food > waste,2
490,,,foreign,27
491,490.0,foreign,foreign > affiliates > of > the > eu > enterprises > by,2
492,490.0,foreign,foreign > control > of > enterprises,4
493,490.0,foreign,foreign > controlled > eu > enterprises > by,2
494,490.0,foreign,foreign > controlling > eu > enterprises > and > domestic > affiliates > by > nace > rev > 2 > activity > from > onwards,1
495,490.0,foreign,foreign > born > population,13
496,,,forest,1
497,,,formal,1
498,,,former,6
499,498.0,former,former > daily > tobacco > smokers > by > sex > age > and,2
500,498.0,former,former > euro > area > national > currencies > vs > euro > ecu,4
501,,,freight,40
502,501.0,freight,freight > and > mail > air > transport,39
503,501.0,freight,freight > loaded > and > unloaded > in > ports > for > inland > waterway > transport,1
504,,,frequency,25
505,504.0,frequency > of,frequency > of > contacts > with > relatives > or > friends > by > level > of > disability > activity > limitation > sex > and > age,1
506,504.0,frequency > of,frequency > of > getting > together > with > relatives > or > friends > by > level > of > disability > activity > limitation > sex > and > age,1
507,504.0,frequency > of,frequency > of > going > to > cinema > live > performances > cultural > sites > or > attending > live > sport > events > by > level > of > disability > activity > limitation > sex > and > age,1
508,504.0,frequency > of,frequency > of > internet > use > by > individuals > aged > 16 > 74,1
509,,,fresh,3
510,509.0,fresh,fresh > products > distribution > of > enterprises > by > volume > of > annual > production,1
511,509.0,fresh,fresh > vegetables > and > strawberries > by > area,1
512,509.0,fresh,fresh > water > abstraction > by > source > per > capita > m > per > capita,1
513,,,freshwater,2
514,513.0,freshwater,freshwater > abstraction,1
515,513.0,freshwater,freshwater > resources > by > river > basin > district > rbd,1
516,,,fright,1
517,,,fruit,3
518,517.0,fruit > and,fruit > and > berries,1
519,517.0,fruit > and,fruit > and > berry > plantations > number > of > farms > and > areas > by,2
520,,,fuel,1
521,,,full,7
522,,,functional,3
523,,,funding,3
524,,,g20,1
525,,,gbard,2
526,,,gdp,6
527,,,gerd,9
528,,,ghg,1
529,,,gni,1
530,,,gas,7
531,,,gender,22
532,531.0,gender,gender > parity > index > by > education > level,1
533,,,general,19
534,533.0,general,general > education,1
535,533.0,general,general > government,15
536,533.0,general,general > indicators,1
537,533.0,general,general > information,2
538,,,generation,12
539,538.0,generation,generation > and > discharge > of > wastewater,2
540,538.0,generation,generation > of,10
541,,,gini,6
542,,,global,1
543,,,goals,1
544,,,goat,1
545,,,goats,3
546,,,goods,15
547,546.0,goods > and,goods > and > passenger > train > traffic > performance,1
548,546.0,goods > and,goods > and > services > imports > and > exports,1
549,,,government,11
550,549.0,government,government > bond > yields > 10 > years > maturity,3
551,549.0,government,government > final > consumption > expenditure,2
552,549.0,government,government > guarantees,1
553,549.0,government,government > support > to > agricultural > research > and > development,1
554,,,graduates,10
555,,,graduation,1
556,,,graduations,1
557,,,grain,3
558,,,grape,1
559,,,grapes,1
560,,,grassland,1
561,,,green,3
562,561.0,green,green > bond > issuance > by,2
563,561.0,green,green > maize > by > area > production > and > humidity,1
564,,,greenhouse,4
565,,,gross,134
566,565.0,gross,gross > and > net > production > of > electricity > and > derived > heat > by > type > of > plant > and > operator,1
567,565.0,gross,gross > debt > to > income > ratio > of > households,1
568,565.0,gross,gross > disposable > income,1
569,565.0,gross,gross > fixed > capital > formation,9
570,565.0,gross,gross > non > performing > loans > domestic > and > foreign > entities > of > gross > loans,1
571,565.0,gross,gross > nutrient > balance,1
572,565.0,gross,gross > production > of > electricity > and > derived > heat > from,2
573,565.0,gross,gross > saving,1
574,565.0,gross,gross > weight > of,62
575,,,guarantees,1
576,,,guest,5
577,,,hicp,37
578,577.0,hicp,hicp > alcohol > and > tobacco,1
579,,,hrst,6
580,579.0,hrst,hrst > by > category,4
581,579.0,hrst,hrst > with > tertiary > education > by,2
582,,,hampered,1
583,,,hampering,6
584,,,harmonised,2
585,584.0,harmonised,harmonised > index > of > consumer > prices > monthly > data,1
586,584.0,harmonised,harmonised > risk > indicator > 1 > for > pesticides > by > categorisation > of > active > substances,1
587,,,hatcheries,2
588,,,hauled,4
589,,,hazardous,3
590,,,health,13
591,590.0,health,health > care > expenditure,4
592,590.0,health,health > impacts > of > air > pollution,1
593,,,healthy,7
594,,,heat,3
595,,,high,11
596,595.0,high,high > growth,3
597,595.0,high,high > speed > internet > coverage > by > type > of > area,1
598,595.0,high,high > tech,7
599,598.0,high > tech,high > tech > exports,2
600,598.0,high > tech,high > tech > patent > applications > to > the > epo > by > priority > year,4
601,,,higher,1
602,,,highly,10
603,,,holder,2
604,,,holdings,3
605,,,hospital,28
606,,,hourly,2
607,606.0,hourly,hourly > earnings > by > economic > activity > and > contractual > working > time > enterprises > with > 10 > employed > persons > or > more,1
608,606.0,hourly,hourly > labour > costs > by > nace > rev > 1 > 1 > activity,1
609,,,hours,27
610,609.0,hours > worked,hours > worked > compared > to > hours > paid > by > nace > rev,2
611,609.0,hours > worked,hours > worked > per > week > of > full > time > employment,1
612,,,house,12
613,,,household,13
614,613.0,household,household > composition > by > size,1
615,613.0,household,household > debt > consolidated > including > non > profit > institutions > serving > households > of > gdp,1
616,,,households,20
617,616.0,households,households > investment > rate,1
618,616.0,households > with,households > with > expenditure > greater > than > zero > by > coicop > consumption > purpose,1
619,616.0,households > with,households > with > sustainable > access > to > improved > sanitation > by > simplified > degree > of > urbanisation,1
620,,,housing,17
621,620.0,housing,housing > units > by > type,2
622,,,human,2
623,,,hydrofluorocarbon,1
624,,,ict,2
625,,,identification,2
626,,,immigration,13
627,,,impact,4
628,627.0,impact,impact > level > of > international > sourcing > activities > by > economic > activity > collection > round > experimental > statistics,1
629,627.0,impact,impact > of,3
630,629.0,impact > of,impact > of > ict > on > tasks > and > skills,1
631,629.0,impact > of,impact > of > social > transfers > excluding > pensions > on > poverty > reduction > by > sex,2
632,,,implementation,2
633,,,implicit,1
634,,,import,10
635,634.0,import,import > dependency > on > third > countries > by > fuel > type,1
636,634.0,import,import > prices,9
637,,,importance,6
638,637.0,importance > of,importance > of > physical > proximity > of > support > business > functions > to > the > core > business > function > by > business > function > sourcing > status > and > economic > activity > experimental > statistics,1
639,637.0,importance > of,importance > of > the,2
640,,,important,1
641,,,imports,20
642,641.0,imports > of,imports > of > biomethane > through > the > grid,1
643,,,in,19
644,643.0,in,in > work > at > risk > of > poverty > rate,14
645,643.0,in,in > house > and > external > skills > available > in > the > enterprises,1
646,643.0,in,in > patient > average > length > of > stay > days,4
647,,,inability,15
648,647.0,inability > to,inability > to > keep > home > adequately > warm,3
649,647.0,inability > to,inability > to > make > ends > meet > eu > silc > survey,1
650,,,inactive,9
651,,,inactivity,2
652,,,incidence,9
653,,,income,16
654,653.0,income,income > distribution,1
655,653.0,income,income > from > intellectual > property > rights > for > computer > services,1
656,653.0,income,income > of > households > by > nuts > 2 > regions,1
657,,,incoming,5
658,,,index,1
659,,,indicator,1
660,,,indicators,3
661,660.0,indicators,indicators > on > health > and > safety > at > work,1
662,660.0,indicators,indicators > with > growth > by > 20 > or > more,2
663,,,individuals,41
664,663.0,individuals,individuals > encountering > hostile > or > degrading > online > messages,1
665,,,industrial,11
666,665.0,industrial,industrial > and > construction > production > volume > index > calendar > adjusted,1
667,665.0,industrial,industrial > countries > effective > exchange > rates,3
668,665.0,industrial,industrial > crops,2
669,665.0,industrial,industrial > roundwood > by,2
670,,,industry,6
671,,,inequality,2
672,,,infant,10
