tree_id,node_id,parent_id,depth,edge_label,full_path,n_children,n_terminal_here,n_measures_subtree,is_branch_point,examples
21,0,-1,0,economic size of the farm standard output in euro,agricultural > holdings > by > economic > size > of > the > farm > standard > output > in > euro,0,1,1,False,Agricultural holdings by economic size of the farm (Standard Output in Euro)
22,0,-1,0,land,agricultural > land,2,0,2,True,Agricultural land prices by region - historical data (until | Agricultural land renting prices for one year by region - historical data (until
22,1,0,1,prices by region historical data until,agricultural > land > prices > by > region > historical > data > until,0,1,1,False,Agricultural land prices by region - historical data (until
22,2,0,1,renting prices for one year by region historical data until,agricultural > land > renting > prices > for > one > year > by > region > historical > data > until,0,1,1,False,Agricultural land renting prices for one year by region - historical data (until
23,0,-1,0,real factor income per annual work unit awu,agricultural > real > factor > income > per > annual > work > unit > awu,0,1,1,False,Agricultural real factor income per annual work unit (AWU)
24,0,-1,0,air,air,5,0,14,True,Air emission intensity from industry | Air emissions per sector and per gas | Air passenger transport
24,1,0,1,passenger transport,air > passenger > transport,0,1,1,False,Air passenger transport
24,2,0,1,transport,air > transport,4,0,10,True,Air transport equipment: number of aircrafts | Air transport infrastructure: airports | Air transport infrastructure: length of paved runways
24,3,2,2,equipment number of aircrafts,air > transport > equipment > number > of > aircrafts,0,1,1,False,Air transport equipment: number of aircrafts
24,4,2,2,infrastructure,air > transport > infrastructure,2,0,2,True,Air transport infrastructure: airports | Air transport infrastructure: length of paved runways
24,5,4,3,airports,air > transport > infrastructure > airports,0,1,1,False,Air transport infrastructure: airports
24,6,4,3,length of paved runways,air > transport > infrastructure > length > of > paved > runways,0,1,1,False,Air transport infrastructure: length of paved runways
24,7,2,2,of,air > transport > of,3,0,5,True,Air transport of freight by NUTS 2 regions | Air transport of goods by country (yearly data) | Air transport of passengers by NUTS 2 regions
24,8,7,3,goods by country yearly data,air > transport > of > goods > by > country > yearly > data,0,1,1,False,Air transport of goods by country (yearly data)
24,9,7,3,passengers by,air > transport > of > passengers > by,2,0,3,True,Air transport of passengers by NUTS 2 regions | Air transport of passengers by country (yearly data) | Air transport of passengers by country and type of transport (monthly data)
24,10,2,2,traffic,air > transport > traffic,2,0,2,True,Air transport traffic: freight and passengers | Air transport traffic: number of aircraft movements
24,11,10,3,freight and passengers,air > transport > traffic > freight > and > passengers,0,1,1,False,Air transport traffic: freight and passengers
24,12,10,3,number of aircraft movements,air > transport > traffic > number > of > aircraft > movements,0,1,1,False,Air transport traffic: number of aircraft movements
25,0,-1,0,emission intensity from industry,air > emission > intensity > from > industry,0,1,1,False,Air emission intensity from industry
26,0,-1,0,emissions per sector and per gas,air > emissions > per > sector > and > per > gas,0,1,1,False,Air emissions per sector and per gas
27,0,-1,0,pollutants,air > pollutants,0,1,1,False,Air pollutants
28,0,-1,0,freight by nuts 2 regions,air > transport > of > freight > by > nuts > 2 > regions,0,1,1,False,Air transport of freight by NUTS 2 regions
29,0,-1,0,nuts 2 regions,air > transport > of > passengers > by > nuts > 2 > regions,0,1,1,False,Air transport of passengers by NUTS 2 regions
30,0,-1,0,country,air > transport > of > passengers > by > country,2,0,2,True,Air transport of passengers by country (yearly data) | Air transport of passengers by country and type of transport (monthly data)
30,1,0,1,yearly data,air > transport > of > passengers > by > country > yearly > data,0,1,1,False,Air transport of passengers by country (yearly data)
30,2,0,1,and type of transport monthly data,air > transport > of > passengers > by > country > and > type > of > transport > monthly > data,0,1,1,False,Air transport of passengers by country and type of transport (monthly data)
31,0,-1,0,all,all,1,0,1,False,All valid permits by reason on 31 December of each year
31,1,0,1,valid permits by reason on 31 december of each year,all > valid > permits > by > reason > on > 31 > december > of > each > year,0,1,1,False,All valid permits by reason on 31 December of each year
32,0,-1,0,ammonia,ammonia,1,0,2,False,Ammonia emissions from agriculture | Ammonia emissions from agriculture - % of total emissions
32,1,0,1,emissions from agriculture,ammonia > emissions > from > agriculture,1,1,2,False,Ammonia emissions from agriculture | Ammonia emissions from agriculture - % of total emissions
32,2,1,2,of total emissions,ammonia > emissions > from > agriculture > of > total > emissions,0,1,1,False,Ammonia emissions from agriculture - % of total emissions
33,0,-1,0,animal,animal,1,0,1,False,Animal output - basic and producer prices
33,1,0,1,output basic and producer prices,animal > output > basic > and > producer > prices,0,1,1,False,Animal output - basic and producer prices
34,0,-1,0,annual,annual,7,0,10,True,"Annual aquaculture production - live weight in tonnes | Annual captures of fish - live weight in tonnes - by fishing areas | Annual earnings by economic control (enterprises with 10 employed persons or more) - NACE Rev. 1.1, C-O excluding L"
35,0,-1,0,aquaculture production live weight in tonnes,annual > aquaculture > production > live > weight > in > tonnes,0,1,1,False,Annual aquaculture production - live weight in tonnes
36,0,-1,0,captures of fish live weight in tonnes by fishing areas,annual > captures > of > fish > live > weight > in > tonnes > by > fishing > areas,0,1,1,False,Annual captures of fish - live weight in tonnes - by fishing areas
37,0,-1,0,earnings by,annual > earnings > by,2,0,4,True,"Annual earnings by economic control (enterprises with 10 employed persons or more) - NACE Rev. 1.1, C-O excluding L | Annual earnings by economic control (enterprises with 10 employed persons or more) - NACE Rev. 2, B-S excluding O | Annual earnings by quantiles and contractual working time (enterprises with 10 employed persons or more) - NACE Rev. 1.1, C-O excluding L"
37,1,0,1,economic control enterprises with 10 employed persons or more nace rev,annual > earnings > by > economic > control > enterprises > with > 10 > employed > persons > or > more > nace > rev,2,0,2,True,"Annual earnings by economic control (enterprises with 10 employed persons or more) - NACE Rev. 1.1, C-O excluding L | Annual earnings by economic control (enterprises with 10 employed persons or more) - NACE Rev. 2, B-S excluding O"
37,2,1,2,1 1 c o excluding l,annual > earnings > by > economic > control > enterprises > with > 10 > employed > persons > or > more > nace > rev > 1 > 1 > c > o > excluding > l,0,1,1,False,"Annual earnings by economic control (enterprises with 10 employed persons or more) - NACE Rev. 1.1, C-O excluding L"
37,3,1,2,2 b s excluding o,annual > earnings > by > economic > control > enterprises > with > 10 > employed > persons > or > more > nace > rev > 2 > b > s > excluding > o,0,1,1,False,"Annual earnings by economic control (enterprises with 10 employed persons or more) - NACE Rev. 2, B-S excluding O"
37,4,0,1,quantiles and contractual working time enterprises with 10 employed persons or more nace rev,annual > earnings > by > quantiles > and > contractual > working > time > enterprises > with > 10 > employed > persons > or > more > nace > rev,2,0,2,True,"Annual earnings by quantiles and contractual working time (enterprises with 10 employed persons or more) - NACE Rev. 1.1, C-O excluding L | Annual earnings by quantiles and contractual working time (enterprises with 10 employed persons or more) - NACE Rev. 2, B-S excluding O"
37,5,4,2,1 1 c o excluding l,annual > earnings > by > quantiles > and > contractual > working > time > enterprises > with > 10 > employed > persons > or > more > nace > rev > 1 > 1 > c > o > excluding > l,0,1,1,False,"Annual earnings by quantiles and contractual working time (enterprises with 10 employed persons or more) - NACE Rev. 1.1, C-O excluding L"
37,6,4,2,2 b s excluding o,annual > earnings > by > quantiles > and > contractual > working > time > enterprises > with > 10 > employed > persons > or > more > nace > rev > 2 > b > s > excluding > o,0,1,1,False,"Annual earnings by quantiles and contractual working time (enterprises with 10 employed persons or more) - NACE Rev. 2, B-S excluding O"
38,0,-1,0,freshwater abstraction by source,annual > freshwater > abstraction > by > source,0,1,1,False,Annual freshwater abstraction by source
39,0,-1,0,net earnings of a full time single worker without children earning an average wage,annual > net > earnings > of > a > full > time > single > worker > without > children > earning > an > average > wage,0,1,1,False,Annual net earnings of a full-time single worker without children earning an average wage
40,0,-1,0,production and utilisation of milk on the farm,annual > production > and > utilisation > of > milk > on > the > farm,0,1,1,False,Annual production and utilisation of milk on the farm
41,0,-1,0,work units in forestry and logging,annual > work > units > in > forestry > and > logging,0,1,1,False,Annual work units in forestry and logging
42,0,-1,0,apparent,apparent,1,0,1,False,Apparent cost of general government gross debt
42,1,0,1,cost of general government gross debt,apparent > cost > of > general > government > gross > debt,0,1,1,False,Apparent cost of general government gross debt
43,0,-1,0,applicants,applicants,1,0,1,False,Applicants having benefited from material reception conditions at the end of the reference year - annual data
43,1,0,1,having benefited from material reception conditions at the end of the reference year annual data,applicants > having > benefited > from > material > reception > conditions > at > the > end > of > the > reference > year > annual > data,0,1,1,False,Applicants having benefited from material reception conditions at the end of the reference year - annual data
44,0,-1,0,aquaculture,aquaculture,1,0,2,False,Aquaculture production by aquatic environment | Aquaculture production in tonnes and value
44,1,0,1,production,aquaculture > production,2,0,2,True,Aquaculture production by aquatic environment | Aquaculture production in tonnes and value
44,2,1,2,by aquatic environment,aquaculture > production > by > aquatic > environment,0,1,1,False,Aquaculture production by aquatic environment
44,3,1,2,in tonnes and value,aquaculture > production > in > tonnes > and > value,0,1,1,False,Aquaculture production in tonnes and value
45,0,-1,0,area,area,4,0,5,True,Area at risk of severe soil erosion by water | Area of wooded land FE) | Area under organic farming
46,0,-1,0,at risk of severe soil erosion by water,area > at > risk > of > severe > soil > erosion > by > water,0,1,1,False,Area at risk of severe soil erosion by water
47,0,-1,0,of wooded land fe,area > of > wooded > land > fe,0,1,1,False,Area of wooded land FE)
48,0,-1,0,under,area > under,2,0,2,True,Area under organic farming | Area under wine-grape vine varieties broken down by vine variety and by age of the vines -
49,0,-1,0,organic farming,area > under > organic > farming,0,1,1,False,Area under organic farming
50,0,-1,0,wine grape vine varieties broken down by vine variety and by age of the vines,area > under > wine > grape > vine > varieties > broken > down > by > vine > variety > and > by > age > of > the > vines,0,1,1,False,Area under wine-grape vine varieties broken down by vine variety and by age of the vines -
51,0,-1,0,by species area in ha,area > by > species > area > in > ha,0,1,1,False,area by species (area in ha)
52,0,-1,0,arrears,arrears,2,0,3,True,"Arrears (mortgage or rent, utility bills or hire purchase) by NUTS regions | Arrears on non-housing bills by income quintile | Arrears on non-housing bills by risk of poverty threshold"
53,0,-1,0,mortgage or rent utility bills or hire purchase by nuts regions,arrears > mortgage > or > rent > utility > bills > or > hire > purchase > by > nuts > regions,0,1,1,False,"Arrears (mortgage or rent, utility bills or hire purchase) by NUTS regions"
54,0,-1,0,on non housing bills by,arrears > on > non > housing > bills > by,2,0,2,True,Arrears on non-housing bills by income quintile | Arrears on non-housing bills by risk of poverty threshold
54,1,0,1,income quintile,arrears > on > non > housing > bills > by > income > quintile,0,1,1,False,Arrears on non-housing bills by income quintile
54,2,0,1,risk of poverty threshold,arrears > on > non > housing > bills > by > risk > of > poverty > threshold,0,1,1,False,Arrears on non-housing bills by risk of poverty threshold
55,0,-1,0,arrivals,arrivals,3,0,5,True,Arrivals at tourism accommodation establishments by type of accommodation | Arrivals by type of accommodation | Arrivals of non-residents at hotels and similar accomodation establishments
55,1,0,1,at tourism accommodation establishments by type of accommodation,arrivals > at > tourism > accommodation > establishments > by > type > of > accommodation,0,1,1,False,Arrivals at tourism accommodation establishments by type of accommodation
55,2,0,1,by type of accommodation,arrivals > by > type > of > accommodation,0,1,1,False,Arrivals by type of accommodation
55,3,0,1,of,arrivals > of,3,0,3,True,Arrivals of non-residents at hotels and similar accomodation establishments | Arrivals of residents/non-residents at tourist accommodation establishments | Arrivals of tourists at the border
55,4,3,2,non residents at hotels and similar accomodation establishments,arrivals > of > non > residents > at > hotels > and > similar > accomodation > establishments,0,1,1,False,Arrivals of non-residents at hotels and similar accomodation establishments
55,5,3,2,residents non residents at tourist accommodation establishments,arrivals > of > residents > non > residents > at > tourist > accommodation > establishments,0,1,1,False,Arrivals of residents/non-residents at tourist accommodation establishments
56,0,-1,0,tourists at the border,arrivals > of > tourists > at > the > border,0,1,1,False,Arrivals of tourists at the border
57,0,-1,0,asylum,asylum,3,0,9,True,"Asylum applicants by type - annual aggregated data | Asylum applicants by type - monthly data | Asylum applicants by type, citizenship, age and sex - annual aggregated data"
57,1,0,1,applicants,asylum > applicants,3,0,5,True,"Asylum applicants by type - annual aggregated data | Asylum applicants by type - monthly data | Asylum applicants by type, citizenship, age and sex - annual aggregated data"
57,2,1,2,by type,asylum > applicants > by > type,3,0,3,True,"Asylum applicants by type - annual aggregated data | Asylum applicants by type - monthly data | Asylum applicants by type, citizenship, age and sex - annual aggregated data"
57,3,2,3,annual aggregated data,asylum > applicants > by > type > annual > aggregated > data,0,1,1,False,Asylum applicants by type - annual aggregated data
57,4,2,3,monthly data,asylum > applicants > by > type > monthly > data,0,1,1,False,Asylum applicants by type - monthly data
57,5,2,3,citizenship age and sex annual aggregated data,asylum > applicants > by > type > citizenship > age > and > sex > annual > aggregated > data,0,1,1,False,"Asylum applicants by type, citizenship, age and sex - annual aggregated data"
57,6,1,2,considered to be unaccompanied minors annual data,asylum > applicants > considered > to > be > unaccompanied > minors > annual > data,0,1,1,False,Asylum applicants considered to be unaccompanied minors - annual data
57,7,1,2,having had their applications processed under the accelerated procedure by age sex and citizenship monthly data,asylum > applicants > having > had > their > applications > processed > under > the > accelerated > procedure > by > age > sex > and > citizenship > monthly > data,0,1,1,False,"Asylum applicants having had their applications processed under the accelerated procedure, by age, sex and citizenship - monthly data"
57,8,0,1,applications,asylum > applications,2,0,2,True,"Asylum applications by state of procedure | Asylum applications withdrawn by citizenship, age, sex and type of withdrawal - annual aggregated data"
57,9,8,2,by state of procedure,asylum > applications > by > state > of > procedure,0,1,1,False,Asylum applications by state of procedure
57,10,8,2,withdrawn by citizenship age sex and type of withdrawal annual aggregated data,asylum > applications > withdrawn > by > citizenship > age > sex > and > type > of > withdrawal > annual > aggregated > data,0,1,1,False,"Asylum applications withdrawn by citizenship, age, sex and type of withdrawal - annual aggregated data"
58,0,-1,0,decisions at,asylum > decisions > at,2,0,2,True,Asylum decisions at final instance by type of decision - % of total decisions at final instance | Asylum decisions at first instance by type of decision - % of total decisions at first instance
58,1,0,1,final instance by type of decision of total decisions at final instance,asylum > decisions > at > final > instance > by > type > of > decision > of > total > decisions > at > final > instance,0,1,1,False,Asylum decisions at final instance by type of decision - % of total decisions at final instance
58,2,0,1,first instance by type of decision of total decisions at first instance,asylum > decisions > at > first > instance > by > type > of > decision > of > total > decisions > at > first > instance,0,1,1,False,Asylum decisions at first instance by type of decision - % of total decisions at first instance
59,0,-1,0,at,at,3,0,29,True,"At least upper secondary educational attainment, age group 20-24 by sex | At least upper secondary educational attainment, age group 25-64 by sex | At most lower secondary educational attainment by age"
60,0,-1,0,least upper secondary educational attainment age group,at > least > upper > secondary > educational > attainment > age > group,2,0,2,True,"At least upper secondary educational attainment, age group 20-24 by sex | At least upper secondary educational attainment, age group 25-64 by sex"
60,1,0,1,20 24 by sex,at > least > upper > secondary > educational > attainment > age > group > 20 > 24 > by > sex,0,1,1,False,"At least upper secondary educational attainment, age group 20-24 by sex"
60,2,0,1,25 64 by sex,at > least > upper > secondary > educational > attainment > age > group > 25 > 64 > by > sex,0,1,1,False,"At least upper secondary educational attainment, age group 25-64 by sex"
61,0,-1,0,most lower secondary educational attainment by age,at > most > lower > secondary > educational > attainment > by > age,0,1,1,False,At most lower secondary educational attainment by age
62,0,-1,0,risk of poverty,at > risk > of > poverty,3,0,26,True,At risk of poverty or social exclusion rate for elderly (65+) | At-risk-of poverty rate | At risk-of-poverty rate for the population living in (quasi-)jobless households
62,1,0,1,or social exclusion rate for elderly 65,at > risk > of > poverty > or > social > exclusion > rate > for > elderly > 65,0,1,1,False,At risk of poverty or social exclusion rate for elderly (65+)
62,2,0,1,rate,at > risk > of > poverty > rate,6,1,23,True,At-risk-of poverty rate | At risk-of-poverty rate for the population living in (quasi-)jobless households | At-risk-of poverty rate for adults (aged 25 to 59 years) by educational attainment level of their parents
62,3,2,2,for,at > risk > of > poverty > rate > for,4,0,7,True,At risk-of-poverty rate for the population living in (quasi-)jobless households | At-risk-of poverty rate for adults (aged 25 to 59 years) by educational attainment level of their parents | At-risk-of poverty rate for adults (aged 25 to 59 years) by level of financial situation of their households when respondent was around 14 years old
62,4,3,3,the population living in quasi jobless households,at > risk > of > poverty > rate > for > the > population > living > in > quasi > jobless > households,0,1,1,False,At risk-of-poverty rate for the population living in (quasi-)jobless households
62,5,3,3,adults aged 25 to 59 years by,at > risk > of > poverty > rate > for > adults > aged > 25 > to > 59 > years > by,2,0,2,True,At-risk-of poverty rate for adults (aged 25 to 59 years) by educational attainment level of their parents | At-risk-of poverty rate for adults (aged 25 to 59 years) by level of financial situation of their households when respondent was around 14 years old
62,6,5,4,educational attainment level of their parents,at > risk > of > poverty > rate > for > adults > aged > 25 > to > 59 > years > by > educational > attainment > level > of > their > parents,0,1,1,False,At-risk-of poverty rate for adults (aged 25 to 59 years) by educational attainment level of their parents
62,7,5,4,level of financial situation of their households when respondent was around 14 years old,at > risk > of > poverty > rate > for > adults > aged > 25 > to > 59 > years > by > level > of > financial > situation > of > their > households > when > respondent > was > around > 14 > years > old,0,1,1,False,At-risk-of poverty rate for adults (aged 25 to 59 years) by level of financial situation of their households when respondent was around 14 years old
62,8,3,3,children,at > risk > of > poverty > rate > for > children,2,0,3,True,At-risk-of poverty rate for children (aged less than 18) by sex | At-risk-of poverty rate for children by citizenship of their parents (population aged 0 to 17 years) | At-risk-of poverty rate for children by country of birth of their parents (population aged 0 to 17 years)
62,9,8,4,aged less than 18 by sex,at > risk > of > poverty > rate > for > children > aged > less > than > 18 > by > sex,0,1,1,False,At-risk-of poverty rate for children (aged less than 18) by sex
62,10,8,4,by,at > risk > of > poverty > rate > for > children > by,2,0,2,True,At-risk-of poverty rate for children by citizenship of their parents (population aged 0 to 17 years) | At-risk-of poverty rate for children by country of birth of their parents (population aged 0 to 17 years)
62,11,10,5,citizenship of their parents population aged 0 to 17 years,at > risk > of > poverty > rate > for > children > by > citizenship > of > their > parents > population > aged > 0 > to > 17 > years,0,1,1,False,At-risk-of poverty rate for children by citizenship of their parents (population aged 0 to 17 years)
62,12,10,5,country of birth of their parents population aged 0 to 17 years,at > risk > of > poverty > rate > for > children > by > country > of > birth > of > their > parents > population > aged > 0 > to > 17 > years,0,1,1,False,At-risk-of poverty rate for children by country of birth of their parents (population aged 0 to 17 years)
62,13,3,3,pensioners eu silc survey,at > risk > of > poverty > rate > for > pensioners > eu > silc > survey,0,1,1,False,At-risk-of-poverty rate for pensioners - EU-SILC survey
62,14,2,2,of,at > risk > of > poverty > rate > of,3,0,3,True,At-risk of poverty rate of unemployed persons | At-risk-of-poverty rate of elderly people by tenure status - EU-SILC survey | At-risk-of-poverty rate of older people by sex - EU-SILC survey
62,15,14,3,elderly people by tenure status eu silc survey,at > risk > of > poverty > rate > of > elderly > people > by > tenure > status > eu > silc > survey,0,1,1,False,At-risk-of-poverty rate of elderly people by tenure status - EU-SILC survey
62,16,14,3,older people by sex eu silc survey,at > risk > of > poverty > rate > of > older > people > by > sex > eu > silc > survey,0,1,1,False,At-risk-of-poverty rate of older people by sex - EU-SILC survey
62,17,2,2,by,at > risk > of > poverty > rate > by,6,0,6,True,At-risk-of poverty rate by household type - EU-SILC survey | At-risk-of poverty rate by tenure status - EU-SILC survey | At-risk-of-poverty rate by NUTS 2 regions
62,18,17,3,household type eu silc survey,at > risk > of > poverty > rate > by > household > type > eu > silc > survey,0,1,1,False,At-risk-of poverty rate by household type - EU-SILC survey
62,19,17,3,tenure status eu silc survey,at > risk > of > poverty > rate > by > tenure > status > eu > silc > survey,0,1,1,False,At-risk-of poverty rate by tenure status - EU-SILC survey
62,20,17,3,poverty threshold age and sex eu silc and echp surveys,at > risk > of > poverty > rate > by > poverty > threshold > age > and > sex > eu > silc > and > echp > surveys,0,1,1,False,"At-risk-of-poverty rate by poverty threshold, age and sex - EU-SILC and ECHP surveys"
62,21,17,3,sex,at > risk > of > poverty > rate > by > sex,0,1,1,False,At-risk-of-poverty rate by sex
62,22,17,3,highest level of education attained,at > risk > of > poverty > rate > by > highest > level > of > education > attained,0,1,1,False,"At-risk-of-poverty-rate, by highest level of education attained"
62,23,2,2,after,at > risk > of > poverty > rate > after,2,0,2,True,At-risk-of-poverty rate after deducting housing costs by degree of urbanisation | At-risk-of-poverty rate after social transfers by sex
62,24,2,2,anchored at a fixed moment in time by,at > risk > of > poverty > rate > anchored > at > a > fixed > moment > in > time > by,2,0,3,True,At-risk-of-poverty rate anchored at a fixed moment in time by age and sex - EU-SILC survey | At-risk-of-poverty rate anchored at a fixed moment in time by age group - EU-SILC survey | At-risk-of-poverty rate anchored at a fixed moment in time by sex - EU-SILC survey
62,25,24,3,age,at > risk > of > poverty > rate > anchored > at > a > fixed > moment > in > time > by > age,2,0,2,True,At-risk-of-poverty rate anchored at a fixed moment in time by age and sex - EU-SILC survey | At-risk-of-poverty rate anchored at a fixed moment in time by age group - EU-SILC survey
62,26,25,4,and sex eu silc survey,at > risk > of > poverty > rate > anchored > at > a > fixed > moment > in > time > by > age > and > sex > eu > silc > survey,0,1,1,False,At-risk-of-poverty rate anchored at a fixed moment in time by age and sex - EU-SILC survey
62,27,25,4,group eu silc survey,at > risk > of > poverty > rate > anchored > at > a > fixed > moment > in > time > by > age > group > eu > silc > survey,0,1,1,False,At-risk-of-poverty rate anchored at a fixed moment in time by age group - EU-SILC survey
62,28,24,3,sex eu silc survey,at > risk > of > poverty > rate > anchored > at > a > fixed > moment > in > time > by > sex > eu > silc > survey,0,1,1,False,At-risk-of-poverty rate anchored at a fixed moment in time by sex - EU-SILC survey
62,29,2,2,before social transfers by sex eu silc survey,at > risk > of > poverty > rate > before > social > transfers > by > sex > eu > silc > survey,0,1,1,False,At-risk-of-poverty rate before social transfers by sex - EU-SILC survey
