code,measure
cei_cie012,Private investment and gross added value related to circular economy sectors
cei_cie020,Patents related to recycling and secondary raw materials
cei_gsr011,Greenhouse gases emissions from production activities
cei_gsr020,self-sufficiency for raw materials
cei_gsr030,Material import dependency
cei_pc020,Material footprint
cei_pc030,Resource productivity
cei_pc031,Generation of municipal waste per capita
cei_pc032,Generation of waste excluding major mineral wastes per GDP unit
cei_pc034,Waste generation per capita
cei_pc035,Food waste
cei_pc040,Generation of packaging waste per capita
cei_pc050,Generation of plastic packaging waste per capita
cei_srm010,Contribution of recycled materials to raw materials demand - end-of-life recycling input rates (EOL-RIR)
cei_wm010,Recycling rate of all waste excluding major mineral waste
cei_wm011,Recycling rate of municipal waste
cei_wm020,Recycling rate of packaging waste by type of packaging
cei_wm060,Recycling rate of waste of electrical and electronic equipment (WEEE) separately collected
cens_01ndbuild,"Dwellings by type of ownership, type of building and occupancy status"
cens_01ndcomf,Occupied conventional dwellings by presence of comfort characteristics
cens_01ndquart_hd,Private households by type of housing
cens_01ndquart_lq,Living quarters by type of housing
cens_01ndquart_oc,Occupants by type of housing
cens_91dame,Occupied conventional dwellings by tenure status and amenities
cens_91down,"Occupied conventional dwellings by households, by number of rooms"
cens_91dper,Occupied conventional dwellings by tenure status and period of construction
cens_91hnnch,Family nuclei by number of children
cens_91hpnper,Household composition by size
cens_91typb,Housing units by type of building
cens_91typl,Housing units by type
cens_hndwnr,Occupied conventional dwellings by number of rooms
cens_hndwsize,Households by size (number of persons)
crim_crt_per,Persons brought before criminal courts by legal status of the court process
crim_hist,Crimes recorded by the police
crim_hom_city,Crimes recorded by the police: homicide in cities
crim_hom_ocit,Intentional homicide offences in largest cities
crim_hom_vcit,Intentional homicide victims in largest cities by sex
crim_just_bri,Bribery by legal status and sex of the person involved
crim_off_cat$dv_1401,Police-recorded offences by offence category
crim_off_cat$dv_348,Police-recorded offences by offence category
crim_plce,Police officers
crim_pris_cap,Prison capacity and number of persons held
crim_pris_ctz,Prisoners by citizenship
crim_pris_pop,Prison population
crim_pris_tri,Prisoners by legal status of the trial process
crim_smu_sctz,Suspects of migrant smuggling by citizenship
crim_thb_sex$dv_1641,Persons involved in trafficking in human beings by legal status and sex
crim_thb_vctz,Victims of trafficking in human beings by citizenship
crim_thb_vctz$dv_1643,Victims of trafficking in human beings by citizenship
crim_thb_vexp,Victims of trafficking in human beings by all forms of exploitation
cult_emp_art,"Persons working as creative and performing artists, authors, journalists and linguists"
cult_emp_sex,Cultural employment by sex
cult_pcs_nws,Persons reading newspapers in the last 12 months by sex
cult_pcs_qnt,Mean consumption expenditure of private households on cultural goods and services by income quintile
demo_fabortind,Abortion indicators
demo_magec$dv_1942,Deaths by age and sex
demo_mexrt,Excess mortality by month
demo_mlexpec$dv_292,Life expectancy by age and sex
demo_popep,Persons eligible to vote in the European Parliament elections by category of voters - dedicated data collection
demo_popmdctb,Median age of residents by sex and country of birth
demo_r_find3$dv_1541,Fertility indicators by NUTS 3 region
demo_r_gind3$dv_1542,Population change - Demographic balance and crude rates at regional level (NUTS 3)
demo_r_pjanind3$dv_1561,Population structure indicators by NUTS 3 region
demo_urespop,Usually resident population on 1 January
dsb_sprpb01,Beneficiaries of disability pensions by pension type
dsb_sprpb02,Beneficiaries of disability pensions by sex
earn_gr_goeg,Gender overall earnings gap
earn_gr_gpgr2ag,"Gender pay gap in unadjusted form by age - NACE Rev. 2 activity (B-S except O), structure of earnings survey methodology"
earn_gr_gpgr2ct,"Gender pay gap in unadjusted form by type of ownership of the economic activity - NACE Rev. 2 activity (B-S except O), structure of earnings survey methodology"
earn_gr_gpgr2wt,"Gender pay gap in unadjusted form by working time - NACE Rev. 2 activity (B-S except O), structure of earnings survey methodology"
earn_gr_hgpg,Gender pay gap in unadjusted form -
earn_mw_avgr1,Monthly minimum wage as a proportion of average monthly earnings (%) - NACE Rev. 1.1
earn_mw_avgr2,Monthly minimum wage as a proportion of average monthly earnings (%) - NACE Rev. 2 (from onwards)
earn_nt_lowwtrp,Tax rate on low wage earners - Low wage trap
earn_nt_netft,Annual net earnings of a full-time single worker without children earning an average wage
earn_nt_taxwedge,Tax rate on low wage earners: Tax wedge on labour costs
earn_nt_unemtrp,Tax rate on low wage earners - Unemployment trap
earn_ses06_rann,"Mean annual earnings by NUTS 1 regions (enterprises with 10 employees or more) - NACE Rev. 1.1, C-O excluding L"
earn_ses06_rhr,"Mean hourly earnings by NUTS 1 regions (enterprises with 10 employees or more) - NACE Rev. 1.1, C-O excluding L"
earn_ses10_actrl,"Annual earnings by economic control (enterprises with 10 employed persons or more) - NACE Rev. 2, B-S excluding O"
earn_ses10_adeci,"Annual earnings by quantiles and contractual working time (enterprises with 10 employed persons or more) - NACE Rev. 2, B-S excluding O"
earn_ses10_mctrl,"Monthly earnings by economic control (enterprises with 10 employed persons or more) - NACE Rev. 2, B-S excluding O"
earn_ses10_mdeci,"Monthly earnings by quantiles and contractual working time (enterprises with 10 employed persons or more) - NACE Rev. 2, B-S excluding O"
earn_ses10_rann,"Mean annual earnings by NUTS 1 regions (enterprises with 10 employees or more) - NACE Rev. 2, B-S excluding O"
earn_ses10_rhr,"Mean hourly earnings by NUTS 1 regions (enterprises with 10 employees or more) - NACE Rev. 2, B-S excluding O"
earn_ses14_actrl,"Annual earnings by economic control (enterprises with 10 employed persons or more) - NACE Rev. 2, B-S excluding O"
earn_ses14_adeci,"Annual earnings by quantiles and contractual working time (enterprises with 10 employed persons or more) - NACE Rev. 2, B-S excluding O"
earn_ses14_mctrl,"Monthly earnings by economic control (enterprises with 10 employed persons or more) - NACE Rev. 2, B-S excluding O"
earn_ses14_mdeci,"Monthly earnings by quantiles and contractual working time (enterprises with 10 employed persons or more) - NACE Rev. 2, B-S excluding O"
earn_ses14_rann,"Mean annual earnings by NUTS 1 regions (enterprises with 10 employees or more) - NACE Rev. 2, B-S excluding O"
earn_ses18_actrl,"Annual earnings by economic control (enterprises with 10 employed persons or more) - NACE Rev. 2, B-S excluding O"
earn_ses18_adeci,"Annual earnings by quantiles and contractual working time (enterprises with 10 employed persons or more) - NACE Rev. 2, B-S excluding O"
earn_ses18_mctrl,"Monthly earnings by economic control (enterprises with 10 employed persons or more) - NACE Rev. 2, B-S excluding O"
earn_ses18_rann,"Mean annual earnings by NUTS 1 regions (enterprises with 10 employees or more) - NACE Rev. 2, B-S excluding O"
earn_ses_actrl,"Annual earnings by economic control (enterprises with 10 employed persons or more) - NACE Rev. 1.1, C-O excluding L"
earn_ses_adeci,"Annual earnings by quantiles and contractual working time (enterprises with 10 employed persons or more) - NACE Rev. 1.1, C-O excluding L"
earn_ses_mctrl,"Monthly earnings by economic control (enterprises with 10 employed persons or more) - NACE Rev. 1.1, C-O excluding L"
earn_ses_mdeci,"Monthly earnings by quantiles and contractual working time (enterprises with 10 employed persons or more) - NACE Rev. 1.1, C-O excluding L"
earn_ses_pub1a,Low-wage earners as a proportion of all employees (excluding apprentices) by age
earn_ses_pub1a$dv_352,Low-wage earners as a proportion of all employees (excluding apprentices) by age
earn_ses_pub1i,Low-wage earners as a proportion of all employees (excluding apprentices) by educational attainment level
earn_ses_pub1i$dv_353,Low-wage earners as a proportion of all employees (excluding apprentices) by educational attainment level
earn_ses_pub1s,Low-wage earners as a proportion of all employees (excluding apprentices) by sex
earn_ses_pub1s$dv_354,Low-wage earners as a proportion of all employees (excluding apprentices) by sex
earn_ses_pub1t,Low-wage earners as a proportion of all employees (excluding apprentices) by employment contract
earn_ses_pub2a$dv_1880,"Median hourly earnings, all employees (excluding apprentices) by age"
earn_ses_pub2s,"Median hourly earnings, all employees (excluding apprentices) by sex"
earn_ses_pub2s$dv_1879,"Median hourly earnings, all employees (excluding apprentices) by sex"
edat_lfse_03$dv_598,"Population by educational attainment level, sex and age (%) - main indicators"
edat_lfse_14$dv_1864,Early leavers from education and training by sex and labour status
edat_lfse_14$dv_356,Early leavers from education and training by sex and labour status
edat_lfse_20$dv_1101,"Young people neither in employment nor in education and training by sex, age and labour status (NEET rates)"
edat_lfso_00t2,Employed in service sector and occupational status of recent school-leavers
edat_lfso_00t4,Parents educational attainment level
edat_lfso_00t5,Job mismatches and their labour market effects among school-leavers in Europe
educ_fiaid,Financial aid to students
educ_fiexpc,Expenditure on education in constant prices
educ_ipart$dv_437,Participation/ enrolment in education (ISCED 0-4)
educ_iste,Pupil/ student - teacher ratio and average class size (ISCED 1-3)
educ_outc_pisa,"Low achieving 15-year-olds in reading, mathematics or science by sex"
educ_uoe_enra05$dv_441,Pupils and students in education by age groups - as % of corresponding age population
educ_uoe_enra06,Pupils and students in education aged 30 and over - per 1000 of corresponding age population
educ_uoe_enra07,Expected school years of pupils and students by education level
educ_uoe_enra08,Students in post-compulsory education - as % of the total population of post-compulsory school age
educ_uoe_enra10,"Pupils from age 4 to the starting age of compulsory education at primary level, by sex - as % of the population of the corresponding age group"
educ_uoe_enra17,Pupils from age 4 to the starting age of compulsory education at primary level by NUTS2 regions - % of the population of the corresponding age
educ_uoe_enra18,Pupils from age 5 to the starting age of compulsory education at primary level by sex - % of the population of the corresponding age
educ_uoe_enra19,"Pupils aged 4 years old, by sex - as % of the population of the corresponding age group"
educ_uoe_enra20,"Pupils aged 3 years old, by sex - as % of the population of the corresponding age group"
educ_uoe_enra21,Pupils from age 3 to the starting age of compulsory education at primary level by sex - % of the population of the corresponding age
educ_uoe_enra22,Pupils from age 3 to the starting age of compulsory education at primary level by NUTS2 regions - % of the population of the corresponding age
educ_uoe_enra23,Pupils from age 0 to the starting age of compulsory education at primary level by sex - % of the population of the corresponding age
educ_uoe_enra25,Pupils under the age of 3 by sex - as % of the population of the corresponding age
educ_uoe_enra27,Out-of-school rate by sex and age - as % of the population of the corresponding age
educ_uoe_enra28,"Out-of-school rate in population of lower secondary school age, by sex"
educ_uoe_enra29,"Out-of-school rate in population of upper secondary school age, by sex"
educ_uoe_enrt05,Ratio of the proportion of tertiary students over the proportion of the population by NUTS1 and NUTS2 regions
educ_uoe_enrt08,Students in tertiary education - as % of 20-24 years old in the population
educ_uoe_fina01,Financial aid to students by education level - as % of total public expenditure
educ_uoe_fini05,Expenditure on public educational institutions - as % of total or current expenditure
educ_uoe_fini06,"Ratio of annual expenditure per student at the tertiary level and primary level of education, in public educational institutions"
educ_uoe_grad06,Graduates at doctoral level by sex and age groups - per 1000 of population aged 25-34
educ_uoe_grad07,"Graduates at doctoral level, in science, math., computing, engineering, manufacturing, construction, by sex - per 1000 of population aged 25-34"
educ_uoe_grad09,Graduates in tertiary education by education level – women per 100 men
educ_uoe_lang03,Average number of foreign languages studied per pupil by education level
educ_uoe_mobs03$dv_1126,"Share of mobile students from abroad enrolled by education level, sex and country of origin"
educ_uoe_perd04,"Female school-management personnel - as % of total school-management personnel, by education level"
educ_uoe_perd05,"Teachers working part-time - as % of all teachers, by education level"
educ_uoe_perp03,"Classroom teachers working full-time and part-time in primary, lower-secondary and upper-secondary education - as % of total active population"
educ_uoe_perp05,Ratio of pupils to teachers and teacher aides by education level and programme orientation
egi_co2_1,CO2 emissions from the production and consumption (footprint) perspectives (FIGARO application)
egi_em1,Employment in Foreign Controlled Enterprises
egi_em2,Employment in Foreign Affiliates of Domestic Enterprises
egi_em3,Share of employment in Member States supported by exports (FIGARO application)
egi_rd1,Intra-mural Business Enterprise R&D Expenditures in Foreign Controlled Enterprises
egi_so1,Enterprises sourcing abroad
egi_tr1,Export to import ratio
egi_tr2,Intermediate goods trade
egi_tr3,Trade in goods with the top 5 partners
egi_tr4,Intermediate services trade
egi_tr5,Trade in services with the top 5 partners
egi_va1,Value Added in Foreign Controlled Enterprises
egi_va2,Share of value added in Member States supported by exports (FIGARO application)
egr_conc,Concentration of multinational enterprise groups by NACE Rev.2 activity - experimental statistics
egr_emp,Persons employed in multinational enterprise groups by size class - experimental statistics
egr_mne,Multinational enterprise groups in EU-EFTA countries by controlling country - experimental statistics
egr_mne_n2sc,"Multinational enterprise groups in EU-EFTA countries by controlling country, size class and NACE Rev.2 activity - experimental statistics"
ei_bsci_m_r2,Euro-zone Business Climate Indicator - monthly data
enpe_apro_cpnh1,Crop production
enpe_apro_mt_ls,Livestock
enpe_apro_mt_p,Meat production
enpe_bop_c6_a,Balance of payments
enpe_bop_iip6,Gross external debt of the whole economy
enpe_bop_iip6_serv,"Gross external debt of the whole economy, relative to exports of goods and services"
enpe_cpi,Consumer price index
enpe_edat_lfse_03,Population aged 30-34 who completed tertiary or equivalent education
enpe_edat_lfse_14,Early leavers from education and training aged 18-24 by sex
enpe_educ_figdp,Public expenditure on education
enpe_educ_uoe_enra02,Pupils and students enrolled by education level
enpe_ef_lus_main,Main farm land use
enpe_ext_bal,Trade balance
enpe_ext_intro,Share of European Neighbourhood Policy East Countries in European Union 27 trade
enpe_fish_ca_main,Fish catches
enpe_gov_10dd,Government deficit/surplus and debt
enpe_hlth_exp,Health care expenditure as a share of GDP
enpe_ilc_di11,Income quintile share ratio - S80/S20
enpe_ilc_li01,"Relative poverty threshold after social transfers, income per month"
enpe_ilc_li09,"Proportion of persons at risk of relative poverty, before social transfers by sex"
enpe_irt_ld,Loan and deposit one year interest rate
enpe_irt_lt_gby10,Government bond yields - 10 years' maturity
enpe_irt_st,Money market interest rates
enpe_isoc_ci_ifp_fu,Frequency of internet use by individuals aged 16-74
enpe_isoc_ci_in_h,Percentage of households having internet access at home
enpe_lfsa_argaed,Activity rates by sex and age
enpe_lfsa_ergan,Employment and employment rates 20-64 years old by sex
enpe_lfsa_urgan,Unemployment rates by sex and age
enpe_lfsa_urgan2,Long-term unemployment rates by sex
enpe_mar_go,Gross weight of goods handled
enpe_mon_res,Money supply and official reserves
enpe_nama_10_a10,Gross value added by industry
enpe_nama_10_gdp,Gross domestic product at market prices
enpe_nama_10_gdp_ea,Gross domestic product at market prices by expenditure
enpe_nama_10_lp,Labour productivity in GDP (constant prices) per person employed
enpe_nama_10_pe,Employment growth (domestic concept)
enpe_nama_10_ulc,Nominal unit labour cost growth
enpe_rail_go,Goods transported
enpe_rail_if,Length of lines
enpe_rd_e_gerdfund,Gross domestic expenditure on R&D (GERD)
enpe_reg_area3,area
enpe_road_eqs_car,Passenger cars
enpe_road_go,Road freight transport
enpe_road_if,Length of roads network
enpe_road_pa,Passenger road transport
enpe_spr_exp,Social protection expenditure excluding administrative costs (including health expenditure) as a share of GDP
enpe_sts_incopr,"Industrial and construction production volume index, calendar adjusted"
enpe_sts_inppd,Domestic industrial production price index
enpe_sts_trtu,"Services turnover index, calendar adjusted"
enpe_sts_trtu1,Retail trade volume of sales index (deflated turnover)
enpe_tour_cap_nat,Number of bed places in hotels and similar accomodation
enpe_tour_dem_tttot,Departures of residents going abroad for all holidays and business
enpe_tour_occ_arnat,Arrivals of non-residents at hotels and similar accomodation establishments
enpe_wg_m,Average nominal monthly wages and salaries
enps_apro_cpnh1,Crop production
enps_apro_mt_ls,Livestock
enps_apro_mt_p,Meat production
enps_avia_fr,Freight and mail air transport (including national transport)
enps_avia_if,Number of airports
enps_avia_pa,Air passenger transport
enps_avia_typ,Commercial aircraft fleet by type of aircraft
enps_bop_iip6,Gross external debt of the whole economy
enps_cpi,Consumer price index
enps_demo_dens,Population density
enps_demo_frate1,fertility rate
enps_demo_gind,"Crude rate of birth, of dead and of population change"
enps_demo_infant,Infant mortality rate by sex
enps_demo_mlexpec,Life expectancy at birth by sex
enps_demo_nind,Mean age at first marriage by sex
enps_demo_pjangry,Average population mid-year by sex and age group
enps_demo_under5,Under 5 mortality rate by sex
enps_edat_lfse3,Population aged 20-24 who completed at least an upper secondary educational attainment level (ISCED level 3) by sex
enps_edat_lfse4,Population aged 25 and over by sex and educational attainment level
enps_educ_comprate,School completion rate at ISCED 1 level by sex
enps_educ_compyr,Number of compulsory schooling years
enps_educ_enrate,Net enrolment rates by sex and education level
enps_educ_figdp,Public expenditure on education
enps_educ_ltr,Literacy rate by sex and age group
enps_educ_parity,Gender parity index by education level
enps_ef_lus_main,Main farm land use
enps_env_air_emis,Air pollutants
enps_env_wasacc,Population served by municipal waste
enps_env_wasgenh,Generation of waste by households
enps_env_wasgenm,Municipal waste generated
enps_env_wasgenp,Municipal waste per inhabitant
enps_env_wastrt,Treatment of municipal waste
enps_env_wat_abs,Annual freshwater abstraction by source
enps_env_wat_cat,Water use by economic activity
enps_env_wat_cov,Population connected to public water supply
enps_env_ww_con,Population connected to wastewater collection and treatment systems
enps_fish_aq2a,Aquaculture production by aquatic environment
enps_fish_ca_main,Fish catches by fishing areas
enps_gov_10dd,Government deficit/surplus and debt
enps_gov_10dde,economy deficit/surplus
enps_ilc_di11,Income quintile share ratio - S80/S20
enps_ilc_natln,Poverty headcount ratio by sex: proportion of persons below the national poverty line
enps_ilc_sanit,Households with sustainable access to improved sanitation by simplified degree of urbanisation
enps_ilc_secure,Households with access to secure tenure by simplified degree of urbanisation
enps_lfsa_argaed,Activity rates 15-64 years old by sex
enps_lfsa_egaps,Employment by professional status
enps_lfsa_ergan,Employment rates 15-64 years old by sex
enps_lfsa_pganws,employment by age group
enps_lfsa_urgan,Unemployment rates by sex and age
enps_mar_eq1000,Number of ships of 1000 grt and over by type
enps_mar_eq300,Number of ships of 300 grt and over
enps_mar_eqton,Carrying capacity of merchant ships of 1000 grt and over by vessel type
enps_mar_frdir,Gross weight of goods handled in all ports by direction
enps_mar_padir,Passengers embarked and disembarked (excluding cruises) in all ports by direction
enps_mar_por,Number of principal ports
enps_nama_10_a10,Gross value added by industry
enps_nama_10_gdp,Gross domestic product at market prices
enps_nama_10_gdp_ea,Gross domestic product at market prices by expenditure
enps_nrg_bal_c,Energy balance
enps_nrg_bal_c1,Final energy consumption by sector
enps_rail_eq,Number of railway vehicles per type
enps_rail_fr,Rail freight traffic
enps_rail_if,Length of network
enps_rail_pa,Rail passenger traffic
enps_reg_area3,area
enps_road_eqs_car,Stock of vehicles by category
enps_road_go,Road freight transport
enps_road_if,Length of roads network
enps_tour_border,Arrivals of tourists at the border
enps_tour_cap_nat,Tourism infrastructure
enps_tour_cap_natb,Number of bed places in hotels and similar accommodation
enps_tour_dem_tttot,Departures of residents going abroad for all holidays and business
enps_tour_occ_arnat,Arrivals at tourism accommodation establishments by type of accommodation
enps_tour_occ_ninat,Nights spent at tourism accommodation establishments
enps_tran_sf_r,Persons killed in road accidents
env_ac_cur,Circular material use rate
env_ac_curm,Circular material use rate by material type
env_ac_egss3,"Production, value added and employment by industry groups in the environmental goods and services sector"
env_ac_epite,Environmental protection investments of total economy
env_ac_epite1,Environmental protection investments of total economy
env_ac_landfp,Land use footprints
env_ac_mid,Material import dependency
env_ac_rp,Resource productivity
env_air_no2,"Nitrogen dioxide concentrations in European capital cities - monthly averages, experimental statistics"
env_bio1,Natura protected areas
env_bio2,Common farmland bird index
env_bio3,Common bird indices by type of estimate
env_bio4,Protected areas
env_bio5,Proportion of fish stocks sustainably exploited
env_chmhaz,Production and consumption of chemicals by hazard class
env_waspb,Sales and collection of portable batteries and accumulators
env_waspcb,Consumption of lightweight plastic carrier bags by their wall thickness
env_wat_pop,Population connected to public water supply
eq_fer05,Live births
eq_mor06,Deaths by sex
eq_pop02,Population structure by sex
eq_pop03,Population structure by detailed age group
eq_pop04,Median age by sex
ert_bil_conv_a,Conversion factors for euro fixed series into euro/ECU - annual data
ert_bil_eur_a$dv_841,Euro/ECU exchange rates - annual data
ert_bil_eur_a$dv_861,Euro/ECU exchange rates - annual data
ert_h_eur_a,Former euro area national currencies vs. euro/ECU - annual data
ext_ser_bec01,Services trade by broad economic categories (BEC Rev.5)
fish_ca_pac61,Catches - north-west Pacific
fish_ca_pac71,Catches - west-central Pacific
for_area,Area of wooded land FE)
for_awu,Annual work units in forestry and logging
for_profnc,Protective functions of forests
for_protect,Protected forests
for_secwpp,"Secondary wood products, production"
for_vol,Volume of timber FE)
gba_nabste,Share of GBARD in total general government expenditure
gbv_any_age,"Women who have experienced violence by any perpetrator, by age group"
gbv_any_cnq,Women who have experienced violence by any perpetrator and consequences of violence
gbv_any_cob,"Women who have experienced violence by any perpetrator, by country of birth"
gbv_any_du,"Women who have experienced violence by any perpetrator, by degree of urbanisation"
gbv_any_ed,"Women who have experienced violence by any perpetrator, by level of education"
gbv_any_frq,"Women who have experienced violence by any perpetrator, by type and frequency of violence"
gbv_any_lim,"Women who have experienced violence by any perpetrator, by level of disability (activity limitation)"
gbv_any_occ,"Women who have experienced violence by any perpetrator, by occurrence of the last episode"
gbv_any_rp,"Women who have experienced violence by any perpetrator, by person/support service to whom violence was reported"
gbv_any_type,"Women who have experienced violence by any perpetrator, by type of violence"
gbv_awr_leg,"Women as victims/non-victims of violence, by awareness of free legal aid"
gbv_awr_serv,"Women as victims/non-victims of violence, by awareness of the existence of support services"
gbv_ch_age,"Women who have experienced sexual violence during childhood, by age group"
gbv_ch_perp,"Women who have experienced sexual violence during childhood, by type of perpetrator"
gbv_ch_rp,"Women who have experienced sexual violence during childhood, by person/support service to whom violence was reported"
gbv_dv_age,"Women who have experienced violence by a domestic perpetrator, by age group"
gbv_dv_cob,"Women who have experienced violence by a domestic perpetrator, by country of birth"
gbv_dv_du,"Women who have experienced violence by a domestic perpetrator, by degree of urbanisation"
gbv_dv_ed,"Women who have experienced violence by a domestic perpetrator, by level of education"
gbv_dv_lim,"Women who have experienced violence by a domestic perpetrator, by level of disability (activity limitation)"
gbv_dv_occ,"Women who have experienced violence by a domestic perpetrator, by occurrence of the last episode"
gbv_dv_type,"Women who have experienced violence by a domestic perpetrator, by type of violence"
gbv_ipv_age,"Ever-partnered women who have experienced violence by an intimate partner, by age group"
gbv_ipv_cnq,Ever-partnered women who have experienced violence by an intimate partner and consequences of violence
gbv_ipv_cob,"Ever-partnered women who have experienced violence by an intimate partner, by country of birth"
gbv_ipv_comm,Perception of women as victims/non-victims of intimate partner violence by commonness of this violence against women
gbv_ipv_du,"Ever-partnered women who have experienced violence by an intimate partner, by degree of urbanisation"
gbv_ipv_ed,"Ever-partnered women who have experienced violence by an intimate partner, by level of education"
gbv_ipv_frq,"Ever-partnered women who have experienced violence by an intimate partner, by type and frequency of violence"
gbv_ipv_lim,"Ever-partnered women who have experienced violence by an intimate partner, by level of disability (activity limitation)"
gbv_ipv_occ,"Ever-partnered women who have experienced violence by an intimate partner, by occurrence of the last episode"
gbv_ipv_rp,"Ever-partnered women who have experienced violence by an intimate partner, by person/support service to whom violence was reported"
gbv_ipv_type,"Ever-partnered women who have experienced violence by an intimate partner, by type of violence"
gbv_npv_age,"Women who have experienced violence by a non-partner, by age group"
gbv_npv_cnq,Women who have experienced violence by a non-partner and consequences of violence
gbv_npv_cob,"Women who have experienced violence by a non-partner, by country of birth"
gbv_npv_du,"Women who have experienced violence by a non-partner, by degree of urbanisation"
gbv_npv_ed,"Women who have experienced violence by a non-partner, by level of education"
gbv_npv_frq,"Women who have experienced violence by a non-partner, by type and frequency of violence"
gbv_npv_lim,"Women who have experienced violence by a non-partner, by level of disability (activity limitation)"
gbv_npv_occ,"Women who have experienced violence by a non-partner, by occurrence of the last episode"
gbv_npv_perp,"Women who have experienced violence by a non-partner, by type of perpetrator"
gbv_npv_rp,"Women who have experienced violence by a non-partner, by person/support service to whom violence was reported"
gbv_npv_type,"Women who have experienced violence by a non-partner, by type of violence"
gbv_shw_age,"Ever-working women who have experienced sexual harassment at work, by age group"
gbv_shw_comm,Perception of ever-working women as victims/non-victims of sexual harassment at work by commonness of harassment
gbv_shw_frq,"Ever-working women who have experienced sexual harassment at work, by frequency"
gbv_shw_occ,"Ever-working women who have experienced sexual harassment at work, by occurrence of the last episode"
gbv_shw_perp,"Ever-working women who have experienced sexual harassment at work, by type of male perpetrator"
gbv_shw_rp,"Ever-working women who have experienced sexual harassment at work, by person/support service to whom violence was reported during last year"
gbv_st_age,"Women who have experienced stalking, by age group"
gbv_st_cnq,"Women who have experienced stalking, by consequences of violence"
gbv_st_occ,"Women who have experienced stalking, by occurrence of the last episode"
gbv_st_perp,"Women who have experienced stalking, by type of perpetrator"
gbv_st_rp,"Women who have experienced stalking, by person/support service to whom violence was reported"
gov_10a_emp,General government employment
gov_10dd_acd,Apparent cost of general government gross debt
gov_eu_debt,Debt of the institutions
gov_eu_fa,Financial accounts for institutions
gov_eu_nfa,Non-financial accounts for institutions
gov_gb,"Stock of general government debt security liabilities issued as 'green bonds' - one-off data collection, experimental statistics"
hbs_exp_t111,Mean consumption expenditure per household and per adult equivalent
hbs_exp_t132,Mean consumption expenditure by number of active persons
hlth_cd_acdr2$dv_1145,Causes of death - crude death rate by NUTS 2 region of residence
hlth_cd_aperrto,"Fetal, peri- and neonatal mortality rates by country of occurrence"
hlth_cd_apyll,Causes of death - potential years of life lost by residence
hlth_cd_dar,Deaths of residents related to dementias including Alzheimer
hlth_cd_iap,Health impacts of air pollution
hlth_co_bedoc,Inpatient curative care bed occupancy rate by type of care
hlth_co_dischnr,"Non-residents among all hospital discharges, %"
hlth_co_ren,End-stage renal failure (ESRF) patients – historical data
hlth_db_emasne,Percentage distribution of assistance needed by not employed disabled people by sex
hlth_db_emasnt,Percentage distribution of types of assistance needed by not employed disabled people by sex
hlth_db_emaspr,Percentage distribution of assistance provided to employed disabled people by sex
hlth_db_emaspt,Percentage distribution of types of assistance provided to employed disabled people by sex
hlth_dhc140$dv_2681,"Inability to keep home adequately warm by level of disability (activity limitation), sex and age"
hlth_ehis_al1e$dv_1142,"Frequency of alcohol consumption by sex, age and educational attainment level"
hlth_ehis_al3e$dv_450,"Frequency of heavy episodic drinking by sex, age and educational attainment level"
hlth_ehis_al3i$dv_461,"Frequency of heavy episodic drinking by sex, age and income quintile"
