domain,code,measure
Environment & Natural Resources and Production,enps_env_wat_cat,Water use by economic activity
Environment & Natural Resources and Production,enps_fish_aq2a,Aquaculture production by aquatic environment
Environment & Natural Resources and Production,enps_fish_ca_main,Fish catches by fishing areas
Environment & Natural Resources and Production,enps_nrg_bal_c1,Final energy consumption by sector
Environment & Natural Resources and Production,enps_reg_area3,area
Environment & Natural Resources and Production,env_ac_cur,Circular material use rate
Environment & Natural Resources and Production,env_ac_curm,Circular material use rate by material type
Environment & Natural Resources and Production,env_ac_epite,Environmental protection investments of total economy
Environment & Natural Resources and Production,env_ac_epite1,Environmental protection investments of total economy
Environment & Natural Resources and Production,env_ac_landfp,Land use footprints
Environment & Natural Resources and Production,env_ac_rp,Resource productivity
Environment & Natural Resources and Production,env_air_no2,"Nitrogen dioxide concentrations in European capital cities - monthly averages, experimental statistics"
Environment & Natural Resources and Production,env_bio1,Natura protected areas
Environment & Natural Resources and Production,env_bio2,Common farmland bird index
Environment & Natural Resources and Production,env_bio3,Common bird indices by type of estimate
Environment & Natural Resources and Production,env_bio4,Protected areas
Environment & Natural Resources and Production,env_bio5,Proportion of fish stocks sustainably exploited
Environment & Natural Resources and Production,env_chmhaz,Production and consumption of chemicals by hazard class
Environment & Natural Resources and Production,env_waspcb,Consumption of lightweight plastic carrier bags by their wall thickness
Environment & Natural Resources and Production,fish_ca_pac61,Catches - north-west Pacific
Environment & Natural Resources and Production,fish_ca_pac71,Catches - west-central Pacific
Environment & Natural Resources and Production,for_area,Area of wooded land FE)
Environment & Natural Resources and Production,for_awu,Annual work units in forestry and logging
Environment & Natural Resources and Production,for_profnc,Protective functions of forests
Environment & Natural Resources and Production,for_protect,Protected forests
Environment & Natural Resources and Production,for_secwpp,"Secondary wood products, production"
Environment & Natural Resources and Production,for_vol,Volume of timber FE)
Environment & Natural Resources and Production,lan_lcv_arti,Land covered by artificial surfaces - index
Environment & Natural Resources and Production,med_ag2,Crop production
Environment & Natural Resources and Production,med_ag31,Meat (total production)
Environment & Natural Resources and Production,med_ag32,Annual production and utilisation of milk on the farm
Environment & Natural Resources and Production,med_ag33,Livestock in number of heads
Environment & Natural Resources and Production,med_ag34,Poultry farming
Environment & Natural Resources and Production,med_ag41,Annual captures of fish - live weight in tonnes - by fishing areas
Environment & Natural Resources and Production,med_ag42,Annual aquaculture production - live weight in tonnes
Environment & Natural Resources and Production,med_ag50,Economic accounts for agriculture (EAA)
Environment & Natural Resources and Production,med_eg10,Primary energy production
Environment & Natural Resources and Production,med_eg20,Secondary energy production (transformation)
Environment & Natural Resources and Production,med_eg_all,Energy - historical data former methodology and source)
Environment & Natural Resources and Production,med_en1,GHG (Green House Gases) emissions
Environment & Natural Resources and Production,med_en2,Air emissions per sector and per gas
Environment & Natural Resources and Production,med_en21,Municipal waste
Environment & Natural Resources and Production,med_en22,Generation of waste by sector
Environment & Natural Resources and Production,med_en23,Composition of municipal waste
Environment & Natural Resources and Production,med_en24,Treatment and disposal facilities
Environment & Natural Resources and Production,med_en25,Management of waste
Environment & Natural Resources and Production,med_en3,Local pollution
Environment & Natural Resources and Production,med_en41,Renewable freshwater resources
Environment & Natural Resources and Production,med_en42,Water use balance
Environment & Natural Resources and Production,med_en43,Freshwater abstraction
Environment & Natural Resources and Production,med_en44,Water supplied and used by economic sectors
Environment & Natural Resources and Production,med_en46,Urban wastewater treatment
Environment & Natural Resources and Production,med_en51,Protected areas
Environment & Natural Resources and Production,med_en52,Number of known species
Environment & Natural Resources and Production,med_en53,Percentage of threatened species
Environment & Natural Resources and Production,med_en61,Landuse
Environment & Natural Resources and Production,med_en62,Forest and irrigated land
Environment & Natural Resources and Production,med_en63,Erosion
Environment & Natural Resources and Production,nrg_125m,Imports - electricity - monthly data
Environment & Natural Resources and Production,nrg_bal_s$dv_650,Simplified energy balances
Environment & Natural Resources and Production,nrg_chdd_a,Cooling and heating degree days by country - annual data
Environment & Natural Resources and Production,nrg_d_sercv,Disaggregated final energy consumption in services – calorific values
Environment & Natural Resources and Production,nrg_dhdc_e,"Energy removed from district networks by customers, type of networks and efficiency of network"
Environment & Natural Resources and Production,nrg_ind_di,Diversity index of energy supply
Environment & Natural Resources and Production,nrg_ind_esr,Energy self-reliance
Environment & Natural Resources and Production,nrg_ind_ffgae,Share of fossil fuels in gross available energy
Environment & Natural Resources and Production,nrg_ind_id3cf,Import dependency on third countries by fuel type
Environment & Natural Resources and Production,nrg_ind_idogas,Natural gas import dependency by country of origin
Environment & Natural Resources and Production,nrg_ind_ren,Share of energy from renewable sources
Environment & Natural Resources and Production,nrg_inf_stcs,Solar thermal collectors' surface
Environment & Natural Resources and Production,nrg_pc_202_v,Household consumption volumes of gas by consumption bands
Environment & Natural Resources and Production,nrg_pc_203_v,Non-household consumption volumes of gas by consumption bands
Environment & Natural Resources and Production,nrg_pc_204_v,Household consumption volumes of electricity by consumption bands
Environment & Natural Resources and Production,nrg_pc_205_v,Non-household consumption volumes of electricity by consumption bands
Environment & Natural Resources and Production,nrg_pc_206,Share for transmission and distribution in the network cost for gas and electricity - annual data
Environment & Natural Resources and Production,orch_grapes3,Table grape vines - Area by age and density classes (area in ha)
Environment & Natural Resources and Production,orch_olives1,Olive trees - Area by age classes (area in ha)
Environment & Natural Resources and Production,orch_olives2,Olive trees - Area by density classes (area in ha)
Environment & Natural Resources and Production,orch_olives3,Olive trees - Area by age and density classes (area in ha)
Environment & Natural Resources and Production,orch_total,area by species (area in ha)
Environment & Natural Resources and Production,org_aprod_h,Organic production of animal products (until
Environment & Natural Resources and Production,org_aqtspec,Organic production of aquaculture products
Environment & Natural Resources and Production,org_cropar_h2,Share of organic crop area out of the total utilised agricultural area (UAA) (until
Environment & Natural Resources and Production,pipe_ec_ent,Oil pipeline enterprises
Environment & Natural Resources and Production,pipe_ec_invest,Investment and maintenance in oil pipeline infrastructure
Environment & Natural Resources and Production,sdg_02_20,Agricultural real factor income per annual work unit (AWU)
Environment & Natural Resources and Production,sdg_02_30,Government support to agricultural research and development
Environment & Natural Resources and Production,sdg_02_40,Area under organic farming
Environment & Natural Resources and Production,sdg_02_53,Use and risk of chemical pesticides
Environment & Natural Resources and Production,sdg_02_60,Ammonia emissions from agriculture
Environment & Natural Resources and Production,sdg_06_30,Biochemical oxygen demand in rivers
Environment & Natural Resources and Production,sdg_06_40,Nitrate in groundwater
Environment & Natural Resources and Production,sdg_06_50,Phosphate in rivers
Environment & Natural Resources and Production,sdg_06_60,"Water exploitation index, plus (WEI+)"
Environment & Natural Resources and Production,sdg_07_10,Primary energy consumption
Environment & Natural Resources and Production,sdg_07_11,Final energy consumption
Environment & Natural Resources and Production,sdg_07_20,Final energy consumption in households per capita
Environment & Natural Resources and Production,sdg_07_40,Share of renewable energy in gross final energy consumption by sector
Environment & Natural Resources and Production,sdg_07_50,Energy import dependency by products
Environment & Natural Resources and Production,sdg_09_70,Air emission intensity from industry
Environment & Natural Resources and Production,sdg_11_32,Soil sealing index
Environment & Natural Resources and Production,sdg_11_60,Recycling rate of municipal waste
Environment & Natural Resources and Production,sdg_12_10,Consumption of chemicals by hazardousness - aggregate
Environment & Natural Resources and Production,sdg_12_21,Raw material consumption (RMC)
Environment & Natural Resources and Production,sdg_12_31,Consumption footprint – single weighted score
Environment & Natural Resources and Production,sdg_12_51,Generation of waste by hazardousness
Environment & Natural Resources and Production,sdg_13_31,Average CO2 emissions per km from new passenger cars (source: DG CLIMA) - HIDDEN DAT
Environment & Natural Resources and Production,sdg_13_60,Population covered by the Covenant of Mayors for Climate & Energy signatories
Environment & Natural Resources and Production,sdg_14_10,Surface of the marine protected areas
Environment & Natural Resources and Production,sdg_14_21,"Estimated trends in fish stock biomass, by fishing areas"
Environment & Natural Resources and Production,sdg_14_30,"Estimated trends in fishing pressure, by fishing area"
Environment & Natural Resources and Production,sdg_14_40,Bathing sites with excellent water quality by location
Environment & Natural Resources and Production,sdg_14_50,Global mean surface seawater acidity
Environment & Natural Resources and Production,sdg_14_60,Marine waters affected by eutrophication
Environment & Natural Resources and Production,sdg_15_10,Share of forest area
Environment & Natural Resources and Production,sdg_15_20,Surface of the terrestrial protected areas
Environment & Natural Resources and Production,sdg_15_42,Drought impact area on ecosystems
Environment & Natural Resources and Production,sdg_15_50,Area at risk of severe soil erosion by water
Environment & Natural Resources and Production,sdg_15_60,Common bird index by type of species - aggregate
Environment & Natural Resources and Production,sdg_15_61,Grassland butterfly index - aggregate
Environment & Natural Resources and Production,tag00001,Agricultural holdings by agricultural area
Environment & Natural Resources and Production,tag00007,Agricultural holdings by crops
Environment & Natural Resources and Production,tag00014,Number of dairy cows
Environment & Natural Resources and Production,tag00016,Number of bovine animals
Environment & Natural Resources and Production,tag00017,Number of sheep
Environment & Natural Resources and Production,tag00018,Number of pigs
Environment & Natural Resources and Production,tag00027,"Cereals for the production of grain (including seed) by area, production and humidity"
Environment & Natural Resources and Production,tag00029,Agricultural holdings by age of holder
Environment & Natural Resources and Production,tag00037,Collection of cow's milk
Environment & Natural Resources and Production,tag00038,Production of butter
Environment & Natural Resources and Production,tag00039,Production of milk powder
Environment & Natural Resources and Production,tag00040,Production of cheese
Environment & Natural Resources and Production,tag00041,Production of milk on farms
Environment & Natural Resources and Production,tag00042,Production of pigmeat in slaughterhouses
Environment & Natural Resources and Production,tag00043,Production of poultry meat in slaughterhouses
Environment & Natural Resources and Production,tag00044,Production of bovine meat in slaughterhouses
Environment & Natural Resources and Production,tag00045,Production of sheepmeat and goat meat in slaughterhouses
Environment & Natural Resources and Production,tag00046,"Producer price indices, total agricultural production"
Environment & Natural Resources and Production,tag00047,"Wheat and spelt by area, production and humidity"
Environment & Natural Resources and Production,tag00048,"Producer price indices, crop products"
Environment & Natural Resources and Production,tag00049,"Rye and winter cereal mixtures by area, production and humidity"
Environment & Natural Resources and Production,tag00050,"Producer price indices, animals and animal products"
Environment & Natural Resources and Production,tag00051,"Barley by area, production and humidity"
Environment & Natural Resources and Production,tag00052,"Purchase price indices, total means of agricultural production"
Environment & Natural Resources and Production,tag00053,"Oats and spring cereal mixtures by area, production and humidity"
Environment & Natural Resources and Production,tag00054,Crop output - basic and producer prices
Environment & Natural Resources and Production,tag00055,Animal output - basic and producer prices
Environment & Natural Resources and Production,tag00057,Indicator A of the income from agricultural activity
Environment & Natural Resources and Production,tag00059,Selling prices of soft wheat
Environment & Natural Resources and Production,tag00060,Selling prices of barley
Environment & Natural Resources and Production,tag00061,Selling prices of oats
Environment & Natural Resources and Production,tag00062,Selling prices of maize
Environment & Natural Resources and Production,tag00063,Selling prices of main crop potatoes
Environment & Natural Resources and Production,tag00064,Selling prices of sugar beet (unit value)
Environment & Natural Resources and Production,tag00065,Selling prices of calves
Environment & Natural Resources and Production,tag00066,Selling prices of pigs (light)
Environment & Natural Resources and Production,tag00067,Selling prices of piglets
Environment & Natural Resources and Production,tag00068,Selling prices of chickens (live 1st choice)
Environment & Natural Resources and Production,tag00069,Selling prices of sheep
Environment & Natural Resources and Production,tag00070,Selling prices of raw cow's milk
Environment & Natural Resources and Production,tag00071,Selling prices of fresh eggs
Environment & Natural Resources and Production,tag00075,Aquaculture production in tonnes and value
Environment & Natural Resources and Production,tag00076,Catches in all fishing regions
Environment & Natural Resources and Production,tag00083,"Fishing fleet, total tonnage"
Environment & Natural Resources and Production,tag00093,"Grain maize and corn-cob-mix by area, production and humidity"
Environment & Natural Resources and Production,tag00094,"Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses) by area, production and humidity"
Environment & Natural Resources and Production,tag00100,"Rape, turnip rape, sunflower seeds and soya by area"
Environment & Natural Resources and Production,tag00101,"Green maize by area, production and humidity"
Environment & Natural Resources and Production,tag00103,Root crops and plants harvested green from arable land by area
Environment & Natural Resources and Production,tag00115,Fresh vegetables and strawberries by area
Environment & Natural Resources and Production,tag00116,"Fishing Fleet, Number of Vessels"
Environment & Natural Resources and Production,tag00120,Permanent crops for human consumption by area
Environment & Natural Resources and Production,tag00121,Grapes by production
Environment & Natural Resources and Production,tag00122,Olives by production
Environment & Natural Resources and Production,tag00123,Agricultural holdings by economic size of the farm (Standard Output in Euro)
Environment & Natural Resources and Production,tag00124,Agricultural holdings with livestock
Environment & Natural Resources and Production,tag00125,Agricultural holdings by age of manager
Environment & Natural Resources and Production,tai04,Final energy consumption by agriculture/forestry per hectare of utilised agricultural area
Environment & Natural Resources and Production,tai07,Ammonia emissions from agriculture - % of total emissions
Environment & Natural Resources and Production,tai08,Greenhouse gas emissions from agriculture
Environment & Natural Resources and Production,tai09,Livestock density index
Environment & Natural Resources and Production,tai10,Estimated soil loss by water erosion by land cover type
Environment & Natural Resources and Production,tai11,Share of landcover types affected by severe erosion
Environment & Natural Resources and Production,ten00001,Water resources: long-term annual average
Environment & Natural Resources and Production,ten00003,Fresh water abstraction by source per capita - m³ per capita
Environment & Natural Resources and Production,ten00006,Water abstracted by sector of use
Environment & Natural Resources and Production,ten00030,Sewage sludge production and disposal from urban wastewater (in dry substance (d.s))
Environment & Natural Resources and Production,ten00062,Recovery rates for packaging waste
Environment & Natural Resources and Production,ten00063,Recycling rates for packaging waste
Environment & Natural Resources and Production,ten00110,Waste generated by households by year and waste category
Environment & Natural Resources and Production,ten00135,National expenditure on environmental protection
Environment & Natural Resources and Production,ten00136,Environmental protection investments of total economy
Environment & Natural Resources and Production,ten00137,Domestic material consumption per capita
Environment & Natural Resources and Production,ten00138,Landfill rate of waste excluding major mineral wastes
Environment & Natural Resources and Production,vit_bs4_cy,Area under wine-grape vine varieties broken down by vine variety and by age of the vines -
Environment & Natural Resources and Production,vit_bs4_lu,Area under wine-grape vine varieties broken down by vine variety and by age of the vines -
Health & Safety,crim_crt_per,Persons brought before criminal courts by legal status of the court process
Health & Safety,crim_hist,Crimes recorded by the police
Health & Safety,crim_hom_city,Crimes recorded by the police: homicide in cities
Health & Safety,crim_hom_ocit,Intentional homicide offences in largest cities
Health & Safety,crim_hom_vcit,Intentional homicide victims in largest cities by sex
Health & Safety,crim_just_bri,Bribery by legal status and sex of the person involved
Health & Safety,crim_off_cat$dv_1401,Police-recorded offences by offence category
Health & Safety,crim_off_cat$dv_348,Police-recorded offences by offence category
Health & Safety,crim_plce,Police officers
Health & Safety,crim_pris_cap,Prison capacity and number of persons held
Health & Safety,crim_pris_ctz,Prisoners by citizenship
Health & Safety,crim_pris_pop,Prison population
Health & Safety,crim_pris_tri,Prisoners by legal status of the trial process
Health & Safety,crim_smu_sctz,Suspects of migrant smuggling by citizenship
Health & Safety,crim_thb_sex$dv_1641,Persons involved in trafficking in human beings by legal status and sex
Health & Safety,crim_thb_vctz,Victims of trafficking in human beings by citizenship
Health & Safety,crim_thb_vctz$dv_1643,Victims of trafficking in human beings by citizenship
Health & Safety,crim_thb_vexp,Victims of trafficking in human beings by all forms of exploitation
Health & Safety,demo_fabortind,Abortion indicators
Health & Safety,demo_magec$dv_1942,Deaths by age and sex
Health & Safety,demo_mexrt,Excess mortality by month
Health & Safety,demo_mlexpec$dv_292,Life expectancy by age and sex
Health & Safety,enpe_hlth_exp,Health care expenditure as a share of GDP
Health & Safety,enps_demo_infant,Infant mortality rate by sex
Health & Safety,enps_demo_mlexpec,Life expectancy at birth by sex
Health & Safety,enps_demo_under5,Under 5 mortality rate by sex
Health & Safety,enps_tran_sf_r,Persons killed in road accidents
Health & Safety,eq_mor06,Deaths by sex
Health & Safety,gbv_any_age,"Women who have experienced violence by any perpetrator, by age group"
Health & Safety,gbv_any_cnq,Women who have experienced violence by any perpetrator and consequences of violence
Health & Safety,gbv_any_cob,"Women who have experienced violence by any perpetrator, by country of birth"
Health & Safety,gbv_any_du,"Women who have experienced violence by any perpetrator, by degree of urbanisation"
Health & Safety,gbv_any_ed,"Women who have experienced violence by any perpetrator, by level of education"
Health & Safety,gbv_any_frq,"Women who have experienced violence by any perpetrator, by type and frequency of violence"
Health & Safety,gbv_any_lim,"Women who have experienced violence by any perpetrator, by level of disability (activity limitation)"
Health & Safety,gbv_any_occ,"Women who have experienced violence by any perpetrator, by occurrence of the last episode"
Health & Safety,gbv_any_rp,"Women who have experienced violence by any perpetrator, by person/support service to whom violence was reported"
Health & Safety,gbv_any_type,"Women who have experienced violence by any perpetrator, by type of violence"
Health & Safety,gbv_awr_leg,"Women as victims/non-victims of violence, by awareness of free legal aid"
Health & Safety,gbv_awr_serv,"Women as victims/non-victims of violence, by awareness of the existence of support services"
Health & Safety,gbv_ch_age,"Women who have experienced sexual violence during childhood, by age group"
Health & Safety,gbv_ch_perp,"Women who have experienced sexual violence during childhood, by type of perpetrator"
Health & Safety,gbv_ch_rp,"Women who have experienced sexual violence during childhood, by person/support service to whom violence was reported"
Health & Safety,gbv_dv_age,"Women who have experienced violence by a domestic perpetrator, by age group"
Health & Safety,gbv_dv_cob,"Women who have experienced violence by a domestic perpetrator, by country of birth"
Health & Safety,gbv_dv_du,"Women who have experienced violence by a domestic perpetrator, by degree of urbanisation"
Health & Safety,gbv_dv_ed,"Women who have experienced violence by a domestic perpetrator, by level of education"
Health & Safety,gbv_dv_lim,"Women who have experienced violence by a domestic perpetrator, by level of disability (activity limitation)"
Health & Safety,gbv_dv_occ,"Women who have experienced violence by a domestic perpetrator, by occurrence of the last episode"
Health & Safety,gbv_dv_type,"Women who have experienced violence by a domestic perpetrator, by type of violence"
Health & Safety,gbv_ipv_age,"Ever-partnered women who have experienced violence by an intimate partner, by age group"
Health & Safety,gbv_ipv_cnq,Ever-partnered women who have experienced violence by an intimate partner and consequences of violence
Health & Safety,gbv_ipv_cob,"Ever-partnered women who have experienced violence by an intimate partner, by country of birth"
Health & Safety,gbv_ipv_comm,Perception of women as victims/non-victims of intimate partner violence by commonness of this violence against women
Health & Safety,gbv_ipv_du,"Ever-partnered women who have experienced violence by an intimate partner, by degree of urbanisation"
Health & Safety,gbv_ipv_ed,"Ever-partnered women who have experienced violence by an intimate partner, by level of education"
Health & Safety,gbv_ipv_frq,"Ever-partnered women who have experienced violence by an intimate partner, by type and frequency of violence"
Health & Safety,gbv_ipv_lim,"Ever-partnered women who have experienced violence by an intimate partner, by level of disability (activity limitation)"
Health & Safety,gbv_ipv_occ,"Ever-partnered women who have experienced violence by an intimate partner, by occurrence of the last episode"
Health & Safety,gbv_ipv_rp,"Ever-partnered women who have experienced violence by an intimate partner, by person/support service to whom violence was reported"
Health & Safety,gbv_ipv_type,"Ever-partnered women who have experienced violence by an intimate partner, by type of violence"
Health & Safety,gbv_npv_age,"Women who have experienced violence by a non-partner, by age group"
Health & Safety,gbv_npv_cnq,Women who have experienced violence by a non-partner and consequences of violence
Health & Safety,gbv_npv_cob,"Women who have experienced violence by a non-partner, by country of birth"
Health & Safety,gbv_npv_du,"Women who have experienced violence by a non-partner, by degree of urbanisation"
Health & Safety,gbv_npv_ed,"Women who have experienced violence by a non-partner, by level of education"
Health & Safety,gbv_npv_frq,"Women who have experienced violence by a non-partner, by type and frequency of violence"
Health & Safety,gbv_npv_lim,"Women who have experienced violence by a non-partner, by level of disability (activity limitation)"
Health & Safety,gbv_npv_occ,"Women who have experienced violence by a non-partner, by occurrence of the last episode"
Health & Safety,gbv_npv_perp,"Women who have experienced violence by a non-partner, by type of perpetrator"
Health & Safety,gbv_npv_rp,"Women who have experienced violence by a non-partner, by person/support service to whom violence was reported"
Health & Safety,gbv_npv_type,"Women who have experienced violence by a non-partner, by type of violence"
Health & Safety,gbv_shw_age,"Ever-working women who have experienced sexual harassment at work, by age group"
Health & Safety,gbv_shw_comm,Perception of ever-working women as victims/non-victims of sexual harassment at work by commonness of harassment
Health & Safety,gbv_shw_frq,"Ever-working women who have experienced sexual harassment at work, by frequency"
Health & Safety,gbv_shw_occ,"Ever-working women who have experienced sexual harassment at work, by occurrence of the last episode"
Health & Safety,gbv_shw_perp,"Ever-working women who have experienced sexual harassment at work, by type of male perpetrator"
Health & Safety,gbv_shw_rp,"Ever-working women who have experienced sexual harassment at work, by person/support service to whom violence was reported during last year"
Health & Safety,gbv_st_age,"Women who have experienced stalking, by age group"
Health & Safety,gbv_st_cnq,"Women who have experienced stalking, by consequences of violence"
Health & Safety,gbv_st_occ,"Women who have experienced stalking, by occurrence of the last episode"
Health & Safety,gbv_st_perp,"Women who have experienced stalking, by type of perpetrator"
Health & Safety,gbv_st_rp,"Women who have experienced stalking, by person/support service to whom violence was reported"
Health & Safety,hlth_cd_acdr2$dv_1145,Causes of death - crude death rate by NUTS 2 region of residence
Health & Safety,hlth_cd_aperrto,"Fetal, peri- and neonatal mortality rates by country of occurrence"
Health & Safety,hlth_cd_apyll,Causes of death - potential years of life lost by residence
Health & Safety,hlth_cd_dar,Deaths of residents related to dementias including Alzheimer
Health & Safety,hlth_cd_iap,Health impacts of air pollution
Health & Safety,hlth_co_bedoc,Inpatient curative care bed occupancy rate by type of care
Health & Safety,hlth_co_dischnr,"Non-residents among all hospital discharges, %"
Health & Safety,hlth_co_ren,End-stage renal failure (ESRF) patients – historical data
Health & Safety,hlth_ehis_al1e$dv_1142,"Frequency of alcohol consumption by sex, age and educational attainment level"
Health & Safety,hlth_ehis_al3e$dv_450,"Frequency of heavy episodic drinking by sex, age and educational attainment level"
Health & Safety,hlth_ehis_al3i$dv_461,"Frequency of heavy episodic drinking by sex, age and income quintile"
Health & Safety,hlth_ehis_am7sa,Self-reported use of home care services by people with severe difficulty in personal care activities by sex and age
Health & Safety,hlth_ehis_am7sh,Self-reported use of home care services by people with severe difficulty in personal care activities by age and household type
Health & Safety,hlth_ehis_fv3e$dv_1143,"Daily consumption of fruit and vegetables by sex, age and educational attainment level"
Health & Safety,hlth_ehis_fv3e$dv_462,"Daily consumption of fruit and vegetables by sex, age and educational attainment level"
Health & Safety,hlth_ehis_hc2,Self-reported breast examination by X-ray by educational attainment level among women aged 50-69 (%)
Health & Safety,hlth_ehis_hc3,Self-reported cervical smear test by educational attainment level among women aged 20-69 (%)
Health & Safety,hlth_ehis_mh1e$dv_463,"Current depressive symptoms by sex, age and educational attainment level"
Health & Safety,hlth_ehis_mh1i$dv_464,"Current depressive symptoms by sex, age and income quintile"
Health & Safety,hlth_ehis_pe2e$dv_1144,"Time spent on health-enhancing (non-work-related) aerobic physical activity by sex, age and educational attainment level"
Health & Safety,hlth_ehis_pe2e$dv_301,"Time spent on health-enhancing (non-work-related) aerobic physical activity by sex, age and educational attainment level"
Health & Safety,hlth_ehis_sk3e$dv_1127,"Daily smokers of cigarettes by sex, age and educational attainment level"
Health & Safety,hlth_ehis_sk3e$dv_298,"Daily smokers of cigarettes by sex, age and educational attainment level"
Health & Safety,hlth_ehis_sk3i$dv_1141,"Daily smokers of cigarettes by sex, age and income quintile"
Health & Safety,hlth_ehis_sk3i$dv_304,"Daily smokers of cigarettes by sex, age and income quintile"
Health & Safety,hlth_hc_dent,Consultation of a dentist per inhabitant
Health & Safety,hlth_hc_phys,Consultation of a medical doctor (in private practice or as outpatient) per inhabitant – historical data
Health & Safety,hlth_hc_phys2,Consultation of a medical doctor per inhabitant
Health & Safety,hlth_hlye$dv_2041,Healthy life years by sex (from onwards)
Health & Safety,hlth_hlye$dv_287,Healthy life years by sex (from onwards)
Health & Safety,hlth_hlye_h,Healthy life years -
Health & Safety,hlth_ps_immu,Vaccination against influenza of population aged 65 and over
Health & Safety,hlth_ps_prev,Preventive cancer screenings - programme data
Health & Safety,hlth_ps_scre,Breast cancer and cervical cancer screenings - historical data
Health & Safety,hlth_rs_bdltc,Beds in nursing and other residential long-term care facilities
Health & Safety,hlth_rs_grd2$dv_2825,Health graduates
Health & Safety,hlth_rs_prs2$dv_2824,Health personnel
Health & Safety,hlth_sha11_hc$dv_2841,Health care expenditure by function
Health & Safety,hlth_sha11_hf$dv_2821,Health care expenditure by financing scheme
Health & Safety,hlth_sha11_hf$dv_2826,Health care expenditure by financing scheme
Health & Safety,hlth_silc_08$dv_1146,"Self-reported unmet needs for medical examination by sex, age, main reason declared and income quintile"
Health & Safety,hlth_silc_08b_r,"Self-reported unmet needs for medical examination due to financial reasons, long waiting list or distance by NUTS regions - % of the persons having the same needs"
Health & Safety,hlth_silc_11$dv_1148,"People having a long-standing illness or health problem, by sex, age and income quintile"
Health & Safety,hsw_ac4,Persons reporting a road traffic accident
Health & Safety,hsw_ac8$dv_386,"Persons reporting an accident at work by sex, age and professional status"
Health & Safety,hsw_aw_inasz,Standardised incidence rate of accidents at work by NACE Rev. 1.1 activity and size of enterprise
Health & Safety,hsw_aw_inaws,Standardised incidence rate of accidents at work by NACE Rev. 1.1 activity and employment status
Health & Safety,hsw_aw_nbosv,Number of accidents at work by part of body injured and severity
