measure,domain
At-risk-of poverty rate,"People, Work & Living Conditions"
At-risk-of poverty rate by household type - EU-SILC survey,"People, Work & Living Conditions"
At-risk-of poverty rate by tenure status - EU-SILC survey,"People, Work & Living Conditions"
At-risk-of poverty rate for adults (aged 25 to 59 years) by educational attainment level of their parents,"People, Work & Living Conditions"
At-risk-of poverty rate for adults (aged 25 to 59 years) by level of financial situation of their households when respondent was around 14 years old,"People, Work & Living Conditions"
At-risk-of poverty rate for children (aged less than 18) by sex,"People, Work & Living Conditions"
At-risk-of poverty rate for children by citizenship of their parents (population aged 0 to 17 years),"People, Work & Living Conditions"
At-risk-of poverty rate for children by country of birth of their parents (population aged 0 to 17 years),"People, Work & Living Conditions"
At-risk-of-poverty rate anchored at a fixed moment in time by age and sex - EU-SILC survey,"People, Work & Living Conditions"
At-risk-of-poverty rate anchored at a fixed moment in time by age group - EU-SILC survey,"People, Work & Living Conditions"
At-risk-of-poverty rate anchored at a fixed moment in time by sex - EU-SILC survey,"People, Work & Living Conditions"
At-risk-of-poverty rate before social transfers by sex - EU-SILC survey,"People, Work & Living Conditions"
"At-risk-of-poverty rate by poverty threshold, age and sex - EU-SILC and ECHP surveys","People, Work & Living Conditions"
At-risk-of-poverty rate by sex,"People, Work & Living Conditions"
At-risk-of-poverty rate for pensioners - EU-SILC survey,"People, Work & Living Conditions"
At-risk-of-poverty rate of elderly people by tenure status - EU-SILC survey,"People, Work & Living Conditions"
At-risk-of-poverty rate of older people by sex - EU-SILC survey,"People, Work & Living Conditions"
At-risk-of-poverty threshold - EU-SILC survey,"People, Work & Living Conditions"
At-risk-of-poverty threshold for a single household,"People, Work & Living Conditions"
"At-risk-of-poverty-rate, by highest level of education attained","People, Work & Living Conditions"
At-risk of poverty rate of unemployed persons,"People, Work & Living Conditions"
At-risk-of-poverty rate by NUTS 2 regions,"People, Work & Living Conditions"
At-risk-of-poverty rate after deducting housing costs by degree of urbanisation,"People, Work & Living Conditions"
At-risk-of-poverty rate after social transfers by sex,"People, Work & Living Conditions"
Autonomous pension funds - number of enterprises by size class of investments,Money & Markets
Autonomous pension funds - number of enterprises by size class of members,Money & Markets
Autonomous pension funds - total investments by currencies,Money & Markets
Available beds in hospitals by NUTS 2 regions,Health & Safety
Average household size - EU-SILC survey,"People, Work & Living Conditions"
Average CO2 emissions per km from new passenger cars (source: DG CLIMA) - HIDDEN DAT,Environment & Natural Resources and Production
Average age at which employed persons started receiving a retirement pension - by sex and main financial incentive to stay at work,"People, Work & Living Conditions"
Average expenditure per night,Living Well
Average expenditure per trip,Transports
Average full time adjusted salary per employee,"People, Work & Living Conditions"
"Average gross annual earnings in industry and services, by sex","People, Work & Living Conditions"
Average nominal monthly wages and salaries,"People, Work & Living Conditions"
Average number of foreign languages studied per pupil by education level,Learning & Education
Average number of rooms per person by NUTS region,"People, Work & Living Conditions"
Average number of rooms per person by degree of urbanization,"People, Work & Living Conditions"
Average number of rooms per person by tenure status and dwelling type until - ECHP survey,"People, Work & Living Conditions"
Average number of weekly hours of formal care by age group - children with at least 1 hour of formal care - EU-SILC survey,"People, Work & Living Conditions"
Average number of weekly hours of formal care by age group - children with or without formal care - EU-SILC survey,"People, Work & Living Conditions"
Average number of weekly hours of other types of care by age group - children with at least one hour of other types of care - EU-SILC survey,"People, Work & Living Conditions"
Average number of weekly hours of other types of care by age group - children with or without other types of care - EU-SILC survey,"People, Work & Living Conditions"
Average population (mid-year),"People, Work & Living Conditions"
Average population mid-year by sex and age group,"People, Work & Living Conditions"
Average remuneration of national civil servants in central public administration,"People, Work & Living Conditions"
Aviation and airport enterprises,Transports
BERD by concentration of personnel (ranking),Tech & Innovation
Balance of payments,Money & Markets
"Balance of payments, capital account, monthly data",Money & Markets
"Balance of payments, capital account, quarterly data",Money & Markets
"Balance of payments, current account, monthly data",Money & Markets
"Balance of payments, current and capital account, monthly data",Money & Markets
"Balance of payments, current and capital account, quarterly data",Money & Markets
Balance of trade,Money & Markets
Balance of trade - and euro area aggregates,Money & Markets
Balancing items,Money & Markets
"Barley by area, production and humidity",Environment & Natural Resources and Production
Bathing sites with excellent water quality by location,Environment & Natural Resources and Production
Beds in nursing and other residential long-term care facilities,Health & Safety
Beneficiaries of disability pensions by pension type,"People, Work & Living Conditions"
Beneficiaries of disability pensions by sex,"People, Work & Living Conditions"
"Beneficiaries of temporary protection at the end of the month by citizenship, age and sex - monthly data","People, Work & Living Conditions"
Beneficiaries of temporary protection by citizenship - per thousand persons,"People, Work & Living Conditions"
Biochemical oxygen demand in rivers,Environment & Natural Resources and Production
"Body mass index (BMI) by sex, age and educational attainment level",Health & Safety
"Body mass index (BMI) by sex, age and income quintile",Health & Safety
Breast cancer and cervical cancer screenings - historical data,Health & Safety
Bribery by legal status and sex of the person involved,Health & Safety
Broadband internet coverage by speed,Tech & Innovation
Building permits - annual data,Money & Markets
Building permits - monthly data,Money & Markets
Buses and coaches traffic performance registered in the reporting country by transport covarage,Transports
Business demography by size class and NACE Rev. 2 activity,Money & Markets
Business written in non-EEA countries,Money & Markets
CO2 emissions from the production and consumption (footprint) perspectives (FIGARO application),Environment & Natural Resources and Production
Capital account - annual data,Money & Markets
Carrying capacity of merchant ships of 1000 grt and over by vessel type,Transports
Carrying capacity of pipelines operated,Transports
Carrying capacity of the inland waterway transport enterprises vessels by number of vessels in enterprises -,Transports
Catches - north-west Pacific,Environment & Natural Resources and Production
Catches - west-central Pacific,Environment & Natural Resources and Production
Catches in all fishing regions,Environment & Natural Resources and Production
Causes of death - crude death rate by NUTS 2 region of residence,Health & Safety
Causes of death - potential years of life lost by residence,Health & Safety
"Causes of death, by sex",Health & Safety
Central government bond yields - annual data,Money & Markets
Central government bond yields - monthly data,Money & Markets
Central government bond yields - quarterly data,Money & Markets
"Cereals for the production of grain (including seed) by area, production and humidity",Environment & Natural Resources and Production
"Change of immigration status permits by age, sex and citizenship","People, Work & Living Conditions"
Child specific material deprivation rate by age (children aged less than 16 years),"People, Work & Living Conditions"
Child specific material deprivation rate by educational attainment level of their parents (children aged less than 16 years),"People, Work & Living Conditions"
Child specific material deprivation rate by household composition (children aged less than 16 years),"People, Work & Living Conditions"
Children at risk of poverty or social exclusion,"People, Work & Living Conditions"
"Children (aged 0 to 17) having neither a bath, nor a shower in their dwelling - EU-SILC survey","People, Work & Living Conditions"
Children (aged 0 to 17) not having indoor flushing toilet for the sole use of their household - EU-SILC survey,"People, Work & Living Conditions"
Children (aged less than 18) at risk of poverty or social exclusion - EU2030 target,"People, Work & Living Conditions"
Children (aged less than 18) living in households with very low work intensity by sex,"People, Work & Living Conditions"
Children aged less than 3 years in formal childcare,Learning & Education
Children cared only by their parents by age group - % over the population of each age group - EU-SILC survey,"People, Work & Living Conditions"
Children having one of their parents living outside the household,"People, Work & Living Conditions"
Children with unmet needs for medical examination or treatment by specific reason,Health & Safety
Circular material use rate,Environment & Natural Resources and Production
Circular material use rate by material type,Environment & Natural Resources and Production
"Classroom teachers working full-time and part-time in primary, lower-secondary and upper-secondary education - as % of total active population",Learning & Education
Climate related economic losses – values at constant prices,Money & Markets
Collection of cow's milk,Environment & Natural Resources and Production
Commercial aircraft fleet by age of aircraft and country of operator,Transports
Commercial aircraft fleet by age of aircraft and country of registration,Transports
Commercial aircraft fleet by type of aircraft,Transports
Commercial airports by type,Transports
Commissions payable by product,Money & Markets
Commissions receivable by product,Money & Markets
Common bird index by type of species - aggregate,Environment & Natural Resources and Production
Common bird indices by type of estimate,Environment & Natural Resources and Production
Common farmland bird index,Environment & Natural Resources and Production
Communication,Living Well
Debts,Money & Markets
Emigration,"People, Work & Living Conditions"
Employment,"People, Work & Living Conditions"
Erosion,Environment & Natural Resources and Production
Immigration,"People, Work & Living Conditions"
Landuse,Environment & Natural Resources and Production
Literacy,Learning & Education
Livestock,Environment & Natural Resources and Production
Trams,Transports
Wages,"People, Work & Living Conditions"
area,Environment & Natural Resources and Production
Community design applications,Money & Markets
Community design applications by metropolitan regions,Money & Markets
Community design applications by other typologies,Money & Markets
Community design applications by type of design,Money & Markets
Community design applications per billion GDP,Money & Markets
Community design applications per million population,Money & Markets
Community design applications per million population by metropolitan regions,Money & Markets
Community design applications per million population by other typologies,Money & Markets
Community designs by metropolitan regions,Money & Markets
Community designs by other typologies,Money & Markets
Community designs filed,Money & Markets
Community designs per million population by metropolitan regions,Money & Markets
Community designs per million population by other typologies,Money & Markets
Comparative price levels,Money & Markets
Compensation of employees,"People, Work & Living Conditions"
"Compensation of employees - annual data, million units of national currency","People, Work & Living Conditions"
Composition of municipal waste,Environment & Natural Resources and Production
Concentration of multinational enterprise groups by NACE Rev.2 activity - experimental statistics,Money & Markets
Confidence indicators by sector,Money & Markets
"Consolidated banking leverage, domestic and foreign entities (asset-to-equity multiple)",Money & Markets
Consultation of a dentist per inhabitant,Health & Safety
Consultation of a medical doctor (in private practice or as outpatient) per inhabitant – historical data,Health & Safety
Consultation of a medical doctor per inhabitant,Health & Safety
Consumer price index,Money & Markets
Consumption footprint – single weighted score,Environment & Natural Resources and Production
Consumption of antibiotics in the community and hospital sectors – defined daily doses (DDD) per day,Health & Safety
Consumption of chemicals by hazardousness - aggregate,Environment & Natural Resources and Production
Consumption of lightweight plastic carrier bags by their wall thickness,Environment & Natural Resources and Production
Container transport by type of goods and coverage,Transports
Contribution of recycled materials to raw materials demand - end-of-life recycling input rates (EOL-RIR),Environment & Natural Resources and Production
Contribution to the international 100bn USD commitment on climate related expending,Money & Markets
Convergence indicators,Money & Markets
Conversion factors for euro fixed series into euro/ECU - annual data,Money & Markets
Cooling and heating degree days by country - annual data,Environment & Natural Resources and Production
Correction coefficients in the European Union (Countries) - index = 100),"People, Work & Living Conditions"
Correction coefficients in the European Union (Duty stations) - index (Brussels = 100),"People, Work & Living Conditions"
Correction coefficients outside the European Union (Duty stations) - index (Brussels = 100),"People, Work & Living Conditions"
Corruption Perceptions Index,"People, Work & Living Conditions"
Country level - gross weight of goods handled in all ports,Transports
Country level - gross weight of goods handled in main ports,Transports
Country level - gross weight of goods transported to/from main ports,Transports
Country level - passengers embarked and disembarked in all ports,Transports
"Country level - volume (in TEUs) of containers handled in main ports, by loading status",Transports
Crimes recorded by the police,Health & Safety
Crimes recorded by the police: homicide in cities,Health & Safety
Crop output - basic and producer prices,Environment & Natural Resources and Production
Crop production,Environment & Natural Resources and Production
Crude divorce rate,"People, Work & Living Conditions"
Crude marriage rate,"People, Work & Living Conditions"
"Crude rate of birth, of dead and of population change","People, Work & Living Conditions"
Cultural employment by sex,"People, Work & Living Conditions"
Current account balance - 3 year average,Money & Markets
Current account balance - annual data,Money & Markets
"Current account transactions - credits, debits and balance",Money & Markets
"Current account transactions - goods: credits, debits and balance",Money & Markets
"Current account transactions - primary income: credits, debits and balance",Money & Markets
"Current account transactions - secondary income: credits, debits and balance",Money & Markets
"Current account transactions - services: credits, debits and balance",Money & Markets
"Current depressive symptoms by sex, age and educational attainment level",Health & Safety
"Current depressive symptoms by sex, age and income quintile",Health & Safety
Current level of capacity utilization in manufacturing industry,Environment & Natural Resources and Production
Customers by type of district network and efficiency of network,Tech & Innovation
"Daily consumption of fruit and vegetables by sex, age and educational attainment level",Health & Safety
"Daily smokers of cigarettes by sex, age and educational attainment level",Health & Safety
"Daily smokers of cigarettes by sex, age and income quintile",Health & Safety
Day-to-day money market interest rates,Money & Markets
Day-to-day rates for euro area countries - annual data,Money & Markets
Day-to-day rates for euro area countries - quarterly data,Money & Markets
"Death due to AIDS (HIV-disease), by sex",Health & Safety
"Death due to accidents, by sex",Health & Safety
"Death due to alcoholic abuse, by sex",Health & Safety
"Death due to cancer, by sex",Health & Safety
"Death due to chronic liver disease, by sex",Health & Safety
"Death due to diabetes mellitus, by sex",Health & Safety
"Death due to diseases of the nervous system, by sex",Health & Safety
"Death due to drugs dependence, by sex",Health & Safety
"Death due to homicide, assault, by sex",Health & Safety
"Death due to other ischaemic heart diseases, by sex",Health & Safety
"Death due to pneumonia, by sex",Health & Safety
"Death due to suicide, by sex",Health & Safety
"Death due to transport accidents, by sex",Health & Safety
Deaths and crude death rate,Health & Safety
Deaths by age and sex,Health & Safety
Deaths by sex,Health & Safety
Deaths of residents related to dementias including Alzheimer,Health & Safety
Debt of the institutions,Money & Markets
Decisions granting temporary protection by citizenship - per thousand persons,"People, Work & Living Conditions"
"Decisions granting temporary protection by citizenship, age and sex - annual aggregated data","People, Work & Living Conditions"
"Decisions granting temporary protection by citizenship, age and sex - monthly data","People, Work & Living Conditions"
"Decisions granting temporary protection by citizenship, age and sex - quarterly data","People, Work & Living Conditions"
Demographic indicators,"People, Work & Living Conditions"
Departures of residents going abroad for all holidays and business,Transports
Depth of material deprivation - EU-SILC survey,"People, Work & Living Conditions"
"Direct investment - annual data, million units of national currency",Money & Markets
"Direct investment abroad, main components - annual data, million units of national currency",Money & Markets
"Direct investment liabilities (flows) - annual data, % of GDP",Money & Markets
"Direct investment liabilities (stocks) - annual data, % of GDP",Money & Markets
Disaggregated final energy consumption in services – calorific values,Environment & Natural Resources and Production
Discharges from hospitals,Health & Safety
Dispersion around the at-risk-of-poverty threshold - EU-SILC survey,"People, Work & Living Conditions"
Dispersion around the at-risk-of-poverty threshold for elderly people - EU-SILC survey,"People, Work & Living Conditions"
Distribution of digital platform workers (at least one hour in the last month) by consequences of rejecting the task or service - experimental statistics,"People, Work & Living Conditions"
Distribution of digital platform workers (at least one hour in the last month) by educational attainment level - experimental statistics,"People, Work & Living Conditions"
Distribution of digital platform workers (at least one hour in the last month) by labour status - experimental statistics,"People, Work & Living Conditions"
Distribution of digital platform workers (at least one hour in the last month) by price setting - experimental statistics,"People, Work & Living Conditions"
Distribution of digital platform workers (at least one hour in the last month) by share of platform income in their earnings - experimental statistics,"People, Work & Living Conditions"
Distribution of digital platform workers (at least one hour in the last month) by social insurance coverage and risk - experimental statistics,"People, Work & Living Conditions"
Distribution of digital platform workers (at least one hour in the last month) by type of work assignment - experimental statistics,"People, Work & Living Conditions"
Distribution of digital platform workers (at least one hour in the last month) by working hours setting - experimental statistics,"People, Work & Living Conditions"
Distribution of digital platform workers (in the last 12 months) by number of hours worked in the last month - experimental statistics,"People, Work & Living Conditions"
Distribution of households by activity status of the reference person - experimental statistics,"People, Work & Living Conditions"
Distribution of households by age of the reference person - experimental statistics,"People, Work & Living Conditions"
Distribution of households by household size - EU-SILC survey,"People, Work & Living Conditions"
Distribution of households by household type - experimental statistics,"People, Work & Living Conditions"
Distribution of households by household type until - ECHP survey,"People, Work & Living Conditions"
Distribution of households with children by number of children - EU-SILC survey,"People, Work & Living Conditions"
Distribution of population by household types - EU-SILC survey,"People, Work & Living Conditions"
Diversity index of energy supply,Environment & Natural Resources and Production
Domestic industrial production price index,Money & Markets
Domestic producer prices - capital goods,Money & Markets
Domestic producer prices - consumer durables,Money & Markets
Domestic producer prices - consumer non-durables,Money & Markets
Domestic producer prices - energy,Money & Markets
Domestic producer prices - intermediate goods,Money & Markets
Domestic producer prices - manufacturing,Money & Markets
Domestic producer prices - total industry (excluding construction),Money & Markets
Domestic material consumption per capita,Environment & Natural Resources and Production
Drought impact area on ecosystems,Environment & Natural Resources and Production
"Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses) by area, production and humidity",Environment & Natural Resources and Production
Duration of working life,"People, Work & Living Conditions"
"Dwellings by type of ownership, type of building and occupancy status","People, Work & Living Conditions"
ECU/EUR exchange rates versus national currencies,Money & Markets
EMU convergence criterion series - annual data,Money & Markets
EMU convergence criterion series - quarterly data,Money & Markets
Early leavers from education and training aged 18-24 by sex,Learning & Education
Early leavers from education and training by sex,Learning & Education
Early leavers from education and training by sex and labour status,Learning & Education
"Early leavers from education and training, age group 18-24",Learning & Education
"Early leavers from education and training, by citizenship",Learning & Education
Early retirement among persons who receive an old-age pension (%),"People, Work & Living Conditions"
Economic accounts for agriculture (EAA),Environment & Natural Resources and Production
Economic activity,Money & Markets
Economic sentiment indicator,Money & Markets
Economically inactive persons who receive a pension who would have wished to stay longer in employment (%),"People, Work & Living Conditions"
Effect of social transfers on income quintile share ratio S80/S20,"People, Work & Living Conditions"
Effect of taxes and social transfers on income quintile share ratio S80/S20,"People, Work & Living Conditions"
Effect of taxes on income quintile share ratio S80/S20,"People, Work & Living Conditions"
Effect of the search for information on learning possibilities,Learning & Education
Electricity prices by type of user,Money & Markets
Emigration by group of country of next usual residence,"People, Work & Living Conditions"
Employed persons discriminated at work during the last 12 months by sex and age,"People, Work & Living Conditions"
Employed persons expecting a possible loss of their job in the next 6 months by sex and age,"People, Work & Living Conditions"
"Employed persons exposed to employment-related physical, psychological or sexual violence in the last 12 months by sex and age","People, Work & Living Conditions"
Employed persons having a good relationship with their colleagues by sex and age,"People, Work & Living Conditions"
Employed persons having more than one job by sex,"People, Work & Living Conditions"
Employed persons having the opportunity to use their knowledge and skills in their current job by sex and age,"People, Work & Living Conditions"
Employed persons having to work at very high speed or to tight deadlines by sex and age,"People, Work & Living Conditions"
Employed persons participating in job-related non-formal education and training in the past 12 months by sex and age,"People, Work & Living Conditions"
Employed persons perceiving that their job-related non-formal education and training helped to improve the way they work by sex and age,"People, Work & Living Conditions"
Employed persons thinking that they do useful work by sex and age,"People, Work & Living Conditions"
Employed persons whose job involves improving their skills by sex and age,"People, Work & Living Conditions"
Employed persons whose work experience and job skills would be helpful to find another job by sex and age,"People, Work & Living Conditions"
Employed persons with ICT education by sex,"People, Work & Living Conditions"
Employed ICT specialists - total,"People, Work & Living Conditions"
Employed ICT specialists by age,"People, Work & Living Conditions"
Employed ICT specialists by sex,"People, Work & Living Conditions"
Employed in service sector and occupational status of recent school-leavers,"People, Work & Living Conditions"
Employed persons being able to choose their methods of work or to influence their pace of work by sex and age,"People, Work & Living Conditions"
Employed persons being able to influence decisions that affect their work by sex and age,"People, Work & Living Conditions"
Employed persons being self-employed without employees by sex,"People, Work & Living Conditions"
"Employed persons working at nights as a percentage of the total employment, by sex, age and professional status (%)","People, Work & Living Conditions"
"Employed persons working in the evenings as a percentage of the total employment, by sex, age and professional status (%)","People, Work & Living Conditions"
"Employed persons working on Saturdays as a percentage of the total employment, by sex, age and professional status (%)","People, Work & Living Conditions"
"Employed persons working on Sundays as a percentage of the total employment, by sex, age and professional status (%)","People, Work & Living Conditions"
Employees by flexibility of their working schedule and educational attainment level (1 000),"People, Work & Living Conditions"
Employees having a good relationship with their supervisor by sex and age,"People, Work & Living Conditions"
Employees receiving regular feedback from their supervisor by sex and age,"People, Work & Living Conditions"
Employees with a contract of limited duration (annual average),"People, Work & Living Conditions"
Employees with a flexible work schedule by sex,"People, Work & Living Conditions"
"Employees, domestic concept - annual data","People, Work & Living Conditions"
Employment characteristics,"People, Work & Living Conditions"
Employment growth (domestic concept),"People, Work & Living Conditions"
Employment rate,"People, Work & Living Conditions"
"Employment rate of adults by sex, age groups, educational attainment level, number of children and age of youngest child (%)","People, Work & Living Conditions"
"Employment rate of low skilled persons, age group 20-64","People, Work & Living Conditions"
"Employment rate of non-EU nationals, age group 20-64","People, Work & Living Conditions"
"Employment rate of older workers, age group 55-64","People, Work & Living Conditions"
Employment rates 15-64 years old by sex,"People, Work & Living Conditions"
"Employment rates by sex, age and educational attainment level (%)","People, Work & Living Conditions"
"Employment rates by sex, age and other typologies","People, Work & Living Conditions"
"Employment, domestic concept -","People, Work & Living Conditions"
"Employment, domestic concept - annual data","People, Work & Living Conditions"
Employment (thousand persons) by NUTS 3 regions,"People, Work & Living Conditions"
Employment and economic activity branches,Money & Markets
Employment and employment rates 20-64 years old by sex,"People, Work & Living Conditions"
Employment by professional status,"People, Work & Living Conditions"
employment by age group,"People, Work & Living Conditions"
Employment expectations by sectors,"People, Work & Living Conditions"
Employment expectations indicator,"People, Work & Living Conditions"
Employment in Foreign Affiliates of Domestic Enterprises,Money & Markets
Employment in Foreign Controlled Enterprises,Money & Markets
Employment in high- and medium-high technology manufacturing sectors and knowledge-intensive service sectors,"People, Work & Living Conditions"
Employment in inland waterways transport enterprises by number of vessels in enterprises -,Transports
Employment in inland waterways transport enterprises by sex -,Transports
Employment in sport by age,"People, Work & Living Conditions"
Employment in sport by sex,"People, Work & Living Conditions"
Employment rate by sex,"People, Work & Living Conditions"
"Employment rate, by citizenship","People, Work & Living Conditions"
Employment rates of recent graduates,"People, Work & Living Conditions"
End-stage renal failure (ESRF) patients – historical data,Health & Safety
Energy balance,Money & Markets
Energy consumption,Money & Markets
Energy productivity,Money & Markets
Energy taxes,Money & Markets
Energy - historical data former methodology and source),Environment & Natural Resources and Production
Energy import dependency by products,Environment & Natural Resources and Production
"Energy removed from district networks by customers, type of networks and efficiency of network",Environment & Natural Resources and Production
Energy self-reliance,Environment & Natural Resources and Production
Enterprises by impact of COVID-19 on turnover and NACE rev.2 activity aggregate - experimental statistics,Money & Markets
Enterprises by international sourcing status prior to the reference period and NACE Rev.2 activity aggregate - experimental statistics,Money & Markets
Enterprises by means of services supply and NACE rev.2 activity aggregate - experimental statistics,Money & Markets
Enterprises by movement of business functions from abroad and by NACE Rev.2 activity - experimental statistics,Money & Markets
"Enterprises by status of movement of business functions from abroad, business function and NACE Rev.2 activity - experimental statistics",Money & Markets
Enterprises by type of buyer power asymmetry in the global value chain and NACE rev.2 activity aggregate - experimental statistics,Money & Markets
Enterprises by type of supplier power asymmetry in the global value chain and NACE rev.2 activity aggregate - experimental statistics,Money & Markets
Enterprises employing IVT participants by NACE Rev. 1.1 activity - % of all enterprises,Money & Markets
Enterprises employing IVT participants by NACE Rev. 2 activity - % of all enterprises,Money & Markets
Enterprises employing IVT participants by size class - % of all enterprises,Money & Markets
Enterprises by sourcing status and enterprise group identification - collection round - experimental statistics,Money & Markets
Enterprises by type of movement of business functions from abroad and by NACE Rev.2 activity - experimental statistics,Money & Markets
Enterprises having received orders online (at least 1%) - % of enterprises,Money & Markets
"Enterprises in wholesale trade, repair of vehicles and motorcycles (NACE Rev.2, G) - changes in stocks",Money & Markets
Enterprises sourcing abroad,Money & Markets
"Enterprises using software solutions, like CRM to analyse information about clients for marketing purposes",Tech & Innovation
