code,domain
cens_01ndcomf,"People, Work & Living Conditions"
cens_01ndquart_hd,"People, Work & Living Conditions"
cens_01ndquart_lq,"People, Work & Living Conditions"
cens_01ndquart_oc,"People, Work & Living Conditions"
cens_91dame,"People, Work & Living Conditions"
cens_91down,"People, Work & Living Conditions"
cens_91dper,"People, Work & Living Conditions"
cens_91hnnch,"People, Work & Living Conditions"
cens_91hpnper,"People, Work & Living Conditions"
cens_91typb,"People, Work & Living Conditions"
cens_91typl,"People, Work & Living Conditions"
cens_hndwnr,"People, Work & Living Conditions"
cens_hndwsize,"People, Work & Living Conditions"
crim_crt_per,Health & Safety
crim_hist,Health & Safety
crim_hom_city,Health & Safety
crim_hom_ocit,Health & Safety
crim_hom_vcit,Health & Safety
crim_just_bri,Health & Safety
crim_off_cat$dv_1401,Health & Safety
crim_off_cat$dv_348,Health & Safety
crim_plce,Health & Safety
crim_pris_cap,Health & Safety
crim_pris_ctz,Health & Safety
crim_pris_pop,Health & Safety
crim_pris_tri,Health & Safety
crim_smu_sctz,Health & Safety
crim_thb_sex$dv_1641,Health & Safety
crim_thb_vctz,Health & Safety
crim_thb_vctz$dv_1643,Health & Safety
crim_thb_vexp,Health & Safety
cult_emp_art,Living Well
cult_emp_sex,Living Well
cult_pcs_nws,Living Well
cult_pcs_qnt,Living Well
demo_fabortind,"People, Work & Living Conditions"
demo_magec$dv_1942,"People, Work & Living Conditions"
demo_mexrt,"People, Work & Living Conditions"
demo_mlexpec$dv_292,"People, Work & Living Conditions"
demo_popep,"People, Work & Living Conditions"
demo_popmdctb,"People, Work & Living Conditions"
demo_r_find3$dv_1541,"People, Work & Living Conditions"
demo_r_gind3$dv_1542,"People, Work & Living Conditions"
demo_r_pjanind3$dv_1561,"People, Work & Living Conditions"
demo_urespop,"People, Work & Living Conditions"
dsb_sprpb01,"People, Work & Living Conditions"
dsb_sprpb02,"People, Work & Living Conditions"
earn_gr_goeg,"People, Work & Living Conditions"
earn_gr_gpgr2ag,"People, Work & Living Conditions"
earn_gr_gpgr2ct,"People, Work & Living Conditions"
earn_gr_gpgr2wt,"People, Work & Living Conditions"
earn_gr_hgpg,"People, Work & Living Conditions"
earn_mw_avgr1,"People, Work & Living Conditions"
earn_mw_avgr2,"People, Work & Living Conditions"
earn_nt_lowwtrp,"People, Work & Living Conditions"
earn_nt_netft,"People, Work & Living Conditions"
earn_nt_taxwedge,"People, Work & Living Conditions"
earn_nt_unemtrp,"People, Work & Living Conditions"
earn_ses06_rann,"People, Work & Living Conditions"
earn_ses06_rhr,"People, Work & Living Conditions"
earn_ses10_actrl,"People, Work & Living Conditions"
earn_ses10_adeci,"People, Work & Living Conditions"
earn_ses10_mctrl,"People, Work & Living Conditions"
earn_ses10_mdeci,"People, Work & Living Conditions"
earn_ses10_rann,"People, Work & Living Conditions"
earn_ses10_rhr,"People, Work & Living Conditions"
earn_ses14_actrl,"People, Work & Living Conditions"
earn_ses14_adeci,"People, Work & Living Conditions"
earn_ses14_mctrl,"People, Work & Living Conditions"
earn_ses14_mdeci,"People, Work & Living Conditions"
earn_ses14_rann,"People, Work & Living Conditions"
earn_ses18_actrl,"People, Work & Living Conditions"
earn_ses18_adeci,"People, Work & Living Conditions"
earn_ses18_mctrl,"People, Work & Living Conditions"
earn_ses18_rann,"People, Work & Living Conditions"
earn_ses_actrl,"People, Work & Living Conditions"
earn_ses_adeci,"People, Work & Living Conditions"
earn_ses_mctrl,"People, Work & Living Conditions"
earn_ses_mdeci,"People, Work & Living Conditions"
earn_ses_pub1a,"People, Work & Living Conditions"
earn_ses_pub1a$dv_352,"People, Work & Living Conditions"
earn_ses_pub1i,"People, Work & Living Conditions"
earn_ses_pub1i$dv_353,"People, Work & Living Conditions"
earn_ses_pub1s,"People, Work & Living Conditions"
earn_ses_pub1s$dv_354,"People, Work & Living Conditions"
earn_ses_pub1t,"People, Work & Living Conditions"
earn_ses_pub2a$dv_1880,"People, Work & Living Conditions"
earn_ses_pub2s,"People, Work & Living Conditions"
earn_ses_pub2s$dv_1879,"People, Work & Living Conditions"
edat_lfse_03$dv_598,Learning & Education
edat_lfse_14$dv_1864,Learning & Education
edat_lfse_14$dv_356,Learning & Education
edat_lfse_20$dv_1101,"People, Work & Living Conditions"
edat_lfso_00t2,"People, Work & Living Conditions"
edat_lfso_00t4,Learning & Education
edat_lfso_00t5,Learning & Education
educ_fiaid,Learning & Education
educ_fiexpc,Learning & Education
educ_ipart$dv_437,Learning & Education
educ_iste,Learning & Education
educ_outc_pisa,Learning & Education
educ_uoe_enra05$dv_441,Learning & Education
educ_uoe_enra06,Learning & Education
educ_uoe_enra07,Learning & Education
educ_uoe_enra08,Learning & Education
educ_uoe_enra10,Learning & Education
educ_uoe_enra17,Learning & Education
educ_uoe_enra18,Learning & Education
educ_uoe_enra19,Learning & Education
educ_uoe_enra20,Learning & Education
educ_uoe_enra21,Learning & Education
educ_uoe_enra22,Learning & Education
educ_uoe_enra23,Learning & Education
educ_uoe_enra25,Learning & Education
educ_uoe_enra27,Learning & Education
educ_uoe_enra28,Learning & Education
educ_uoe_enra29,Learning & Education
educ_uoe_enrt05,Learning & Education
educ_uoe_enrt08,Learning & Education
educ_uoe_fina01,Learning & Education
educ_uoe_fini05,Learning & Education
educ_uoe_fini06,Learning & Education
educ_uoe_grad06,Learning & Education
educ_uoe_grad07,Learning & Education
educ_uoe_grad09,Learning & Education
educ_uoe_lang03,Learning & Education
educ_uoe_mobs03$dv_1126,Learning & Education
educ_uoe_perd04,Learning & Education
educ_uoe_perd05,Learning & Education
educ_uoe_perp03,Learning & Education
educ_uoe_perp05,Learning & Education
egi_co2_1,Money & Markets
egi_em1,Money & Markets
egi_em2,Money & Markets
egi_em3,Money & Markets
egi_rd1,Money & Markets
egi_so1,Money & Markets
egi_tr1,Money & Markets
egi_tr2,Money & Markets
egi_tr3,Money & Markets
egi_tr4,Money & Markets
egi_tr5,Money & Markets
egi_va1,Money & Markets
egi_va2,Money & Markets
egr_conc,Money & Markets
egr_emp,Money & Markets
egr_mne,Money & Markets
egr_mne_n2sc,Money & Markets
ei_bsci_m_r2,Money & Markets
enpe_apro_cpnh1,Environment & Natural Resources and Production
enpe_apro_mt_ls,Environment & Natural Resources and Production
enpe_apro_mt_p,Environment & Natural Resources and Production
enpe_bop_c6_a,Money & Markets
enpe_bop_iip6,Money & Markets
enpe_bop_iip6_serv,Money & Markets
enpe_cpi,Money & Markets
enpe_edat_lfse_03,Learning & Education
enpe_edat_lfse_14,Learning & Education
enpe_educ_figdp,Learning & Education
enpe_educ_uoe_enra02,Learning & Education
enpe_ef_lus_main,Environment & Natural Resources and Production
enpe_ext_bal,Money & Markets
enpe_ext_intro,Money & Markets
enpe_fish_ca_main,Environment & Natural Resources and Production
enpe_gov_10dd,Money & Markets
enpe_hlth_exp,"People, Work & Living Conditions"
enpe_ilc_di11,Money & Markets
enpe_ilc_li01,"People, Work & Living Conditions"
enpe_ilc_li09,"People, Work & Living Conditions"
enpe_irt_ld,Money & Markets
enpe_irt_lt_gby10,Money & Markets
enpe_irt_st,Money & Markets
enpe_isoc_ci_ifp_fu,Tech & Innovation
enpe_isoc_ci_in_h,Tech & Innovation
enpe_lfsa_argaed,"People, Work & Living Conditions"
enpe_lfsa_ergan,"People, Work & Living Conditions"
enpe_lfsa_urgan,"People, Work & Living Conditions"
enpe_lfsa_urgan2,"People, Work & Living Conditions"
enpe_mar_go,Money & Markets
enpe_mon_res,Money & Markets
enpe_nama_10_a10,Money & Markets
enpe_nama_10_gdp,Money & Markets
enpe_nama_10_gdp_ea,Money & Markets
enpe_nama_10_lp,Money & Markets
enpe_nama_10_pe,Money & Markets
enpe_nama_10_ulc,Money & Markets
enpe_rail_go,Transports
enpe_rail_if,Transports
enpe_rd_e_gerdfund,Money & Markets
enpe_reg_area3,Environment & Natural Resources and Production
enpe_road_eqs_car,Transports
enpe_road_go,Transports
enpe_road_if,Transports
enpe_road_pa,Transports
enpe_spr_exp,Money & Markets
enpe_sts_incopr,Money & Markets
enpe_sts_inppd,Money & Markets
enpe_sts_trtu,Money & Markets
enpe_sts_trtu1,Money & Markets
enpe_tour_cap_nat,Living Well
enpe_tour_dem_tttot,Living Well
enpe_tour_occ_arnat,Living Well
enpe_wg_m,"People, Work & Living Conditions"
enps_apro_cpnh1,Environment & Natural Resources and Production
enps_apro_mt_ls,Environment & Natural Resources and Production
enps_apro_mt_p,Environment & Natural Resources and Production
enps_avia_fr,Transports
enps_avia_if,Transports
enps_avia_pa,Transports
enps_avia_typ,Transports
enps_bop_iip6,Money & Markets
enps_cpi,Money & Markets
enps_demo_dens,"People, Work & Living Conditions"
enps_demo_frate1,"People, Work & Living Conditions"
enps_demo_gind,"People, Work & Living Conditions"
enps_demo_infant,"People, Work & Living Conditions"
enps_demo_mlexpec,"People, Work & Living Conditions"
enps_demo_nind,"People, Work & Living Conditions"
enps_demo_pjangry,"People, Work & Living Conditions"
enps_demo_under5,"People, Work & Living Conditions"
enps_edat_lfse3,Learning & Education
enps_edat_lfse4,Learning & Education
enps_educ_comprate,Learning & Education
enps_educ_compyr,Learning & Education
enps_educ_enrate,Learning & Education
enps_educ_figdp,Learning & Education
enps_educ_ltr,Learning & Education
enps_educ_parity,Learning & Education
enps_ef_lus_main,Environment & Natural Resources and Production
enps_env_air_emis,Environment & Natural Resources and Production
enps_env_wasacc,Environment & Natural Resources and Production
enps_env_wasgenh,Environment & Natural Resources and Production
enps_env_wasgenm,Environment & Natural Resources and Production
enps_env_wasgenp,Environment & Natural Resources and Production
enps_env_wastrt,Environment & Natural Resources and Production
enps_env_wat_abs,Environment & Natural Resources and Production
enps_env_wat_cat,Environment & Natural Resources and Production
enps_env_wat_cov,Environment & Natural Resources and Production
enps_env_ww_con,Environment & Natural Resources and Production
enps_fish_aq2a,Environment & Natural Resources and Production
enps_fish_ca_main,Environment & Natural Resources and Production
enps_gov_10dd,Money & Markets
enps_gov_10dde,Money & Markets
enps_ilc_di11,Money & Markets
enps_ilc_natln,"People, Work & Living Conditions"
enps_ilc_sanit,"People, Work & Living Conditions"
enps_ilc_secure,"People, Work & Living Conditions"
enps_lfsa_argaed,"People, Work & Living Conditions"
enps_lfsa_egaps,"People, Work & Living Conditions"
enps_lfsa_ergan,"People, Work & Living Conditions"
enps_lfsa_pganws,"People, Work & Living Conditions"
enps_lfsa_urgan,"People, Work & Living Conditions"
enps_mar_eq1000,Transports
enps_mar_eq300,Transports
enps_mar_eqton,Transports
enps_mar_frdir,Transports
enps_mar_padir,Transports
enps_mar_por,Transports
enps_nama_10_a10,Money & Markets
enps_nama_10_gdp,Money & Markets
enps_nama_10_gdp_ea,Money & Markets
enps_nrg_bal_c,Environment & Natural Resources and Production
enps_nrg_bal_c1,Environment & Natural Resources and Production
enps_rail_eq,Transports
enps_rail_fr,Transports
enps_rail_if,Transports
enps_rail_pa,Transports
enps_reg_area3,Environment & Natural Resources and Production
enps_road_eqs_car,Transports
enps_road_go,Transports
enps_road_if,Transports
enps_tour_border,Living Well
enps_tour_cap_nat,Living Well
enps_tour_cap_natb,Living Well
enps_tour_dem_tttot,Living Well
enps_tour_occ_arnat,Living Well
enps_tour_occ_ninat,Living Well
enps_tran_sf_r,Health & Safety
env_ac_cur,Environment & Natural Resources and Production
env_ac_curm,Environment & Natural Resources and Production
env_ac_egss3,Environment & Natural Resources and Production
env_ac_epite,Environment & Natural Resources and Production
env_ac_epite1,Environment & Natural Resources and Production
env_ac_landfp,Environment & Natural Resources and Production
env_ac_mid,Environment & Natural Resources and Production
env_ac_rp,Environment & Natural Resources and Production
env_air_no2,Environment & Natural Resources and Production
env_bio1,Environment & Natural Resources and Production
env_bio2,Environment & Natural Resources and Production
env_bio3,Environment & Natural Resources and Production
env_bio4,Environment & Natural Resources and Production
env_bio5,Environment & Natural Resources and Production
env_chmhaz,Environment & Natural Resources and Production
env_waspb,Environment & Natural Resources and Production
env_waspcb,Environment & Natural Resources and Production
env_wat_pop,Environment & Natural Resources and Production
eq_fer05,"People, Work & Living Conditions"
eq_mor06,"People, Work & Living Conditions"
eq_pop02,"People, Work & Living Conditions"
eq_pop03,"People, Work & Living Conditions"
eq_pop04,"People, Work & Living Conditions"
ert_bil_conv_a,Money & Markets
ert_bil_eur_a$dv_841,Money & Markets
ert_bil_eur_a$dv_861,Money & Markets
ert_h_eur_a,Money & Markets
ext_ser_bec01,Money & Markets
fish_ca_pac61,Environment & Natural Resources and Production
fish_ca_pac71,Environment & Natural Resources and Production
for_area,Environment & Natural Resources and Production
for_awu,Environment & Natural Resources and Production
for_profnc,Environment & Natural Resources and Production
for_protect,Environment & Natural Resources and Production
for_secwpp,Environment & Natural Resources and Production
for_vol,Environment & Natural Resources and Production
gba_nabste,Tech & Innovation
gbv_any_age,Health & Safety
gbv_any_cnq,Health & Safety
gbv_any_cob,Health & Safety
gbv_any_du,Health & Safety
gbv_any_ed,Health & Safety
gbv_any_frq,Health & Safety
gbv_any_lim,Health & Safety
gbv_any_occ,Health & Safety
gbv_any_rp,Health & Safety
gbv_any_type,Health & Safety
gbv_awr_leg,Health & Safety
gbv_awr_serv,Health & Safety
gbv_ch_age,Health & Safety
gbv_ch_perp,Health & Safety
gbv_ch_rp,Health & Safety
gbv_dv_age,Health & Safety
gbv_dv_cob,Health & Safety
gbv_dv_du,Health & Safety
gbv_dv_ed,Health & Safety
gbv_dv_lim,Health & Safety
gbv_dv_occ,Health & Safety
gbv_dv_type,Health & Safety
gbv_ipv_age,"People, Work & Living Conditions"
gbv_ipv_cnq,"People, Work & Living Conditions"
gbv_ipv_cob,"People, Work & Living Conditions"
gbv_ipv_comm,"People, Work & Living Conditions"
gbv_ipv_du,"People, Work & Living Conditions"
gbv_ipv_ed,"People, Work & Living Conditions"
gbv_ipv_frq,"People, Work & Living Conditions"
gbv_ipv_lim,"People, Work & Living Conditions"
gbv_ipv_occ,"People, Work & Living Conditions"
gbv_ipv_rp,"People, Work & Living Conditions"
gbv_ipv_type,"People, Work & Living Conditions"
gbv_npv_age,"People, Work & Living Conditions"
gbv_npv_cnq,"People, Work & Living Conditions"
gbv_npv_cob,"People, Work & Living Conditions"
gbv_npv_du,"People, Work & Living Conditions"
gbv_npv_ed,"People, Work & Living Conditions"
gbv_npv_frq,"People, Work & Living Conditions"
gbv_npv_lim,"People, Work & Living Conditions"
gbv_npv_occ,"People, Work & Living Conditions"
gbv_npv_perp,"People, Work & Living Conditions"
gbv_npv_rp,"People, Work & Living Conditions"
gbv_npv_type,"People, Work & Living Conditions"
gbv_shw_age,"People, Work & Living Conditions"
gbv_shw_comm,"People, Work & Living Conditions"
gbv_shw_frq,"People, Work & Living Conditions"
gbv_shw_occ,"People, Work & Living Conditions"
gbv_shw_perp,"People, Work & Living Conditions"
gbv_shw_rp,"People, Work & Living Conditions"
gbv_st_age,"People, Work & Living Conditions"
gbv_st_cnq,"People, Work & Living Conditions"
gbv_st_occ,"People, Work & Living Conditions"
gbv_st_perp,"People, Work & Living Conditions"
gbv_st_rp,"People, Work & Living Conditions"
gov_10a_emp,Money & Markets
gov_10dd_acd,Money & Markets
gov_eu_debt,Money & Markets
gov_eu_fa,Money & Markets
gov_eu_nfa,Money & Markets
gov_gb,Money & Markets
hbs_exp_t111,"People, Work & Living Conditions"
hbs_exp_t132,"People, Work & Living Conditions"
hlth_cd_acdr2$dv_1145,Health & Safety
hlth_cd_aperrto,Health & Safety
hlth_cd_apyll,Health & Safety
hlth_cd_dar,Health & Safety
hlth_cd_iap,Health & Safety
hlth_co_bedoc,Health & Safety
hlth_co_dischnr,Health & Safety
hlth_co_ren,Health & Safety
hlth_db_emasne,Health & Safety
hlth_db_emasnt,Health & Safety
hlth_db_emaspr,Health & Safety
hlth_db_emaspt,Health & Safety
hlth_dhc140$dv_2681,Health & Safety
hlth_ehis_al1e$dv_1142,Health & Safety
hlth_ehis_al3e$dv_450,Health & Safety
hlth_ehis_al3i$dv_461,Health & Safety
hlth_ehis_am7sa,Health & Safety
hlth_ehis_am7sh,Health & Safety
hlth_ehis_bm1e$dv_309,Health & Safety
hlth_ehis_bm1i$dv_306,Health & Safety
hlth_ehis_fv3e$dv_1143,Health & Safety
hlth_ehis_fv3e$dv_462,Health & Safety
hlth_ehis_hc2,Health & Safety
hlth_ehis_hc3,Health & Safety
hlth_ehis_mh1e$dv_463,Health & Safety
hlth_ehis_mh1i$dv_464,Health & Safety
hlth_ehis_pe2e$dv_1144,Health & Safety
hlth_ehis_pe2e$dv_301,Health & Safety
hlth_ehis_pe3e$dv_296,Health & Safety
hlth_ehis_sk3e$dv_1127,Health & Safety
hlth_ehis_sk3e$dv_298,Health & Safety
hlth_ehis_sk3i$dv_1141,Health & Safety
hlth_ehis_sk3i$dv_304,Health & Safety
hlth_hc_dent,Health & Safety
hlth_hc_phys,Health & Safety
hlth_hc_phys2,Health & Safety
hlth_hlye$dv_2041,Health & Safety
hlth_hlye$dv_287,Health & Safety
hlth_hlye_h,Health & Safety
hlth_ps_immu,Health & Safety
hlth_ps_prev,Health & Safety
hlth_ps_scre,Health & Safety
hlth_rs_bdltc,Health & Safety
hlth_rs_grd2$dv_2825,Health & Safety
hlth_rs_prs2$dv_2824,Health & Safety
hlth_sha11_hc$dv_2841,Health & Safety
hlth_sha11_hf$dv_2821,Health & Safety
hlth_sha11_hf$dv_2826,Health & Safety
hlth_silc_08$dv_1146,Health & Safety
hlth_silc_08b_r,Health & Safety
hlth_silc_11$dv_1148,Health & Safety
hsw_ac4,Health & Safety
hsw_ac8$dv_386,Health & Safety
hsw_aw_inasz,Health & Safety
hsw_aw_inaws,Health & Safety
hsw_aw_nbosv,Health & Safety
hsw_aw_nnasv,Health & Safety
hsw_aw_nnasz,Health & Safety
hsw_aw_nnaws,Health & Safety
hsw_aw_ws2,Health & Safety
hsw_hp_disnu,Health & Safety
hsw_hp_nuse,Health & Safety
hsw_ij_edse,Health & Safety
hsw_ij_isna,Health & Safety
hsw_ij_nuse,Health & Safety
hsw_ij_svhos,Health & Safety
hsw_ij_svnia,Health & Safety
hsw_ij_svsha,Health & Safety
hsw_ind,Health & Safety
hsw_occ_cnr,Health & Safety
hsw_occ_ina,"People, Work & Living Conditions"
htec_si_exp4,Money & Markets
icw_car_01,"People, Work & Living Conditions"
icw_car_02,"People, Work & Living Conditions"
icw_car_04,"People, Work & Living Conditions"
icw_pov_03,"People, Work & Living Conditions"
icw_sr_02,"People, Work & Living Conditions"
icw_sr_03,"People, Work & Living Conditions"
icw_sr_05,"People, Work & Living Conditions"
icw_sr_09,"People, Work & Living Conditions"
icw_sr_10,"People, Work & Living Conditions"
icw_sr_12,"People, Work & Living Conditions"
icw_sr_13,"People, Work & Living Conditions"
icw_sr_14,"People, Work & Living Conditions"
icw_sr_15,"People, Work & Living Conditions"
icw_sr_16,"People, Work & Living Conditions"
ilc_camdforg0,"People, Work & Living Conditions"
ilc_camdothg0,"People, Work & Living Conditions"
ilc_camnforall,"People, Work & Living Conditions"
ilc_camnforg0,"People, Work & Living Conditions"
ilc_camnothall,"People, Work & Living Conditions"
ilc_camnothg0,"People, Work & Living Conditions"
ilc_caparents,"People, Work & Living Conditions"
ilc_chmd01,"People, Work & Living Conditions"
ilc_chmd02,"People, Work & Living Conditions"
ilc_chmd03,"People, Work & Living Conditions"
ilc_chmd04,"People, Work & Living Conditions"
ilc_chsb01,"People, Work & Living Conditions"
ilc_chsb02,"People, Work & Living Conditions"
ilc_di11_r,"People, Work & Living Conditions"
ilc_di11g,"People, Work & Living Conditions"
ilc_di11h,"People, Work & Living Conditions"
ilc_di11i,"People, Work & Living Conditions"
ilc_di12,"People, Work & Living Conditions"
ilc_di12b,"People, Work & Living Conditions"
ilc_di12c,"People, Work & Living Conditions"
ilc_di18,"People, Work & Living Conditions"
ilc_hch15,"People, Work & Living Conditions"
ilc_hch16$dv_2262,"People, Work & Living Conditions"
ilc_hch17$dv_2261,"People, Work & Living Conditions"
ilc_hch18$dv_2263,"People, Work & Living Conditions"
ilc_hch19$dv_2264,"People, Work & Living Conditions"
ilc_igtp03,"People, Work & Living Conditions"
ilc_igtp04,"People, Work & Living Conditions"
ilc_iw02$dv_2665,"People, Work & Living Conditions"
ilc_iw04,"People, Work & Living Conditions"
ilc_iw06,"People, Work & Living Conditions"
ilc_iw07,"People, Work & Living Conditions"
ilc_li02$dv_548,"People, Work & Living Conditions"
ilc_li11$dv_2662,"People, Work & Living Conditions"
ilc_li12,"People, Work & Living Conditions"
ilc_li13,"People, Work & Living Conditions"
ilc_li21$dv_2663,"People, Work & Living Conditions"
ilc_li22$dv_2664,"People, Work & Living Conditions"
ilc_li33,"People, Work & Living Conditions"
ilc_li33$dv_1983,"People, Work & Living Conditions"
ilc_li34,"People, Work & Living Conditions"
ilc_li34$dv_1982,"People, Work & Living Conditions"
ilc_li48,"People, Work & Living Conditions"
ilc_li70,"People, Work & Living Conditions"
ilc_lk11,"People, Work & Living Conditions"
ilc_lvhd01,"People, Work & Living Conditions"
ilc_lvhd02,"People, Work & Living Conditions"
ilc_lvhd03,"People, Work & Living Conditions"
ilc_lvhd04,"People, Work & Living Conditions"
ilc_lvhd06,"People, Work & Living Conditions"
ilc_lvhl11n$dv_1181,"People, Work & Living Conditions"
ilc_lvhl21n,"People, Work & Living Conditions"
ilc_lvhl23n,"People, Work & Living Conditions"
ilc_lvhl30$dv_1323,"People, Work & Living Conditions"
ilc_lvhl36,"People, Work & Living Conditions"
ilc_lvho03h,"People, Work & Living Conditions"
ilc_lvho04d,"People, Work & Living Conditions"
ilc_lvho04n,"People, Work & Living Conditions"
ilc_lvho05a$dv_1185,"People, Work & Living Conditions"
ilc_lvho05a$dv_2685,"People, Work & Living Conditions"
ilc_lvho05c,"People, Work & Living Conditions"
ilc_lvho05d,"People, Work & Living Conditions"
ilc_lvho07_r,"People, Work & Living Conditions"
ilc_lvho07b,"People, Work & Living Conditions"
ilc_lvho07c,"People, Work & Living Conditions"
ilc_lvho07d,"People, Work & Living Conditions"
ilc_lvho08b,"People, Work & Living Conditions"
ilc_lvho50c,"People, Work & Living Conditions"
ilc_lvho50d,"People, Work & Living Conditions"
ilc_lvph01,"People, Work & Living Conditions"
ilc_lvph02h,"People, Work & Living Conditions"
ilc_lvph03,"People, Work & Living Conditions"
ilc_lvph05,"People, Work & Living Conditions"
ilc_lvps08$dv_1041,"People, Work & Living Conditions"
ilc_lvps20,"People, Work & Living Conditions"
ilc_mddd04b$dv_2721,"People, Work & Living Conditions"
ilc_mddd11$dv_655,"People, Work & Living Conditions"
ilc_mddd17,"People, Work & Living Conditions"
ilc_mddd21,"People, Work & Living Conditions"
ilc_mdes01_r,"People, Work & Living Conditions"
ilc_mdes03$dv_2702,"People, Work & Living Conditions"
ilc_mdes03_r,"People, Work & Living Conditions"
ilc_mdes04_r,"People, Work & Living Conditions"
ilc_mdes05_r,"People, Work & Living Conditions"
ilc_mdho02c,"People, Work & Living Conditions"
ilc_mdho03c,"People, Work & Living Conditions"
ilc_mdho06a$dv_1184,"People, Work & Living Conditions"
ilc_mdho06a$dv_2701,"People, Work & Living Conditions"
ilc_mdho06d,"People, Work & Living Conditions"
ilc_mdho06q,"People, Work & Living Conditions"
ilc_mdsd03$dv_1165,"People, Work & Living Conditions"
ilc_mdsd06,"People, Work & Living Conditions"
ilc_mdsd07$dv_2621,"People, Work & Living Conditions"
ilc_mdsd08,"People, Work & Living Conditions"
ilc_mdsd09,"People, Work & Living Conditions"
ilc_mdsd18,"People, Work & Living Conditions"
ilc_odbt01,"People, Work & Living Conditions"
ilc_odbt02,"People, Work & Living Conditions"
ilc_odbt03,"People, Work & Living Conditions"
ilc_odbt04,"People, Work & Living Conditions"
ilc_odbt05,"People, Work & Living Conditions"
ilc_odbt06,"People, Work & Living Conditions"
ilc_odbt07,"People, Work & Living Conditions"
ilc_odbt08,"People, Work & Living Conditions"
ilc_odbt09,"People, Work & Living Conditions"
ilc_odbt12,"People, Work & Living Conditions"
ilc_odbt13,"People, Work & Living Conditions"
ilc_odbt14,"People, Work & Living Conditions"
ilc_pecs01,"People, Work & Living Conditions"
ilc_peps01n$dv_1161,"People, Work & Living Conditions"
ilc_peps07,"People, Work & Living Conditions"
ilc_peps07n,"People, Work & Living Conditions"
ilc_peps11,"People, Work & Living Conditions"
ilc_peps11n,"People, Work & Living Conditions"
ilc_peps13n,"People, Work & Living Conditions"
ilc_pnp11,"People, Work & Living Conditions"
ilc_pnp12,"People, Work & Living Conditions"
ilc_pnp13,"People, Work & Living Conditions"
ilc_pnp14,"People, Work & Living Conditions"
ilc_pnp2,"People, Work & Living Conditions"
ilc_pnp2$dv_1988,"People, Work & Living Conditions"
ilc_pnp3,"People, Work & Living Conditions"
ilc_pns2,"People, Work & Living Conditions"
ilc_pns4,"People, Work & Living Conditions"
ilc_pns5,"People, Work & Living Conditions"
ilc_pw01$dv_2761,"People, Work & Living Conditions"
ilc_pw01b$dv_2749,"People, Work & Living Conditions"
ilc_pw01b$dv_2751,"People, Work & Living Conditions"
ilc_pw01b$dv_2781,"People, Work & Living Conditions"
ilc_pw03$dv_2762,"People, Work & Living Conditions"
ilc_pw05b$dv_2766,"People, Work & Living Conditions"
ilc_pw08$dv_426,"People, Work & Living Conditions"
ilc_pw12$dv_2547,"People, Work & Living Conditions"
ilc_pw14,"People, Work & Living Conditions"
ilc_pw15$dv_2750,"People, Work & Living Conditions"
ilc_sbjp02,"People, Work & Living Conditions"
ilc_sbjp04,"People, Work & Living Conditions"
ilc_sbjp05,"People, Work & Living Conditions"
ilc_scp01$dv_1061,Living Well
ilc_scp03$dv_1062,Living Well
