domain,code,title
General and regional statistics,sdg_16_10,Standardised death rate due to homicide by sex
General and regional statistics,tps00116,"Death due to cancer, by sex"
General and regional statistics,tps00128,"Death due to pneumonia, by sex"
General and regional statistics,tgs00064,Available beds in hospitals by NUTS 2 region
General and regional statistics,hlth_silc_08b_r,"Self-reported unmet needs for medical examination due to financial reasons, long waiting list or distance by NUTS-2-region - % of the persons having the same needs"
General and regional statistics,tgs00075,Maritime transport of passengers by NUTS 2 region
General and regional statistics,tgs00076,Maritime transport of freight by NUTS 2 region
General and regional statistics,tgs00077,Air transport of passengers by NUTS 2 region
General and regional statistics,tgs00078,Air transport of freight by NUTS 2 region
General and regional statistics,lfst_r_lmdgeg,Regional disparities in gender employment gap (NUTS level 2)
General and regional statistics,lfst_r_lmdltu,Regional disparities in long-term unemployment rates (NUTS level 2)
General and regional statistics,lfst_r_edatd_16,Regional disparities in the rate of early leavers from education and training (NUTS level 2)
General and regional statistics,lfst_r_edatd_22,Regional disparities in the rate of young people neither in employment nor in education and training (NEET) (NUTS level 2)
General and regional statistics,earn_ses06_rann,"Mean annual earnings by NUTS 1 region (enterprises with 10 employees or more) - NACE Rev. 1.1, C-O excluding L"
General and regional statistics,earn_ses06_rhr,"Mean hourly earnings by NUTS 1 region (enterprises with 10 employees or more) - NACE Rev. 1.1, C-O excluding L"
General and regional statistics,earn_ses10_rhr,"Mean hourly earnings by NUTS 1 region (enterprises with 10 employees or more) - NACE Rev. 2, B-S excluding O"
General and regional statistics,earn_ses10_rann,"Mean annual earnings by NUTS 1 region (enterprises with 10 employees or more) - NACE Rev. 2, B-S excluding O"
General and regional statistics,tgs00047,Households that have internet access at home by NUTS 2 region
General and regional statistics,isoc_r_cux_i,Individuals who have never used a computer
General and regional statistics,tgs00052,Individuals who ordered goods or services over the internet for private use in the last year by NUTS 2 region
General and regional statistics,ilc_peps11n,Persons at risk of poverty or social exclusion by NUTS 2 region
General and regional statistics,tgs00107,People at risk of poverty or social exclusion by NUTS 2 region
General and regional statistics,ilc_lvhl21n,Persons living in households with very low work intensity by NUTS 2 region (population aged 0 to 64 years)
General and regional statistics,ilc_mdsd18,Severe material and social deprivation by NUTS 2 region
General and regional statistics,ilc_mdsd08,Material and social deprivation rate by NUTS 2 region
General and regional statistics,ilc_mdes01_r,Inability to keep home adequately warm by NUTS 2 region
General and regional statistics,ilc_mdes03_r,"Inability to afford a meal with meat, chicken, fish (or vegetarian equivalent) every second day by NUTS 2 region"
General and regional statistics,ilc_mdes04_r,Inability to face unexpected financial expenses by NUTS 2 region
General and regional statistics,ilc_mdes05_r,"Arrears (mortgage or rent, utility bills or hire purchase) by NUTS 2 region"
General and regional statistics,ilc_lvho07_r,Housing cost overburden rate by NUTS 2 region
General and regional statistics,ilc_di11_r,Income quintile share ratio S80/S20 by NUTS 2 region
General and regional statistics,ilc_lvho04n,Average number of rooms per person by NUTS 2 region
General and regional statistics,met_d3dens,Population density by metropolitan region
General and regional statistics,trng_any3,Participation in any learning activities by degree of urbanisation
General and regional statistics,trng_fed3,Participation in formal education by degree of urbanisation
General and regional statistics,trng_inf3,Participation in informal learning by degree of urbanisation
General and regional statistics,trng_nfe4,Participation in non-formal education and training by degree of urbanisation
General and regional statistics,ilc_peps13n,Persons at risk of poverty or social exclusion by degree of urbanisation
General and regional statistics,sdg_01_10a,Share of persons at risk of poverty or social exclusion by degree of urbanisation
General and regional statistics,ilc_li48,At-risk-of-poverty rate after deducting housing costs by degree of urbanisation
General and regional statistics,ilc_lvho04d,Average number of rooms per person by degree of urbanization
General and regional statistics,ilc_lvho05d,Overcrowding rate by degree of urbanisation - total population
General and regional statistics,ilc_lvho50d,Share of people living in under-occupied dwellings by degree of urbanisation - total population
General and regional statistics,ilc_lvho07d,Housing cost overburden rate by degree of urbanisation
General and regional statistics,ilc_lvho08b,Median of the housing cost burden distribution by degree of urbanisation
General and regional statistics,ilc_mdsd09,Material and social deprivation rate by degree of urbanisation
General and regional statistics,tepsr_lm440,Severe housing deprivation rate by tenure status
General and regional statistics,ilc_mdho06d,Severe housing deprivation rate by degree of urbanisation
General and regional statistics,tepsr_lm230,Gender employment gap by degree of urbanisation
General and regional statistics,tin00096,Individuals using the internet for buying goods or services
General and regional statistics,tepsr_sp410,Individuals who have basic or above basic overall digital skills by sex
General and regional statistics,orch_olives1,Olive trees - Area by age classes (area in ha)
General and regional statistics,orch_olives2,Olive trees - Area by density classes (area in ha)
General and regional statistics,orch_total,area by species (area in ha)
General and regional statistics,orch_olives3,Olive trees - Area by age and density classes (area in ha)
General and regional statistics,orch_grapes3,Table grape vines - Area by age and density classes (area in ha)
General and regional statistics,lan_lcv_arti,Land covered by artificial surfaces - index
General and regional statistics,lan_settl,Settlement area
General and regional statistics,enps_nama_10_gdp,Gross domestic product at market prices - ENP-South countries
General and regional statistics,enps_nama_10_gdp_ea,Gross domestic product at market prices by expenditure - ENP-South countries
General and regional statistics,enps_nama_10_a10,Gross value added by industry - ENP-South countries
General and regional statistics,enps_gov_10dd,Government deficit/surplus and debt - ENP-South countries
General and regional statistics,enps_gov_10dde,economy deficit/surplus - ENP-South countries
General and regional statistics,enps_bop_iip6,Gross external debt of the whole economy - ENP-South countries
General and regional statistics,enps_cpi,Consumer price index - ENP-South countries
General and regional statistics,enps_demo_dens,Population density - ENP-South countries
General and regional statistics,enps_demo_pjangry,Average population mid-year by sex and age group - ENP-South countries
General and regional statistics,enps_demo_frate1,Fertility rate - ENP-South countries
General and regional statistics,enps_demo_gind,"Crude rate of birth, of dead and of population change - ENP-South countries"
General and regional statistics,enps_demo_infant,Infant mortality rate by sex - ENP-South countries
General and regional statistics,enps_demo_under5,Mortality rate (under age 5) by sex - ENP-South countries
General and regional statistics,enps_demo_mlexpec,Life expectancy at birth by sex - ENP-South countries
General and regional statistics,enps_demo_nind,Mean age at first marriage by sex - ENP-South countries
General and regional statistics,enps_educ_ltr,Literacy rate by sex and age group - ENP-South countries
General and regional statistics,enps_educ_compyr,Net enrolment rates by sex and education level - ENP-South countries
General and regional statistics,enps_educ_enrate,Net enrolment rates by sex and education level - ENP-South countries
General and regional statistics,enps_educ_comprate,School completion rate at ISCED 1 level by sex - ENP-South countries
General and regional statistics,enps_educ_parity,Gender parity index by education level - ENP-South countries
General and regional statistics,enps_educ_figdp,Public expenditure on education - ENP-South countries
General and regional statistics,enps_edat_lfse3,Population (aged 20-24) who completed at least an upper secondary educational attainment level (ISCED level 3) by sex - ENP-South countries
General and regional statistics,enps_edat_lfse4,Population (aged 25 and over) by sex and educational attainment level - ENP-South countries
General and regional statistics,enps_lfsa_argaed,Activity rates (aged 15-64) by sex - ENP-South countries
General and regional statistics,enps_lfsa_pganws,employment by age group - ENP-South countries
General and regional statistics,enps_lfsa_ergan,Employment rates (aged 15-64) by sex - ENP-South countries
General and regional statistics,enps_lfsa_egaps,Employment by professional status - ENP-South countries
General and regional statistics,enps_lfsa_urgan,Unemployment rates by sex and age - ENP-South countries
General and regional statistics,enps_ilc_di11,Income quintile share ratio - S80/S20 - ENP-South countries
General and regional statistics,enps_ilc_natln,Poverty headcount ratio by sex (proportion of persons below the national poverty line) - ENP-South countries
General and regional statistics,enps_ilc_secure,Households with access to secure tenure by simplified degree of urbanisation - ENP-South countries
General and regional statistics,enps_ilc_sanit,Households with sustainable access to improved sanitation by simplified degree of urbanisation - ENP-South countries
General and regional statistics,enps_tour_cap_nat,Tourism infrastructure - ENP-South countries
General and regional statistics,enps_tour_border,Arrivals of tourists at the border - ENP-South countries
General and regional statistics,enps_tour_occ_arnat,Arrivals at tourism accommodation establishments by type of accommodation - ENP-South countries
General and regional statistics,enps_tour_dem_tttot,Departures of residents going abroad for all holidays and business - ENP-South countries
General and regional statistics,enps_tour_occ_ninat,Nights spent at tourism accommodation establishments - ENP-South countries
General and regional statistics,enps_tour_cap_natb,Bed places in hotels and similar accommodation - ENP-South countries
General and regional statistics,enps_reg_area3,area - ENP-South countries
General and regional statistics,enps_ef_lus_main,Main farm land use - ENP-South countries
General and regional statistics,enps_apro_cpnh1,Crop production - ENP-South countries
General and regional statistics,enps_apro_mt_ls,Livestock - ENP-South countries
General and regional statistics,enps_apro_mt_p,Meat production - ENP-South countries
General and regional statistics,enps_fish_ca_main,Fish catches by fishing areas - ENP-South countries
General and regional statistics,enps_fish_aq2a,Aquaculture production by aquatic environment - ENP-South countries
General and regional statistics,enps_rail_if,Length of rail network - ENP-South countries
General and regional statistics,enps_rail_eq,Number of railway vehicles per type - ENP-South countries
General and regional statistics,enps_rail_pa,Rail passenger traffic - ENP-South countries
General and regional statistics,enps_rail_fr,Rail freight traffic - ENP-South countries
General and regional statistics,enps_road_if,Length of roads network - ENP-South countries
General and regional statistics,enps_road_eqs_car,Stock of vehicles by category - ENP-South countries
General and regional statistics,enps_road_go,Road freight transport - ENP-South countries
General and regional statistics,enps_tran_sf_r,Persons killed in road accidents - ENP-South countries
General and regional statistics,enps_mar_por,Number of principal ports - ENP-South countries
General and regional statistics,enps_mar_eq300,Number of ships of 300 and over - ENP-South countries
General and regional statistics,enps_mar_eq1000,Number of ships of 1000 and over by type of vessel - ENP-South countries
General and regional statistics,enps_mar_eqton,Carrying capacity of merchant ships of 1000 and over by vessel type - ENP-South countries
General and regional statistics,enps_mar_padir,Passengers embarked and disembarked (excluding cruises) in all ports by direction - ENP-South countries
General and regional statistics,enps_mar_frdir,Gross weight of goods handled in all ports by direction - ENP-South countries
General and regional statistics,enps_avia_if,Number of airports - ENP-South countries
General and regional statistics,enps_avia_typ,Commercial aircraft fleet by type of aircraft - ENP-South countries
General and regional statistics,enps_avia_pa,Air passenger transport - ENP-South countries
General and regional statistics,enps_avia_fr,Freight and mail air transport (including national transport) - ENP-South countries
General and regional statistics,enps_env_air_emis,Air pollutants - ENP-South countries
General and regional statistics,enps_env_wasgenh,Generation of waste by households - ENP-South countries
General and regional statistics,enps_env_wasgenm,Municipal waste generated - ENP-South countries
General and regional statistics,enps_env_wasacc,Population served by municipal waste - ENP-South countries
General and regional statistics,enps_env_wasgenp,Municipal waste per inhabitant - ENP-South countries
General and regional statistics,enps_env_wastrt,Treatment of municipal waste - ENP-South countries
General and regional statistics,enps_env_wat_abs,Annual freshwater abstraction by source - ENP-South countries
General and regional statistics,enps_env_wat_cat,Water use by economic activity - ENP-South countries
General and regional statistics,enps_env_wat_cov,Population connected to public water supply - ENP-South countries
General and regional statistics,enps_env_ww_con,Population connected to wastewater collection and treatment systems - ENP-South countries
General and regional statistics,enps_nrg_bal_c,Energy balance - ENP-South countries
General and regional statistics,enps_nrg_bal_c1,Final energy consumption by sector - ENP-South countries
General and regional statistics,enpe_nama_10_pe,Employment growth (domestic concept) - ENP-East countries
General and regional statistics,enpe_nama_10_lp,Labour productivity in GDP (constant prices) per person employed - ENP-East countries
General and regional statistics,enpe_nama_10_ulc,Nominal unit labour cost growth - ENP-East countries
General and regional statistics,enpe_nama_10_gdp,Gross domestic product at market prices - ENP-East countries
General and regional statistics,enpe_nama_10_gdp_ea,Gross domestic product at market prices by expenditure - ENP-East countries
General and regional statistics,enpe_nama_10_a10,Gross value added by industry - ENP-East countries
General and regional statistics,enpe_gov_10dd,Government deficit/surplus and debt - ENP-East countries
General and regional statistics,enpe_bop_iip6,Gross external debt of the whole economy - ENP-East countries
General and regional statistics,enpe_bop_iip6_serv,"Gross external debt of the whole economy, relative to exports of goods and services - ENP-East countries"
General and regional statistics,enpe_irt_lt_gby10,Government bond yields - 10 years' maturity - ENP-East countries
General and regional statistics,enpe_irt_ld,Loan and deposit one year interest rate - ENP-East countries
General and regional statistics,enpe_irt_st,Money market interest rates - ENP-East countries
General and regional statistics,enpe_mon_res,Money supply and official reserves - ENP-East countries
General and regional statistics,enpe_cpi,Consumer price index - ENP-East countries
General and regional statistics,enpe_bop_c6_a,Balance of payments - ENP-East countries
General and regional statistics,enpe_educ_uoe_enra02,Pupils and students enrolled by education level - ENP-East countries
General and regional statistics,enpe_educ_figdp,Public expenditure on education - ENP-East countries
General and regional statistics,enpe_edat_lfse_03,Population (aged 30-34) who completed tertiary or equivalent education - ENP-East countries
General and regional statistics,enpe_edat_lfse_14,Early leavers from education and training (aged 18-24) by sex - ENP-East countries
General and regional statistics,enpe_lfsa_argaed,Activity rates by sex and age - ENP-East countries
General and regional statistics,enpe_lfsa_ergan,Employment and employment rates (aged 20-64) by sex - ENP-East countries
General and regional statistics,enpe_lfsa_urgan,Unemployment rates by sex and age - ENP-East countries
General and regional statistics,enpe_lfsa_urgan2,Long-term unemployment rates by sex - ENP-East countries
General and regional statistics,enpe_wg_m,Average nominal monthly wages and salaries - ENP-East countries
General and regional statistics,enpe_ilc_di11,Income quintile share ratio - S80/S20 - ENP-East countries
General and regional statistics,enpe_ilc_li09,"Proportion of persons at risk of relative poverty, before social transfers by sex - ENP-East countries"
General and regional statistics,enpe_ilc_li01,"Relative poverty threshold after social transfers, income per month - ENP-East countries"
General and regional statistics,enpe_spr_exp,Social protection expenditure excluding administrative costs (including health expenditure) - % of GDP - ENP-East countries
General and regional statistics,enpe_hlth_exp,Health care expenditure - % of GDP - ENP-East countries
General and regional statistics,enpe_sts_incopr,Industrial and construction production volume index - calendar adjusted - ENP-East countries
General and regional statistics,enpe_sts_inppd,Domestic industrial production price index - ENP-East countries
General and regional statistics,enpe_sts_trtu,Services turnover index - calendar adjusted - ENP-East countries
General and regional statistics,enpe_sts_trtu1,Retail trade volume of sales index (deflated turnover) - ENP-East countries
General and regional statistics,enpe_tour_cap_nat,Number of bed places in hotels and similar accomodation - ENP-East countries
General and regional statistics,enpe_tour_occ_arnat,Arrivals of non-residents at hotels and similar accomodation establishments - ENP-East countries
General and regional statistics,enpe_tour_dem_tttot,Departures of residents going abroad for all holidays and business - ENP-East countries
General and regional statistics,enpe_reg_area3,area - ENP-East countries
General and regional statistics,enpe_ef_lus_main,Main farm land use - ENP-East countries
General and regional statistics,enpe_apro_mt_ls,Livestock - ENP-East countries
General and regional statistics,enpe_apro_mt_p,Meat production - ENP-East countries
General and regional statistics,enpe_apro_cpnh1,Crop production - ENP-East countries
General and regional statistics,enpe_fish_ca_main,Fish catches - ENP-East countries
General and regional statistics,enpe_ext_bal,Trade balance - ENP-East countries
General and regional statistics,enpe_ext_intro,Share of imports and exports in EU27 trade - ENP-East countries
General and regional statistics,enpe_rail_if,Length of rail lines - ENP-East countries
General and regional statistics,enpe_rail_go,Goods transported by rail - ENP-East countries
General and regional statistics,enpe_road_if,Length of roads network - ENP-East countries
General and regional statistics,enpe_road_eqs_car,Passenger cars - ENP-East countries
General and regional statistics,enpe_road_pa,Passenger road transport - ENP-East countries
General and regional statistics,enpe_road_go,Road freight transport - ENP-East countries
General and regional statistics,enpe_mar_go,Gross weight of goods handled - ENP-East countries
General and regional statistics,enpe_rd_e_gerdfund,Gross domestic expenditure on R&D (GERD) - ENP-East countries
General and regional statistics,enpe_isoc_ci_in_h,Percentage of households having internet access at home - ENP-East countries
General and regional statistics,enpe_isoc_ci_ifp_fu,Frequency of internet use by individuals (aged 16-74) - ENP-East countries
Economy and finance,tipsen10,Net trade balance of energy products - % of GDP
Economy and finance,tipsna20,Gross fixed capital formation at current prices
Economy and finance,tec00115,Real GDP growth rate - volume
Economy and finance,tipspd10,"Private sector debt, non-consolidated"
Economy and finance,cei_pc032,Generation of waste excluding major mineral wastes per GDP unit
Economy and finance,tec00001,Gross domestic product at market prices
Economy and finance,tec00013,Compensation of employees
Economy and finance,tipsna30,Terms of trade by items - 5 years % change
Economy and finance,tec00010,Final consumption expenditure of general government
Economy and finance,tipsna51,Final consumption expenditure of households and non-profit institutions serving households - annual data
Economy and finance,tet00003,Exports of goods and services in % of GDP
Economy and finance,tec00011,Gross fixed capital formation (investments)
Economy and finance,tipslm13,"Compensation of employees - annual data, million units of national currency"
Economy and finance,tec00110,"Goods and services, imports and exports"
Economy and finance,tipspc10,"Private sector credit flow, non-consolidated"
Economy and finance,tec00009,Final consumption expenditure of households and non-profit institutions serving households
Economy and finance,tec00001,Gross domestic product at market prices
Economy and finance,sdg_08_10,Real GDP per capita
Economy and finance,tec00115,Real GDP growth rate - volume
Economy and finance,tipsna40,Real GDP per capita
Economy and finance,nama_10_pp,Gross national income (GNI) per capita
Economy and finance,tipsna50,"Residential construction - annual data, % of GDP"
Economy and finance,tipsho50,Residential building permits - annual data
Economy and finance,sdg_16_30,General government total expenditure on law courts
Economy and finance,tipsna62,"Employees, domestic concept - annual data"
Economy and finance,tipsna60,"Employment, domestic concept - annual data"
Economy and finance,tec00112,"Employment, domestic concept -"
Economy and finance,nama_10_fte,Average full time adjusted salary per employee
Economy and finance,tec00116,Nominal labour productivity per person employed
Economy and finance,tesem170,Nominal unit labour cost growth
Economy and finance,teina110,GDP deflator
Economy and finance,teina041,"Gross fixed capital formation, volumes"
Economy and finance,teina040,"Gross fixed capital formation, current prices"
Economy and finance,teina031,"Government final consumption expenditure, volumes"
Economy and finance,teina011,"Gross domestic product, volumes"
Economy and finance,teina020,"Final consumption expenditure of households and NPISH, current prices"
Economy and finance,teina021,"Final consumption expenditure of households and NPISH, volumes"
Economy and finance,teina404_r2,Gross value added - NACE Rev. 2: A - current prices
Economy and finance,teina406_r2,Gross value added - NACE Rev. 2: A - volumes
Economy and finance,teina418_r2,Gross value added - NACE Rev. 2: F - volumes
Economy and finance,teina402_r2,Gross value added - NACE Rev. 2: - volumes
Economy and finance,teina410_r2,Gross value added - NACE Rev. 2: B-E - volumes
Economy and finance,teina412_r2,Gross value added - NACE Rev. 2: C - current prices
Economy and finance,teina400_r2,Gross value added - NACE Rev. 2: - current prices
Economy and finance,teina446_r2,Gross value added - NACE Rev. 2: R-U - volumes
Economy and finance,teina438_r2,Gross value added - NACE Rev. 2: M_N - volumes
Economy and finance,teina414_r2,Gross value added - NACE Rev. 2: C - volumes
Economy and finance,teina426_r2,Gross value added - NACE Rev. 2: J - volumes
Economy and finance,teina428_r2,Gross value added - NACE Rev. 2: K - current prices
Economy and finance,teina416_r2,Gross value added - NACE Rev. 2: F - current prices
Economy and finance,teina432_r2,Gross value added - NACE Rev. 2: L - current prices
Economy and finance,teina440_r2,Gross value added - NACE Rev. 2: O-Q - current prices
Economy and finance,teina434_r2,Gross value added - NACE Rev. 2: L - volumes
Economy and finance,teina444_r2,Gross value added - NACE Rev. 2: R-U - current prices
Economy and finance,teina424_r2,Gross value added - NACE Rev. 2: J - current prices
Economy and finance,tec00113,Adjusted gross disposable income of households per capita in PPS
Economy and finance,tipspd30,"Non-financial corporations debt, consolidated - % of GDP"
Economy and finance,tec00131,Household saving rate
Economy and finance,tec00132,Investment by institutional sectors
Economy and finance,tec00104,Gross debt-to-income ratio of households
Economy and finance,tec00021,general government revenue
Economy and finance,tec00023,general government expenditure
Economy and finance,gov_10a_emp,General government employment
Economy and finance,gov_10dd_acd,Apparent cost of general government gross debt
Economy and finance,tec00127,General government deficit/surplus
Economy and finance,gov_eu_nfa,Non-financial accounts for institutions
Economy and finance,gov_eu_fa,Financial accounts for institutions
Economy and finance,gov_eu_debt,Debt of the institutions
Economy and finance,gov_gb,"Stock of general government debt security liabilities issued as 'green bonds' - one-off data collection, experimental statistics"
Economy and finance,tec00033,ECU/EUR exchange rates versus national currencies
Economy and finance,ert_bil_conv_a,Conversion factors for euro fixed series into euro/ECU - annual data
Economy and finance,ert_h_eur_a,Former euro area national currencies vs. euro/ECU - annual data
Economy and finance,irt_lt_mcby_a,EMU convergence criterion series - annual data
Economy and finance,tec00097,EMU convergence criterion series - annual data
Economy and finance,irt_lt_mcby_q,EMU convergence criterion series - quarterly data
Economy and finance,irt_lt_gby10_a,"Government bond yields, 10 years' maturity - annual data"
Economy and finance,irt_lt_gby10_m,"Government bond yields, 10 years' maturity - monthly data"
Economy and finance,irt_st_a,Money market interest rates - annual data
Economy and finance,irt_h_euryld_a,Euro yield curves - annual data
Economy and finance,irt_h_cgby_a,Central government bond yields - annual data
Economy and finance,irt_h_cgby_q,Central government bond yields - quarterly data
Economy and finance,irt_h_cgby_m,Central government bond yields - monthly data
Economy and finance,irt_h_ddmr_a,Day-to-day rates for euro area countries - annual data
Economy and finance,irt_h_ddmr_q,Day-to-day rates for euro area countries - quarterly data
Economy and finance,irt_h_mr3_a,3-month rates for euro area countries - annual data
Economy and finance,irt_h_mr3_q,3-month rates for euro area countries - quarterly data
Economy and finance,teicp010,HICP - food
Economy and finance,teicp020,HICP - alcohol and tobacco
Economy and finance,teicp030,HICP - clothing
Economy and finance,teicp040,HICP - housing
Economy and finance,teicp000,HICP - all items
Economy and finance,teicp070,HICP - transport
Economy and finance,teicp080,HICP - communications
Economy and finance,teicp090,HICP - recreation and culture
Economy and finance,teicp050,HICP - household equipment
Economy and finance,teicp100,HICP - education
Economy and finance,teicp060,HICP - health
Economy and finance,teicp110,HICP - hotels and restaurants
Economy and finance,teicp120,HICP - miscellaneous goods and services
Economy and finance,teicp200,"HICP - all items excluding energy, food, alcohol and tobacco"
Economy and finance,teicp210,HICP - all items excluding energy
Economy and finance,teicp220,HICP - all items excluding energy and unprocessed food
Economy and finance,teicp230,HICP - all items excluding energy and seasonal food
Economy and finance,teicp240,HICP - all items excluding tobacco
Economy and finance,teicp250,HICP - energy
Economy and finance,teicp260,"HICP - food, alcohol and tobacco"
Economy and finance,teicp290,HICP - non-energy industrial goods
Economy and finance,teicp280,HICP - services
Economy and finance,tec00118,HICP - inflation rate
Economy and finance,tec00027,HICP - all items - annual average indices
Economy and finance,prc_hicp_cow,HICP - country weights
Economy and finance,prc_hpi_inw,House price index - Item weights
Economy and finance,prc_hpi_hsna,"House sales - number and index, annual data"
Economy and finance,prc_hpi_hsva,"House sales - value and index, annual data"
Economy and finance,tec00120,Price level indices
Economy and finance,tec00114,GDP per capita in PPS
Economy and finance,sdg_10_10,Purchasing power adjusted GDP per capita
Economy and finance,prc_ppp_conv,Convergence indicators
Economy and finance,tec00121,Price and volume convergence between Member States
Economy and finance,prc_colc_nat,Correction coefficients in the European Union (Countries) - index = 100)
Economy and finance,prc_colc_tot,Correction coefficients in the European Union (Duty stations) - index (Brussels = 100)
Economy and finance,prc_colc_ext,Correction coefficients outside the European Union (Duty stations) - index (Brussels = 100)
Economy and finance,prc_colc_pppnat,Purchasing Power Parities in the European Union (Countries) - index = 1)
Economy and finance,prc_colc_ppptot,Purchasing Power Parities in the European Union (Duty stations) - index (Brussels = 1)
Economy and finance,prc_colc_surf,Typical dwelling sizes by type of dwelling in each surveyed city
Economy and finance,prc_rem_cs,Remuneration indexes of national civil servants in central public administration
Economy and finance,prc_rem_avg,Average remuneration of national civil servants in central public administration
Economy and finance,prc_rem_nr,National civil servants in central public administration
Economy and finance,prc_rem_idx,Joint Index
Economy and finance,prc_rem_gdp,GDP weights used in the calculation of the global specific indicator
Economy and finance,bop_its_str,International trade in services - market integration indicators - historical data
Economy and finance,tec00041,"Current account transactions - primary income: credits, debits and balance"
Economy and finance,tec00039,"Current account transactions - goods: credits, debits and balance"
Economy and finance,tec00039,"Current account transactions - goods: credits, debits and balance"
Economy and finance,tec00041,"Current account transactions - primary income: credits, debits and balance"
Economy and finance,tec00042,"Current account transactions - secondary income: credits, debits and balance"
Economy and finance,tec00038,"Current account transactions - credits, debits and balance"
Economy and finance,tec00040,"Current account transactions - services: credits, debits and balance"
Economy and finance,tec00042,"Current account transactions - secondary income: credits, debits and balance"
Economy and finance,tec00038,"Current account transactions - credits, debits and balance"
Economy and finance,tec00040,"Current account transactions - services: credits, debits and balance"
Economy and finance,tec00106,Outward FDI stocks in % of GDP
Economy and finance,tec00105,Inward FDI stocks in % of GDP
Economy and finance,tec00107,"FDI flows intensity, market integration"
Population and social conditions,cens_hndwsize,Households by size (number of persons)
Population and social conditions,cens_hndwnr,Occupied conventional dwellings by number of rooms
Population and social conditions,cens_01ndquart_hd,Private households by type of housing
Population and social conditions,cens_01ndquart_lq,Living quarters by type of housing
Population and social conditions,cens_01ndquart_oc,Occupants by type of housing
Population and social conditions,cens_01ndcomf,Occupied conventional dwellings by presence of comfort characteristics
Population and social conditions,cens_01ndbuild,"Dwellings by type of ownership, type of building and occupancy status"
Population and social conditions,cens_91hpnper,Household composition by size
Population and social conditions,cens_91hnnch,Family nuclei by number of children
Population and social conditions,cens_91typb,Housing units by type of building
Population and social conditions,cens_91typl,Housing units by type
Population and social conditions,cens_91down,"Occupied conventional dwellings by households, by number of rooms"
Population and social conditions,cens_91dper,Occupied conventional dwellings by tenure status and period of construction
Population and social conditions,cens_91dame,Occupied conventional dwellings by tenure status and amenities
Population and social conditions,tps00001,Population on 1 January
Population and social conditions,tps00204,Live births and crude birth rate
Population and social conditions,tgs00027,"population, Candidate countries and potential candidates"
Population and social conditions,eq_fer05,Live births
Population and social conditions,tps00029,Deaths and crude death rate
Population and social conditions,tps00019,"Population change - crude rates of total change, natural change and net migration plus adjustment"
Population and social conditions,eq_mor06,Deaths by sex
Population and social conditions,tps00005,Population as a percentage of EU27 (from population
Population and social conditions,tps00028,Proportion of population aged 65 and over
Population and social conditions,eq_pop04,Median age by sex
Population and social conditions,eq_pop03,Population structure by detailed age group
Population and social conditions,eq_pop02,Population structure by sex
Population and social conditions,tps00198,Old-age-dependency ratio
Population and social conditions,tps00003,Population density
Population and social conditions,demo_urespop,Usually resident population on 1 January
Population and social conditions,demo_popep,Persons eligible to vote in the European Parliament elections by category of voters - dedicated data collection
Population and social conditions,tps00017,Mean age of women at childbirth and at birth of first child
Population and social conditions,tps00199,fertility rate
Population and social conditions,demo_fabortind,Abortion indicators
Population and social conditions,demo_mexrt,Excess mortality by month
