"title"	"code"	"type"	"last update of data"	"last table structure change"	"data start"	"data end"	"values"
"                    Gross fixed capital formation by main asset type - quarterly data"	"namq_10_an6"	"dataset"	"14.08.2026"	"30.07.2026"	"1978-Q1"	"2026-Q2"	2779899
"                    Employment by main industry (NACE Rev.2) - national accounts - quarterly data"	"namq_10_a10_e"	"dataset"	"14.08.2026"	"07.07.2026"	"1980-Q1"	"2026-Q2"	3501269
"                Quarterly sector accounts (ESA 2010)"	"ei_nasq_10"	"folder"	" "	" "	" "	" "	
"                    Key indicators for sector accounts - quarterly data"	"nasq_10_ki"	"dataset"	"05.08.2026"	"03.07.2026"	"1980-Q1"	"2026-Q1"	26098
"                    Non-financial transactions - quarterly data"	"nasq_10_nf_tr"	"dataset"	"05.08.2026"	"03.07.2026"	"1980-Q1"	"2026-Q1"	3502118
"                Gross domestic product (GDP) and main components (output, expenditure and income) - annual data"	"nama_10_gdp"	"dataset"	"14.08.2026"	"19.06.2026"	"1975"	"2025"	1093663
"                    Real GDP growth rate - volume"	"tec00115"	"table"	"14.08.2026"	"19.06.2026"	"2014"	"2025"	977
"                    Gross domestic product (GDP) at market prices - annual data"	"tipsna10"	"table"	"14.08.2026"	"19.06.2026"	"1995"	"2025"	2754
"                    Gross domestic product at market prices"	"tec00001"	"table"	"14.08.2026"	"19.06.2026"	"2014"	"2025"	1011
"                    Compensation of employees"	"tec00013"	"table"	"14.08.2026"	"19.06.2026"	"2014"	"2025"	1032
"                    Final consumption expenditure of general government"	"tec00010"	"table"	"14.08.2026"	"19.06.2026"	"2014"	"2025"	1030
"                    Imports of goods and services in % of GDP"	"tet00004"	"table"	"14.08.2026"	"19.06.2026"	"2014"	"2025"	1541
"                    Exports of goods and services in % of GDP"	"tet00003"	"table"	"14.08.2026"	"19.06.2026"	"2014"	"2025"	1541
"                    Gross fixed capital formation (investments)"	"tec00011"	"table"	"14.08.2026"	"19.06.2026"	"2014"	"2025"	1030
