"title"	"code"	"type"	"last update of data"	"last table structure change"	"data start"	"data end"	"values"
"        Employment and social policy indicators"	"es"	"folder"	" "	" "	" "	" "	
"            Social protection performance monitor - indicators"	"tespm"	"folder"	" "	" "	" "	" "	
"                Persons at risk of poverty or social exclusion"	"sdg_01_10"	"table"	"08.06.2026"	"08.06.2026"	"2014"	"2025"	1516
"                At-risk-of-poverty rate"	"tespm010"	"table"	"10.06.2026"	"10.06.2026"	"2014"	"2025"	475
"                At-risk-of-poverty threshold for a single household"	"tespm020"	"table"	"10.06.2026"	"10.06.2026"	"2014"	"2025"	412
"                Severe material and social deprivation rate"	"tespm030"	"table"	"06.05.2026"	"30.04.2026"	"2015"	"2025"	422
"                Persistent-at-risk-of-poverty rate"	"tespm150"	"table"	"12.06.2026"	"10.06.2026"	"2014"	"2025"	2059
"                Relative median at-risk-of-poverty gap"	"sdg_10_30"	"table"	"10.06.2026"	"10.06.2026"	"2000"	"2025"	840
"                Inequality of income distribution"	"tespm151"	"table"	"08.06.2026"	"30.04.2026"	"2014"	"2025"	445
"                Children at risk of poverty or social exclusion"	"tespm040"	"table"	"28.10.2025"	"03.01.2024"	"2009"	"2020"	463
"                Impact of social transfers (excluding pensions) on poverty reduction by sex"	"tespm050"	"table"	"10.06.2026"	"10.06.2026"	"2005"	"2025"	2409
"                At risk-of-poverty rate for the population living in (quasi-)jobless households"	"tespm060"	"table"	"10.06.2026"	"10.06.2026"	"2014"	"2025"	416
"                In-work at-risk-of-poverty rate"	"tespm070"	"table"	"08.06.2026"	"30.04.2026"	"2014"	"2025"	478
"                Long-term unemployment rate by sex"	"tesem130"	"table"	"11.06.2026"	"12.03.2026"	"2005"	"2025"	1875
"                Early leavers from education and training (age group 18-24)"	"tesem020"	"table"	"11.06.2026"	"16.04.2026"	"2005"	"2025"	755
"                Youth unemployment ratio (age group 15-24)"	"tespm080"	"table"	"30.06.2026"	"17.04.2026"	"2014"	"2025"	4792
"                Young persons neither in employment nor in education and training (NEET) by sex"	"tesem150"	"table"	"11.06.2026"	"16.04.2026"	"2005"	"2025"	4546
"                Employment rate of older workers, age group 55-64"	"tesem050"	"table"	"11.06.2026"	"12.03.2026"	"2005"	"2025"	633
"                At risk of poverty or social exclusion rate for elderly (65+)"	"tespm090"	"table"	"28.10.2025"	"03.01.2024"	"2009"	"2020"	463
"                Median relative income of elderly people - EU-SILC survey"	"tespn020"	"table"	"10.06.2026"	"10.06.2026"	"2014"	"2025"	477
"                Aggregate replacement ratio"	"tespm100"	"table"	"06.05.2026"	"30.04.2026"	"2014"	"2025"	436
"                Self-reported unmet need for medical care by sex"	"tespm110"	"table"	"22.07.2026"	"27.07.2026"	"2008"	"2025"	2142
"                Healthy life years at 65 - males"	"tespm120"	"table"	"17.07.2026"	"25.06.2026"	"2013"	"2024"	374
"                Healthy life years at 65 - females"	"tespm130"	"table"	"17.07.2026"	"25.06.2026"	"2013"	"2024"	374
"                Housing cost overburden rate"	"tespm140"	"table"	"08.06.2026"	"21.05.2026"	"2014"	"2025"	487
"            Employment performance monitor - indicators"	"tesem"	"folder"	" "	" "	" "	" "	
"                Employment rate by sex"	"tesem010"	"table"	"11.06.2026"	"12.03.2026"	"2005"	"2025"	1899
"                Early leavers from education and training (age group 18-24)"	"tesem020"	"table"	"11.06.2026"	"16.04.2026"	"2005"	"2025"	755
"                Tertiary educational attainment (age group 30-34)"	"tesem030"	"table"	"11.06.2026"	"08.05.2026"	"2005"	"2025"	2274
"                Overall employment growth"	"tesem040"	"table"	"15.07.2026"	"19.06.2026"	"2005"	"2025"	797
"                Employment rate of older workers, age group 55-64"	"tesem050"	"table"	"11.06.2026"	"12.03.2026"	"2005"	"2025"	633
"                Gender employment gap"	"tesem060"	"table"	"11.06.2026"	"12.03.2026"	"2005"	"2025"	633
"                Youth employment rate (age group 20-29)"	"tesem070"	"table"	"30.06.2026"	"17.04.2026"	"2005"	"2025"	758
"                Employment rate of low skilled persons (age group 20-64)"	"tesem080"	"table"	"30.06.2026"	"17.04.2026"	"2005"	"2025"	758
"                Employment rate of non-EU nationals (age group 20-64)"	"tesem090"	"table"	"30.06.2026"	"17.04.2026"	"2005"	"2025"	682
"                Part-time employment rate"	"tesem100"	"table"	"11.06.2026"	"12.03.2026"	"2005"	"2025"	629
"                Temporary employees as percentage of the total number of employees"	"tesem110"	"table"	"11.06.2026"	"12.03.2026"	"2005"	"2025"	632
"                Unemployment rate by sex"	"tesem120"	"table"	"11.06.2026"	"12.03.2026"	"2005"	"2025"	1899
"                Long-term unemployment rate by sex"	"tesem130"	"table"	"11.06.2026"	"12.03.2026"	"2005"	"2025"	1875
"                Youth unemployment rate by sex"	"tesem140"	"table"	"11.06.2026"	"12.03.2026"	"2005"	"2025"	1895
"                Young persons neither in employment nor in education and training (NEET) by sex"	"tesem150"	"table"	"11.06.2026"	"16.04.2026"	"2005"	"2025"	4546
"                Labour productivity per person employed and hour worked (EU27_2020=100)"	"tesem160"	"table"	"04.08.2026"	"30.07.2026"	"2005"	"2025"	1512
"                Nominal unit labour cost growth"	"tesem170"	"table"	"04.08.2026"	"30.07.2026"	"2005"	"2025"	783
"                Gender pay gap in unadjusted form"	"tesem180"	"table"	"26.02.2026"	"11.02.2026"	"2007"	"2024"	584
"                Involuntary temporary employment"	"tesem190"	"table"	"30.06.2026"	"17.04.2026"	"2005"	"2025"	913
"                Newly employed"	"tesem200"	"table"	"30.06.2026"	"17.04.2026"	"2005"	"2025"	757
"                At-risk of poverty rate of unemployed persons"	"tesem210"	"table"	"17.06.2026"	"15.06.2026"	"2009"	"2025"	396
"                Tax rate on low wage earners - Unemployment trap"	"tesem220"	"table"	"28.05.2026"	"14.07.2026"	"2005"	"2025"	720
"                Percentage of population (age group 25-64) in private households with at least upper secondary educational attainment"	"tesem240"	"table"	"11.06.2026"	"08.05.2026"	"2005"	"2025"	758
"                Adult participation in learning by sex"	"sdg_04_60"	"table"	"11.06.2026"	"16.04.2026"	"2000"	"2025"	2703
"            Social inclusion and social policy indicators"	"tesip"	"folder"	" "	" "	" "	" "	
"                Overarching portfolio"	"tesov"	"folder"	" "	" "	" "	" "	
"                    Context information"	"tesovcont"	"folder"	" "	" "	" "	" "	
"                        Distribution of population by household types - EU-SILC survey"	"tesov190"	"table"	"08.06.2026"	"21.05.2026"	"2014"	"2025"	1434
"                        Real GDP growth rate - volume"	"tec00115"	"table"	"14.08.2026"	"19.06.2026"	"2014"	"2025"	977
"                        Employment rate by sex"	"tesem010"	"table"	"11.06.2026"	"12.03.2026"	"2005"	"2025"	1899
"                        Unemployment rates by educational attainment level"	"lfsa_urgaed"	"dataset"	"30.06.2026"	"17.04.2026"	"1983"	"2025"	354377
"                        Long-term unemployment rate by sex"	"tesem130"	"table"	"11.06.2026"	"12.03.2026"	"2005"	"2025"	1875
"                        Life expectancy by age and sex"	"demo_mlexpec"	"dataset"	"04.06.2026"	"13.03.2026"	"1960"	"2024"	524643
"                        Distribution of population by household type and income group"	"ilc_lvps02"	"dataset"	"08.06.2026"	"21.05.2026"	"2003"	"2025"	41922
"                        General government gross debt - annual data"	"teina225"	"table"	"22.04.2026"	"22.04.2026"	"2014"	"2025"	720
"                        Gross and net expenditure on social benefits by function"	"spr_net_func"	"dataset"	"14.08.2026"	"14.08.2026"	"2007"	"2023"	52588
"                        Private households by household composition, number of children and labour status within households"	"lfst_hhnhwhtc"	"dataset"	"03.07.2026"	"03.07.2026"	"2006"	"2025"	233736
"                        Tax rate on low wage earners - Unemployment trap"	"tesem220"	"table"	"28.05.2026"	"14.07.2026"	"2005"	"2025"	720
"                        Tax rate on low wage earners - low wage trap"	"earn_nt_lowwtrp"	"dataset"	"28.05.2026"	"14.07.2026"	"2001"	"2025"	1558
"                        At-risk-of-poverty rate before social transfers by sex - EU-SILC survey"	"tesov250"	"table"	"10.06.2026"	"10.06.2026"	"2014"	"2025"	1434
"                        At-risk-of-poverty rate before social transfers by age group - EU-SILC survey"	"tesov252"	"table"	"10.06.2026"	"10.06.2026"	"2014"	"2025"	1912
"                        Total health care expenditure"	"tps00207"	"table"	"13.08.2026"	"18.07.2026"	"2014"	"2025"	3108
"                    People at risk of poverty or social exclusion by sex"	"tepsr_lm410"	"table"	"08.06.2026"	"30.04.2026"	"2015"	"2025"	1218
"                    At-risk-of-poverty rate by sex"	"tessi010"	"table"	"10.06.2026"	"10.06.2026"	"2005"	"2025"	2433
"                    At-risk-of-poverty rate by age group - EU-SILC survey"	"tessi012"	"table"	"10.06.2026"	"10.06.2026"	"2014"	"2025"	2850
"                    At-risk-of-poverty threshold - EU-SILC survey"	"tessi014"	"table"	"10.06.2026"	"10.06.2026"	"2014"	"2025"	1236
"                    Severe material and social deprivation rate by sex"	"tepsr_lm420"	"table"	"06.05.2026"	"30.04.2026"	"2015"	"2025"	1206
"                    People living in households with very low work intensity by sex"	"tepsr_lm430"	"table"	"06.05.2026"	"30.04.2026"	"2015"	"2025"	1218
"                    Children (aged less than 18) at risk of poverty or social exclusion"	"tepsr_lm412"	"table"	"08.06.2026"	"30.04.2026"	"2015"	"2025"	406
"                    At-risk-of poverty rate for children (aged less than 18) by sex"	"tepsr_spi110"	"table"	"10.06.2026"	"10.06.2026"	"2005"	"2025"	2223
"                    Children (aged less than 18) living in households with very low work intensity by sex"	"tepsr_spi130"	"table"	"06.05.2026"	"30.04.2026"	"2015"	"2025"	1218
"                    Severe material and social deprivation rate for children (aged less than 18) by sex"	"tepsr_spi120"	"table"	"06.05.2026"	"30.04.2026"	"2015"	"2025"	1206
"                    Relative median at-risk-of-poverty risk gap - EU-SILC survey"	"tesov016"	"table"	"10.06.2026"	"10.06.2026"	"2014"	"2025"	3308
"                    Income quintile share ratio (S80/S20) by sex"	"tessi180"	"table"	"08.06.2026"	"30.04.2026"	"2005"	"2025"	2427
"                    Material and social deprivation rate by age and sex"	"ilc_mdsd07"	"dataset"	"06.05.2026"	"30.04.2026"	"2014"	"2025"	56745
"                    Healthy life years by sex (from 2004 onwards)"	"hlth_hlye"	"dataset"	"17.07.2026"	"25.06.2026"	"2004"	"2024"	17649
"                    Early leavers from education and training (age group 18-24)"	"tesem020"	"table"	"11.06.2026"	"16.04.2026"	"2005"	"2025"	755
"                    Median relative income of elderly people - EU-SILC survey"	"tespn020"	"table"	"10.06.2026"	"10.06.2026"	"2014"	"2025"	477
"                    Aggregate replacement ratio"	"tespm100"	"table"	"06.05.2026"	"30.04.2026"	"2014"	"2025"	436
"                    Self-reported unmet need for medical care by sex"	"tespm110"	"table"	"22.07.2026"	"27.07.2026"	"2008"	"2025"	2142
"                    The real gross disposable income of households per capita (index = 2008)"	"tepsr_wc310"	"table"	"27.07.2026"	"03.07.2026"	"2005"	"2025"	629
"                    At-risk-of-poverty rate anchored at a fixed moment in time (2019) by sex - EU-SILC survey"	"tessi220"	"table"	"10.06.2026"	"10.06.2026"	"2019"	"2025"	735
"                    At-risk-of-poverty rate anchored at a fixed moment in time (2019) by age group - EU-SILC survey"	"tesov092"	"table"	"10.06.2026"	"10.06.2026"	"2019"	"2025"	980
"                    Employment rate by age"	"tepsr_wc110"	"table"	"11.06.2026"	"12.03.2026"	"2005"	"2025"	3165
"                    In-work at-risk-of-poverty rate by sex"	"tesov110"	"table"	"08.06.2026"	"30.04.2026"	"2005"	"2025"	2421
"                    Activity rate by sex"	"tepsr_wc130"	"table"	"11.06.2026"	"12.03.2026"	"2005"	"2025"	1899
"                    Activity rate by age"	"tepsr_wc160"	"table"	"11.06.2026"	"12.03.2026"	"2005"	"2025"	3165
"                    Regional disparities in employment rates (NUTS level 2, NUTS level 3)"	"lfst_r_lmder"	"dataset"	"14.07.2026"	"14.07.2026"	"1999"	"2025"	6476
"                    At risk-of-poverty rate for the population living in (quasi-)jobless households"	"tespm060"	"table"	"10.06.2026"	"10.06.2026"	"2014"	"2025"	416
"                Social inclusion portfolio"	"tessi"	"folder"	" "	" "	" "	" "	
"                    Primary indicators"	"tessiprim"	"folder"	" "	" "	" "	" "	
"                        At-risk-of-poverty rate by sex"	"tessi010"	"table"	"10.06.2026"	"10.06.2026"	"2005"	"2025"	2433
"                        At-risk-of-poverty rate by age group - EU-SILC survey"	"tessi012"	"table"	"10.06.2026"	"10.06.2026"	"2014"	"2025"	2850
"                        At-risk-of-poverty threshold - EU-SILC survey"	"tessi014"	"table"	"10.06.2026"	"10.06.2026"	"2014"	"2025"	1236
"                        Persistent at-risk-of poverty rate by sex - EU-SILC survey"	"tessi020"	"table"	"12.06.2026"	"10.06.2026"	"2014"	"2025"	1314
"                        Persistent at-risk-of poverty rate by age group - EU-SILC survey"	"tessi022"	"table"	"12.06.2026"	"10.06.2026"	"2014"	"2025"	1741
"                        Relative median poverty risk gap by age group - EU-SILC survey"	"tessi030"	"table"	"10.06.2026"	"10.06.2026"	"2014"	"2025"	1892
"                        Material Deprivation rate by sex - EU-SILC survey"	"tessi080"	"table"	"08.06.2026"	"30.04.2026"	"2014"	"2025"	1173
"                        Material Deprivation rate by age group - EU-SILC survey"	"tessi082"	"table"	"08.06.2026"	"30.04.2026"	"2014"	"2025"	1564
"                    Secondary indicators"	"tessisec"	"folder"	" "	" "	" "	" "	
"                        At-risk-of poverty"	"tessisec_rp"	"folder"	" "	" "	" "	" "	
"                            At-risk-of poverty rate by detailed age group - EU-SILC survey"	"tessi120"	"table"	"10.06.2026"	"10.06.2026"	"2014"	"2025"	2850
"                            At-risk-of poverty rate by household type - EU-SILC survey"	"tessi121"	"table"	"18.06.2026"	"18.06.2026"	"2014"	"2025"	1344
"                            At-risk-of-poverty rate of households without dependent children by work intensity - EU-SILC survey"	"tessi122"	"table"	"10.06.2026"	"10.06.2026"	"2014"	"2025"	2496
"                            At-risk-of-poverty rate of households with at least one dependent child by work intensity - EU-SILC survey"	"tessi123"	"table"	"10.06.2026"	"10.06.2026"	"2014"	"2025"	2496
"                            At-risk-of poverty rate by most frequent activity status - EU-SILC survey"	"tessi124"	"table"	"17.06.2026"	"15.06.2026"	"2009"	"2025"	2386
"                            At-risk-of poverty rate by tenure status - EU-SILC survey"	"tessi125"	"table"	"10.06.2026"	"10.06.2026"	"2014"	"2025"	1434
"                            Dispersion around the at-risk-of-poverty threshold - EU-SILC survey"	"tessi126"	"table"	"10.06.2026"	"10.06.2026"	"2014"	"2025"	1900
"                            Depth of material deprivation - EU-SILC survey"	"tessi150"	"table"	"06.05.2026"	"30.04.2026"	"2014"	"2025"	405
"                        Housing cost overburden"	"tessisec_or"	"folder"	" "	" "	" "	" "	
"                            Housing cost overburden rate by sex - EU-SILC survey"	"tessi160"	"table"	"08.06.2026"	"21.05.2026"	"2014"	"2025"	1461
"                            Housing cost overburden rate by age group - EU-SILC survey"	"tessi161"	"table"	"08.06.2026"	"21.05.2026"	"2014"	"2025"	1948
"                            Housing cost overburden rate by income quintile - EU-SILC survey"	"tessi162"	"table"	"08.06.2026"	"27.07.2026"	"2014"	"2025"	2455
"                            Housing cost overburden rate by poverty status - EU-SILC survey"	"tessi163"	"table"	"08.06.2026"	"21.05.2026"	"2014"	"2025"	1461
"                            Housing cost overburden rate by tenure status - EU-SILC survey"	"tessi164"	"table"	"08.06.2026"	"30.04.2026"	"2014"	"2025"	1893
"                            Housing cost overburden rate by degree of urbanisation - EU-SILC survey"	"tessi165"	"table"	"06.07.2026"	"30.04.2026"	"2014"	"2025"	1346
"                            Housing cost overburden rate by household type - EU-SILC survey"	"tessi166"	"table"	"06.07.2026"	"18.05.2026"	"2014"	"2025"	1431
"                        Overcrowding rate"	"tessisec_hc"	"folder"	" "	" "	" "	" "	
"                            Overcrowding rate by sex - EU-SILC survey"	"tessi170"	"table"	"08.06.2026"	"11.06.2026"	"2014"	"2025"	1467
"                            Overcrowding rate by age group - EU-SILC survey"	"tessi171"	"table"	"08.06.2026"	"11.06.2026"	"2014"	"2025"	1956
"                            Overcrowding rate by poverty status - EU-SILC survey"	"tessi172"	"table"	"08.06.2026"	"11.06.2026"	"2014"	"2025"	1467
"                            Overcrowding rate by tenure status - EU-SILC survey"	"tessi173"	"table"	"08.06.2026"	"30.04.2026"	"2014"	"2025"	1900
"                            Overcrowding rate by degree of urbanisation - EU-SILC survey"	"tessi174"	"table"	"06.07.2026"	"30.04.2026"	"2014"	"2025"	1349
"                            Overcrowding rate by household type - EU-SILC survey"	"tessi175"	"table"	"06.05.2026"	"18.05.2026"	"2014"	"2025"	1434
"                            Overcrowding rate by sex - population without single-person households - EU-SILC survey"	"tessi176"	"table"	"08.06.2026"	"21.05.2026"	"2014"	"2025"	1434
"                            Overcrowding rate by age group - population without single-person households - EU-SILC survey"	"tessi177"	"table"	"08.06.2026"	"21.05.2026"	"2014"	"2025"	1912
"                            Overcrowding rate by poverty status - population without single-person households - EU-SILC survey"	"tessi178"	"table"	"08.06.2026"	"21.05.2026"	"2014"	"2025"	1434
"                    Context information"	"tessicont"	"folder"	" "	" "	" "	" "	
"                        Income quintile share ratio (S80/S20) by sex"	"tessi180"	"table"	"08.06.2026"	"30.04.2026"	"2005"	"2025"	2427
"                        Gini coefficient of equivalised disposable income"	"tessi190"	"table"	"08.06.2026"	"30.04.2026"	"2014"	"2025"	435
"                        At-risk-of-poverty rate anchored at a fixed moment in time (2019) by sex - EU-SILC survey"	"tessi220"	"table"	"10.06.2026"	"10.06.2026"	"2019"	"2025"	735
"                        At-risk-of-poverty rate before social transfers by sex - EU-SILC survey"	"tessi230"	"table"	"10.06.2026"	"10.06.2026"	"2014"	"2025"	1434
"                        In-work at-risk-of-poverty rate by working time - EU-SILC survey"	"tessi250"	"table"	"08.06.2026"	"30.04.2026"	"2014"	"2025"	955
"                        Housing deprivation rate by number of item - EU-SILC survey"	"tessi291"	"table"	"24.04.2026"	"13.08.2026"	"2011"	"2023"	2255
"                        Share of total population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames of floor - EU-SILC survey"	"tessi292"	"table"	"24.04.2026"	"13.08.2026"	"2010"	"2023"	4401
"                        Share of total population having neither a bath, nor a shower in their dwelling - EU-SILC survey"	"tessi293"	"table"	"10.03.2026"	"13.08.2026"	"2010"	"2023"	1407
"                        Share of total population not having indoor flushing toilet for the sole use of their household - EU-SILC survey"	"tessi294"	"table"	"10.03.2026"	"13.08.2026"	"2010"	"2023"	1407
"                        Share of total population considering their dwelling as too dark - EU-SILC survey"	"tessi295"	"table"	"24.04.2026"	"13.08.2026"	"2010"	"2023"	1461
"                        Median of the housing cost burden distribution by sex - EU-SILC survey"	"tessi300"	"table"	"08.06.2026"	"21.05.2026"	"2014"	"2025"	1425
"                        Median of the housing cost burden distribution by age group - EU-SILC survey"	"tessi301"	"table"	"08.06.2026"	"21.05.2026"	"2014"	"2025"	1900
"                        Median of the housing cost burden distribution by poverty status - EU-SILC survey"	"tessi302"	"table"	"08.06.2026"	"21.05.2026"	"2014"	"2025"	1425
"                        Median of the housing cost burden distribution by degree of urbanisation - EU-SILC survey"	"tessi303"	"table"	"06.07.2026"	"30.04.2026"	"2014"	"2025"	1340
"                Pensions portfolio"	"tespnx"	"folder"	" "	" "	" "	" "	
"                    First streamlined objective pensions: adequate pensions"	"tespnfirst"	"folder"	" "	" "	" "	" "	
"                        At-risk-of-poverty rate of older people by sex - EU-SILC survey"	"tespn010"	"table"	"10.06.2026"	"10.06.2026"	"2014"	"2025"	1425
"                        Median relative income of elderly people - EU-SILC survey"	"tespn020"	"table"	"10.06.2026"	"10.06.2026"	"2014"	"2025"	477
"                        At-risk-of-poverty rate of older people by detailed age group - EU-SILC survey"	"tespn050"	"table"	"10.06.2026"	"10.06.2026"	"2014"	"2025"	2850
"                        Median relative income of elderly people (60+) - EU-SILC survey"	"tespn060"	"table"	"10.06.2026"	"10.06.2026"	"2014"	"2025"	1434
"                        Aggregate replacement ratio for pensions (excluding other social benefits) by sex"	"tespn070"	"table"	"06.05.2026"	"30.04.2026"	"2010"	"2025"	1728
"                        Income inequality for older people - EU-SILC survey"	"tespn080"	"table"	"08.06.2026"	"30.04.2026"	"2014"	"2025"	1434
"                        Relative median poverty risk gap of elderly people - EU-SILC survey"	"tespn090"	"table"	"10.06.2026"	"10.06.2026"	"2014"	"2025"	943
"                        At-risk-of-poverty rate for pensioners - EU-SILC survey"	"tespn100"	"table"	"17.06.2026"	"15.06.2026"	"2009"	"2025"	1194
"                        At-risk-of-poverty rate of elderly people by tenure status - EU-SILC survey"	"tespn110"	"table"	"10.06.2026"	"10.06.2026"	"2014"	"2025"	1402
"                        Dispersion around the at-risk-of-poverty threshold for elderly people - EU-SILC survey"	"tespn120"	"table"	"10.06.2026"	"10.06.2026"	"2014"	"2025"	1900
"                    Third streamlined objective pensions: modernised pensions"	"tespnthird"	"folder"	" "	" "	" "	" "	
"                        Gender differences in the at-risk-of-poverty rate by age - EU-SILC survey"	"tespn240"	"table"	"08.06.2026"	"30.04.2026"	"2014"	"2025"	956
"                        Gender differences in the relative income of elderly people (65+) - EU-SILC survey"	"tespn250"	"table"	"10.06.2026"	"10.06.2026"	"2014"	"2025"	478
"                        Gender differences in the aggregate replacement ratio for pensions (excluding other social benefits) - EU-SILC survey"	"tespn260"	"table"	"06.05.2026"	"30.04.2026"	"2014"	"2025"	437
"                        Gender differences in the relative income of older people - EU-SILC survey"	"tespn270"	"table"	"10.06.2026"	"10.06.2026"	"2014"	"2025"	952
"                Health and long-term care portfolio"	"tesh"	"folder"	" "	" "	" "	" "	
"                    Access to care"	"teshacc"	"folder"	" "	" "	" "	" "	
"                        Primary indicators"	"teshaccprim"	"folder"	" "	" "	" "	" "	
"                            Self-reported unmet needs for medical examination by sex, age, main reason declared and income quintile"	"hlth_silc_08"	"dataset"	"22.07.2026"	"27.07.2026"	"2008"	"2025"	2233754
"                                Self-reported unmet need for medical examination and care by sex"	"sdg_03_60"	"table"	"22.07.2026"	"27.07.2026"	"2008"	"2025"	2031
"                                Self-reported unmet need for medical care by sex"	"tespm110"	"table"	"22.07.2026"	"27.07.2026"	"2008"	"2025"	2142
"                            Self-reported unmet needs for dental examination by sex, age, main reason declared and income quintile"	"hlth_silc_09"	"dataset"	"21.07.2026"	"21.07.2026"	"2008"	"2025"	2029602
"                            Out-of-pocket expenditure on healthcare"	"tepsr_sp310"	"table"	"13.08.2026"	"03.07.2026"	"2005"	"2025"	424
"                            Life expectancy by age and sex"	"demo_mlexpec"	"dataset"	"04.06.2026"	"13.03.2026"	"1960"	"2024"	524643
"                                Life expectancy at birth by sex"	"tps00205"	"table"	"04.06.2026"	"13.03.2026"	"2013"	"2024"	1500
"                            Life expectancy by age, sex and educational attainment level"	"demo_mlexpecedu"	"dataset"	"08.02.2023"	"03.01.2024"	"2007"	"2017"	178536
"                            Healthy life years by sex (from 2004 onwards)"	"hlth_hlye"	"dataset"	"17.07.2026"	"25.06.2026"	"2004"	"2024"	17649
"                                Healthy life years at 65 - females"	"tespm130"	"table"	"17.07.2026"	"25.06.2026"	"2013"	"2024"	374
"                                Life expectancy at birth by sex"	"tps00208"	"table"	"17.07.2026"	"25.06.2026"	"2013"	"2024"	750
"                                Healthy life years at birth by sex"	"tps00150"	"table"	"17.07.2026"	"25.06.2026"	"2013"	"2024"	1104
"                                Healthy life years at age 65 by sex"	"tepsr_sp320"	"table"	"17.07.2026"	"25.06.2026"	"2005"	"2024"	1836
"                                Healthy life years at 65 - males"	"tespm120"	"table"	"17.07.2026"	"25.06.2026"	"2013"	"2024"	374
"                                Healthy life years at birth by sex"	"sdg_03_11"	"table"	"17.07.2026"	"25.06.2026"	"2004"	"2024"	1884
"                        Secondary indicators"	"teshaccsec"	"folder"	" "	" "	" "	" "	
"                            Persons visiting a doctor in the last 12 months by sex, age, level of disability (activity limitation), medical specialty and number of visits"	"ilc_hch20"	"dataset"	"06.05.2026"	"30.04.2026"	"2017"	"2025"	381090
"                            Consultation of a dentist per inhabitant"	"hlth_hc_dent"	"dataset"	"13.07.2026"	"13.07.2026"	"1960"	"2025"	841
"                            Self-perceived health by sex, age and labour status"	"hlth_silc_01"	"dataset"	"06.05.2026"	"30.04.2026"	"2008"	"2025"	1556604
"                            Infant mortality rates"	"demo_minfind"	"dataset"	"30.04.2026"	"23.02.2026"	"1960"	"2024"	11145
"                                Infant mortality rate"	"tps00027"	"table"	"30.04.2026"	"23.02.2026"	"2013"	"2024"	515
"                    Quality of care"	"teshqua"	"folder"	" "	" "	" "	" "	
"                        Primary indicators"	"teshquaprim"	"folder"	" "	" "	" "	" "	
"                            Treatable and preventable mortality of residents by cause and sex"	"hlth_cd_apr"	"dataset"	"17.03.2026"	"13.03.2026"	"2011"	"2023"	560936
"                                Standardised preventable and treatable mortality"	"sdg_03_42"	"table"	"17.03.2026"	"13.03.2026"	"2011"	"2023"	1359
"                            Self-reported last cervical smear test among women by age and degree of urbanisation"	"hlth_ehis_pa8u"	"dataset"	"27.10.2022"	"03.01.2024"	"2014"	"2019"	20280
"                        Secondary indicators"	"teshquasec"	"folder"	" "	" "	" "	" "	
"                            Vaccination against influenza of population aged 65 and over"	"hlth_ps_immu"	"dataset"	"13.07.2026"	"13.07.2026"	"2000"	"2025"	676
"                            Self-reported last breast examination by X-ray among women by age and degree of urbanisation"	"hlth_ehis_pa7u"	"dataset"	"27.10.2022"	"03.01.2024"	"2014"	"2019"	20280
"                            Individuals - internet activities"	"isoc_ci_ac_i"	"dataset"	"17.04.2026"	"16.12.2025"	"2002"	"2025"	2808618
"                    Long-term sustainability of systems"	"teshsus"	"folder"	" "	" "	" "	" "	
"                        Primary indicators"	"teshsusprim"	"folder"	" "	" "	" "	" "	
"                            Health care expenditure by financing scheme"	"hlth_sha11_hf"	"dataset"	"13.08.2026"	"03.07.2026"	"1992"	"2025"	105666
"                            Health care expenditure by function"	"hlth_sha11_hc"	"dataset"	"13.08.2026"	"18.07.2026"	"1992"	"2025"	326070
"                            Hospital discharge day cases by diagnosis"	"hlth_tdc1"	"dataset"	"12.03.2026"	"12.03.2026"	"2022"	"2023"	493508
"                            Body mass index (BMI) by sex, age and income quintile"	"hlth_ehis_bm1i"	"dataset"	"24.10.2022"	"03.01.2024"	"2014"	"2019"	113400
"                        Secondary indicators"	"teshsussec"	"folder"	" "	" "	" "	" "	
"                            In-patients average length of stay in hospitals"	"hlth_talos1"	"dataset"	"12.03.2026"	"12.03.2026"	"2022"	"2023"	594155
"                            Daily smokers of cigarettes by sex, age and income quintile"	"hlth_ehis_sk3i"	"dataset"	"04.04.2022"	"03.01.2024"	"2014"	"2019"	66582
"                            Frequency of alcohol consumption by sex, age and income quintile"	"hlth_ehis_al1i"	"dataset"	"01.04.2022"	"03.01.2024"	"2014"	"2019"	148050
"                            Frequency of heavy episodic drinking by sex, age and income quintile"	"hlth_ehis_al3i"	"dataset"	"01.04.2022"	"03.01.2024"	"2014"	"2019"	84600
"                    Context information"	"teshcont"	"folder"	" "	" "	" "	" "	
"                        Health personnel"	"hlth_rs_prs2"	"dataset"	"13.07.2026"	"13.07.2026"	"1960"	"2025"	40854
"                        Health graduates"	"hlth_rs_grd2"	"dataset"	"13.07.2026"	"13.07.2026"	"1980"	"2025"	17771
"                        Health care expenditure by financing scheme"	"hlth_sha11_hf"	"dataset"	"13.08.2026"	"03.07.2026"	"1992"	"2025"	105666
"                        Health care expenditure by function"	"hlth_sha11_hc"	"dataset"	"13.08.2026"	"18.07.2026"	"1992"	"2025"	326070
"                Investing in children"	"tesic"	"folder"	" "	" "	" "	" "	
"                    Overall objective"	"tesico"	"folder"	" "	" "	" "	" "	
"                        Primary indicators"	"tesicoprim"	"folder"	" "	" "	" "	" "	
"                            Children (aged less than 18) at risk of poverty or social exclusion"	"tepsr_lm412"	"table"	"08.06.2026"	"30.04.2026"	"2015"	"2025"	406
