code,type,breadcrumb
egr_mne_n2sc,dataset,"Database by themes > Industry, trade and services > Globalisation in business statistics > Multinational enterprise groups in EuroGroups Register (EGR) - experimental statistics > Multinational enterprise groups in EU-EFTA countries by controlling country, size class and NACE Rev. 2 activity - experimental statistics"
road_eqs_carage,dataset,Database by themes > Transport > Road transport > Road transport equipment - stock of vehicles > Passenger cars by age
ilc_lvho07b,dataset,Database by themes > Population and social conditions > Living conditions and welfare > Income and living conditions > Living conditions > Housing conditions > Housing cost burden > Housing cost overburden rate by income quintile
tesem190,table,Cross cutting topics > Tables on EU policy > Employment and social policy indicators > Employment performance monitor - indicators > Involuntary temporary employment
tag00116,table,"Database by themes > Agriculture, forestry and fisheries > Fisheries > Fishing fleet > Fishing fleet by type of gear and engine power > Fishing Fleet, Number of Vessels"
enpe_irt_st,dataset,Database by themes > General and regional statistics > Non EU countries > Eastern European Neighbourhood Policy countries (ENP-East) > Economy and finance > Interest and exchange rates > Money market interest rates - ENP-East countries
bs_bs7_00,dataset,"Database by themes > Industry, trade and services > Business structure and dynamics > Structural business statistics > Structural business statistics - historical data > SBS - services - historical data > Business services statistics > Business services (2001-2003) > Turnover by nationality of client and NACE Rev.1 at 3-digit level (2000)"
ert_h_eur_a,dataset,Database by themes > Economy and finance > Exchange rates > Exchange rates - historical data > Former euro area national currencies vs. euro/ECU - annual data
tesem130,table,Cross cutting topics > Tables on EU policy > Employment and social policy indicators > Social protection performance monitor - indicators > Long-term unemployment rate by sex
sdg_09_50,table,"Cross cutting topics > Tables on EU policy > Sustainable development indicators > Goal 9 - Industry, innovation and infrastructure > Share of buses and trains in inland passenger transport"
teicp090,table,"Database by themes > Economy and finance > Prices > Harmonised index of consumer prices (HICP) > Harmonised index of consumer prices (HICP) - ECOICOP ver.2 > Harmonised index of consumer prices (HICP) - ECOICOP ver.2 - indices and rates of change, monthly data > HICP - recreation and culture"
tps00165,table,"Database by themes > General and regional statistics > Regional statistics by NUTS classification > Regional health statistics > Causes of death > Causes of death - standardised death rate by NUTS 2 region of residence > Death due to transport accidents, by sex"
tsc00006,table,"Database by themes > Science, technology, digital society > Science and technology > Research and development (R&D) > R&D personnel at national and regional level > Share of female researchers by sector of performance > Share of women researchers in all sectors"
rail_tf_ns20_mk,dataset,Database by themes > Transport > Railway transport > Railway traffic > Train traffic on the rail network (2020) > Train traffic on the rail network - North Macedonia (2020)
sdg_15_20,table,Cross cutting topics > Tables on EU policy > Sustainable development indicators > Goal 15 - Life on land > Surface of the terrestrial protected areas
trng_nfe15,dataset,Database by themes > Population and social conditions > Education and training > Education and training - historical data > Adult learning - historical data > Lifelong learning - LFS ad-hoc module 2003 > ----- > Mean instruction hours per participant in non-formal education and training by sex and labour status (2003)
ttr00005,table,"Database by themes > Transport > Road transport > Road freight transport measurement > Total road freight transport > Road freight transport by type of operation and type of transport (t, tkm, vehicle-km) - annual data > Goods transport by road"
tgs00064,table,Database by themes > General and regional statistics > Regional statistics by NUTS classification > Regional health statistics > Health care: resources and patients (non-expenditure data) > Available beds in hospitals by NUTS 2 region > Available beds in hospitals by NUTS 2 region
tepsr_spi110,table,Cross cutting topics > Tables on EU policy > Employment and social policy indicators > Social inclusion and social policy indicators > Overarching portfolio > At-risk-of poverty rate for children (aged less than 18) by sex
gbv_dv_occ,dataset,"Database by themes > Population and social conditions > Living conditions and welfare > Gender based violence against women > Violence by domestic perpetrator during adulthood > Women who have experienced violence by a domestic perpetrator, by occurrence of the last episode"
ilc_pw12$dv_2547,dataset,"Database by themes > Population and social conditions > Disability > Leisure and social participation > Social interactions > Persons feeling left out from society by sex, age and level of disability (activity limitation)"
tesem120,table,Cross cutting topics > Tables on EU policy > Employment and social policy indicators > Employment performance monitor - indicators > Unemployment rate by sex
irt_lt_gby10_m,dataset,"Database by themes > Economy and finance > Interest rates > Long-term interest rates > Government bond yields - 10 years' maturity > Government bond yields, 10 years' maturity - monthly data"
enps_env_wastrt,dataset,Database by themes > General and regional statistics > Non EU countries > Southern European Neighbourhood Policy countries (ENP-South) > Environment and energy > Environment > Waste > Treatment of municipal waste - ENP-South countries
urt_lfe3emprt$dv_1586,dataset,"Database by themes > General and regional statistics > Regional statistics by typology > Other typologies > Labour market statistics by other typologies > Employment rates by sex, age and other typologies"
tps00197,table,Database by themes > Population and social conditions > Education and training > Education and training outcomes > Educational attainment level > Educational attainment of population > Population in private households by educational attainment level > Persons with at most lower secondary educational attainment level by age
tet00012,table,"Database by themes > International trade > International trade in goods > International trade in goods - aggregated data > International trade in goods - long-term indicators > EU trade by Member State, partner and product group > Intra and Extra-EU trade by Member State and by product group > Extra-EU27 (from 2020) trade, by Member State, total product"
ilc_odbt12,dataset,"Database by themes > Population and social conditions > Living conditions and welfare > Income and living conditions > EU-SILC modules > Over-indebtedness, consumption and wealth as well as labour (2020) > Persons owning real estate other than main residence by risk of poverty threshold"
tipsbp18,table,Cross cutting topics > Tables on EU policy > Macroeconomic imbalance procedure indicators > Current account balance and balance of payments > Annual data > Financial account > Financial account - annual data
crim_just_bri,dataset,Database by themes > Population and social conditions > Crime and criminal justice > Persons in the criminal justice system > Bribery by legal status and sex of the person involved
crim_smu_sctz,dataset,Database by themes > Population and social conditions > Crime and criminal justice > Smuggling of migrants > Suspects of migrant smuggling by citizenship
enps_demo_gind,dataset,"Database by themes > General and regional statistics > Non EU countries > Southern European Neighbourhood Policy countries (ENP-South) > Population and social conditions > Population and demographic indicators > Demographic indicators > Crude rate of birth, of dead and of population change - ENP-South countries"
sdg_10_41,table,Cross cutting topics > Tables on EU policy > Sustainable development indicators > Goal 10 - Reduced inequalities > Income quintile share ratio
enps_mar_eq1000,dataset,Database by themes > General and regional statistics > Non EU countries > Southern European Neighbourhood Policy countries (ENP-South) > Transport > Maritime transport > Number of ships of 1000 GT and over by type of vessel - ENP-South countries
ilc_pnp11,dataset,Database by themes > Population and social conditions > Living conditions and welfare > Income and living conditions > Income distribution and monetary poverty > Monetary poverty for elderly people > Gender differences in the aggregate replacement ratio for pensions (excluding other social benefits)
tps00024,table,"Database by themes > Population and social conditions > Migration > International migration, citizenship > Acquisition and loss of citizenship > Acquisition of citizenship by age group, sex and former citizenship > Acquisition of citizenship"
tps00186,table,Database by themes > Population and social conditions > Education and training > Education and training outcomes > Educational attainment level > Educational attainment of population > Population in private households by educational attainment level > Persons aged 20-24 with at least upper secondary educational attainment level by sex
enps_rail_eq,dataset,Database by themes > General and regional statistics > Non EU countries > Southern European Neighbourhood Policy countries (ENP-South) > Transport > Rail transport > Number of railway vehicles per type - ENP-South countries
tag00048,table,"Database by themes > Agriculture, forestry and fisheries > Agriculture > Agricultural prices and price indices > Price indices of agricultural products > Price indices of agricultural products, output - annual data > Producer price indices, crop products"
tps00149,table,"Database by themes > General and regional statistics > Regional statistics by NUTS classification > Regional health statistics > Causes of death > Causes of death - standardised death rate by NUTS 2 region of residence > Death due to drugs dependence, by sex"
teiet140,table,"Cross cutting topics > Tables on EU policy > Euro indicators / PEEIs > International trade > Imports of goods > Imports of goods - mineral fuels, lubricants and related materials"
teicp210,table,"Database by themes > Economy and finance > Prices > Harmonised index of consumer prices (HICP) > Harmonised index of consumer prices (HICP) - ECOICOP ver.2 > Harmonised index of consumer prices (HICP) - ECOICOP ver.2 - indices and rates of change, monthly data > HICP - all items excluding energy"
educ_uoe_enra19,dataset,"Database by themes > Population and social conditions > Education and training > Participation in education and training > Pupils and students - enrolments > All education levels > Pupils aged 4 years old, by sex - as % of the population of the corresponding age group"
ilc_li13,dataset,Database by themes > Population and social conditions > Living conditions and welfare > Income and living conditions > Income distribution and monetary poverty > Monetary poverty > Relative poverty gap by risk of poverty and work intensity of the households with income from benefits
cens_91hpnper,dataset,Database by themes > Population and social conditions > Population and housing censuses > Census 1990/91 round > Households > Household composition by size
enps_tour_dem_tttot,dataset,Database by themes > General and regional statistics > Non EU countries > Southern European Neighbourhood Policy countries (ENP-South) > Tourism > Departures of residents going abroad for all holidays and business - ENP-South countries
enpe_road_pa,dataset,Database by themes > General and regional statistics > Non EU countries > Eastern European Neighbourhood Policy countries (ENP-East) > Transport > Road transport > Passenger road transport - ENP-East countries
enps_env_wasgenh,dataset,Database by themes > General and regional statistics > Non EU countries > Southern European Neighbourhood Policy countries (ENP-South) > Environment and energy > Environment > Waste > Generation of waste by households - ENP-South countries
lfso_12earlyret,dataset,Database by themes > Population and social conditions > Labour market > Employment and unemployment (Labour force survey) > Labour force survey (LFS) - ad-hoc modules > Transition from work to retirement (2012) > Early retirement among persons who receive an old-age pension (2012)
rail_tf_ns20_bg,dataset,Database by themes > Transport > Railway transport > Railway traffic > Train traffic on the rail network (2020) > Train traffic on the rail network - Bulgaria (2020)
tessi190,table,Cross cutting topics > Tables on EU policy > Employment and social policy indicators > Social inclusion and social policy indicators > Social inclusion portfolio > Context information > Gini coefficient of equivalised disposable income
tps00137,table,"Database by themes > General and regional statistics > Regional statistics by NUTS classification > Regional health statistics > Causes of death > Causes of death - standardised death rate by NUTS 2 region of residence > Death due to diabetes mellitus, by sex"
iss_18bfmove,dataset,"Database by themes > Industry, trade and services > Globalisation in business statistics > Global value chains and international sourcing statistics > International sourcing statistics (2002-2020) - experimental statistics > International sourcing statistics - survey 2018 - experimental statistics > International sourcing and relocation of business functions - experimental statistics > Relocation of business function to home country > Enterprises by status of movement of business functions from abroad, business function and NACE Rev.2 activity - experimental statistics"
tipsho20,dataset,"Cross cutting topics > Tables on EU policy > Macroeconomic imbalance procedure indicators > MIP Scoreboard indicators > House price index, nominal - annual data"
ilc_odbt13,dataset,"Database by themes > Population and social conditions > Living conditions and welfare > Income and living conditions > EU-SILC modules > Over-indebtedness, consumption and wealth as well as labour (2020) > Persons owning real estate other than main residence by income quantile"
migr_asydec1p,dataset,Database by themes > Population and social conditions > Migration > Asylum > Asylum and temporary protection indicators > Asylum indicators > Positive first instance decisions - per thousand persons
ilc_mdho06d,dataset,Database by themes > General and regional statistics > Degree of urbanisation > Living conditions and welfare > Severe housing deprivation rate by degree of urbanisation
ilc_camnothg0,dataset,Database by themes > Population and social conditions > Living conditions and welfare > Income and living conditions > Living conditions > Childcare arrangements > Average number of weekly hours of other types of care by age group - children with at least one hour of other types of care
road_eqr_tracm,dataset,Database by themes > Transport > Road transport > Road transport equipment - new registration of vehicles > Road transport equipment - new registration of vehicles - historical data > New road tractors by type of motor energy (until 2013)
ilc_li34$dv_1982,dataset,Database by themes > Population and social conditions > Living conditions and welfare > Income and living conditions > Income distribution and monetary poverty > Monetary poverty > At-risk-of poverty rate for children by country of birth of their parents (population aged 0 to 17)
earn_ses18_actrl,dataset,"Database by themes > Population and social conditions > Labour market > Earnings > Structure of earnings survey 2018 > Annual earnings > Annual earnings by economic control (enterprises with 10 employed persons or more) - NACE Rev. 2, B-S excluding O (2018)"
rail_tf_ns_hu,dataset,Database by themes > Transport > Railway transport > Railway traffic > Train traffic on the rail network (2005) > Train traffic on the rail network - Hungaria (2005)
lfsi_dwl_a,dataset,Database by themes > Population and social conditions > Labour market > Employment and unemployment (Labour force survey) > Labour force survey (LFS) series - detailed annual data > Labour force > Duration of working life
earn_ses06_rhr,dataset,"Database by themes > General and regional statistics > Regional statistics by NUTS classification > Regional labour market statistics > Regional structure of earnings survey 2006 > Mean hourly earnings by NUTS 1 region (enterprises with 10 employees or more) - NACE Rev. 1.1, C-O excluding L (2006)"
cens_91down,dataset,"Database by themes > Population and social conditions > Population and housing censuses > Census 1990/91 round > Dwellings > Occupied conventional dwellings by households, by number of rooms"
ilc_peps11,dataset,Database by themes > Population and social conditions > Living conditions and welfare > Income and living conditions > Persons at risk of poverty or social exclusion and intersections between sub-populations (EU 2020 strategy) > Persons at risk of poverty or social exclusion by NUTS 2 region - EU 2020 strategy
bs_bs13_04,dataset,"Database by themes > Industry, trade and services > Business structure and dynamics > Structural business statistics > Structural business statistics - historical data > SBS - services - historical data > Business services statistics > Business Services (2004-2020) > Turnover by type of media for advertising services (2004)"
educ_uoe_enra18,dataset,Database by themes > Population and social conditions > Education and training > Participation in education and training > Pupils and students - enrolments > All education levels > Pupils from age 5 to the starting age of compulsory education at primary level by sex - % of the population of the corresponding age
tps00101,table,Database by themes > Population and social conditions > Social protection > Social protection expenditure > Expenditure on social protection by type of expenditure > Expenditure on social protection by type
teina510,table,Cross cutting topics > Tables on EU policy > Euro indicators / PEEIs > National accounts > Quarterly sector accounts > Households investment rate
tipspd30,table,"Database by themes > Economy and finance > National accounts (ESA 2010) > Annual sector accounts (ESA 2010) > Financial flows and stocks > Financial balance sheets - annual data > Non-financial corporations debt, consolidated - % of GDP"
iss_18sojobn,dataset,"Database by themes > Industry, trade and services > Globalisation in business statistics > Global value chains and international sourcing statistics > International sourcing statistics (2002-2020) - experimental statistics > International sourcing statistics - survey 2018 - experimental statistics > International sourcing and relocation of business functions - experimental statistics > Sourcing of business functions > Jobs created by NACE Rev.2 activity - experimental statistics"
tipsex11,table,Cross cutting topics > Tables on EU policy > Macroeconomic imbalance procedure indicators > Export market shares > Export market shares by items - 1 year % change
sdg_08_60,table,"Cross cutting topics > Tables on EU policy > Sustainable development indicators > Goal 3 - Good health and well-being > Fatal accidents at work per 100 000 workers, by sex"
nama_10_fte,dataset,Database by themes > Economy and finance > National accounts (ESA 2010) > Annual national accounts > Population and employment in national accounts > Average full time adjusted salary per employee
tespn060,table,Cross cutting topics > Tables on EU policy > Employment and social policy indicators > Social inclusion and social policy indicators > Pensions portfolio > First streamlined objective pensions: adequate pensions > Median relative income of elderly people (60+) - EU-SILC survey
teina210,table,Cross cutting topics > Tables on EU policy > Euro indicators / PEEIs > National accounts > Public finance - excessive deficit procedure statistics > General government gross fixed capital formation - annual data
tet00004,table,"Database by themes > General and regional statistics > European and national indicators for short-term analysis > National accounts > Gross domestic product (GDP) and main components (output, expenditure and income) - annual data > Imports of goods and services in % of GDP"
rail_tf_ns_ee,dataset,Database by themes > Transport > Railway transport > Railway traffic > Train traffic on the rail network (2005) > Train traffic on the rail network - Estonia (2005)
bs_bs10_00,dataset,"Database by themes > Industry, trade and services > Business structure and dynamics > Structural business statistics > Structural business statistics - historical data > SBS - services - historical data > Business services statistics > Business services (2001-2003) > Turnover by client specialisation and employment size class (2000)"
iww_ec_empsex,dataset,"Database by themes > Transport > Inland waterways transport > Enterprises, economic performances and employment in inland waterway transport - historical data > Employment in inland waterways transport enterprises by sex (1990 - 2012)"
tec00121,table,Database by themes > Economy and finance > Prices > Purchasing power parities > Convergence indicators > Price and volume convergence between EU Member States
icw_sr_10,dataset,"Database by themes > Population and social conditions > Income, consumption and wealth - experimental statistics > Saving rates > Aggregate propensity to consume by income quintile - experimental statistics"
enpe_reg_area3,dataset,Database by themes > General and regional statistics > Non EU countries > Eastern European Neighbourhood Policy countries (ENP-East) > Agriculture and fisheries > Agriculture > Total area - ENP-East countries
teiis200,table,"Cross cutting topics > Tables on EU policy > Euro indicators / PEEIs > Industry, trade and services > Trade and services > Retail trade turnover - total"
sdg_04_60,table,Cross cutting topics > Tables on EU policy > Sustainable development indicators > Goal 4 - Quality education > Adult participation in learning by sex
rail_tf_ns20_hr,dataset,Database by themes > Transport > Railway transport > Railway traffic > Train traffic on the rail network (2020) > Train traffic on the rail network - Croatia (2020)
tec00104,table,Database by themes > Economy and finance > National accounts (ESA 2010) > Annual sector accounts (ESA 2010) > Key indicators for sector accounts - annual data > Gross debt-to-income ratio of households
teina408_r2,table,Cross cutting topics > Tables on EU policy > Euro indicators / PEEIs > National accounts > Gross value added > Gross value added - NACE Rev. 2: B-E - current prices
gbv_npv_cnq,dataset,Database by themes > Population and social conditions > Living conditions and welfare > Gender based violence against women > Violence by non-partner since the age of 15 > Women who have experienced violence by a non-partner and consequences of violence
tps00028,table,"Database by themes > Population and social conditions > Demography, population stock and balance > Main population indicators > Population structure indicators at national level > Proportion of population aged 65 and over"
avia_ec_emp_arp,dataset,Database by themes > Transport > Air transport > Air transport - enterprises and persons employed > Persons employed in main airports by sex
tran_hv_pstra,dataset,"Database by themes > Transport > Modal split, intermodal transport and transport performance relative to GDP > Index of inland transport performance per GDP unit > Volume of passenger transport relative to GDP"
teiet300,table,Cross cutting topics > Tables on EU policy > Euro indicators / PEEIs > International trade > Trade Balance and indices > Unit value of exports
mar_qg_qm_pwh,dataset,Database by themes > Transport > Maritime transport > Maritime transport - main quarterly results > Top 5 ports - gross weight of goods handled in each port
gbv_shw_comm,dataset,Database by themes > Population and social conditions > Living conditions and welfare > Gender based violence against women > Sexual harassment at work during lifetime > Perception of ever-working women as victims/non-victims of sexual harassment at work by commonness of harassment
gbv_ipv_rp,dataset,"Database by themes > Population and social conditions > Living conditions and welfare > Gender based violence against women > Violence by intimate partner during lifetime > Ever-partnered women who have experienced violence by an intimate partner, by person/support service to whom violence was reported"
teina442_r2,table,Cross cutting topics > Tables on EU policy > Euro indicators / PEEIs > National accounts > Gross value added > Gross value added - NACE Rev. 2: O-Q - volumes
ilc_chmd02,dataset,Database by themes > Population and social conditions > Living conditions and welfare > Income and living conditions > Material deprivation > Child specific material deprivation > Child specific material deprivation rate by household composition (children aged less than 16 years)
rail_tf_ns10_hu,dataset,Database by themes > Transport > Railway transport > Railway traffic > Train traffic on the rail network (2010) > Train traffic on the rail network - Hungary (2010)
ilc_li34,dataset,Database by themes > Population and social conditions > Living conditions and welfare > Income and living conditions > Income distribution and monetary poverty > Monetary poverty > At-risk-of poverty rate for children by country of birth of their parents (population aged 0 to 17)
tespm130,table,Cross cutting topics > Tables on EU policy > Employment and social policy indicators > Social protection performance monitor - indicators > Healthy life years at 65 - females
rail_tf_ns15_ee,dataset,Database by themes > Transport > Railway transport > Railway traffic > Train traffic on the rail network (2015) > Train traffic on the rail network - Estonia (2015)
teiis260,table,"Cross cutting topics > Tables on EU policy > Euro indicators / PEEIs > Industry, trade and services > Trade and services > Retail trade volume of sales - non food"
tps00185,table,Database by themes > Population and social conditions > Living conditions and welfare > Income and living conditions > Living conditions > Childcare arrangements > Children in formal childcare or education by age group and duration - % over the population of each age group > Formal child care by duration and age group
teina424_r2,table,Database by themes > Economy and finance > National accounts (ESA 2010) > Quarterly national accounts > GDP and components > Gross value added and income by main industry (NACE Rev.2 ) - quarterly data > Gross value added - NACE Rev. 2: J - current prices
cens_01ndcomf,dataset,Database by themes > Population and social conditions > Population and housing censuses > Census 2001 round > National level > Dwellings > Occupied conventional dwellings by presence of comfort characteristics
tin00101,table,"Database by themes > Science, technology, digital society > Digital economy and society > ICT usage in households and by individuals > Internet use > Individuals - internet activities > Individuals using the internet for seeking health-related information"
ilc_li22$dv_2664,dataset,Database by themes > Population and social conditions > Living conditions and welfare > Income and living conditions > Income distribution and monetary poverty > Monetary poverty > At-risk-of-poverty rate anchored at a fixed moment in time (2019) by age and sex - EU-SILC survey
tag00018,table,"Database by themes > Agriculture, forestry and fisheries > Agriculture > Animal production > Livestock and meat > Livestock > Pig population > Number of pigs"
icw_sr_03,dataset,"Database by themes > Population and social conditions > Income, consumption and wealth - experimental statistics > Saving rates > Median saving rate by income quintile - experimental statistics"
sdg_07_60,table,Cross cutting topics > Tables on EU policy > Sustainable development indicators > Goal 7 - Affordable and clean energy > Population unable to keep home adequately warm by poverty status
lfsa_eppgai$dv_577,dataset,Database by themes > Population and social conditions > Labour market > Employment and unemployment (Labour force survey) > Labour force survey (LFS) series - detailed annual data > Full-time and part-time employment > Persons in involuntary part-time employment - % of total part-time employment
enps_educ_enrate,dataset,Database by themes > General and regional statistics > Non EU countries > Southern European Neighbourhood Policy countries (ENP-South) > Population and social conditions > Education > General education > Net enrolment rates by sex and education level - ENP-South countries
tessi174,table,Cross cutting topics > Tables on EU policy > Employment and social policy indicators > Social inclusion and social policy indicators > Social inclusion portfolio > Secondary indicators > Overcrowding rate > Overcrowding rate by degree of urbanisation - EU-SILC survey
educ_uoe_enra27,dataset,Database by themes > Population and social conditions > Education and training > Participation in education and training > Pupils and students - enrolments > All education levels > Out-of-school rate by sex and age - as % of the population of the corresponding age
hlth_ps_immu,dataset,Database by themes > Population and social conditions > Health > Health care > Preventive services > Vaccination against influenza of population aged 65 and over
trng_nfe7,dataset,Database by themes > Population and social conditions > Education and training > Education and training - historical data > Adult learning - historical data > Lifelong learning - LFS ad-hoc module 2003 > ----- > Participation in non-formal education and training within (or not) paid working hours (2003)
tag00040,table,"Database by themes > Agriculture, forestry and fisheries > Agriculture > Animal production > Milk and milk products > Milk collection (all milks) and dairy products obtained - annual data > Production of cheese"
sdg_06_20,table,Cross cutting topics > Tables on EU policy > Sustainable development indicators > Goal 6 - Clean water and sanitation > Population connected to at least secondary wastewater treatment
hlth_ehis_hc3,dataset,Database by themes > Population and social conditions > Health > Health care > Preventive services > Preventive services - historical data > Self-reported cervical smear test by educational attainment level among women aged 20-69 (%)
tessi121,table,Cross cutting topics > Tables on EU policy > Employment and social policy indicators > Social inclusion and social policy indicators > Social inclusion portfolio > Secondary indicators > At-risk-of poverty > At-risk-of poverty rate by household type - EU-SILC survey
hsw_ij_svhos,dataset,"Database by themes > Population and social conditions > Health > Health and safety at work > Work related health problems and accidental injuries - LFS 1999 > Accidental injuries > Relative incidence rate of accidental injuries at work by severity, working hours and sex (EU mean rate = 100 for each severity)"
sdg_05_30,table,"Cross cutting topics > Tables on EU policy > Sustainable development indicators > Goal 5 - Gender equality > Gender employment gap, by type of employment"
